Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,19.69,19.81,19.56,19.75,16.94,2261283,0.0,0.0
2015-04-27,19.75,19.8,19.51,19.68,16.88,2138986,0.0,0.0
2015-04-28,19.67,19.69,19.31,19.47,16.7,2143255,0.0,0.0
2015-04-29,19.32,19.33,18.17,18.44,15.82,5415025,0.0,0.0
2015-04-30,18.42,18.57,18.15,18.38,15.77,3890076,0.0,0.0
2015-05-04,18.33,18.42,18.03,18.35,15.75,2876212,0.0,0.0
2015-05-05,18.37,18.69,18.09,18.09,15.52,3695919,0.0,0.0
2015-05-06,18.15,18.16,17.86,17.92,15.37,4572135,0.0,0.0
2015-05-07,17.85,18.01,17.7,17.85,15.31,3580274,0.0,0.0
2015-05-08,18.0,18.42,17.95,18.31,15.71,2989639,0.0,0.0
2015-05-11,19.41,20.15,19.09,19.32,16.57,11048455,0.0,0.0
2015-05-12,19.95,20.03,19.41,19.58,16.8,8495247,0.0,0.0
2015-05-13,19.6,19.73,19.25,19.35,16.6,3340254,0.0,0.0
2015-05-14,19.3,19.36,19.16,19.27,16.53,3440800,0.0,0.0
2015-05-15,19.44,19.75,19.32,19.57,16.79,3652657,0.0,0.0
2015-05-18,19.54,19.61,19.32,19.53,16.76,2863648,0.0,0.0
2015-05-19,19.6,19.91,19.6,19.86,17.04,2931849,0.0,0.0
2015-05-20,19.83,19.93,19.78,19.87,17.05,2262542,0.0,0.0
2015-05-21,19.9,20.07,19.85,20.0,17.15,2772481,0.0,0.0
2015-05-22,20.0,20.02,19.81,19.89,17.06,1985301,0.0,0.0
2015-05-25,19.91,20.0,19.81,19.94,17.11,534182,0.0,0.0
2015-05-26,19.9,20.03,19.62,19.68,16.88,2650323,0.0,0.0
2015-05-27,19.35,20.32,19.19,20.09,17.23,4816559,0.0,0.0
2015-05-28,20.15,20.44,20.05,20.11,17.25,4227291,0.0,0.0
2015-05-29,20.17,20.28,19.67,19.67,16.88,5404599,0.0,0.0
2015-06-01,19.77,19.89,19.57,19.69,16.89,1958956,0.0,0.0
2015-06-02,19.74,19.74,19.28,19.36,16.61,3261236,0.0,0.0
2015-06-03,19.66,20.51,19.62,20.5,17.58,7480217,0.0,0.0
2015-06-04,20.45,20.47,20.11,20.33,17.44,4414964,0.0,0.0
2015-06-05,20.18,20.26,19.79,19.89,17.06,3449682,0.0,0.0
2015-06-08,19.9,19.96,19.74,19.78,16.97,2399858,0.0,0.0
2015-06-09,19.64,19.75,19.1,19.36,16.61,4586275,0.0,0.0
2015-06-10,19.31,19.61,19.13,19.57,16.78,2803842,0.0,0.0
2015-06-11,19.54,19.9,19.52,19.7,16.9,2800904,0.0,0.0
2015-06-12,19.67,19.7,19.26,19.42,16.66,2484994,0.0,0.0
2015-06-15,19.25,19.31,19.13,19.2,16.47,2106714,0.0,0.0
2015-06-16,19.14,19.31,18.96,19.22,16.49,3050498,0.0,0.0
2015-06-17,19.23,19.27,18.82,18.9,16.21,3401690,0.0,0.0
