Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,99.78,100.3,98.9,99.11,94.1,2186987,0.7,0
2015-04-27,99.05,102.05,97.91,101.3,96.18,2047617,0.0,0
2015-04-28,100.9,101.35,99.27,99.95,94.9,1472243,0.0,0
2015-04-29,100.0,100.55,96.98,96.98,92.08,1912896,0.0,0
2015-04-30,96.6,97.83,95.3,96.71,91.82,2189675,0.0,0
2015-05-04,96.27,98.77,95.63,96.78,91.89,1204990,0.0,0
2015-05-05,96.78,98.2,94.59,94.75,89.96,1710422,0.0,0
2015-05-06,94.47,95.42,93.33,93.67,88.94,1560218,0.0,0
2015-05-07,93.22,94.53,92.14,93.86,89.12,1541305,0.0,0
2015-05-08,94.7,96.67,94.21,96.35,91.48,1331899,0.0,0
2015-05-11,96.23,97.71,95.82,97.52,92.59,1150595,0.0,0
2015-05-12,96.56,96.98,95.27,96.55,91.67,1600244,0.0,0
2015-05-13,96.84,97.14,95.07,95.58,90.75,1369941,0.0,0
2015-05-14,95.25,97.21,94.95,97.06,92.16,830835,0.0,0
2015-05-15,97.26,98.17,96.79,97.28,92.36,1320484,0.0,0
2015-05-18,97.12,97.8,95.97,97.63,92.7,795267,0.0,0
2015-05-19,98.34,100.45,98.2,99.9,94.85,1009198,0.0,0
2015-05-20,99.99,101.1,99.8,100.75,95.66,621678,0.0,0
2015-05-21,100.25,100.65,99.91,100.5,95.42,456863,0.0,0
2015-05-22,100.3,100.95,99.68,100.5,95.42,513759,0.0,0
2015-05-25,100.85,100.85,99.7,100.1,95.04,129441,0.0,0
2015-05-26,99.64,101.35,99.53,99.94,94.89,764492,0.0,0
2015-05-27,100.85,102.6,99.9,102.4,97.23,948499,0.0,0
2015-05-28,102.8,104.85,102.8,103.8,98.55,1140203,0.0,0
2015-05-29,103.8,104.1,101.75,101.75,96.61,1274779,0.0,0
2015-06-01,102.45,103.2,101.25,101.85,96.7,734532,0.0,0
2015-06-02,102.1,102.3,99.07,99.28,94.26,1140005,0.0,0
2015-06-03,99.01,101.2,99.0,99.65,94.61,986202,0.0,0
2015-06-04,99.32,100.8,98.24,99.24,94.23,1376031,0.0,0
2015-06-05,98.5,99.3,97.67,98.14,93.18,1164698,0.0,0
2015-06-08,97.79,98.06,96.49,96.49,91.61,1001504,0.0,0
2015-06-09,95.5,97.12,95.09,96.38,91.51,1266232,0.0,0
2015-06-10,95.92,97.25,95.32,96.8,91.91,1208446,0.0,0
2015-06-11,96.54,99.66,96.5,97.87,92.92,1432360,0.0,0
2015-06-12,97.58,97.97,95.2,96.1,91.24,1198797,0.0,0
