Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,9.38,9.526,9.279,9.372,7.0966,28033939,0.0,0
2015-04-27,9.42,9.571,9.235,9.51,7.2011,45961769,0.0,0
2015-04-28,9.523,9.523,9.395,9.453,7.1579,44131668,0.0,0
2015-04-29,9.39,9.4,9.08,9.095,6.8868,62338761,0.0,0
2015-04-30,9.058,9.109,8.97,9.0,6.8149,52693293,0.0,0
2015-05-04,9.0,9.108,8.885,9.04,6.8452,31077013,0.0,0
2015-05-05,9.029,9.15,8.8,8.825,6.6824,41102200,0.0,0
2015-05-06,8.842,8.996,8.831,8.949,6.7763,31701186,0.0,0
2015-05-07,8.927,9.045,8.795,9.0,6.8149,31565343,0.0,0
2015-05-08,9.061,9.134,9.008,9.131,6.9141,46359536,0.0,0
2015-05-11,9.128,9.14,9.03,9.092,6.8845,25043084,0.0,0
2015-05-12,9.005,9.074,8.956,9.042,6.8467,38813411,0.0,0
2015-05-13,9.058,9.168,9.003,9.034,6.8406,22608532,0.0,0
2015-05-14,9.036,9.201,8.945,9.159,6.9353,28567221,0.0,0
2015-05-15,9.195,9.215,9.02,9.071,6.8686,33900739,0.0,0
2015-05-18,9.06,9.08,8.913,9.026,6.8346,34719219,0.0,0
2015-05-19,9.09,9.23,9.082,9.213,6.9762,32903220,0.0,0
2015-05-20,9.191,9.334,9.172,9.305,7.0458,46480113,0.0,0
2015-05-21,9.26,9.319,9.201,9.319,7.0564,20076022,0.0,0
2015-05-22,9.321,9.335,9.267,9.294,7.0375,16107265,0.0,0
2015-05-25,9.11,9.199,9.03,9.1,6.8906,12557437,0.0,0
2015-05-26,9.041,9.112,8.936,8.996,6.8119,73492915,0.0,0
2015-05-27,9.038,9.208,8.99,9.167,6.9413,24311729,0.0,0
2015-05-28,9.12,9.161,9.005,9.092,6.8845,27912673,0.0,0
2015-05-29,9.092,9.137,8.962,8.993,6.8096,49709887,0.0,0
2015-06-01,9.022,9.094,8.933,8.993,6.8096,23879089,0.0,0
2015-06-02,9.06,9.16,8.912,9.07,6.8679,24371406,0.0,0
2015-06-03,9.129,9.23,9.045,9.151,6.9292,21811528,0.0,0
2015-06-04,9.059,9.205,8.972,9.073,6.8702,23384650,0.0,0
2015-06-05,8.99,9.039,8.895,8.99,6.8073,23344984,0.0,0
2015-06-08,8.87,8.957,8.82,8.82,6.6786,72779242,0.0,0
2015-06-09,8.81,8.874,8.67,8.846,6.6983,36066710,0.0,0
2015-06-10,8.779,9.066,8.742,9.028,6.8361,35462785,0.0,0
2015-06-11,9.0,9.155,8.976,9.085,6.8792,27397209,0.0,0
2015-06-12,9.058,9.14,8.902,9.028,6.8361,25013863,0.0,0
2015-06-15,8.873,8.948,8.77,8.854,6.7043,25377522,0.0,0
2015-06-16,8.792,8.927,8.702,8.91,6.7467,39088024,0.0,0
2015-06-17,8.931,8.98,8.815,8.844,6.6968,27845246,0.0,0
2015-06-18,8.79,8.919,8.691,8.909,6.746,51889870,0.0,0
2015-06-19,8.927,9.087,8.906,9.025,6.8338,65105586,0.0,0
2015-06-22,9.2,9.43,9.182,9.402,7.1193,103167206,0.0,0
2015-06-23,9.45,9.478,9.368,9.388,7.1087,34506363,0.0,0
2015-06-24,9.43,9.431,9.22,9.328,7.0632,50889165,0.0,0
2015-06-25,9.296,9.463,9.222,9.324,7.0602,28878396,0.0,0
2015-06-26,9.296,9.458,9.227,9.388,7.1087,23373073,0.0,0
2015-06-29,8.61,9.0,8.51,8.823,6.6809,122974887,0.0,0
2015-06-30,8.81,8.97,8.74,8.792,6.6574,72606523,0.0,0
2015-07-01,8.89,9.092,8.813,8.963,6.7869,107143021,0.0,0
2015-07-02,8.962,8.998,8.815,8.84,6.6937,104350253,0.0,0
2015-07-03,8.84,8.86,8.732,8.837,6.6915,24846207,0.0,0
2015-07-06,8.64,8.708,8.5,8.55,6.4741,101720465,0.0,0
2015-07-07,8.577,8.59,8.335,8.352,6.3242,94771184,0.0,0
2015-07-08,8.376,8.515,8.316,8.46,6.406,80802433,0.0,0
2015-07-09,8.5,8.775,8.493,8.722,6.6044,235120338,0.0,0
2015-07-10,8.94,9.079,8.898,9.019,6.8293,117786260,0.0,0
2015-07-13,9.199,9.285,9.112,9.227,6.9868,34161201,0.0,0
2015-07-14,9.187,9.279,9.139,9.279,7.0261,40851828,0.0,0
2015-07-15,9.28,9.297,9.208,9.267,7.0171,24806071,0.0,0
2015-07-16,9.259,9.39,9.255,9.366,7.1538,110001691,0.08,0
2015-07-17,9.4,9.4,9.302,9.347,7.1393,96090592,0.0,0
2015-07-20,9.342,9.464,9.342,9.397,7.1775,59442765,0.0,0
2015-07-21,9.408,9.443,9.311,9.348,7.14,86147194,0.0,0
2015-07-22,9.29,9.447,9.26,9.397,7.1775,100526697,0.0,0
2015-07-23,9.45,9.45,9.359,9.385,7.1683,141597910,0.0,0
2015-07-24,9.351,9.4,9.27,9.297,7.1011,67884611,0.0,0
2015-07-27,9.23,9.246,9.12,9.14,6.9812,88710611,0.0,0
2015-07-28,9.158,9.309,9.15,9.296,7.1003,51056144,0.0,0
2015-07-29,9.322,9.338,9.205,9.303,7.1057,29622797,0.0,0
2015-07-30,9.334,9.348,9.163,9.266,7.0774,48198384,0.0,0
2015-07-31,9.291,9.297,9.02,9.214,7.0377,32917798,0.0,0
2015-08-03,9.163,9.307,9.15,9.284,7.0911,42848572,0.0,0
2015-08-04,9.284,9.284,9.07,9.119,6.9651,29820933,0.0,0
2015-08-05,9.176,9.28,9.12,9.254,7.0682,20549380,0.0,0
2015-08-06,9.227,9.296,9.212,9.27,7.0805,15397539,0.0,0
2015-08-07,9.291,9.295,9.212,9.271,7.0812,18080862,0.0,0
2015-08-10,9.3,9.39,9.24,9.366,7.1538,17459608,0.0,0
2015-08-11,9.338,9.393,9.247,9.269,7.0797,32449452,0.0,0
2015-08-12,9.2,9.208,8.97,9.024,6.8926,27195206,0.0,0
2015-08-13,9.109,9.177,9.045,9.057,6.9178,14555228,0.0,0
2015-08-14,9.04,9.13,8.948,9.008,6.8803,28539046,0.0,0
2015-08-17,9.092,9.137,8.891,9.015,6.8857,19619257,0.0,0
2015-08-18,8.996,9.046,8.915,8.974,6.8544,13242849,0.0,0
