Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,67.26,67.38,66.44,66.98,58.65,1647816,0.0,0
2015-04-27,67.01,67.74,66.15,67.48,59.08,1836093,0.0,0
2015-04-28,66.96,67.02,65.8,66.37,58.11,1556813,0.0,0
2015-04-29,66.26,66.58,64.38,64.38,56.37,2350470,0.0,0
2015-04-30,64.13,64.73,63.73,64.51,56.48,2266949,0.0,0
2015-05-04,64.53,65.47,64.2,64.97,56.89,1158698,0.0,0
2015-05-05,65.3,65.58,63.67,63.68,55.76,1755124,0.0,0
2015-05-06,63.88,64.67,63.26,63.93,55.98,1845506,0.0,0
2015-05-07,61.77,62.45,61.03,62.14,55.72,2705118,1.5,0
2015-05-08,62.9,64.08,62.52,63.89,57.29,1816415,0.0,0
2015-05-11,63.82,63.82,62.7,62.91,56.41,1522835,0.0,0
2015-05-12,62.56,62.56,61.56,62.17,55.74,2219612,0.0,0
2015-05-13,62.37,62.78,61.72,62.01,55.6,1697838,0.0,0
2015-05-14,61.85,63.06,61.24,62.81,56.32,1226687,0.0,0
2015-05-15,62.93,63.39,62.02,62.51,56.05,1847098,0.0,0
2015-05-18,62.43,62.76,61.63,62.76,56.27,999614,0.0,0
2015-05-19,63.01,64.22,63.01,63.58,57.01,1779541,0.0,0
2015-05-20,63.47,63.86,63.1,63.6,57.03,1303673,0.0,0
2015-05-21,63.55,63.55,62.94,63.28,56.74,1265796,0.0,0
2015-05-22,63.2,63.88,62.97,63.61,57.03,1065345,0.0,0
2015-05-25,63.86,63.86,63.22,63.62,57.04,156129,0.0,0
2015-05-26,64.0,64.21,62.96,63.52,56.95,1832923,0.0,0
2015-05-27,63.7,64.49,63.38,64.32,57.67,1667428,0.0,0
2015-05-28,63.95,64.53,63.65,64.17,57.54,1374711,0.0,0
2015-05-29,64.14,64.35,62.53,62.53,56.07,2590146,0.0,0
2015-06-01,62.49,63.51,62.4,63.22,56.68,1421772,0.0,0
2015-06-02,63.6,63.6,62.28,62.58,56.11,1711338,0.0,0
2015-06-03,62.77,64.08,62.34,63.05,56.53,1770883,0.0,0
2015-06-04,62.68,63.06,61.37,62.38,55.93,1976812,0.0,0
2015-06-05,62.07,62.14,61.09,61.17,54.85,1866543,0.0,0
2015-06-08,61.26,61.55,60.59,60.79,54.51,1445778,0.0,0
2015-06-09,60.72,61.22,60.07,60.47,54.22,2457893,0.0,0
2015-06-10,60.2,61.65,59.84,61.32,54.98,2071982,0.0,0
2015-06-11,61.31,62.43,60.94,61.58,55.21,1848330,0.0,0
2015-06-12,61.55,61.55,60.01,60.68,54.41,1735627,0.0,0
