Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,58.32,59.18,58.2,58.99,46.34,5607155,0.0,0
2015-04-27,59.69,59.69,58.02,59.17,46.48,4648507,0.0,0
2015-04-28,58.87,58.9,57.93,58.61,46.04,4425097,0.0,0
2015-04-29,58.75,59.0,57.23,57.35,45.05,5588026,0.0,0
2015-04-30,57.06,57.48,55.39,56.44,44.34,7149522,0.0,0
2015-05-04,57.03,57.05,55.76,56.75,44.58,3729910,0.0,0
2015-05-05,56.6,57.43,54.92,55.04,43.24,5864295,0.0,0
2015-05-06,55.35,56.28,54.97,56.03,44.02,5721361,0.0,0
2015-05-07,55.66,56.58,54.83,56.35,44.27,5145968,0.0,0
2015-05-08,56.8,57.42,56.04,57.41,45.1,3926530,0.0,0
2015-05-11,57.23,57.35,56.59,56.86,44.67,2863698,0.0,0
2015-05-12,56.28,56.54,55.61,56.11,44.08,4207037,0.0,0
2015-05-13,56.27,56.98,55.81,55.99,43.99,4042299,0.0,0
2015-05-14,55.96,57.11,55.31,56.9,44.7,2670387,0.0,0
2015-05-15,57.34,57.82,56.31,56.74,44.58,4304316,0.0,0
2015-05-18,56.7,57.0,55.5,56.65,44.5,4135661,0.0,0
2015-05-19,56.87,57.85,56.79,57.41,45.1,3930399,0.0,0
2015-05-20,56.0,56.9,55.82,56.85,45.86,4113729,1.5,0
2015-05-21,56.84,56.84,56.05,56.47,45.55,2614831,0.0,0
2015-05-22,56.58,57.1,56.33,57.01,45.99,3153725,0.0,0
2015-05-25,56.53,56.55,55.9,56.23,45.36,837556,0.0,0
2015-05-26,56.3,56.52,55.27,55.57,44.83,3275924,0.0,0
2015-05-27,55.85,56.82,55.54,56.47,45.55,4190269,0.0,0
2015-05-28,56.21,56.54,55.54,56.15,45.29,2358958,0.0,0
2015-05-29,56.06,56.31,54.81,54.93,44.31,4481222,0.0,0
2015-06-01,55.03,55.37,54.42,54.85,44.25,3236882,0.0,0
2015-06-02,55.19,56.11,54.45,55.53,44.79,4155842,0.0,0
2015-06-03,55.6,57.0,55.6,56.77,45.8,5783887,0.0,0
2015-06-04,56.42,57.05,55.39,56.34,45.45,4377070,0.0,0
2015-06-05,55.8,56.09,54.75,55.3,44.61,4914714,0.0,0
2015-06-08,55.13,55.69,54.63,54.63,44.07,3205621,0.0,0
2015-06-09,54.5,55.01,53.64,54.39,43.88,4322799,0.0,0
2015-06-10,54.16,56.05,53.94,55.56,44.82,3721303,0.0,0
2015-06-11,55.32,56.59,55.19,56.02,45.19,3587409,0.0,0
2015-06-12,55.9,56.18,54.52,55.3,44.61,3552444,0.0,0
2015-06-15,54.41,54.94,53.51,53.96,43.53,3941510,0.0,0
2015-06-16,53.56,54.08,52.79,53.67,43.29,4399738,0.0,0
2015-06-17,53.89,54.12,53.08,53.14,42.87,3467193,0.0,0
2015-06-18,53.1,53.42,52.37,53.08,42.82,5120329,0.0,0
2015-06-19,53.32,54.15,53.01,53.61,43.25,5835862,0.0,0
2015-06-22,55.43,56.64,54.93,56.32,45.43,6507361,0.0,0
2015-06-23,56.89,57.65,56.58,57.36,46.27,4673652,0.0,0
2015-06-24,57.49,57.66,56.07,56.86,45.87,5275356,0.0,0
2015-06-25,56.28,57.84,56.24,57.03,46.0,5399979,0.0,0
2015-06-26,56.91,58.0,56.38,57.63,46.49,4038497,0.0,0
2015-06-29,54.0,55.43,53.3,54.81,44.21,8088578,0.0,0
2015-06-30,54.5,55.67,53.93,54.15,43.68,6608599,0.0,0
2015-07-01,54.84,56.49,54.43,55.37,44.67,6084451,0.0,0
2015-07-02,55.79,55.9,54.57,54.71,44.13,3194930,0.0,0
2015-07-03,54.63,54.77,53.93,54.27,43.78,3626201,0.0,0
2015-07-06,53.02,53.34,51.62,51.97,41.92,6622376,0.0,0
2015-07-07,52.3,52.35,50.39,50.5,40.74,6073910,0.0,0
2015-07-08,50.42,51.68,50.25,50.93,41.08,5806891,0.0,0
2015-07-09,51.55,52.74,51.4,52.38,42.25,5129042,0.0,0
2015-07-10,54.74,55.28,53.97,54.49,43.96,6542279,0.0,0
2015-07-13,55.58,56.18,55.14,55.77,44.99,4816310,0.0,0
2015-07-14,55.97,56.39,55.46,56.36,45.46,2598446,0.0,0
