Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,25.95,26.71,25.86,26.55,23.41,1006685,0.0,0
2015-04-27,26.7,26.81,26.11,26.67,23.51,1002329,0.0,0
2015-04-28,26.69,26.69,26.25,26.42,23.3,1395498,0.0,0
2015-04-29,26.3,26.62,25.07,25.25,22.26,1080910,0.0,0
2015-04-30,25.57,26.18,24.86,25.11,22.14,1243025,0.0,0
2015-05-01,25.2,25.22,24.67,24.83,21.89,167214,0.0,0
2015-05-05,25.0,25.45,24.66,25.02,22.06,1112030,0.0,0
2015-05-06,25.0,25.07,24.39,25.01,22.05,1084764,0.0,0
2015-05-07,25.0,25.01,24.18,24.96,22.01,762205,0.0,0
2015-05-08,25.3,26.0,24.95,25.93,22.86,987850,0.0,0
2015-05-11,26.0,26.07,25.65,25.73,22.68,579450,0.0,0
2015-05-12,25.6,25.6,25.1,25.3,22.31,847377,0.0,0
2015-05-13,25.3,25.66,24.89,24.99,22.03,1070264,0.0,0
2015-05-14,25.04,25.16,24.59,25.16,22.18,353551,0.0,0
2015-05-15,24.9,25.4,24.88,25.03,22.07,255481,0.0,0
2015-05-18,24.9,25.23,24.76,25.05,22.09,488989,0.0,0
2015-05-19,25.04,25.86,24.99,25.77,22.72,810520,0.0,0
2015-05-20,25.89,26.1,25.57,25.91,22.84,1176741,0.0,0
2015-05-21,26.08,26.08,25.73,25.93,22.87,885056,0.0,0
2015-05-22,26.0,26.09,25.6,25.74,22.69,804865,0.0,0
2015-05-25,26.1,26.1,25.38,25.62,22.59,57362,0.0,0
2015-05-26,26.05,26.05,25.06,25.11,22.14,913651,0.0,0
2015-05-27,25.02,25.96,25.02,25.94,22.87,1311801,0.0,0
2015-05-28,26.0,26.0,25.68,25.82,22.76,748493,0.0,0
2015-05-29,25.75,25.99,25.47,25.52,22.5,1354796,0.0,0
2015-06-02,25.3,25.39,24.66,24.68,21.76,1456982,0.0,0
2015-06-03,24.7,25.57,24.7,25.27,22.28,3349481,0.0,0
2015-06-04,24.93,25.14,24.44,24.82,21.88,2170524,0.0,0
2015-06-05,24.7,25.01,24.44,24.8,21.86,738640,0.0,0
2015-06-08,24.98,24.98,24.65,24.82,21.88,636915,0.0,0
2015-06-09,24.57,24.67,24.38,24.47,21.57,1075853,0.0,0
2015-06-10,24.6,25.3,24.33,25.24,22.25,1025803,0.0,0
2015-06-11,25.3,26.02,25.3,25.97,22.9,1933633,0.0,0
2015-06-12,26.5,26.5,25.26,25.52,22.5,1067503,0.0,0
2015-06-15,25.45,25.57,25.1,25.34,22.35,1467662,0.0,0
2015-06-16,25.15,25.73,18.29,25.44,22.43,905987,0.0,0
2015-06-17,25.61,26.01,25.42,25.65,22.61,1703274,0.0,0
2015-06-18,25.7,25.72,24.97,25.71,22.67,1254564,0.0,0
2015-06-19,25.62,26.47,25.62,26.2,23.1,7144185,0.0,0
2015-06-22,26.2,26.65,26.2,26.59,23.45,1522986,0.0,0
2015-06-23,26.58,27.34,26.5,27.1,23.89,1480306,0.0,0
2015-06-24,26.97,27.22,26.68,26.68,23.52,1116640,0.0,0
2015-06-25,26.57,26.83,26.4,26.45,23.32,763877,0.0,0
2015-06-26,26.3,26.5,26.06,26.24,23.13,889337,0.0,0
2015-06-29,25.48,25.89,25.38,25.52,22.5,1311589,0.0,0
2015-06-30,25.36,25.57,25.06,25.32,22.32,868674,0.0,0
2015-07-01,25.36,25.97,25.36,25.5,22.48,709519,0.0,0
