Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,87.11,88.14,85.95,87.16,67.53,3305402,0.0,0
2015-04-27,88.15,89.9,87.31,89.55,69.38,5486994,0.0,0
2015-04-28,92.1,92.7,88.18,88.93,68.9,6517129,0.0,0
2015-04-29,90.2,90.5,85.98,86.14,66.74,5764164,0.0,0
2015-04-30,86.27,87.31,84.74,86.33,66.89,5243669,0.0,0
2015-05-04,87.07,88.09,86.15,87.55,67.83,3022408,0.0,0
2015-05-05,87.18,88.97,85.12,85.25,66.05,4695912,0.0,0
2015-05-06,85.7,86.38,83.0,84.67,65.6,5161212,0.0,0
2015-05-07,84.25,85.57,83.32,85.25,66.05,4252666,0.0,0
2015-05-08,86.14,88.07,85.26,88.07,68.23,4206482,0.0,0
2015-05-11,88.22,88.22,87.15,88.06,68.23,2393788,0.0,0
2015-05-12,87.0,87.07,84.92,85.68,66.38,3940609,0.0,0
2015-05-13,85.93,86.65,83.94,84.36,65.36,3540117,0.0,0
2015-05-14,83.8,86.71,83.08,86.57,67.07,3072945,0.0,0
2015-05-15,87.06,87.21,84.62,85.03,65.88,4530216,0.0,0
2015-05-18,85.0,86.73,84.67,86.47,66.99,2999092,0.0,0
2015-05-19,87.5,89.62,87.5,89.37,69.24,5798077,0.0,0
2015-05-20,89.4,90.0,88.97,89.71,69.5,2740363,0.0,0
2015-05-21,89.6,90.05,88.84,89.97,69.71,2399024,0.0,0
2015-05-22,89.73,90.22,89.13,89.7,69.5,2455671,0.0,0
2015-05-26,90.0,91.0,87.96,88.46,68.54,3741315,0.0,0
2015-05-27,88.45,89.57,87.71,89.21,69.12,3561414,0.0,0
2015-05-28,88.39,88.87,86.83,87.58,67.85,3269862,0.0,0
2015-05-29,87.8,87.98,85.24,85.28,66.07,4485666,0.0,0
2015-06-01,86.2,86.81,85.08,85.74,66.43,3255968,0.0,0
2015-06-02,86.16,86.16,83.3,83.66,64.82,4649565,0.0,0
