Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,16.79,17.11,16.75,17.0,12.0,9466958,0.0,0
2015-04-27,17.07,17.36,16.8,17.33,12.23,9581195,0.0,0
2015-04-28,17.2,17.24,16.98,17.09,12.06,10690157,0.0,0
2015-04-29,17.25,17.33,16.5,16.5,11.64,13635094,0.0,0
2015-04-30,16.5,16.72,16.41,16.48,11.63,12228480,0.0,0
2015-05-04,16.5,17.03,16.34,16.98,11.98,10472519,0.0,0
2015-05-05,16.91,17.11,16.42,16.44,11.61,14541988,0.0,0
2015-05-06,16.47,16.57,16.02,16.48,11.63,12134603,0.0,0
2015-05-07,16.42,16.47,16.03,16.42,11.58,11947091,0.0,0
2015-05-08,16.53,16.92,16.37,16.92,11.94,10864474,0.0,0
2015-05-11,16.97,17.0,16.81,16.86,11.9,8016031,0.0,0
2015-05-12,16.64,16.76,16.42,16.6,11.71,12017601,0.0,0
2015-05-13,16.69,16.75,15.7,16.0,11.29,19095223,0.0,0
2015-05-14,15.98,16.38,15.86,16.27,11.49,11143864,0.0,0
2015-05-15,16.35,16.35,15.77,15.98,11.28,15994253,0.0,0
2015-05-18,16.08,16.52,15.99,16.44,11.6,12504251,0.0,0
2015-05-19,16.5,16.98,16.47,16.93,11.95,14400070,0.0,0
2015-05-20,16.98,17.03,16.78,16.96,11.97,10451423,0.0,0
2015-05-21,16.93,17.03,16.79,17.03,12.02,15014520,0.0,0
2015-05-22,16.55,16.6,16.18,16.25,11.82,13212112,0.5,0
2015-05-26,16.33,16.39,15.76,15.8,11.48,15410796,0.0,0
2015-05-27,15.9,16.1,15.81,16.08,11.69,14277535,0.0,0
2015-05-28,15.93,16.17,15.9,16.08,11.69,12770566,0.0,0
2015-05-29,16.05,16.13,15.65,15.65,11.37,16246380,0.0,0
2015-06-01,15.69,15.9,15.54,15.65,11.37,11501966,0.0,0
2015-06-02,15.7,15.7,15.38,15.45,11.24,11304935,0.0,0
2015-06-03,15.49,15.68,15.4,15.55,11.3,11724473,0.0,0
2015-06-04,15.77,16.08,15.65,15.75,11.45,31161031,0.0,0
2015-06-05,15.65,15.73,15.5,15.5,11.27,16023181,0.0,0
2015-06-08,15.47,15.56,15.41,15.43,11.22,16178620,0.0,0
2015-06-09,15.36,15.42,14.92,15.02,10.92,15566216,0.0,0
2015-06-10,15.0,15.43,14.91,15.34,11.15,14459767,0.0,0
2015-06-11,15.31,15.71,15.26,15.46,11.24,14338015,0.0,0
2015-06-12,15.52,15.65,15.19,15.4,11.2,14224194,0.0,0
2015-06-15,15.16,15.25,15.01,15.02,10.92,8525989,0.0,0
2015-06-16,14.9,15.1,14.73,15.03,10.93,11019292,0.0,0
2015-06-17,15.13,15.44,15.06,15.19,11.04,18300269,0.0,0
2015-06-18,15.1,15.42,14.89,15.4,11.2,14773264,0.0,0
2015-06-19,15.45,15.6,15.22,15.34,11.15,24925045,0.0,0
2015-06-22,15.74,16.19,15.7,16.16,11.75,18340369,0.0,0
2015-06-23,16.34,16.56,16.26,16.34,11.88,12973706,0.0,0
2015-06-24,16.36,16.52,16.23,16.27,11.83,14203244,0.0,0
2015-06-25,16.16,16.65,16.13,16.39,11.92,9284374,0.0,0
2015-06-26,16.23,16.39,16.2,16.28,11.84,13115750,0.0,0
2015-06-29,15.41,15.97,15.35,15.65,11.38,16763175,0.0,0
2015-06-30,15.62,15.8,15.39,15.45,11.23,16044099,0.0,0
2015-07-01,15.62,15.84,15.42,15.6,11.35,13438468,0.0,0
2015-07-02,15.59,15.73,15.48,15.5,11.27,8176635,0.0,0
2015-07-03,15.48,15.49,15.31,15.4,11.19,7739323,0.0,0
2015-07-06,15.02,15.24,14.98,15.02,10.92,11929500,0.0,0
2015-07-07,15.15,15.26,14.81,14.82,10.78,13152047,0.0,0
2015-07-08,14.88,15.06,14.82,14.98,10.89,9334080,0.0,0
2015-07-09,15.07,15.66,14.98,15.59,11.33,12191592,0.0,0
2015-07-10,15.97,16.39,15.86,16.38,11.91,15221655,0.0,0
2015-07-13,16.65,16.68,16.34,16.55,12.03,10675804,0.0,0
2015-07-14,16.55,16.68,16.46,16.68,12.13,8027663,0.0,0
2015-07-15,16.67,16.88,16.64,16.83,12.24,7807118,0.0,0
2015-07-16,16.93,17.18,16.89,17.1,12.44,9905377,0.0,0
2015-07-17,17.0,17.03,16.86,16.98,12.34,11278311,0.0,0
2015-07-20,16.95,17.29,16.95,17.11,12.44,8775093,0.0,0
2015-07-21,17.17,17.2,16.8,16.85,12.25,7483064,0.0,0
2015-07-22,16.65,17.02,16.57,16.84,12.25,6352595,0.0,0
2015-07-23,16.97,17.08,16.9,16.94,12.32,7658407,0.0,0
2015-07-24,16.94,17.15,16.85,16.85,12.25,8802296,0.0,0
2015-07-27,16.77,16.81,16.35,16.35,11.89,9829026,0.0,0
2015-07-28,16.49,16.67,16.36,16.49,11.99,8866849,0.0,0
2015-07-29,16.55,16.82,16.55,16.69,12.13,7621252,0.0,0
2015-07-30,16.74,16.75,16.3,16.43,11.95,10946271,0.0,0
2015-07-31,16.42,16.5,16.18,16.45,11.96,9925877,0.0,0
2015-08-03,16.53,17.04,16.5,16.95,12.32,12585749,0.0,0
2015-08-04,16.92,17.02,16.83,17.01,12.37,8362262,0.0,0
2015-08-05,17.1,17.3,17.07,17.29,12.57,10200606,0.0,0
2015-08-06,17.0,17.09,16.9,16.99,12.35,10911245,0.0,0
2015-08-07,16.97,17.05,16.83,16.86,12.26,7253274,0.0,0
2015-08-10,16.99,17.26,16.89,17.2,12.5,10367932,0.0,0
2015-08-11,17.2,17.27,17.02,17.04,12.39,9569892,0.0,0
