Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,113.5,114.2,112.1,114.0,106.9,455094,0.0,0
2015-04-27,113.9,115.8,111.95,114.9,107.74,475698,0.0,0
2015-04-28,114.35,114.75,110.65,111.85,104.88,461559,0.0,0
2015-04-29,112.0,112.95,108.05,108.05,101.32,595464,0.0,0
2015-04-30,108.3,109.95,105.15,108.75,101.98,680010,0.0,0
2015-05-04,108.6,110.75,107.7,110.3,103.43,434167,0.0,0
2015-05-05,110.55,112.25,106.95,106.95,100.29,628255,0.0,0
2015-05-06,107.3,108.15,105.5,107.3,100.62,544345,0.0,0
2015-05-07,106.8,107.4,104.4,106.8,100.15,722471,0.0,0
2015-05-08,107.55,111.75,107.15,111.55,104.6,735943,0.0,0
2015-05-11,111.6,111.6,109.25,109.75,102.91,433370,0.0,0
2015-05-12,109.25,109.4,106.45,107.65,100.94,564912,0.0,0
2015-05-13,108.05,109.45,105.95,106.3,99.68,428311,0.0,0
2015-05-14,105.85,109.1,105.2,108.9,102.12,334287,0.0,0
2015-05-15,109.65,110.0,107.6,108.85,102.07,568423,0.0,0
2015-05-18,108.8,109.65,106.8,108.9,102.12,392284,0.0,0
2015-05-19,108.55,111.25,108.55,110.85,104.93,477260,1.02,0
2015-05-20,111.1,111.45,109.7,111.35,105.4,331035,0.0,0
2015-05-21,110.8,111.65,110.0,111.45,105.5,296742,0.0,0
2015-05-22,111.85,113.35,111.05,113.35,107.29,520779,0.0,0
2015-05-25,113.35,113.65,111.95,112.7,106.68,108141,0.0,0
2015-05-26,113.0,113.8,111.6,112.05,106.06,533618,0.0,0
2015-05-27,112.9,113.95,112.0,113.8,107.72,455545,0.0,0
2015-05-28,113.2,114.35,113.2,113.7,107.62,426369,0.0,0
2015-05-29,114.05,114.2,111.1,111.15,105.21,839700,0.0,0
2015-06-01,111.4,112.8,110.85,111.35,105.4,426644,0.0,0
2015-06-02,112.3,112.3,109.85,110.4,104.5,536958,0.0,0
2015-06-03,110.65,112.75,109.9,111.55,105.59,476779,0.0,0
2015-06-04,110.8,112.25,108.25,111.0,105.07,509955,0.0,0
2015-06-05,110.1,110.1,108.15,108.75,102.94,451487,0.0,0
2015-06-08,108.45,109.05,107.5,107.65,101.9,421981,0.0,0
2015-06-09,107.5,107.55,105.05,106.25,100.57,591872,0.0,0
2015-06-10,105.8,109.0,105.15,108.8,102.99,503587,0.0,0
2015-06-11,108.4,111.05,108.0,109.6,103.74,472270,0.0,0
2015-06-12,109.2,110.25,107.0,107.9,102.13,521380,0.0,0
2015-06-15,106.75,107.3,105.05,105.1,99.48,632674,0.0,0
2015-06-16,104.9,106.6,103.9,106.35,100.67,679703,0.0,0
2015-06-17,106.7,106.7,104.4,104.9,99.3,620717,0.0,0
2015-06-18,104.7,106.0,103.0,105.9,100.24,586788,0.0,0
2015-06-19,106.0,108.1,105.4,106.25,100.57,872460,0.0,0
2015-06-22,108.55,110.4,108.25,110.2,104.31,767602,0.0,0
2015-06-23,111.35,112.4,110.75,111.75,105.78,574861,0.0,0
2015-06-24,111.6,112.45,110.2,112.05,106.06,561580,0.0,0
2015-06-25,110.65,112.85,110.55,112.0,106.02,668733,0.0,0
2015-06-26,111.3,114.15,110.65,112.95,106.91,639184,0.0,0
2015-06-29,107.3,111.5,106.85,108.75,102.94,1026071,0.0,0
2015-06-30,108.55,109.2,106.9,107.0,101.28,1118521,0.0,0
2015-07-01,108.3,110.65,107.05,109.25,103.41,724846,0.0,0
2015-07-02,109.5,110.15,107.3,107.3,101.57,578020,0.0,0
2015-07-03,107.1,107.85,106.5,107.15,101.42,402961,0.0,0
