Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,12.91,13.23,12.77,13.23,10.41,12125876,0.0,0
2015-04-27,13.26,13.43,12.97,13.35,10.51,9173880,0.0,0
2015-04-28,13.32,13.39,13.18,13.21,10.4,7586787,0.0,0
2015-04-29,13.2,13.43,12.87,12.87,10.13,12220064,0.0,0
2015-04-30,12.85,12.92,12.59,12.65,9.96,12324308,0.0,0
2015-05-04,12.69,12.87,12.55,12.78,10.06,6955761,0.0,0
2015-05-05,12.71,12.79,12.28,12.3,9.68,15305824,0.0,0
2015-05-06,12.33,12.43,12.24,12.38,9.75,12648778,0.0,0
2015-05-07,12.53,12.71,12.4,12.69,9.99,17541851,0.0,0
2015-05-08,12.3,12.69,12.24,12.68,10.39,17031863,0.5,0
2015-05-11,12.64,12.76,12.59,12.7,10.4,8174094,0.0,0
2015-05-12,12.57,12.64,12.4,12.56,10.29,11014540,0.0,0
2015-05-13,12.71,12.71,12.43,12.48,10.23,9776931,0.0,0
2015-05-14,12.4,12.65,12.32,12.58,10.31,7094488,0.0,0
2015-05-15,12.6,12.69,12.38,12.44,10.2,9598271,0.0,0
2015-05-18,12.44,12.51,12.28,12.44,10.2,7422199,0.0,0
2015-05-19,12.51,12.77,12.51,12.7,10.41,11455268,0.0,0
2015-05-20,12.74,12.92,12.74,12.88,10.55,9183849,0.0,0
2015-05-21,12.82,12.99,12.72,12.81,10.49,8624631,0.0,0
2015-05-22,12.83,12.91,12.7,12.73,10.43,6848075,0.0,0
2015-05-26,12.75,12.77,12.27,12.32,10.09,13417308,0.0,0
2015-05-27,12.29,12.49,12.15,12.48,10.23,19067886,0.0,0
2015-05-28,12.39,12.5,12.3,12.4,10.16,7465546,0.0,0
2015-05-29,12.42,12.43,12.1,12.12,9.93,13226353,0.0,0
2015-06-01,12.15,12.21,12.04,12.11,9.92,6266448,0.0,0
2015-06-02,12.15,12.2,11.94,12.09,9.91,7659966,0.0,0
2015-06-03,12.12,12.36,12.02,12.25,10.04,11499786,0.0,0
2015-06-04,12.21,12.26,11.9,11.91,9.76,14603351,0.0,0
2015-06-05,11.84,12.01,11.75,11.77,9.64,11443012,0.0,0
2015-06-08,11.75,11.77,11.52,11.58,9.49,9161119,0.0,0
2015-06-09,11.55,11.59,11.34,11.49,9.42,10657193,0.0,0
2015-06-10,11.45,11.8,11.4,11.75,9.62,11879613,0.0,0
2015-06-11,11.65,11.8,11.5,11.55,9.46,15516283,0.0,0
2015-06-12,11.52,11.66,11.36,11.5,9.42,13051504,0.0,0
2015-06-15,11.38,11.45,11.22,11.27,9.24,8098043,0.0,0
2015-06-16,11.22,11.27,11.02,11.23,9.2,12642343,0.0,0
