Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,45.17,46.24,45.1,45.83,34.62,4265541,0.0,0
2015-04-27,46.13,46.9,45.22,46.76,35.32,3929527,0.0,0
2015-04-28,46.55,46.56,45.65,46.22,34.91,3619177,0.0,0
2015-04-29,46.19,46.5,45.02,45.21,34.15,3785516,0.0,0
2015-04-30,45.2,45.29,44.31,44.71,33.77,6124886,0.0,0
2015-05-04,45.04,45.95,44.51,45.33,34.24,3766399,0.0,0
2015-05-05,45.78,46.26,44.62,44.76,33.81,5558080,0.0,0
2015-05-06,44.0,44.15,42.4,43.75,33.05,8086067,0.0,0
2015-05-07,42.7,43.49,42.3,43.3,32.71,6982816,0.0,0
2015-05-08,43.9,44.17,43.03,44.08,33.29,4065345,0.0,0
2015-05-11,44.22,44.39,43.65,44.15,33.34,2862819,0.0,0
2015-05-12,43.78,43.94,43.37,43.81,33.09,3769376,0.0,0
2015-05-13,43.92,44.77,43.9,44.13,33.34,3987667,0.0,0
2015-05-14,44.08,45.21,43.55,44.93,33.94,3635435,0.0,0
2015-05-15,45.4,45.64,44.39,44.65,33.73,4428138,0.0,0
2015-05-18,44.67,44.8,43.24,44.03,33.25,4354810,0.0,0
2015-05-19,44.38,44.98,44.21,44.65,33.73,3723616,0.0,0
2015-05-20,44.58,45.13,44.25,45.03,34.01,2978247,0.0,0
2015-05-21,44.96,45.01,44.51,44.97,33.97,1757228,0.0,0
2015-05-22,44.62,45.03,44.41,44.75,33.8,3270888,0.0,0
2015-05-25,44.81,44.81,44.18,44.53,33.64,978886,0.0,0
2015-05-26,43.56,43.78,42.67,43.29,33.6,5286334,1.2,0
2015-05-27,43.49,44.43,43.01,44.19,34.31,4162723,0.0,0
2015-05-28,44.02,44.12,42.96,43.54,33.8,3577502,0.0,0
2015-05-29,43.6,43.68,42.35,42.53,33.01,5190598,0.0,0
2015-06-01,42.61,42.92,42.08,42.21,32.76,3850116,0.0,0
2015-06-02,42.54,43.33,41.67,42.76,33.19,5851649,0.0,0
2015-06-03,42.94,43.85,42.74,43.31,33.62,4934263,0.0,0
2015-06-04,43.0,43.56,42.4,43.02,33.39,5026430,0.0,0
2015-06-05,42.6,42.92,41.86,42.3,32.84,4724682,0.0,0
2015-06-08,42.18,42.74,41.9,42.01,32.61,3801026,0.0,0
2015-06-09,41.95,42.38,41.31,42.19,32.75,4120639,0.0,0
2015-06-10,41.92,43.36,41.81,42.99,33.37,4235468,0.0,0
2015-06-11,42.88,44.03,42.79,43.42,33.71,4829404,0.0,0
2015-06-12,43.47,43.74,42.24,42.9,33.3,4635181,0.0,0
2015-06-15,42.29,42.6,41.49,41.91,32.53,4407605,0.0,0
2015-06-16,41.57,42.2,41.03,41.92,32.54,4919044,0.0,0
2015-06-17,42.0,42.41,41.45,41.65,32.33,3689794,0.0,0
2015-06-18,41.56,42.25,40.91,42.06,32.65,6118964,0.0,0
2015-06-19,42.22,42.85,42.04,42.4,32.92,5564874,0.0,0
2015-06-22,43.24,44.03,42.74,43.75,33.96,8811400,0.0,0
2015-06-23,44.0,44.65,43.95,44.33,34.42,6506718,0.0,0
2015-06-24,44.48,44.57,43.56,44.03,34.18,5392439,0.0,0
2015-06-25,43.7,44.66,43.56,44.13,34.26,6573273,0.0,0
2015-06-26,43.92,44.86,43.45,44.46,34.51,3738291,0.0,0
2015-06-29,42.07,42.95,41.51,42.09,32.67,7848181,0.0,0
2015-06-30,41.85,42.96,41.33,41.87,32.5,6741883,0.0,0
2015-07-01,42.56,43.78,42.21,42.97,33.36,6913364,0.0,0
2015-07-02,43.17,43.35,42.26,42.31,32.85,3362063,0.0,0
2015-07-03,42.21,42.47,41.7,41.98,32.59,3174447,0.0,0
2015-07-06,41.0,41.22,39.96,40.4,31.36,6398955,0.0,0
