Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,6.03,6.11,6.0,6.1,4.92,31749242,0.0,0.0
2015-04-27,6.1,6.17,6.04,6.13,4.95,37602702,0.0,0.0
2015-04-28,6.13,6.17,6.08,6.12,4.93,39902321,0.0,0.0
2015-04-29,6.15,6.23,6.05,6.05,4.88,29977401,0.0,0.0
2015-04-30,6.03,6.06,5.95,5.98,4.82,53894513,0.0,0.0
2015-05-04,6.01,6.06,5.95,6.01,4.84,26177999,0.0,0.0
2015-05-05,6.01,6.07,5.84,5.86,4.72,22653613,0.0,0.0
2015-05-06,5.84,5.91,5.77,5.84,4.71,27653857,0.0,0.0
2015-05-07,5.84,5.91,5.76,5.89,4.75,39865198,0.0,0.0
2015-05-08,5.98,6.09,5.96,6.09,4.91,50300709,0.0,0.0
2015-05-11,6.09,6.13,6.06,6.11,4.93,40311494,0.0,0.0
2015-05-12,6.08,6.11,6.01,6.11,4.93,28291221,0.0,0.0
2015-05-13,6.12,6.2,6.09,6.16,4.97,41515234,0.0,0.0
2015-05-14,6.13,6.2,6.09,6.19,4.99,16285337,0.0,0.0
2015-05-15,6.2,6.24,6.16,6.2,5.0,37776622,0.0,0.0
2015-05-18,6.19,6.21,6.14,6.21,5.01,19471566,0.0,0.0
2015-05-19,6.25,6.33,6.23,6.33,5.11,26403647,0.0,0.0
2015-05-20,6.33,6.45,6.33,6.44,5.19,23382267,0.0,0.0
2015-05-21,6.41,6.46,6.4,6.44,5.19,35508405,0.0,0.0
2015-05-22,6.44,6.46,6.39,6.41,5.17,23031107,0.0,0.0
2015-05-25,6.34,6.35,6.14,6.24,5.03,21688401,0.0,0.0
2015-05-26,6.2,6.28,6.16,6.21,5.0,50686026,0.0,0.0
2015-05-27,6.24,6.35,6.23,6.32,5.1,23417933,0.0,0.0
2015-05-28,6.29,6.35,6.28,6.35,5.12,22334857,0.0,0.0
2015-05-29,6.34,6.37,6.28,6.3,5.08,49883103,0.0,0.0
2015-06-01,6.33,6.36,6.28,6.3,5.08,17836411,0.0,0.0
2015-06-02,6.34,6.34,6.22,6.26,5.05,24096786,0.0,0.0
2015-06-03,6.27,6.32,6.22,6.26,5.05,12156918,0.0,0.0
2015-06-04,6.22,6.22,6.13,6.16,4.97,28448708,0.0,0.0
2015-06-05,6.12,6.16,6.1,6.11,4.93,19563604,0.0,0.0
2015-06-08,6.09,6.11,6.05,6.08,4.91,23828053,0.0,0.0
2015-06-09,6.07,6.08,5.99,6.05,4.88,31197053,0.0,0.0
2015-06-10,6.02,6.15,6.0,6.14,4.95,33151677,0.0,0.0
2015-06-11,6.14,6.23,6.11,6.17,4.98,23414967,0.0,0.0
2015-06-12,6.15,6.19,6.06,6.14,4.95,17942782,0.0,0.0
2015-06-15,6.07,6.09,5.98,6.01,4.85,23284292,0.0,0.0
2015-06-16,5.97,6.05,5.92,6.04,4.87,32100865,0.0,0.0
2015-06-17,6.06,6.07,5.99,6.02,4.85,21499296,0.0,0.0
2015-06-18,6.02,6.06,5.93,6.05,4.88,28336698,0.0,0.0
2015-06-19,6.03,6.14,6.02,6.06,4.88,47844861,0.0,0.0
2015-06-22,6.23,6.38,6.2,6.36,5.13,87874656,0.0,0.0
2015-06-23,6.4,6.41,6.32,6.33,5.1,36009849,0.0,0.0
2015-06-24,6.36,6.36,6.26,6.34,5.11,58458719,0.0,0.0
2015-06-25,6.3,6.42,6.28,6.34,5.11,67152355,0.0,0.0
2015-06-26,6.27,6.37,6.26,6.35,5.12,89076673,0.0,0.0
2015-06-29,6.05,6.2,6.0,6.11,4.92,52262558,0.0,0.0
2015-06-30,6.07,6.16,6.03,6.04,4.87,34868891,0.0,0.0
2015-07-01,6.09,6.19,6.04,6.1,4.92,30238532,0.0,0.0
2015-07-02,6.12,6.2,6.1,6.16,4.97,23401252,0.0,0.0
2015-07-03,6.07,6.09,5.97,6.0,4.86,50788355,0.03,0.0
2015-07-06,5.88,5.98,5.85,5.88,4.76,33253740,0.0,0.0
2015-07-07,5.86,5.91,5.8,5.81,4.71,70064863,0.0,0.0
2015-07-08,5.8,5.91,5.8,5.88,4.77,39692654,0.0,0.0
2015-07-09,5.89,6.08,5.88,6.04,4.89,28657828,0.0,0.0
2015-07-10,6.15,6.21,6.12,6.2,5.02,54911772,0.0,0.0
2015-07-13,6.22,6.22,6.18,6.2,5.03,59456051,0.0,0.0
2015-07-14,6.19,6.22,6.15,6.22,5.04,59039644,0.0,0.0
2015-07-15,6.24,6.36,6.24,6.33,5.13,53260478,0.0,0.0
2015-07-16,6.38,6.43,6.36,6.41,5.19,28783694,0.0,0.0
2015-07-17,6.45,6.45,6.4,6.4,5.19,29121579,0.0,0.0
2015-07-20,6.45,6.49,6.44,6.46,5.23,16995571,0.0,0.0
2015-07-21,6.46,6.49,6.4,6.41,5.19,28100426,0.0,0.0
2015-07-22,6.4,6.46,6.35,6.45,5.22,19450697,0.0,0.0
2015-07-23,6.47,6.48,6.39,6.42,5.2,85757585,0.0,0.0
2015-07-24,6.43,6.47,6.38,6.39,5.18,12859848,0.0,0.0
2015-07-27,6.36,6.38,6.33,6.34,5.14,17438641,0.0,0.0
2015-07-28,6.36,6.41,6.35,6.37,5.16,18518594,0.0,0.0
2015-07-29,6.4,6.42,6.33,6.4,5.19,25097284,0.0,0.0
2015-07-30,6.45,6.46,6.36,6.41,5.19,15825581,0.0,0.0
2015-07-31,6.42,6.44,6.34,6.42,5.21,14308511,0.0,0.0
2015-08-03,6.43,6.48,6.41,6.47,5.24,16839431,0.0,0.0
2015-08-04,6.44,6.46,6.39,6.42,5.2,44161404,0.0,0.0
2015-08-05,6.44,6.47,6.42,6.47,5.24,12955848,0.0,0.0
2015-08-06,6.46,6.49,6.44,6.45,5.23,10624407,0.0,0.0
2015-08-07,6.44,6.44,6.38,6.39,5.18,44369367,0.0,0.0
2015-08-10,6.43,6.47,6.37,6.45,5.23,10427133,0.0,0.0
