Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,183.95,184.0,180.4,181.85,151.6,1421732,7.75,0
2015-04-27,181.2,183.45,177.6,182.35,152.02,1204503,0.0,0
2015-04-28,180.75,181.3,177.65,178.75,149.02,949510,0.0,0
2015-04-29,179.0,179.45,173.6,175.5,146.31,1223347,0.0,0
2015-04-30,174.85,177.05,173.4,174.9,145.81,1198092,0.0,0
2015-05-04,175.1,176.15,172.65,175.55,146.35,710672,0.0,0
2015-05-05,175.5,176.4,171.8,172.1,143.48,1162810,0.0,0
2015-05-06,171.05,174.5,170.35,173.35,144.52,1156280,0.0,0
2015-05-07,171.5,174.8,168.7,173.35,144.52,1333252,0.0,0
2015-05-08,172.95,175.15,170.8,174.6,145.56,912490,0.0,0
2015-05-11,174.25,174.5,173.1,173.65,144.77,667500,0.0,0
2015-05-12,172.25,173.0,171.2,172.2,143.56,879208,0.0,0
2015-05-13,173.1,174.1,170.55,171.5,142.98,814010,0.0,0
2015-05-14,171.2,173.9,170.05,173.15,144.35,786809,0.0,0
2015-05-15,173.9,174.95,171.7,172.5,143.81,890539,0.0,0
2015-05-18,173.1,173.75,170.3,173.1,144.31,636958,0.0,0
2015-05-19,174.2,176.0,174.1,175.3,146.14,1000862,0.0,0
2015-05-20,175.3,175.95,174.35,175.0,145.89,647511,0.0,0
2015-05-21,174.85,175.75,174.35,175.6,146.39,429003,0.0,0
2015-05-22,176.0,176.15,174.8,175.0,145.89,482744,0.0,0
2015-05-26,175.4,176.35,172.4,173.25,144.43,775448,0.0,0
2015-05-27,171.45,174.0,170.55,173.5,144.64,1034294,0.0,0
2015-05-28,173.0,173.1,170.7,171.35,142.85,801289,0.0,0
2015-05-29,171.75,171.75,167.75,168.0,140.06,1234441,0.0,0
2015-06-01,167.25,167.45,162.5,166.95,139.18,1273224,0.0,0
2015-06-02,166.9,167.9,165.55,166.7,138.97,805366,0.0,0
2015-06-03,167.7,168.5,166.35,167.45,139.6,792028,0.0,0
2015-06-04,166.75,167.8,163.9,166.05,138.43,1098532,0.0,0
2015-06-05,164.5,166.45,164.45,165.15,137.68,1048143,0.0,0
2015-06-08,164.75,165.65,162.8,162.8,135.72,1008588,0.0,0
2015-06-09,162.3,163.05,160.35,161.8,134.89,1099052,0.0,0
2015-06-10,161.8,165.15,160.85,164.3,136.97,1267435,0.0,0
2015-06-11,164.05,168.1,163.8,165.85,138.27,1195188,0.0,0
2015-06-12,166.0,166.1,162.05,163.85,136.6,947629,0.0,0
2015-06-15,162.0,162.7,160.45,161.3,134.47,953075,0.0,0
