Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,95.78,96.11,94.88,95.86,78.99,2766842,0.0,0
2015-04-27,95.74,97.67,94.32,97.33,80.2,2829637,0.0,0
2015-04-28,96.71,96.71,93.21,94.15,77.58,3587195,0.0,0
2015-04-29,94.15,94.54,91.56,91.56,75.45,3943993,0.0,0
2015-04-30,92.5,92.79,90.22,91.2,75.15,4608105,0.0,0
2015-05-04,91.08,93.11,90.26,92.29,76.05,2401056,0.0,0
2015-05-05,92.43,93.46,89.8,90.04,74.2,3454578,0.0,0
2015-05-06,90.17,90.96,89.02,90.44,74.53,3207501,0.0,0
2015-05-07,89.8,90.39,87.98,89.89,74.07,4050281,0.0,0
2015-05-08,90.18,91.88,89.3,91.69,75.56,3988573,0.0,0
2015-05-11,88.93,89.27,88.13,88.93,75.63,2910606,2.85,0
2015-05-12,88.88,89.15,87.03,88.69,75.43,3484002,0.0,0
2015-05-13,89.1,90.18,87.9,88.19,75.0,3061710,0.0,0
2015-05-14,87.46,89.62,87.04,89.26,75.91,1857822,0.0,0
2015-05-15,89.9,89.95,87.96,88.08,74.91,3962531,0.0,0
2015-05-18,88.1,89.23,87.25,89.23,75.89,2329362,0.0,0
2015-05-19,89.81,91.53,89.81,91.35,77.69,3136271,0.0,0
2015-05-20,91.68,91.8,90.57,91.57,77.88,1979618,0.0,0
2015-05-21,91.66,92.45,91.1,92.38,78.57,1930066,0.0,0
2015-05-22,91.87,92.71,91.82,92.3,78.5,2013267,0.0,0
2015-05-25,91.55,91.87,90.98,91.33,77.67,474075,0.0,0
2015-05-26,91.3,92.07,90.24,90.64,77.09,2389338,0.0,0
2015-05-27,91.16,93.58,90.51,93.53,79.54,3673798,0.0,0
2015-05-28,93.07,93.31,91.89,92.27,78.47,2554925,0.0,0
2015-05-29,92.21,92.5,89.15,89.15,75.82,5570898,0.0,0
2015-06-01,90.01,91.18,89.74,90.06,76.59,3047209,0.0,0
2015-06-02,90.65,90.66,88.75,89.64,76.24,2905541,0.0,0
2015-06-03,89.9,92.02,89.75,91.12,77.49,3847680,0.0,0
2015-06-04,91.38,92.43,89.27,91.15,77.52,4035858,0.0,0
2015-06-05,90.05,90.46,88.95,89.14,75.81,3426353,0.0,0
2015-06-08,88.9,89.42,88.09,88.09,74.92,2454545,0.0,0
2015-06-09,87.91,88.5,87.0,87.85,74.71,3768126,0.0,0
2015-06-10,87.73,89.61,87.17,89.24,75.9,3487108,0.0,0
2015-06-11,88.92,91.54,88.82,90.45,76.92,3803988,0.0,0
2015-06-12,90.05,90.98,88.52,89.2,75.86,4131686,0.0,0
2015-06-15,88.52,88.81,87.1,87.1,74.08,3601035,0.0,0
2015-06-16,86.87,88.02,86.37,87.58,74.48,3058479,0.0,0
2015-06-17,87.49,87.58,85.95,86.04,73.17,3189187,0.0,0
2015-06-18,85.95,86.46,84.9,86.37,73.46,3906121,0.0,0
2015-06-19,86.45,87.93,86.22,86.42,73.5,7154169,0.0,0
2015-06-22,89.0,91.02,88.21,90.8,77.22,4216194,0.0,0
2015-06-23,91.35,92.64,90.89,92.07,78.3,3161198,0.0,0
2015-06-24,92.7,92.93,91.63,92.6,78.75,4275120,0.0,0
2015-06-25,91.75,93.4,91.42,92.35,78.54,3522336,0.0,0
2015-06-26,91.93,93.87,91.55,92.96,79.06,3045494,0.0,0
2015-06-29,89.07,91.07,88.84,89.53,76.14,4872805,0.0,0
2015-06-30,89.27,90.74,88.12,88.24,75.05,5666647,0.0,0
2015-07-01,89.04,90.81,88.15,89.7,76.29,4808663,0.0,0
2015-07-02,90.5,90.82,89.02,89.08,75.76,2672785,0.0,0
2015-07-03,88.86,89.15,87.65,88.18,74.99,2142661,0.0,0
2015-07-06,86.37,88.35,86.1,87.16,74.13,3487545,0.0,0
2015-07-07,87.85,87.87,86.01,86.03,73.17,4283176,0.0,0
2015-07-08,86.09,87.44,86.04,87.02,74.01,3291503,0.0,0
2015-07-09,87.45,89.63,86.9,89.38,76.01,2851946,0.0,0
2015-07-10,91.56,92.98,90.86,92.47,78.64,4145013,0.0,0
2015-07-13,94.59,95.42,94.32,95.02,80.81,4427290,0.0,0
2015-07-14,95.22,96.62,94.93,96.62,82.17,2647738,0.0,0
2015-07-15,96.38,97.44,95.89,97.4,82.84,3153429,0.0,0
2015-07-16,97.5,99.38,97.5,98.79,84.02,3620315,0.0,0
2015-07-17,98.97,99.47,98.53,99.06,84.25,2762525,0.0,0
2015-07-20,98.0,99.83,97.93,98.49,83.76,2491815,0.0,0
2015-07-21,98.67,98.92,97.09,97.4,82.84,2717824,0.0,0
2015-07-22,96.8,97.92,96.74,97.45,82.88,1754939,0.0,0
2015-07-23,98.49,98.71,97.38,98.25,83.56,2239764,0.0,0
2015-07-24,97.7,99.1,97.7,98.17,83.49,2611024,0.0,0
2015-07-27,97.27,97.65,96.1,96.1,81.73,3176720,0.0,0
2015-07-28,96.33,97.5,96.21,96.88,82.39,2297688,0.0,0
2015-07-29,97.53,98.0,97.01,98.0,83.35,2174250,0.0,0
2015-07-30,99.12,99.52,96.12,97.77,83.15,2852098,0.0,0
2015-07-31,97.84,98.0,96.82,97.97,83.32,3006003,0.0,0
2015-08-03,98.0,98.98,97.75,98.64,83.89,2465549,0.0,0
2015-08-04,98.09,98.47,97.6,98.17,83.49,2109771,0.0,0
2015-08-05,98.35,100.8,98.18,100.65,85.6,2802472,0.0,0
2015-08-06,100.25,101.1,99.98,100.3,85.3,1391735,0.0,0
2015-08-07,99.8,99.98,98.2,98.24,83.55,2382425,0.0,0
2015-08-10,98.95,99.87,98.09,99.75,84.83,1473659,0.0,0
2015-08-11,99.46,99.72,98.26,98.42,83.7,1923997,0.0,0
2015-08-12,97.45,97.5,94.08,94.39,80.28,3811140,0.0,0
2015-08-13,95.95,96.24,95.4,95.75,81.43,2445205,0.0,0
2015-08-14,95.7,96.35,94.02,94.06,80.0,2260237,0.0,0
2015-08-17,95.03,95.87,93.69,94.99,80.79,2304878,0.0,0
2015-08-18,94.88,95.82,94.71,95.29,81.04,1341864,0.0,0
2015-08-19,94.56,94.95,93.39,93.39,79.43,2170598,0.0,0
2015-08-20,93.04,93.63,91.63,91.92,78.18,2874183,0.0,0
2015-08-21,90.09,91.47,88.26,88.26,75.06,4914332,0.0,0
2015-08-24,84.5,86.94,80.19,83.64,71.13,9485125,0.0,0
2015-08-25,84.25,87.58,84.16,86.65,73.69,5956720,0.0,0
2015-08-26,85.12,86.71,83.5,85.0,72.29,4581689,0.0,0
2015-08-27,87.45,88.95,87.07,88.56,75.32,3705821,0.0,0
2015-08-28,88.15,88.44,87.43,88.44,75.22,1961304,0.0,0
2015-08-31,87.98,88.55,87.36,88.17,74.99,2430374,0.0,0
2015-09-01,86.17,86.42,84.69,86.0,73.14,3807916,0.0,0
2015-09-02,86.4,87.97,86.19,87.24,74.19,3093789,0.0,0
2015-09-03,88.46,90.53,88.17,89.51,76.13,3377468,0.0,0
2015-09-04,89.19,89.19,86.59,87.17,74.14,3028234,0.0,0
2015-09-07,88.37,89.28,87.62,88.22,75.03,1433643,0.0,0
2015-09-08,89.39,90.47,88.67,88.7,75.44,2946868,0.0,0
2015-09-09,90.84,91.81,89.94,89.94,76.49,3122213,0.0,0
2015-09-10,89.01,90.21,88.37,88.48,75.25,2732714,0.0,0
2015-09-11,88.58,88.81,87.4,88.02,74.86,2284897,0.0,0
2015-09-14,88.4,89.44,87.63,87.63,74.53,1924392,0.0,0
2015-09-15,87.88,88.93,87.64,87.99,74.83,2377898,0.0,0
2015-09-16,88.75,89.67,88.55,89.55,76.16,2067110,0.0,0
2015-09-17,90.14,90.18,88.81,89.22,75.88,1842628,0.0,0
2015-09-18,88.88,89.22,86.56,87.88,74.74,8402421,0.0,0
2015-09-21,87.6,89.92,87.3,89.43,76.06,2277327,0.0,0
2015-09-22,88.58,89.07,85.21,85.49,72.71,3932224,0.0,0
2015-09-23,85.68,87.12,85.36,85.7,72.89,3093007,0.0,0
2015-09-24,85.72,86.2,83.42,84.4,71.78,3727895,0.0,0
2015-09-25,86.17,88.16,85.9,87.01,74.0,3532613,0.0,0
2015-09-28,86.0,86.87,84.24,84.44,71.81,3687721,0.0,0
2015-09-29,82.81,83.64,82.01,83.09,70.67,3998851,0.0,0
2015-09-30,84.71,86.02,84.37,84.89,72.2,3653004,0.0,0
2015-10-01,86.22,86.22,84.35,84.61,71.96,3194214,0.0,0
2015-10-02,85.91,86.26,83.47,84.98,72.27,3170361,0.0,0
2015-10-05,86.47,88.28,86.25,87.62,74.52,2756688,0.0,0
2015-10-06,87.86,88.21,87.03,87.3,74.25,2634544,0.0,0
2015-10-07,87.43,87.51,84.83,85.3,72.55,3857069,0.0,0
2015-10-08,85.49,86.65,85.37,86.1,73.23,2864886,0.0,0
2015-10-09,86.89,86.92,85.54,86.03,73.17,2258304,0.0,0
2015-10-12,86.2,87.39,84.98,87.18,74.14,2976475,0.0,0
2015-10-13,86.75,87.41,85.72,86.15,73.27,2971475,0.0,0
2015-10-14,85.58,85.9,84.78,84.95,72.25,2671971,0.0,0
2015-10-15,86.0,88.42,85.81,88.05,74.88,3282169,0.0,0
2015-10-16,88.64,88.9,87.77,88.71,75.45,2686533,0.0,0
2015-10-19,88.35,89.46,88.0,89.11,75.79,1812111,0.0,0
2015-10-20,89.18,89.44,87.24,87.29,74.24,2493213,0.0,0
2015-10-21,87.25,87.71,86.34,87.0,73.99,1891518,0.0,0
2015-10-22,87.1,89.65,86.5,89.23,75.89,3166246,0.0,0
2015-10-23,90.29,92.93,89.9,92.45,78.63,3514177,0.0,0
2015-10-26,92.5,92.56,91.09,91.85,78.12,2294697,0.0,0
2015-10-27,91.44,91.98,91.01,91.53,77.84,2029845,0.0,0
2015-10-28,92.0,93.77,92.0,93.3,79.35,2382085,0.0,0
2015-10-29,89.58,90.99,88.0,90.99,77.38,5504886,0.0,0
2015-10-30,90.0,91.96,90.0,91.85,78.12,2464883,0.0,0
2015-11-02,90.44,92.8,90.24,91.83,78.1,2537430,0.0,0
2015-11-03,92.1,92.5,91.5,91.8,78.07,2345035,0.0,0
2015-11-04,91.95,92.84,91.69,91.8,78.07,2387270,0.0,0
2015-11-05,92.43,93.82,92.21,93.28,79.33,2721053,0.0,0
2015-11-06,90.0,90.07,86.56,86.9,73.91,7595051,0.0,0
2015-11-09,85.91,86.1,83.92,84.14,71.56,4685246,0.0,0
2015-11-10,84.53,85.03,83.66,83.9,71.35,2773793,0.0,0
2015-11-11,84.0,85.05,83.98,84.18,71.59,2703304,0.0,0
2015-11-12,83.5,83.89,81.3,81.36,69.19,4576082,0.0,0
2015-11-13,81.0,81.23,79.81,80.67,68.61,4143724,0.0,0
2015-11-16,80.47,81.64,79.91,80.11,68.13,3133157,0.0,0
2015-11-17,80.61,82.73,80.41,82.64,70.28,4065889,0.0,0
2015-11-18,82.0,83.08,81.5,83.08,70.66,3074540,0.0,0
2015-11-19,83.5,84.08,82.14,82.42,70.1,2574386,0.0,0
2015-11-20,82.79,83.72,82.15,83.09,70.67,3012336,0.0,0
2015-11-23,83.21,83.61,82.01,82.97,70.56,2165879,0.0,0
2015-11-24,82.29,82.29,80.9,81.78,69.55,3184069,0.0,0
2015-11-25,82.08,83.96,81.75,83.34,70.88,3092462,0.0,0
2015-11-26,83.3,84.39,83.12,84.01,71.45,1530566,0.0,0
2015-11-27,83.73,84.55,83.46,83.83,71.29,1669744,0.0,0
2015-11-30,83.79,84.81,83.22,84.38,71.76,2245981,0.0,0
2015-12-01,84.48,84.53,83.22,83.65,71.14,2277796,0.0,0
2015-12-02,83.65,84.12,83.0,83.08,70.66,2052604,0.0,0
2015-12-03,82.85,84.66,79.81,79.83,67.89,4879825,0.0,0
2015-12-04,79.12,79.52,77.81,79.26,67.41,4419157,0.0,0
2015-12-07,79.87,81.45,79.62,80.18,68.19,2369271,0.0,0
2015-12-08,79.9,80.24,78.26,78.66,66.9,3002900,0.0,0
2015-12-09,78.68,79.39,77.05,77.27,65.72,3994990,0.0,0
2015-12-10,76.48,77.08,75.82,76.76,65.28,4115574,0.0,0
2015-12-11,76.58,77.46,76.19,76.42,64.99,3898766,0.0,0
2015-12-14,76.86,77.94,74.59,74.73,63.56,4181586,0.0,0
2015-12-15,76.97,79.11,76.66,78.72,66.95,5861339,0.0,0
2015-12-16,79.09,79.9,78.11,78.72,66.95,3693720,0.0,0
2015-12-17,80.8,80.9,79.26,79.4,67.53,4257116,0.0,0
2015-12-18,78.81,79.78,78.18,78.75,66.97,6374644,0.0,0
2015-12-21,78.32,79.64,77.79,77.79,66.16,3105924,0.0,0
2015-12-22,78.04,78.26,76.98,77.81,66.18,2211047,0.0,0
2015-12-23,78.62,80.45,78.53,79.96,68.0,2668884,0.0,0
2015-12-24,78.52,79.17,78.0,79.09,67.26,764225,0.0,0
2015-12-28,78.96,79.16,78.31,78.54,66.8,1404838,0.0,0
2015-12-29,79.37,80.19,79.18,80.1,68.12,1597326,0.0,0
2015-12-30,80.09,80.32,79.61,79.71,67.79,1324001,0.0,0
2016-01-04,77.93,78.08,76.35,77.57,65.97,3368352,0.0,0
2016-01-05,79.07,79.13,77.04,78.49,66.75,2387761,0.0,0
2016-01-06,78.02,78.7,76.8,77.43,65.85,2173166,0.0,0
2016-01-07,75.16,77.27,74.99,76.59,65.14,3777580,0.0,0
2016-01-08,76.59,76.87,74.66,74.67,63.5,3394892,0.0,0
2016-01-11,74.33,75.52,73.65,73.65,62.64,3094715,0.0,0
2016-01-12,73.55,75.22,73.3,74.35,63.23,3258441,0.0,0
2016-01-13,75.3,75.77,74.27,74.68,63.51,2656567,0.0,0
2016-01-14,73.58,73.87,71.53,73.3,62.34,3885968,0.0,0
2016-01-15,73.11,73.64,71.01,71.5,60.81,5784765,0.0,0
2016-01-18,70.99,72.77,70.94,72.27,61.46,3244731,0.0,0
2016-01-19,73.7,75.44,73.44,74.79,63.61,4357476,0.0,0
2016-01-20,72.8,73.66,72.01,73.19,62.25,5152193,0.0,0
2016-01-21,73.32,75.65,73.26,74.45,63.32,5035951,0.0,0
2016-01-22,75.38,76.63,74.83,76.2,64.81,4362204,0.0,0
2016-01-25,76.6,76.69,75.69,76.39,64.97,3317611,0.0,0
2016-01-26,75.11,77.29,75.11,76.88,65.38,3436597,0.0,0
2016-01-27,76.73,77.51,76.48,77.16,65.62,3426853,0.0,0
2016-01-28,76.81,77.07,74.18,75.03,63.81,3515202,0.0,0
2016-01-29,75.9,76.55,75.02,76.55,65.1,4020556,0.0,0
2016-02-01,76.84,77.11,76.04,76.75,65.27,2895875,0.0,0
2016-02-02,76.18,76.52,74.65,75.27,64.01,3597230,0.0,0
2016-02-03,73.8,74.45,72.7,73.48,62.49,4242850,0.0,0
