Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,68.84,69.78,68.72,69.12,64.18,2721746,0.0,0
2015-04-27,69.63,70.81,68.8,70.72,65.67,3937112,0.0,0
2015-04-28,70.2,70.54,69.52,69.81,64.82,3548201,0.0,0
2015-04-29,69.58,69.99,68.48,68.62,63.72,4461943,0.0,0
2015-04-30,68.29,68.86,67.76,67.93,63.08,5040151,0.0,0
2015-05-04,67.52,68.84,67.36,68.46,63.57,2507081,0.0,0
2015-05-05,68.19,69.04,66.66,66.75,61.98,4343280,0.0,0
2015-05-06,66.4,67.04,65.62,66.29,61.55,3707940,0.0,0
2015-05-07,65.87,67.38,65.21,67.18,62.38,4132214,0.0,0
2015-05-08,67.0,67.97,66.56,67.92,63.07,3698183,0.0,0
2015-05-11,67.53,68.02,67.31,67.99,63.13,1788011,0.0,0
2015-05-12,67.39,67.53,66.47,67.02,62.23,3126587,0.0,0
2015-05-13,67.52,67.93,66.57,66.82,62.05,2380269,0.0,0
2015-05-14,66.41,67.88,66.12,67.83,62.98,1875846,0.0,0
2015-05-15,68.1,68.2,67.03,67.48,62.66,3795333,0.0,0
2015-05-18,67.29,68.02,66.84,68.02,63.16,3671548,0.0,0
2015-05-19,68.25,69.16,68.25,69.06,64.13,5065370,0.0,0
2015-05-20,69.18,69.38,68.67,69.19,64.25,3286441,0.0,0
2015-05-21,68.17,68.46,67.56,68.3,64.45,3300429,1.1,0
2015-05-22,68.15,68.37,67.85,68.02,64.18,1910842,0.0,0
2015-05-26,68.06,68.58,67.03,67.3,63.5,3095363,0.0,0
2015-05-27,67.76,68.38,67.48,68.15,64.3,3370430,0.0,0
2015-05-28,67.94,68.6,67.8,68.12,64.28,2412361,0.0,0
2015-05-29,68.0,68.23,67.18,67.39,63.59,7713801,0.0,0
2015-06-01,67.4,67.96,67.2,67.6,63.79,2930403,0.0,0
2015-06-02,67.77,67.78,66.86,67.2,63.41,2685217,0.0,0
2015-06-03,67.26,67.59,66.92,67.36,63.56,3021899,0.0,0
2015-06-04,67.07,67.51,65.99,66.82,63.05,2686989,0.0,0
2015-06-05,66.55,66.71,66.0,66.31,62.57,3038211,0.0,0
2015-06-08,66.1,66.17,65.53,65.65,61.95,2349989,0.0,0
2015-06-09,65.28,65.28,64.12,64.83,61.17,3246034,0.0,0
2015-06-10,64.5,65.52,64.26,65.3,61.62,3322415,0.0,0
2015-06-11,65.38,66.61,65.11,66.02,62.29,2361569,0.0,0
2015-06-12,65.9,66.47,64.91,65.41,61.72,2655252,0.0,0
2015-06-15,64.51,64.78,64.06,64.26,60.63,3147201,0.0,0
2015-06-16,64.16,64.82,63.44,64.7,61.05,2852737,0.0,0
2015-06-17,64.87,65.14,64.31,64.51,60.87,2195392,0.0,0
2015-06-18,63.56,64.22,63.07,64.1,60.48,3540914,0.0,0
2015-06-19,64.58,65.23,63.73,63.99,60.38,6162901,0.0,0
2015-06-22,65.67,66.3,65.13,66.29,62.55,3962425,0.0,0
2015-06-23,66.94,67.25,66.59,66.64,62.88,2546323,0.0,0
2015-06-24,66.79,66.94,65.34,66.08,62.35,2854109,0.0,0
2015-06-25,65.65,67.0,65.28,66.0,62.28,2357541,0.0,0
2015-06-26,65.44,66.04,65.04,65.67,61.96,2169526,0.0,0
2015-06-29,62.93,64.79,62.5,63.62,60.03,4174279,0.0,0
2015-06-30,63.26,63.53,62.38,62.6,59.07,5552758,0.0,0
2015-07-01,63.28,64.18,62.7,63.63,60.04,3706082,0.0,0
2015-07-02,63.74,63.85,62.83,63.0,59.44,1880628,0.0,0
2015-07-03,62.9,63.12,62.1,62.46,58.94,1823025,0.0,0
2015-07-06,61.13,62.16,60.9,61.58,58.11,3434698,0.0,0
2015-07-07,63.15,63.19,61.21,61.29,57.83,4749254,0.0,0
2015-07-08,61.66,62.56,61.55,62.39,58.87,3881031,0.0,0
