Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,40.6,41.2,40.55,41.07,35.58,1891374,0.0,0
2015-04-27,41.1,41.92,40.41,41.67,36.1,2111224,0.0,0
2015-04-28,41.55,41.62,40.31,40.49,35.08,2207608,0.0,0
2015-04-29,41.64,41.85,39.77,40.0,34.65,3139971,0.0,0
2015-04-30,40.04,40.83,39.69,40.7,35.26,2669534,0.0,0
2015-05-04,40.76,41.45,40.29,41.14,35.64,1493833,0.0,0
2015-05-05,41.3,41.72,40.31,40.4,34.99,2149267,0.0,0
2015-05-06,40.3,40.67,39.88,40.4,35.0,1759216,0.0,0
2015-05-07,39.72,40.37,39.19,40.13,34.77,2405055,0.0,0
2015-05-08,40.5,41.57,40.42,41.42,35.88,2095002,0.0,0
2015-05-11,41.26,41.46,41.02,41.25,35.73,1168965,0.0,0
2015-05-12,40.8,41.24,40.21,41.11,35.61,2091346,0.0,0
2015-05-13,41.19,41.81,40.91,41.08,35.59,1954831,0.0,0
2015-05-14,40.47,40.97,40.01,40.85,35.38,2911842,0.0,0
2015-05-15,40.95,41.36,40.38,40.67,35.23,2250355,0.0,0
2015-05-18,40.88,41.11,40.27,41.09,35.59,2237219,0.0,0
2015-05-19,41.22,42.08,41.19,42.02,36.4,2632434,0.0,0
2015-05-20,41.94,42.57,41.67,42.53,36.84,1917648,0.0,0
2015-05-21,42.59,43.35,42.51,43.22,37.44,3209564,0.0,0
2015-05-22,43.23,43.47,43.06,43.31,37.52,2133667,0.0,0
2015-05-25,42.97,43.1,42.76,43.06,37.3,255522,0.0,0
2015-05-26,43.01,43.63,42.58,43.13,37.36,2453427,0.0,0
2015-05-27,43.34,44.0,43.03,43.79,37.93,2698638,0.0,0
2015-05-28,43.49,43.63,43.0,43.56,37.74,2058298,0.0,0
2015-05-29,43.38,43.54,42.38,42.43,36.76,3910609,0.0,0
2015-06-01,42.78,42.9,42.1,42.31,36.66,1927056,0.0,0
2015-06-02,42.67,42.69,41.67,42.1,36.47,2932122,0.0,0
2015-06-03,42.12,42.8,41.94,42.41,36.74,2022431,0.0,0
2015-06-04,42.31,43.01,41.47,42.44,36.77,3300567,0.0,0
2015-06-05,42.28,42.97,42.02,42.59,36.89,3109462,0.0,0
2015-06-08,42.58,42.95,42.26,42.53,36.84,3336231,0.0,0
2015-06-09,42.28,42.47,41.6,41.92,36.32,4013505,0.0,0
2015-06-10,40.67,41.74,40.15,41.54,36.53,3396211,0.62,0
2015-06-11,41.38,42.24,41.25,41.78,36.74,2786950,0.0,0
2015-06-12,41.85,41.91,40.5,41.03,36.07,2977752,0.0,0
2015-06-15,40.56,40.87,40.23,40.49,35.6,2590172,0.0,0
2015-06-16,40.2,40.85,39.71,40.67,35.76,3212758,0.0,0
2015-06-17,40.77,40.78,40.08,40.24,35.38,2234171,0.0,0
2015-06-18,40.26,40.6,39.57,40.45,35.57,3397923,0.0,0
2015-06-19,40.63,41.29,40.46,40.62,35.72,2036864,0.0,0
2015-06-22,41.94,42.88,41.76,42.74,37.58,3849993,0.0,0
2015-06-23,43.05,43.48,42.94,43.24,38.02,2942258,0.0,0
2015-06-24,43.19,43.53,42.53,42.79,37.62,3110381,0.0,0
2015-06-25,42.44,43.29,42.31,42.94,37.76,2347490,0.0,0
2015-06-26,42.67,43.12,42.15,42.83,37.65,1880805,0.0,0
2015-06-29,40.9,41.72,40.51,41.15,36.18,3385032,0.0,0
2015-06-30,41.06,41.31,40.27,40.27,35.41,3675908,0.0,0
2015-07-01,40.83,42.03,40.5,41.54,36.53,3336720,0.0,0
2015-07-02,41.71,41.72,40.92,40.92,35.98,1722341,0.0,0
2015-07-03,40.85,40.92,40.28,40.57,35.67,1800077,0.0,0
2015-07-06,39.56,40.28,39.26,39.74,34.95,3448238,0.0,0
2015-07-07,39.74,39.85,38.24,38.24,33.63,3958991,0.0,0
2015-07-08,38.35,39.22,38.26,38.88,34.18,2953391,0.0,0
2015-07-09,39.1,40.01,38.87,39.79,34.99,2785329,0.0,0
2015-07-10,41.12,41.33,40.64,41.22,36.24,2898393,0.0,0
2015-07-13,41.85,42.36,41.63,42.05,36.97,2227051,0.0,0
2015-07-14,42.1,42.15,41.81,41.99,36.92,1377441,0.0,0
2015-07-15,41.9,41.99,41.21,41.86,36.81,2296369,0.0,0
2015-07-16,42.24,43.08,42.06,42.9,37.72,2331699,0.0,0
2015-07-17,43.11,43.34,42.77,43.14,37.93,1923364,0.0,0
2015-07-20,43.29,43.64,43.13,43.23,38.01,1287939,0.0,0
2015-07-21,43.42,43.6,42.88,43.07,37.87,1868376,0.0,0
2015-07-22,42.65,43.1,42.51,42.92,37.74,1496395,0.0,0
2015-07-23,43.26,43.28,42.47,42.54,37.41,1655233,0.0,0
2015-07-24,42.44,42.81,41.86,41.94,36.88,1887533,0.0,0
2015-07-27,41.77,41.89,40.93,41.09,36.13,1829275,0.0,0
2015-07-28,41.35,42.01,41.13,41.92,36.86,2488312,0.0,0
2015-07-29,42.0,42.38,41.67,41.98,36.91,1851663,0.0,0
2015-07-30,42.47,42.69,41.72,42.69,37.53,2464932,0.0,0
2015-07-31,42.68,43.23,42.5,43.17,37.95,1784195,0.0,0
2015-08-03,43.12,43.44,42.75,43.29,38.07,1612215,0.0,0
