Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,98.56,99.9,98.12,99.33,83.5,2092665,0.0,0
2015-04-27,99.56,102.0,98.58,102.0,85.74,2187311,0.0,0
2015-04-28,101.05,102.75,100.85,101.25,85.11,2260417,0.0,0
2015-04-29,100.95,101.85,97.49,97.49,81.95,3351911,0.0,0
2015-04-30,96.9,98.28,94.02,97.51,81.97,3709640,0.0,0
2015-05-04,97.7,99.24,96.57,98.53,82.82,1682053,0.0,0
2015-05-05,98.17,99.18,96.04,96.24,80.9,2820771,0.0,0
2015-05-06,95.9,97.5,95.54,96.85,81.41,2812545,0.0,0
2015-05-07,95.0,95.92,94.05,95.36,80.16,3597868,0.0,0
2015-05-08,96.24,97.31,94.26,97.11,81.63,3286149,0.0,0
2015-05-11,96.69,97.12,96.4,96.75,81.33,2000234,0.0,0
2015-05-12,95.79,96.48,94.91,95.85,80.57,2648891,0.0,0
2015-05-13,96.3,97.49,94.13,94.56,79.49,3188170,0.0,0
2015-05-14,94.0,96.71,93.55,96.35,80.99,2354469,0.0,0
2015-05-15,96.73,97.36,95.25,95.88,80.6,2828368,0.0,0
2015-05-18,95.82,96.89,95.17,96.48,81.1,1751288,0.0,0
2015-05-19,97.07,98.56,97.01,97.99,82.37,2401958,0.0,0
2015-05-20,98.18,98.36,97.37,98.02,82.4,1550576,0.0,0
2015-05-21,97.47,98.44,97.03,98.31,82.64,1606786,0.0,0
2015-05-22,98.11,98.4,97.7,98.15,82.51,1490482,0.0,0
2015-05-26,98.5,98.93,96.75,97.05,81.58,2350563,0.0,0
2015-05-27,97.33,98.52,96.92,98.27,82.61,2668992,0.0,0
2015-05-28,97.38,98.51,96.83,97.37,81.85,2259555,0.0,0
2015-05-29,97.46,98.04,95.53,95.78,80.51,3852878,0.0,0
2015-06-01,96.37,97.03,95.47,96.18,80.85,2208852,0.0,0
2015-06-02,96.52,96.6,95.03,95.95,80.66,2204803,0.0,0
2015-06-03,96.2,98.01,95.63,97.09,81.61,2938742,0.0,0
2015-06-04,97.1,97.67,95.03,96.73,81.31,2559074,0.0,0
2015-06-05,95.79,96.5,95.09,95.58,80.35,2536791,0.0,0
2015-06-08,95.17,95.55,94.55,94.73,79.63,1946945,0.0,0
2015-06-09,94.4,94.83,92.73,93.77,78.82,2794431,0.0,0
2015-06-10,93.31,95.52,93.04,95.25,80.07,2760384,0.0,0
2015-06-11,95.0,96.52,94.77,95.53,80.3,2641087,0.0,0
2015-06-12,95.0,95.72,93.18,94.21,79.19,2923399,0.0,0
2015-06-15,93.12,93.46,92.21,92.35,77.63,2533323,0.0,0
2015-06-16,92.0,92.97,91.07,92.67,77.9,2748729,0.0,0
2015-06-17,92.8,93.42,92.14,92.37,77.65,2206892,0.0,0
2015-06-18,91.81,93.66,91.01,93.56,78.65,3023202,0.0,0
2015-06-19,93.99,94.85,93.33,93.52,78.61,7373637,0.0,0
2015-06-22,95.39,96.92,95.18,96.66,81.25,3503483,0.0,0
2015-06-23,97.4,97.87,96.45,96.61,81.21,2684538,0.0,0
2015-06-24,96.8,97.06,95.37,95.97,80.67,2814203,0.0,0
2015-06-25,95.49,96.94,94.2,95.37,80.17,2620230,0.0,0
2015-06-26,94.76,95.62,94.37,95.1,79.94,1910562,0.0,0
2015-06-29,91.75,93.61,91.36,92.08,77.4,4466843,0.0,0
2015-06-30,91.68,92.24,90.35,90.35,75.95,4984152,0.0,0
2015-07-01,91.41,92.5,90.0,91.62,77.02,4159494,0.0,0
2015-07-02,91.12,91.66,90.64,90.73,76.27,2058711,0.0,0
2015-07-03,90.73,90.97,90.06,90.52,76.09,1809286,0.0,0
2015-07-06,88.91,90.09,88.42,89.22,75.0,3434184,0.0,0
2015-07-07,89.28,89.48,87.02,87.08,73.2,3395356,0.0,0
2015-07-08,87.7,88.86,87.51,88.09,74.05,3226596,0.0,0
2015-07-09,88.75,90.51,88.44,90.01,75.66,2818580,0.0,0
2015-07-10,92.21,92.29,90.96,92.05,77.38,3075985,0.0,0
2015-07-13,93.04,93.87,92.48,93.77,78.82,2665306,0.0,0
2015-07-14,93.58,94.17,93.25,93.91,78.94,1883635,0.0,0
2015-07-15,93.45,94.13,93.17,94.02,79.03,1999860,0.0,0
2015-07-16,94.5,96.13,94.43,95.45,80.24,2528394,0.0,0
2015-07-17,95.86,95.88,95.07,95.38,80.18,1761439,0.0,0
2015-07-20,95.4,96.88,95.4,96.06,80.75,1939545,0.0,0
2015-07-21,96.44,96.5,94.97,95.16,79.99,1557541,0.0,0
2015-07-22,94.31,95.17,93.85,94.24,79.22,1627495,0.0,0
