Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,69.68,70.39,68.88,69.4,60.69,1655231,0.0,0
2015-04-27,69.56,70.93,68.37,70.65,61.79,1645380,0.0,0
2015-04-28,70.45,70.76,68.48,69.17,60.49,1590298,0.0,0
2015-04-29,69.27,69.81,66.5,66.88,58.49,2436907,0.0,0
2015-04-30,65.39,67.09,64.88,66.84,58.95,3224850,0.56,0
2015-05-04,67.87,67.88,66.38,67.38,59.43,2015595,0.0,0
2015-05-05,67.03,68.4,66.85,67.0,59.09,2796043,0.0,0
2015-05-06,67.13,67.92,66.39,67.64,59.66,2294370,0.0,0
2015-05-07,67.21,67.45,65.56,66.91,59.01,2590894,0.0,0
2015-05-08,67.12,68.69,66.87,68.49,60.4,2120711,0.0,0
2015-05-11,68.27,68.27,67.56,68.0,59.97,1267746,0.0,0
2015-05-12,67.48,67.87,66.35,67.61,59.63,2230314,0.0,0
2015-05-13,67.8,69.03,67.78,68.08,60.04,2484906,0.0,0
2015-05-14,67.95,69.46,67.36,69.32,61.14,1659109,0.0,0
2015-05-15,69.5,69.82,67.91,68.41,60.33,2008106,0.0,0
2015-05-18,68.4,68.81,67.61,68.44,60.36,1290544,0.0,0
2015-05-19,68.73,70.17,68.73,69.88,61.63,1801883,0.0,0
2015-05-20,70.19,70.3,69.63,70.02,61.75,1474535,0.0,0
2015-05-21,69.67,70.51,69.59,70.41,62.1,1011279,0.0,0
2015-05-22,70.53,70.92,69.92,70.11,61.83,1356392,0.0,0
2015-05-25,70.15,70.15,69.25,69.56,61.35,228372,0.0,0
2015-05-26,69.75,70.3,68.73,69.09,60.93,1463445,0.0,0
2015-05-27,69.67,71.35,69.25,71.28,62.87,2139930,0.0,0
2015-05-28,71.0,71.11,70.29,71.06,62.67,2039706,0.0,0
2015-05-29,71.25,71.29,68.75,68.78,60.66,4431969,0.0,0
2015-06-01,69.33,69.48,68.39,68.77,60.65,1300950,0.0,0
2015-06-02,69.01,69.07,67.07,67.24,59.3,2972393,0.0,0
2015-06-03,67.52,68.96,67.03,68.03,60.0,1699579,0.0,0
2015-06-04,67.68,68.25,66.09,67.29,59.35,1869806,0.0,0
2015-06-05,67.27,67.83,66.55,67.09,59.17,2271983,0.0,0
2015-06-08,66.96,67.12,66.0,66.0,58.21,1841356,0.0,0
2015-06-09,65.8,66.28,64.67,66.02,58.23,2646137,0.0,0
2015-06-10,65.76,66.92,64.95,65.96,58.17,4150897,0.0,0
2015-06-11,65.19,65.62,64.32,65.0,57.33,3851880,0.0,0
2015-06-12,64.91,64.96,63.18,63.77,56.24,3075389,0.0,0
2015-06-15,62.88,63.84,62.8,63.59,56.08,2770063,0.0,0
2015-06-16,62.73,63.98,62.5,63.63,56.12,3711133,0.0,0
2015-06-17,63.91,64.26,62.89,63.04,55.6,2627974,0.0,0
2015-06-18,62.82,63.38,62.1,63.27,55.8,2331893,0.0,0
2015-06-19,63.28,64.12,62.97,63.06,55.62,3020699,0.0,0
2015-06-22,64.56,65.73,64.03,65.51,57.78,3408128,0.0,0
2015-06-23,66.5,66.5,65.8,65.87,58.09,2274764,0.0,0
2015-06-24,65.98,66.25,65.38,66.02,58.23,2673686,0.0,0
2015-06-25,65.42,66.54,65.06,65.82,58.05,2570091,0.0,0
2015-06-26,65.33,66.15,64.87,65.59,57.85,1856210,0.0,0
2015-06-29,62.7,63.91,62.48,62.96,55.53,3566689,0.0,0
2015-06-30,62.96,63.31,61.93,61.93,54.62,3889259,0.0,0
2015-07-01,62.86,64.22,62.19,62.87,55.45,3213607,0.0,0
2015-07-02,63.13,63.21,62.03,62.08,54.75,1322561,0.0,0
2015-07-03,62.34,62.44,61.51,61.87,54.57,1353558,0.0,0
2015-07-06,60.63,61.66,60.31,60.53,53.38,2544792,0.0,0
2015-07-07,60.49,60.66,59.01,59.08,52.11,3466043,0.0,0
2015-07-08,59.43,60.79,59.31,60.01,52.93,2651388,0.0,0
2015-07-09,60.42,61.45,59.96,61.11,53.9,2197305,0.0,0
2015-07-10,62.87,63.3,61.95,63.1,55.65,2806716,0.0,0
2015-07-13,63.93,64.35,63.35,63.99,56.44,2202947,0.0,0
2015-07-14,63.85,64.27,63.36,64.02,56.46,1409739,0.0,0
2015-07-15,64.06,64.06,62.22,62.65,55.25,2683264,0.0,0
2015-07-16,62.99,64.25,62.89,63.74,56.22,2095195,0.0,0
2015-07-17,64.23,64.23,63.44,63.89,56.35,1695133,0.0,0
2015-07-20,64.31,64.68,63.84,64.24,56.66,1261147,0.0,0
2015-07-21,64.5,64.6,63.65,63.91,56.37,1182761,0.0,0
2015-07-22,63.48,63.96,63.19,63.42,55.93,1532375,0.0,0
2015-07-23,64.01,64.32,63.77,64.01,56.45,1888722,0.0,0
2015-07-24,63.86,64.65,63.66,63.86,56.32,1680257,0.0,0
2015-07-27,63.62,63.62,61.92,62.01,54.69,2113659,0.0,0
2015-07-28,62.53,63.0,62.22,62.66,55.26,1422935,0.0,0
2015-07-29,60.26,63.01,60.2,62.74,55.33,2827712,0.0,0
2015-07-30,63.16,63.32,62.11,62.56,55.17,1979211,0.0,0
2015-07-31,62.62,63.59,62.57,63.59,56.08,2038728,0.0,0
2015-08-03,63.77,64.07,63.17,63.89,56.35,1611474,0.0,0
2015-08-04,64.0,64.4,63.66,64.16,56.59,1398319,0.0,0
2015-08-05,64.42,64.88,64.26,64.74,57.1,1330804,0.0,0
2015-08-06,64.67,65.26,64.5,64.88,57.22,766771,0.0,0
2015-08-07,64.51,64.55,64.12,64.2,56.62,1006584,0.0,0
2015-08-10,64.5,65.05,63.86,64.98,57.31,779755,0.0,0
2015-08-11,64.72,64.82,63.22,63.3,55.83,1518804,0.0,0
2015-08-12,62.65,62.65,60.43,60.73,53.56,2323186,0.0,0
2015-08-13,61.77,61.8,60.39,60.62,53.46,1822690,0.0,0
2015-08-14,60.71,61.19,60.37,60.5,53.36,1601662,0.0,0
2015-08-17,61.0,61.19,59.61,60.43,53.3,1371679,0.0,0
2015-08-18,60.3,60.4,59.66,59.76,52.71,1157317,0.0,0
2015-08-19,59.16,59.31,58.4,58.51,51.6,1705098,0.0,0
2015-08-20,58.3,58.5,57.13,57.25,50.49,2000554,0.0,0
2015-08-21,56.38,57.14,55.91,55.97,49.36,4984211,0.0,0
2015-08-24,54.25,55.53,52.03,53.99,47.62,6008728,0.0,0
2015-08-25,54.88,55.74,54.53,55.33,48.8,3888511,0.0,0
2015-08-26,54.51,54.86,53.49,54.12,47.73,4614642,0.0,0
2015-08-27,55.61,56.05,55.13,55.67,49.1,2938846,0.0,0
2015-08-28,55.83,56.46,55.35,56.46,49.79,2068506,0.0,0
2015-08-31,56.0,56.47,55.34,56.33,49.68,1678347,0.0,0
2015-09-01,55.33,55.62,54.51,55.15,48.64,2787248,0.0,0
2015-09-02,55.44,55.85,54.88,55.19,48.67,1297188,0.0,0
2015-09-03,55.79,56.79,55.54,56.21,49.57,2497785,0.0,0
2015-09-04,55.72,55.89,54.55,54.67,48.22,2121873,0.0,0
2015-09-07,55.36,55.66,54.68,54.98,48.49,866176,0.0,0
2015-09-08,55.29,56.11,55.02,55.5,48.95,1418711,0.0,0
2015-09-09,56.61,57.04,56.34,56.43,49.77,1514004,0.0,0
2015-09-10,56.09,56.47,55.41,55.49,48.94,1692464,0.0,0
2015-09-11,55.83,55.87,55.04,55.3,48.77,1540650,0.0,0
2015-09-14,55.24,55.8,54.84,54.84,48.37,1919309,0.0,0
2015-09-15,55.15,56.01,54.87,55.63,49.06,1465653,0.0,0
2015-09-16,56.25,56.76,56.1,56.65,49.96,1605253,0.0,0
2015-09-17,56.54,56.85,55.18,55.36,48.82,2286891,0.0,0
2015-09-18,55.0,55.0,52.62,52.86,46.62,5518217,0.0,0
2015-09-21,52.99,53.76,52.99,53.55,47.23,2035749,0.0,0
2015-09-22,53.55,53.65,51.29,51.45,45.38,3506574,0.0,0
2015-09-23,51.27,52.34,51.13,51.44,45.37,2239717,0.0,0
2015-09-24,51.3,51.65,49.68,49.99,44.09,4364964,0.0,0
2015-09-25,50.71,51.38,50.48,50.97,44.95,3179398,0.0,0
2015-09-28,50.76,50.76,49.26,49.48,43.64,2314438,0.0,0
2015-09-29,48.67,49.42,48.57,48.97,43.18,3372605,0.0,0
2015-09-30,49.94,50.09,49.56,50.01,44.11,3523956,0.0,0
2015-10-01,50.94,50.99,49.22,49.38,43.55,2025733,0.0,0
2015-10-02,49.76,50.62,49.02,49.37,43.54,2981990,0.0,0
2015-10-05,50.04,51.46,49.97,51.43,45.36,2777391,0.0,0
2015-10-06,51.43,52.27,51.0,51.93,45.8,1526888,0.0,0
2015-10-07,51.75,53.04,50.71,52.22,46.06,2230033,0.0,0
2015-10-08,52.23,52.3,51.37,51.63,45.54,2072829,0.0,0
2015-10-09,52.09,53.57,52.0,53.25,46.96,2529701,0.0,0
2015-10-12,53.3,53.83,52.57,52.67,46.45,1189628,0.0,0
2015-10-13,52.49,52.65,51.35,51.81,45.69,1515371,0.0,0
2015-10-14,51.58,51.58,50.63,50.64,44.66,2285129,0.0,0
2015-10-15,51.24,51.5,50.74,51.41,45.34,1495807,0.0,0
2015-10-16,51.65,51.84,49.99,50.25,44.32,2434561,0.0,0
2015-10-19,50.2,50.66,49.9,49.99,44.09,1294061,0.0,0
2015-10-20,50.09,50.4,49.31,50.08,44.17,1514396,0.0,0
2015-10-21,50.2,51.05,49.78,50.98,44.96,1591260,0.0,0
2015-10-22,50.82,52.97,50.67,52.69,46.47,2345008,0.0,0
2015-10-23,53.2,55.4,53.0,54.85,48.37,3345912,0.0,0
2015-10-26,54.6,55.4,54.52,55.22,48.7,1827301,0.0,0
2015-10-27,54.93,54.96,53.61,53.61,47.28,1884061,0.0,0
2015-10-28,53.6,54.64,53.43,53.96,47.59,2387201,0.0,0
