Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,41.01,41.4,41.01,41.23,35.54,6074,0.0,0
2015-04-27,41.35,41.52,40.75,41.46,35.74,9418,0.0,0
2015-04-28,41.42,41.42,40.56,40.65,35.04,24417,0.0,0
2015-04-29,40.65,40.96,39.2,39.2,33.79,16677,0.0,0
2015-04-30,39.24,39.26,38.78,38.99,33.61,19533,0.0,0
2015-05-04,39.1,39.13,38.65,38.86,33.5,13033,0.0,0
2015-05-05,39.06,39.47,38.09,38.09,32.83,13153,0.0,0
2015-05-06,39.4,39.4,37.79,37.79,32.58,13934,0.0,0
2015-05-07,37.76,38.2,37.35,38.03,32.79,43886,0.0,0
2015-05-08,38.04,39.44,38.04,39.3,33.88,11972,0.0,0
2015-05-11,39.3,39.39,38.87,39.13,33.74,10455,0.0,0
2015-05-12,39.3,39.3,38.38,38.65,33.32,10508,0.0,0
2015-05-13,38.69,38.94,38.03,38.24,32.96,7106,0.0,0
2015-05-14,38.24,38.63,37.71,38.63,33.3,4333,0.0,0
2015-05-15,38.57,38.96,38.1,38.1,32.85,6653,0.0,0
2015-05-18,38.16,38.39,37.55,38.28,33.0,9049,0.0,0
2015-05-19,38.74,39.4,38.6,39.4,33.96,11707,0.0,0
2015-05-20,39.4,39.51,39.06,39.31,33.89,8978,0.0,0
2015-05-21,39.21,39.31,39.0,39.16,33.76,9815,0.0,0
2015-05-22,39.0,39.6,39.0,39.26,33.84,9178,0.0,0
2015-05-25,39.51,39.62,39.24,39.56,34.1,6596,0.0,0
2015-05-26,39.41,39.65,39.04,39.06,33.68,4532,0.0,0
2015-05-27,39.0,39.75,39.0,39.45,34.01,16999,0.0,0
2015-05-28,39.76,39.85,39.41,39.41,33.97,7309,0.0,0
2015-05-29,39.4,39.62,38.73,38.73,33.39,8482,0.0,0
2015-06-01,39.06,39.28,38.71,38.73,33.39,3336,0.0,0
2015-06-02,38.73,38.73,37.54,37.54,32.37,6896,0.0,0
2015-06-03,38.13,38.7,37.79,37.79,32.58,7922,0.0,0
2015-06-04,37.79,38.15,37.0,37.18,32.05,15978,0.0,0
2015-06-05,37.18,37.67,37.05,37.05,31.94,5720,0.0,0
2015-06-08,37.5,37.5,36.5,36.5,31.46,4222,0.0,0
2015-06-09,36.65,36.94,36.5,36.8,31.72,6921,0.0,0
2015-06-10,36.85,37.56,36.72,37.29,32.15,23812,0.0,0
2015-06-11,37.24,38.35,37.18,37.7,32.5,9204,0.0,0
2015-06-12,38.5,38.5,36.89,36.89,31.8,20346,0.0,0
2015-06-15,36.72,37.11,36.4,36.85,31.76,13885,0.0,0
2015-06-16,36.71,37.5,36.44,37.26,32.12,6840,0.0,0
2015-06-17,37.37,37.5,36.79,36.9,31.81,14980,0.0,0
2015-06-18,36.74,37.21,36.74,37.03,31.92,11016,0.0,0
2015-06-19,37.4,37.98,37.29,37.45,32.28,40481,0.0,0
2015-06-22,38.35,38.65,38.0,38.31,33.03,12502,0.0,0
2015-06-23,38.83,39.49,38.83,39.15,33.75,8519,0.0,0
2015-06-24,39.0,39.26,38.85,38.85,33.49,11230,0.0,0
2015-06-25,38.85,39.19,38.49,38.74,33.39,26385,0.0,0
2015-06-26,38.75,39.24,38.53,38.99,33.61,3548,0.0,0
2015-06-29,37.51,38.11,37.51,37.62,32.43,19189,0.0,0
2015-06-30,37.53,37.91,37.26,37.4,32.24,21934,0.0,0
2015-07-01,39.05,39.05,37.17,38.06,32.81,26805,0.0,0
2015-07-02,38.31,38.55,37.5,37.5,32.33,6731,0.0,0
2015-07-03,37.61,37.78,37.2,37.2,32.07,17129,0.0,0
2015-07-06,37.1,37.33,36.56,36.89,31.8,19229,0.0,0
2015-07-07,38.9,38.9,36.72,36.96,31.86,18263,0.0,0
2015-07-08,38.75,38.75,36.9,37.15,32.02,22361,0.0,0
2015-07-09,37.15,38.26,37.15,38.18,32.91,9482,0.0,0
2015-07-10,39.15,39.54,38.81,39.49,34.04,24382,0.0,0
2015-07-13,40.0,40.17,39.77,40.1,34.57,27773,0.0,0
2015-07-14,40.2,40.68,40.04,40.57,34.97,17294,0.0,0
2015-07-15,40.5,40.94,40.17,40.94,35.3,16256,0.0,0
2015-07-16,40.88,41.64,40.88,41.4,35.68,12578,0.0,0
2015-07-17,41.31,41.56,41.2,41.46,35.74,7354,0.0,0
2015-07-20,41.56,41.8,41.13,41.29,35.59,7553,0.0,0
2015-07-21,41.6,41.69,40.49,40.49,34.91,12112,0.0,0
2015-07-22,40.3,41.59,40.25,40.71,35.09,6002,0.0,0
2015-07-23,41.76,41.78,40.9,41.25,35.56,11968,0.0,0
2015-07-24,41.96,41.96,40.83,41.03,35.37,7841,0.0,0
2015-07-27,41.96,41.96,40.01,40.01,34.49,11093,0.0,0
2015-07-28,40.2,40.54,40.08,40.26,34.71,6657,0.0,0
2015-07-29,40.67,40.67,40.0,40.49,34.9,5753,0.0,0
2015-07-30,40.67,41.06,40.47,41.06,35.4,10444,0.0,0
2015-07-31,41.2,41.2,40.49,40.69,35.08,4340,0.0,0
2015-08-03,40.84,41.81,40.84,41.65,35.9,4947,0.0,0
2015-08-04,41.65,41.76,41.3,41.76,36.0,6539,0.0,0
2015-08-05,41.8,42.34,41.8,42.12,36.3,17810,0.0,0
2015-08-06,42.38,42.46,41.96,42.42,36.83,13068,0.302,0
2015-08-07,42.11,42.2,41.74,41.86,36.35,18129,0.0,0
2015-08-10,42.0,42.3,41.86,41.99,36.46,8092,0.0,0
2015-08-11,40.5,42.11,40.5,41.51,36.04,7268,0.0,0
2015-08-12,39.65,40.08,38.75,38.81,33.7,26459,0.0,0
2015-08-13,38.81,39.76,38.81,39.29,34.11,10795,0.0,0
2015-08-14,40.44,40.44,38.61,38.61,33.52,12904,0.0,0
2015-08-17,39.75,40.39,38.61,39.21,34.04,12380,0.0,0
