Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,23.0,23.26,22.97,23.09,18.17,5356620,0.0,0
2015-04-27,23.05,23.23,22.82,23.12,18.19,4531045,0.0,0
2015-04-28,23.07,23.1,22.62,22.81,17.94,3772842,0.0,0
2015-04-29,22.82,22.99,22.27,22.27,17.52,5179637,0.0,0
2015-04-30,22.33,22.49,22.07,22.42,17.64,4701727,0.0,0
2015-05-04,22.36,22.7,22.27,22.42,17.64,3343497,0.0,0
2015-05-05,22.34,22.73,22.01,22.01,17.32,4575384,0.0,0
2015-05-06,21.83,22.17,21.69,22.08,17.38,5241301,0.0,0
2015-05-07,21.92,22.08,21.62,22.0,17.31,6128163,0.0,0
2015-05-08,22.06,22.81,22.0,22.75,17.9,5837374,0.0,0
2015-05-11,22.59,22.73,22.49,22.67,17.84,3084861,0.0,0
2015-05-12,22.15,22.53,22.1,22.36,17.6,5912375,0.0,0
2015-05-13,22.63,23.17,22.16,22.25,17.51,8100557,0.0,0
2015-05-14,22.07,22.6,22.02,22.5,17.7,3734954,0.0,0
2015-05-15,22.5,22.57,22.27,22.35,17.59,4990952,0.0,0
2015-05-18,22.28,22.4,21.94,22.25,17.51,4428976,0.0,0
2015-05-19,22.2,22.58,22.2,22.51,17.72,4900850,0.0,0
2015-05-20,22.45,23.06,22.45,22.97,18.07,4777492,0.0,0
2015-05-21,22.83,23.06,22.83,22.92,18.03,2542300,0.0,0
2015-05-22,23.15,23.42,23.02,23.17,18.24,8075305,0.0,0
2015-05-25,22.98,23.1,22.78,23.06,18.15,711114,0.0,0
2015-05-26,23.17,23.55,23.17,23.39,18.4,9640144,0.0,0
2015-05-27,23.37,23.7,23.37,23.66,18.62,6658207,0.0,0
2015-05-28,23.59,23.72,23.41,23.56,18.53,3455662,0.0,0
2015-05-29,23.46,23.7,23.12,23.19,18.25,12253958,0.0,0
2015-06-01,23.19,23.5,23.1,23.38,18.4,4619697,0.0,0
2015-06-02,23.39,23.64,23.21,23.52,18.51,5758357,0.0,0
2015-06-03,23.52,23.75,23.41,23.63,18.59,4258612,0.0,0
2015-06-04,23.53,23.7,23.16,23.36,18.38,5593807,0.0,0
2015-06-05,23.2,23.62,23.11,23.55,18.53,6097790,0.0,0
2015-06-08,23.57,23.67,23.33,23.58,18.56,4344390,0.0,0
2015-06-09,23.56,23.94,23.54,23.84,18.76,11334376,0.0,0
2015-06-10,23.74,24.0,23.57,23.97,18.86,7166459,0.0,0
2015-06-11,23.9,24.1,23.7,23.8,18.73,8375196,0.0,0
2015-06-12,23.75,23.85,23.57,23.69,18.64,8326232,0.0,0
2015-06-15,23.5,23.68,23.41,23.6,18.57,5295151,0.0,0
2015-06-16,23.5,23.67,23.28,23.58,18.56,4278250,0.0,0
2015-06-17,23.55,24.08,23.5,23.73,18.67,6526459,0.0,0
2015-06-18,23.63,23.75,23.43,23.49,18.48,6475665,0.0,0
2015-06-19,23.48,23.72,23.3,23.3,18.33,12226777,0.0,0
2015-06-22,23.82,24.14,23.71,24.12,18.98,8602955,0.0,0
2015-06-23,24.4,24.75,24.3,24.52,19.29,7128502,0.0,0
2015-06-24,24.53,24.58,24.22,24.4,19.2,8573458,0.0,0
2015-06-25,23.58,23.9,23.45,23.83,19.55,8335050,1.0,0
2015-06-26,23.68,23.91,23.47,23.56,19.33,6978447,0.0,0
2015-06-29,23.03,23.31,22.75,22.91,18.8,7535878,0.0,0
2015-06-30,22.83,23.03,22.6,22.62,18.56,8707691,0.0,0
2015-07-01,22.85,23.4,22.76,23.18,19.02,7984609,0.0,0
2015-07-02,23.24,23.24,22.95,22.98,18.85,3284455,0.0,0
2015-07-03,22.98,23.03,22.65,22.67,18.6,3631049,0.0,0
2015-07-06,22.5,22.62,22.22,22.25,18.26,4948594,0.0,0
2015-07-07,22.32,22.35,21.76,21.77,17.87,8417631,0.0,0
2015-07-08,21.83,22.55,21.8,22.33,18.32,7965572,0.0,0
2015-07-09,22.5,22.82,22.41,22.71,18.63,4770176,0.0,0
2015-07-10,23.27,23.48,23.05,23.38,19.18,5912023,0.0,0
2015-07-13,23.73,24.36,23.66,24.26,19.91,8348951,0.0,0
2015-07-14,24.29,24.4,24.15,24.29,19.93,4850115,0.0,0
2015-07-15,24.33,24.59,24.27,24.5,20.1,4485874,0.0,0
2015-07-16,24.59,24.83,24.54,24.6,20.18,5553167,0.0,0
2015-07-17,24.72,24.72,24.38,24.38,20.0,5390033,0.0,0
2015-07-20,24.55,24.65,24.4,24.45,20.07,2444432,0.0,0
2015-07-21,24.53,24.57,24.18,24.22,19.87,2636316,0.0,0
2015-07-22,24.16,24.24,24.11,24.16,19.82,3720277,0.0,0
2015-07-23,24.31,24.36,24.09,24.18,19.84,2168072,0.0,0
2015-07-24,24.16,24.37,24.14,24.22,19.87,4011301,0.0,0
2015-07-27,24.16,24.2,23.69,23.69,19.44,3666811,0.0,0
2015-07-28,23.83,23.94,23.6,23.67,19.43,3887937,0.0,0
2015-07-29,23.73,23.86,23.64,23.74,19.48,3842561,0.0,0
2015-07-30,23.91,23.93,23.54,23.68,19.43,2139490,0.0,0
2015-07-31,23.67,23.93,23.67,23.93,19.64,3877325,0.0,0
2015-08-03,23.99,24.65,23.92,24.48,20.09,4795126,0.0,0
2015-08-04,24.52,24.54,24.36,24.45,20.07,2949055,0.0,0
2015-08-05,24.5,24.51,24.38,24.45,20.06,3660635,0.0,0
2015-08-06,24.42,24.5,24.31,24.32,19.95,2464006,0.0,0
2015-08-07,24.35,24.36,23.87,23.93,19.64,4451980,0.0,0
2015-08-10,24.09,24.33,23.93,24.27,19.92,3158052,0.0,0
2015-08-11,24.18,24.25,23.8,23.88,19.59,4207601,0.0,0
2015-08-12,23.74,23.74,23.11,23.19,19.03,3946744,0.0,0
2015-08-13,23.5,23.66,23.23,23.3,19.12,3935964,0.0,0
2015-08-14,23.34,23.44,23.18,23.25,19.08,2390987,0.0,0
2015-08-17,23.44,23.57,23.14,23.4,19.2,2905283,0.0,0
2015-08-18,23.34,23.52,23.29,23.4,19.2,2653584,0.0,0
2015-08-19,23.28,23.4,23.02,23.26,19.08,5718487,0.0,0
2015-08-20,23.17,23.22,22.61,22.65,18.58,4164705,0.0,0
2015-08-21,22.42,22.51,21.8,21.8,17.89,7700724,0.0,0
2015-08-24,21.18,21.54,20.2,21.02,17.25,14552654,0.0,0
2015-08-25,21.23,22.08,21.03,22.01,18.06,12973588,0.0,0
2015-08-26,21.75,22.39,21.5,21.94,18.0,6332899,0.0,0
2015-08-27,22.43,22.78,22.31,22.73,18.65,7682169,0.0,0
2015-08-28,22.59,22.59,22.12,22.3,18.3,7065704,0.0,0
2015-08-31,22.0,22.22,21.95,22.05,18.09,4058578,0.0,0
2015-09-01,21.92,22.17,21.55,21.67,17.78,7886787,0.0,0
2015-09-02,21.75,21.99,21.65,21.72,17.82,4062655,0.0,0
2015-09-03,21.35,22.0,21.05,21.69,17.8,9770312,0.0,0
2015-09-04,21.61,21.61,21.19,21.19,17.39,5892026,0.0,0
