Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,227.9,231.35,226.55,231.2,211.02,105131,0.0,0
2015-04-27,242.0,243.9,236.5,241.5,220.42,171660,0.0,0
2015-04-28,240.4,244.0,234.9,236.45,215.81,132179,0.0,0
2015-04-29,241.0,241.1,227.5,227.9,208.01,104491,0.0,0
2015-04-30,228.0,229.7,224.3,227.3,207.46,78977,0.0,0
2015-05-04,229.0,230.05,224.25,227.45,207.6,50799,0.0,0
2015-05-05,227.0,231.9,224.55,225.1,205.45,75494,0.0,0
2015-05-06,221.5,222.9,213.05,217.6,202.94,103595,4.8,0
2015-05-07,215.5,222.5,215.5,220.6,205.73,92932,0.0,0
2015-05-08,223.6,226.05,220.45,225.35,210.16,97421,0.0,0
2015-05-11,224.05,225.6,223.85,225.35,210.16,81298,0.0,0
2015-05-12,225.05,225.2,217.55,218.35,203.64,125438,0.0,0
2015-05-13,220.85,222.35,216.6,218.15,203.45,110344,0.0,0
2015-05-14,216.9,220.95,213.1,220.95,206.06,61234,0.0,0
2015-05-15,222.8,222.85,214.0,215.3,200.79,79419,0.0,0
2015-05-18,218.15,224.0,215.5,223.05,208.02,94301,0.0,0
2015-05-19,225.95,233.0,225.65,232.75,217.07,94059,0.0,0
2015-05-20,232.2,233.4,229.95,231.85,216.23,58772,0.0,0
2015-05-21,231.45,231.6,226.55,229.6,214.13,63230,0.0,0
2015-05-22,228.2,230.0,227.15,229.55,214.08,43471,0.0,0
2015-05-26,230.5,232.85,224.8,226.25,211.0,77554,0.0,0
2015-05-27,226.5,228.95,224.0,228.05,212.68,71236,0.0,0
2015-05-28,228.0,228.05,222.4,223.95,208.86,62976,0.0,0
2015-05-29,225.4,226.0,219.5,219.5,204.71,535156,0.0,0
2015-06-01,221.9,222.35,217.05,219.55,204.76,62328,0.0,0
2015-06-02,220.75,220.75,214.25,215.35,200.84,73355,0.0,0
2015-06-03,215.7,220.05,214.4,216.25,201.68,78614,0.0,0
2015-06-04,216.0,217.8,212.15,215.5,200.98,52623,0.0,0
2015-06-05,215.4,215.45,211.75,213.3,198.93,56617,0.0,0
2015-06-08,213.0,214.45,208.8,209.8,195.66,82653,0.0,0
2015-06-09,209.75,210.6,205.05,208.55,194.5,103894,0.0,0
2015-06-10,209.5,215.35,207.25,214.85,200.37,93300,0.0,0
2015-06-11,213.1,217.45,213.1,215.3,200.79,62037,0.0,0
2015-06-12,214.35,217.0,209.45,212.2,197.9,63149,0.0,0
2015-06-15,209.2,209.9,205.3,207.65,193.66,64987,0.0,0
2015-06-16,207.0,208.85,204.15,208.15,194.12,55667,0.0,0
2015-06-17,209.45,209.65,204.3,206.2,192.3,68477,0.0,0
2015-06-18,205.35,206.35,201.4,205.75,191.89,105481,0.0,0
2015-06-19,208.0,209.7,205.4,206.35,192.44,75399,0.0,0
2015-06-22,211.85,215.85,211.3,215.45,200.93,79045,0.0,0
2015-06-23,216.95,219.9,215.95,218.35,203.64,80142,0.0,0
2015-06-24,218.45,218.5,213.1,215.75,201.21,63984,0.0,0
2015-06-25,213.05,217.85,212.5,215.95,201.4,43098,0.0,0
2015-06-26,216.5,218.7,214.05,217.35,202.7,49485,0.0,0
2015-06-29,207.55,213.4,203.85,209.4,195.29,102072,0.0,0
2015-06-30,208.85,211.55,205.85,207.55,193.56,96141,0.0,0
2015-07-01,210.3,216.3,208.7,214.65,200.19,101590,0.0,0
2015-07-02,216.2,216.2,210.85,211.45,197.2,54403,0.0,0
2015-07-03,212.75,212.75,209.6,210.8,196.59,32396,0.0,0
2015-07-06,207.4,210.1,206.75,208.25,194.22,48412,0.0,0
2015-07-07,208.55,209.15,202.4,202.95,189.27,85174,0.0,0
2015-07-08,202.55,202.95,197.2,197.5,184.19,128999,0.0,0
2015-07-09,199.75,205.0,199.6,203.45,189.74,69038,0.0,0
2015-07-10,209.25,209.25,201.95,203.4,189.69,110529,0.0,0
2015-07-13,205.9,209.4,204.0,205.75,191.89,83854,0.0,0
2015-07-14,204.9,204.9,198.5,201.5,187.92,101647,0.0,0
2015-07-15,200.7,200.7,197.4,199.15,185.73,96378,0.0,0
2015-07-16,201.4,205.25,198.3,203.15,189.46,99861,0.0,0
2015-07-17,204.7,204.7,201.85,202.7,189.04,81615,0.0,0
2015-07-20,202.9,203.0,199.0,201.0,187.46,85080,0.0,0
2015-07-21,201.1,202.25,197.85,198.9,185.5,66716,0.0,0
2015-07-22,198.25,198.25,194.5,196.1,182.89,78723,0.0,0
2015-07-23,199.35,199.8,196.4,198.5,185.12,93636,0.0,0
2015-07-24,197.7,197.7,189.5,189.55,176.78,95679,0.0,0
2015-07-27,189.45,190.35,185.1,185.45,172.95,91387,0.0,0
2015-07-28,186.5,190.6,186.35,190.6,177.76,124001,0.0,0
2015-07-29,193.35,193.4,183.8,185.9,173.37,214847,0.0,0
2015-07-30,186.65,186.65,183.9,185.55,173.05,73617,0.0,0
2015-07-31,185.4,185.95,182.55,184.05,171.65,98376,0.0,0
2015-08-03,184.35,185.75,180.85,185.75,173.23,87754,0.0,0
2015-08-04,185.9,186.95,183.85,186.0,173.47,82003,0.0,0
2015-08-05,187.9,192.9,187.15,192.4,179.43,125852,0.0,0
2015-08-06,192.0,194.25,189.5,190.0,177.2,78001,0.0,0
2015-08-07,190.05,192.65,188.35,191.55,178.64,76083,0.0,0
2015-08-10,193.4,194.15,190.05,194.15,181.07,62537,0.0,0
2015-08-11,192.65,192.65,184.95,186.2,173.65,155718,0.0,0
2015-08-12,183.85,183.9,177.65,177.75,165.77,195069,0.0,0
2015-08-13,181.5,182.9,179.5,180.45,168.29,102951,0.0,0
2015-08-14,180.2,182.5,179.05,180.0,167.87,54081,0.0,0
2015-08-17,181.95,182.7,177.0,178.05,166.05,72027,0.0,0
2015-08-18,177.75,178.5,175.2,175.2,163.39,81964,0.0,0
2015-08-19,174.75,175.4,171.0,171.0,159.48,120451,0.0,0
2015-08-20,169.5,172.75,168.05,168.05,156.73,137011,0.0,0
2015-08-21,165.65,169.35,165.0,165.0,153.88,129134,0.0,0
2015-08-24,159.85,163.3,152.55,158.55,147.87,321454,0.0,0
2015-08-25,160.55,169.65,159.1,167.8,156.49,201703,0.0,0
2015-08-26,166.05,168.4,162.8,165.95,154.77,128375,0.0,0
2015-08-27,170.85,172.45,169.2,171.15,159.62,126388,0.0,0
2015-08-28,172.0,172.05,168.3,170.5,159.01,59978,0.0,0
2015-08-31,169.95,169.95,165.65,166.7,155.47,80455,0.0,0
2015-09-01,164.85,164.95,160.85,161.95,151.04,88884,0.0,0
2015-09-02,162.0,163.1,159.5,159.5,148.75,110567,0.0,0
2015-09-03,160.85,165.45,160.85,164.4,153.32,72682,0.0,0
2015-09-04,162.0,163.0,159.6,159.95,149.17,100289,0.0,0
2015-09-07,162.15,162.65,161.05,161.15,150.29,23893,0.0,0
2015-09-08,163.2,166.6,163.2,165.4,154.25,60491,0.0,0
2015-09-09,169.45,172.15,169.2,169.6,158.17,106074,0.0,0
2015-09-10,167.0,169.65,165.9,166.9,155.65,75514,0.0,0
2015-09-11,167.4,167.4,165.15,166.25,155.05,39165,0.0,0
2015-09-14,166.2,168.3,163.9,165.5,154.35,31878,0.0,0
2015-09-15,166.85,168.0,165.35,166.85,155.61,41889,0.0,0
2015-09-16,168.45,169.4,166.25,167.5,156.21,58404,0.0,0
2015-09-17,168.2,169.05,167.0,167.4,156.12,60618,0.0,0
2015-09-18,167.4,167.4,160.2,161.35,150.48,112750,0.0,0
2015-09-21,140.95,143.65,126.7,133.7,124.69,1496789,0.0,0
2015-09-22,132.65,132.65,105.0,111.2,103.71,3058738,0.0,0
2015-09-23,111.55,123.6,102.2,118.9,110.89,2381323,0.0,0
2015-09-24,124.0,125.6,117.0,118.9,110.89,1542875,0.0,0
2015-09-25,123.0,123.5,112.4,115.55,107.76,880779,0.0,0
2015-09-28,114.2,114.5,105.0,107.1,99.88,865427,0.0,0
2015-09-29,105.0,108.6,102.0,103.3,96.34,513701,0.0,0
2015-09-30,108.3,109.5,104.0,104.95,97.88,416515,0.0,0
2015-10-01,108.65,110.2,102.75,105.05,97.97,477764,0.0,0
2015-10-02,105.85,106.3,100.0,101.15,94.33,588727,0.0,0
2015-10-05,101.35,104.25,95.0,102.8,95.87,754773,0.0,0
2015-10-06,103.5,107.55,99.2,106.9,99.7,422398,0.0,0
2015-10-07,109.05,117.7,108.9,114.9,107.16,777374,0.0,0
2015-10-08,116.0,121.2,114.35,116.2,108.37,718094,0.0,0
2015-10-09,118.5,133.75,115.8,125.9,117.42,1540333,0.0,0
2015-10-12,129.3,135.0,127.35,132.45,123.52,873447,0.0,0
2015-10-13,133.65,137.7,125.35,130.6,121.8,697957,0.0,0
2015-10-14,128.2,135.6,125.15,128.6,119.93,586262,0.0,0
2015-10-15,130.7,134.25,122.95,123.8,115.46,366474,0.0,0
2015-10-16,125.0,125.2,119.0,121.2,113.03,376013,0.0,0
2015-10-19,119.2,121.5,116.65,118.6,110.61,184634,0.0,0
2015-10-20,118.0,118.65,115.3,116.25,108.42,169602,0.0,0
2015-10-21,117.5,119.95,116.55,119.95,111.87,144825,0.0,0
2015-10-22,121.9,124.5,120.0,123.9,115.55,163884,0.0,0
2015-10-23,126.0,126.3,121.85,121.85,113.64,297384,0.0,0
2015-10-26,123.1,125.4,122.5,125.0,116.58,127997,0.0,0
2015-10-27,125.85,126.45,121.65,121.8,113.59,146572,0.0,0
2015-10-28,124.0,125.6,120.1,124.05,115.69,120174,0.0,0
2015-10-29,125.75,125.9,123.5,125.4,116.95,162434,0.0,0
2015-10-30,126.0,126.45,124.3,126.1,117.6,109445,0.0,0
2015-11-02,126.3,127.5,124.05,126.75,118.21,166285,0.0,0
2015-11-03,122.75,124.5,122.0,124.1,115.74,189196,0.0,0
2015-11-04,116.8,119.95,114.85,117.15,109.26,428246,0.0,0
2015-11-05,117.5,121.05,115.45,120.1,112.01,353465,0.0,0
2015-11-06,121.45,123.15,120.25,121.9,113.69,201406,0.0,0
2015-11-09,122.0,123.5,119.85,120.1,112.01,158148,0.0,0
2015-11-10,120.8,120.8,117.7,119.75,111.68,119026,0.0,0
2015-11-11,120.4,121.25,117.1,118.15,110.19,88432,0.0,0
2015-11-12,118.95,118.95,115.1,117.2,109.3,148744,0.0,0
2015-11-13,116.65,120.4,116.4,118.45,110.47,132245,0.0,0
2015-11-16,119.75,121.3,116.45,116.8,108.93,128892,0.0,0
2015-11-17,117.95,118.3,116.4,117.0,109.12,132337,0.0,0
2015-11-18,117.05,120.6,116.75,120.0,111.91,104740,0.0,0
2015-11-19,121.75,125.9,121.25,125.3,116.86,190867,0.0,0
2015-11-20,125.1,125.45,122.55,123.9,115.55,167973,0.0,0
2015-11-23,120.3,124.65,120.3,124.65,116.25,129848,0.0,0
2015-11-24,125.0,129.8,124.5,127.15,118.58,359133,0.0,0
2015-11-25,129.0,130.7,125.05,130.45,121.66,306819,0.0,0
2015-11-26,134.9,137.85,133.3,134.55,125.48,278321,0.0,0
2015-11-27,135.0,135.25,131.45,134.25,125.2,147845,0.0,0
2015-11-30,135.0,141.3,132.75,141.3,131.78,377482,0.0,0
2015-12-01,142.8,146.5,139.5,139.65,130.24,401846,0.0,0
2015-12-02,140.15,140.8,133.5,137.85,128.56,240243,0.0,0
2015-12-03,137.85,142.35,136.75,136.75,127.53,229427,0.0,0
2015-12-04,137.4,139.75,136.4,137.3,128.05,184766,0.0,0
2015-12-07,138.85,138.85,135.75,136.05,126.88,111041,0.0,0
2015-12-08,136.6,137.3,130.65,132.5,123.57,187728,0.0,0
2015-12-09,133.8,141.85,131.3,140.4,130.94,323912,0.0,0
2015-12-10,142.8,143.75,137.0,139.6,130.19,291470,0.0,0
2015-12-11,140.95,141.6,137.0,137.6,128.33,206879,0.0,0
2015-12-14,138.35,138.95,131.55,131.7,122.83,175701,0.0,0
2015-12-15,134.35,137.4,132.75,134.3,125.25,151706,0.0,0
2015-12-16,135.25,136.3,132.45,134.9,125.81,115120,0.0,0
2015-12-17,138.4,140.3,138.0,139.15,129.77,184872,0.0,0
2015-12-18,139.5,140.8,137.75,140.2,130.75,232874,0.0,0
2015-12-21,140.2,141.8,139.05,139.05,129.68,200623,0.0,0
2015-12-22,141.3,141.95,139.4,141.0,131.5,111834,0.0,0
2015-12-23,141.5,143.6,140.85,143.2,133.55,185698,0.0,0
2015-12-25,143.2,143.2,143.2,143.2,133.55,0,0.0,0
2015-12-28,144.0,144.65,142.25,142.6,132.99,107059,0.0,0
2015-12-29,143.5,144.75,142.35,143.95,134.25,69590,0.0,0
2015-12-30,144.2,144.2,142.3,142.3,132.71,37775,0.0,0
2016-01-04,141.45,141.45,135.85,137.85,128.56,161437,0.0,0
2016-01-05,137.5,137.6,128.7,130.1,121.33,317498,0.0,0
2016-01-06,131.0,133.75,126.9,129.75,121.01,152408,0.0,0
2016-01-07,126.1,126.25,120.6,123.55,115.22,227069,0.0,0
2016-01-08,125.15,128.8,124.0,125.05,116.62,191897,0.0,0
2016-01-11,128.0,130.35,126.35,126.75,118.21,193366,0.0,0
