Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,31.45,31.98,31.21,31.53,25.45,1572717,0.0,0.0
2015-04-27,31.72,32.37,31.1,32.19,25.98,647551,0.0,0.0
2015-04-28,32.26,32.49,31.91,32.05,25.87,880414,0.0,0.0
2015-04-29,32.1,32.38,31.45,31.73,25.61,1093180,0.0,0.0
2015-04-30,31.51,32.01,31.33,31.52,25.45,1494131,0.0,0.0
2015-05-04,31.65,31.92,31.11,31.71,25.6,542278,0.0,0.0
2015-05-05,31.7,31.97,30.83,30.84,24.9,669197,0.0,0.0
2015-05-06,30.68,30.94,30.33,30.59,24.69,1296950,0.0,0.0
2015-05-07,30.51,30.59,29.91,30.37,24.51,851099,0.0,0.0
2015-05-08,30.51,31.18,30.51,31.18,25.17,771602,0.0,0.0
2015-05-11,31.22,31.33,30.93,31.15,25.14,973700,0.0,0.0
2015-05-12,31.07,31.07,30.54,30.76,24.83,863431,0.0,0.0
2015-05-13,30.74,30.9,30.05,30.58,24.69,1451042,0.0,0.0
2015-05-14,30.48,31.42,30.28,31.25,25.23,964442,0.0,0.0
2015-05-15,31.36,31.37,30.36,30.48,24.6,848694,0.0,0.0
2015-05-18,30.66,30.71,30.16,30.48,24.6,656389,0.0,0.0
2015-05-19,30.6,31.09,30.56,30.8,24.86,733804,0.0,0.0
2015-05-20,30.83,30.83,30.41,30.57,24.68,889534,0.0,0.0
2015-05-21,30.45,30.89,30.45,30.83,24.89,479163,0.0,0.0
2015-05-22,30.83,31.0,30.63,30.84,24.89,422036,0.0,0.0
2015-05-25,30.68,30.78,29.55,30.07,24.27,672648,0.0,0.0
2015-05-26,30.25,30.25,29.36,29.49,23.8,1775102,0.0,0.0
2015-05-27,29.6,30.18,29.57,30.1,24.3,7600172,0.0,0.0
2015-05-28,29.92,30.17,29.75,30.01,24.22,1404353,0.0,0.0
2015-05-29,30.04,30.22,29.35,29.35,23.7,1956567,0.0,0.0
2015-06-01,29.44,29.78,29.18,29.39,23.72,766938,0.0,0.0
2015-06-02,29.58,29.64,28.91,29.28,23.63,1429278,0.0,0.0
2015-06-03,29.38,29.38,28.67,28.76,23.22,1217187,0.0,0.0
2015-06-04,28.5,28.7,27.9,28.53,23.03,1262202,0.0,0.0
2015-06-05,28.28,28.62,28.08,28.52,23.02,755216,0.0,0.0
2015-06-08,28.42,28.45,28.0,28.09,22.67,829587,0.0,0.0
2015-06-09,28.05,28.58,27.71,28.41,22.93,1837379,0.0,0.0
2015-06-10,28.35,28.89,28.12,28.78,23.24,1024631,0.0,0.0
2015-06-11,28.78,28.91,28.13,28.32,22.86,1115201,0.0,0.0
2015-06-12,28.16,28.37,27.82,28.1,22.69,1035803,0.0,0.0
2015-06-15,27.9,28.0,27.61,27.89,22.51,779424,0.0,0.0
2015-06-16,27.67,28.07,27.25,28.04,22.63,1101350,0.0,0.0
2015-06-17,28.02,28.14,27.59,27.74,22.39,1296011,0.0,0.0
2015-06-18,27.62,28.03,27.22,28.0,22.6,964582,0.0,0.0
2015-06-19,28.12,28.58,28.0,28.58,23.07,1736292,0.0,0.0
2015-06-22,29.3,29.65,29.14,29.5,23.81,1656637,0.0,0.0
2015-06-23,29.95,30.05,29.7,29.96,24.18,2380741,0.0,0.0
2015-06-24,30.0,30.0,29.65,29.9,24.14,2206504,0.0,0.0
2015-06-25,29.66,30.0,29.56,29.88,24.12,830076,0.0,0.0
2015-06-26,29.67,30.3,29.58,30.09,24.29,860781,0.0,0.0
2015-06-29,28.4,29.42,28.3,28.93,23.36,1591374,0.0,0.0
2015-06-30,28.79,29.25,28.51,28.85,23.29,962374,0.0,0.0
2015-07-01,29.06,29.4,28.8,29.2,23.57,928568,0.0,0.0
2015-07-02,28.6,29.08,28.6,28.79,23.81,2326031,0.703,0.0
2015-07-03,28.79,28.95,28.53,28.87,23.88,895796,0.0,0.0
2015-07-06,28.06,28.39,27.68,27.83,23.01,1129250,0.0,0.0
2015-07-07,27.81,27.91,27.17,27.22,22.51,1198603,0.0,0.0
2015-07-08,27.23,27.48,27.04,27.39,22.65,2126395,0.0,0.0
2015-07-09,27.48,28.15,27.31,28.0,23.16,1100824,0.0,0.0
2015-07-10,28.65,28.83,28.32,28.7,23.74,1598672,0.0,0.0
