Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,14.26,14.27,13.42,13.58,10.91,5453626,0.0,0
2015-04-27,13.61,13.7,13.45,13.52,10.87,2014943,0.0,0
2015-04-28,13.6,13.69,13.36,13.42,10.79,1966119,0.0,0
2015-04-29,13.5,13.51,12.94,13.0,10.45,4674329,0.0,0
2015-04-30,13.02,13.24,12.88,13.06,10.5,3176262,0.0,0
2015-05-04,13.19,13.38,12.95,13.29,10.68,2703248,0.0,0
2015-05-05,13.31,13.62,13.29,13.4,10.77,2793768,0.0,0
2015-05-06,13.52,13.71,13.4,13.62,10.95,2713755,0.0,0
2015-05-07,13.62,13.85,13.24,13.71,11.02,2666673,0.0,0
2015-05-08,13.85,13.89,13.57,13.77,11.06,1634796,0.0,0
2015-05-11,13.84,13.86,13.45,13.52,10.86,1196981,0.0,0
2015-05-12,13.47,13.6,13.2,13.44,10.8,1783332,0.0,0
2015-05-13,13.46,14.03,13.33,13.83,11.12,2439762,0.0,0
2015-05-14,13.8,14.15,13.61,14.05,11.29,1516163,0.0,0
2015-05-15,14.14,14.35,14.02,14.05,11.29,1442471,0.0,0
2015-05-18,14.0,14.3,13.85,13.99,11.24,1271028,0.0,0
2015-05-19,14.03,14.19,13.89,13.94,11.21,1027069,0.0,0
2015-05-20,14.0,14.01,13.77,13.93,11.19,1176540,0.0,0
2015-05-21,13.84,14.17,13.81,14.02,11.26,1347277,0.0,0
2015-05-22,14.02,14.1,13.92,13.98,11.23,1146521,0.0,0
2015-05-25,13.97,13.97,13.4,13.6,10.93,694978,0.0,0
2015-05-26,13.67,14.1,13.65,13.9,11.17,1735410,0.0,0
2015-05-27,13.9,14.15,13.89,14.1,11.34,960294,0.0,0
2015-05-28,14.12,14.33,14.1,14.16,11.38,1239162,0.0,0
2015-05-29,14.21,14.24,13.81,13.9,11.17,1725035,0.0,0
2015-06-01,14.02,14.08,13.81,13.9,11.18,739733,0.0,0
2015-06-02,13.88,14.15,13.73,14.09,11.32,954697,0.0,0
2015-06-03,14.1,14.39,14.06,14.32,11.51,1466577,0.0,0
2015-06-04,14.23,14.26,14.05,14.08,11.32,846462,0.0,0
2015-06-05,13.85,14.0,13.74,13.9,11.17,807272,0.0,0
2015-06-08,13.81,13.9,13.52,13.6,10.93,1230589,0.0,0
2015-06-09,13.6,13.97,13.53,13.91,11.18,1345518,0.0,0
2015-06-10,13.96,14.38,13.95,14.34,11.53,1766810,0.0,0
2015-06-11,14.36,14.6,14.1,14.2,11.42,2495526,0.0,0
2015-06-12,14.15,14.18,13.84,13.99,11.24,988380,0.0,0
2015-06-15,13.88,13.94,13.74,13.74,11.05,1261118,0.0,0
2015-06-16,13.65,13.68,13.08,13.5,10.85,3753650,0.0,0
2015-06-17,13.2,13.24,12.95,12.99,10.8,1779602,0.449,0
2015-06-18,13.03,13.03,12.61,12.9,10.72,1574917,0.0,0
2015-06-19,12.88,13.18,12.83,13.1,10.89,5769872,0.0,0
2015-06-22,13.21,13.35,13.11,13.28,11.04,2473970,0.0,0
2015-06-23,13.45,13.85,13.38,13.72,11.4,3393443,0.0,0
2015-06-24,13.82,13.82,13.42,13.46,11.19,1439590,0.0,0
2015-06-25,13.4,13.55,13.19,13.28,11.04,1313650,0.0,0
2015-06-26,13.18,13.54,13.1,13.44,11.17,1381612,0.0,0
2015-06-29,12.45,12.98,11.6,12.69,10.55,3024368,0.0,0
2015-06-30,12.68,12.72,12.41,12.41,10.32,2183679,0.0,0
2015-07-01,12.59,12.66,12.34,12.51,10.4,2708604,0.0,0
2015-07-02,12.52,12.52,12.27,12.31,10.24,2424174,0.0,0
2015-07-03,12.32,12.34,12.05,12.11,10.07,2860850,0.0,0
2015-07-06,11.85,12.05,11.7,11.93,9.91,1564589,0.0,0
2015-07-07,11.9,11.93,11.31,11.38,9.46,3030855,0.0,0
2015-07-08,11.35,11.49,11.14,11.32,9.42,3077478,0.0,0
2015-07-09,11.4,11.56,11.35,11.44,9.51,1916428,0.0,0
