Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,71.1,71.81,69.14,69.96,69.96,237592,0.0,0
2015-04-27,70.36,70.55,68.91,70.2,70.2,222522,0.0,0
2015-04-28,70.38,71.24,69.01,69.19,69.19,147393,0.0,0
2015-04-29,69.56,69.92,67.11,67.25,67.25,132860,0.0,0
2015-04-30,67.0,68.46,66.73,67.7,67.7,159748,0.0,0
2015-05-04,68.1,68.53,67.16,68.39,68.39,282871,0.0,0
2015-05-05,68.51,70.24,68.09,68.14,68.14,280374,0.0,0
2015-05-06,68.14,70.34,67.56,69.73,69.73,322270,0.0,0
2015-05-07,70.5,70.6,68.49,70.11,70.11,690342,0.0,0
2015-05-08,71.2,71.92,69.97,71.54,71.54,296390,0.0,0
2015-05-11,71.71,72.2,71.28,71.93,71.93,160946,0.0,0
2015-05-12,71.39,71.91,70.44,71.75,71.75,393689,0.0,0
2015-05-13,72.03,72.4,71.36,71.59,71.59,385249,0.0,0
2015-05-14,71.57,72.5,70.89,72.22,72.22,320955,0.0,0
2015-05-15,72.73,72.73,71.37,71.76,71.76,102355,0.0,0
2015-05-18,71.76,72.1,70.87,72.09,72.09,84299,0.0,0
2015-05-19,72.62,73.8,72.42,73.35,73.35,193340,0.0,0
2015-05-20,73.5,73.55,72.71,73.34,73.34,125246,0.0,0
2015-05-21,72.94,73.32,72.72,73.13,73.13,96474,0.0,0
2015-05-22,73.0,73.3,72.46,72.47,72.47,62831,0.0,0
2015-05-25,71.8,71.8,68.74,70.0,70.0,208211,0.0,0
2015-05-26,69.6,70.54,68.29,68.56,68.56,295274,0.0,0
2015-05-27,68.81,70.14,68.81,70.06,70.06,201354,0.0,0
2015-05-28,70.04,70.5,69.84,70.33,70.33,291356,0.0,0
2015-05-29,70.47,70.8,69.38,69.81,69.81,156843,0.0,0
2015-06-01,70.02,71.0,69.51,69.74,69.74,163645,0.0,0
2015-06-02,70.4,70.87,69.25,70.55,70.55,147937,0.0,0
2015-06-03,71.18,71.71,70.7,71.11,71.11,322024,0.0,0
2015-06-04,70.7,70.77,69.06,69.06,69.06,406954,0.0,0
2015-06-05,68.56,69.27,67.65,68.96,68.96,201038,0.0,0
2015-06-08,68.69,68.95,67.98,68.55,68.55,201922,0.0,0
2015-06-09,68.0,68.5,66.93,68.41,68.41,257680,0.0,0
2015-06-10,67.87,68.77,67.01,68.54,68.54,381018,0.0,0
2015-06-11,68.62,69.61,68.3,68.61,68.61,154706,0.0,0
2015-06-12,67.6,67.77,65.72,66.88,66.88,367920,0.0,0
2015-06-15,66.02,66.78,65.15,65.69,65.69,260342,0.0,0
2015-06-16,65.41,65.55,64.25,65.35,65.35,604969,0.0,0
2015-06-17,65.4,66.27,64.97,65.73,65.73,189784,0.0,0
2015-06-18,65.91,66.67,64.75,66.67,66.67,243016,0.0,0
2015-06-19,66.32,67.42,65.35,66.12,66.12,1314190,0.0,0
2015-06-22,67.42,68.88,66.88,68.88,68.88,370015,0.0,0
2015-06-23,69.0,71.36,69.0,70.51,70.51,259523,0.0,0
2015-06-24,70.26,70.5,68.78,69.19,69.19,217697,0.0,0
2015-06-25,69.0,72.35,68.52,71.0,71.0,1147426,0.0,0
2015-06-26,70.65,71.76,69.56,71.28,71.28,339462,0.0,0
2015-06-29,68.05,69.51,68.05,68.5,68.5,371740,0.0,0
2015-06-30,67.9,68.8,66.66,67.73,67.73,256314,0.0,0
2015-07-01,68.15,70.93,67.41,69.53,69.53,359741,0.0,0
2015-07-02,68.0,69.23,65.81,67.44,67.44,333991,2.0,0
2015-07-03,67.83,67.83,66.26,66.62,66.62,111083,0.0,0
2015-07-06,65.34,66.25,64.5,64.63,64.63,166465,0.0,0
2015-07-07,64.54,64.92,62.74,63.18,63.18,309917,0.0,0
2015-07-08,63.2,65.25,62.68,64.37,64.37,411781,0.0,0
2015-07-09,64.8,68.4,64.66,67.82,67.82,387270,0.0,0
2015-07-10,69.47,70.61,68.91,70.33,70.33,263682,0.0,0
2015-07-13,71.0,71.18,70.27,70.56,70.56,191706,0.0,0
2015-07-14,70.75,71.14,69.76,71.14,71.14,236155,0.0,0
