Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,12.42,12.49,12.34,12.48,10.75,160654,0.0,0
2015-04-27,12.49,12.58,12.35,12.54,10.8,98962,0.0,0
2015-04-28,12.58,12.58,12.09,12.21,10.52,141295,0.0,0
2015-04-29,12.31,12.31,11.81,11.81,10.17,178985,0.0,0
2015-04-30,11.82,12.13,11.63,12.09,10.41,357886,0.0,0
2015-05-04,12.45,12.45,11.95,12.13,10.45,209133,0.0,0
2015-05-05,12.22,12.4,11.86,11.89,10.24,255393,0.0,0
2015-05-06,12.05,12.05,11.7,11.81,10.17,147401,0.0,0
2015-05-07,12.0,12.02,11.62,12.02,10.35,148113,0.0,0
2015-05-08,12.09,12.13,11.88,12.06,10.39,68900,0.0,0
2015-05-11,12.15,12.26,12.05,12.15,10.46,159589,0.0,0
2015-05-12,12.09,12.31,11.8,12.29,10.58,260992,0.0,0
2015-05-13,12.3,12.32,12.08,12.26,10.56,156276,0.0,0
2015-05-14,12.24,12.25,12.06,12.23,10.54,77516,0.0,0
2015-05-15,12.22,12.25,12.04,12.22,10.52,83567,0.0,0
2015-05-18,12.25,12.25,11.95,12.25,10.55,125676,0.0,0
2015-05-19,12.25,12.59,12.12,12.58,10.83,307699,0.0,0
2015-05-20,12.62,12.91,12.61,12.78,11.01,470097,0.0,0
2015-05-21,12.79,12.82,12.71,12.76,10.99,171360,0.0,0
2015-05-22,12.75,12.83,12.73,12.75,10.98,148342,0.0,0
2015-05-25,12.71,12.82,12.52,12.67,10.92,334378,0.0,0
2015-05-26,12.59,12.8,12.59,12.76,10.99,325828,0.0,0
2015-05-27,12.76,13.11,12.75,13.05,11.24,374653,0.0,0
2015-05-28,13.05,13.1,12.9,12.92,11.13,188108,0.0,0
2015-05-29,12.88,12.91,12.76,12.87,11.08,410255,0.0,0
2015-06-01,13.02,13.02,12.71,12.93,11.14,190886,0.0,0
2015-06-02,13.06,13.19,12.83,13.14,11.32,212246,0.0,0
2015-06-03,13.26,13.44,13.12,13.26,11.42,193809,0.0,0
2015-06-04,13.18,13.32,12.94,13.13,11.31,265579,0.0,0
2015-06-05,13.1,13.1,12.77,12.88,11.09,163394,0.0,0
2015-06-08,12.85,12.85,12.54,12.64,10.89,177445,0.0,0
2015-06-09,12.54,12.68,12.4,12.56,10.82,237407,0.0,0
2015-06-10,12.57,12.87,12.46,12.79,11.02,263750,0.0,0
2015-06-11,12.85,13.33,12.85,13.23,11.39,259053,0.0,0
2015-06-12,13.16,13.17,12.87,13.01,11.2,196752,0.0,0
2015-06-15,12.97,13.04,12.67,12.79,11.01,273139,0.0,0
2015-06-16,12.78,13.0,12.42,13.0,11.19,293753,0.0,0
2015-06-17,13.0,13.01,12.61,12.61,10.86,122044,0.0,0
2015-06-18,12.61,12.67,12.4,12.63,10.88,212052,0.0,0
2015-06-19,12.69,13.13,12.66,12.92,11.13,420005,0.0,0
2015-06-22,13.18,13.37,13.16,13.33,11.48,216160,0.0,0
2015-06-23,13.38,13.47,13.27,13.42,11.56,150309,0.0,0
2015-06-24,13.42,13.42,13.16,13.37,11.52,128205,0.0,0
2015-06-25,13.21,13.42,13.18,13.42,11.56,86462,0.0,0
2015-06-26,13.38,13.67,13.33,13.59,11.71,111978,0.0,0
2015-06-29,12.52,13.32,12.11,12.94,11.15,604751,0.0,0
2015-06-30,12.91,13.21,12.69,12.96,11.16,193375,0.0,0
2015-07-01,13.13,13.51,13.08,13.36,11.5,541655,0.0,0
2015-07-02,13.29,13.46,13.02,13.11,11.29,110363,0.0,0
2015-07-03,12.93,13.25,12.81,12.83,11.13,372715,0.1,0
2015-07-06,12.67,12.81,12.59,12.7,11.02,180545,0.0,0
2015-07-07,12.8,12.8,12.49,12.56,10.9,165466,0.0,0
2015-07-08,12.59,12.59,12.34,12.44,10.8,222004,0.0,0
2015-07-09,12.62,12.67,12.4,12.59,10.93,272038,0.0,0
2015-07-10,12.89,13.05,12.73,12.78,11.09,188821,0.0,0
2015-07-13,12.8,13.0,12.75,12.95,11.24,157766,0.0,0
2015-07-14,12.89,12.89,12.28,12.45,10.8,580008,0.0,0
2015-07-15,12.53,12.77,12.44,12.67,10.99,742144,0.0,0
