Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,27.81,28.12,27.67,28.08,19.82,1607417,0.0,0
2015-04-27,28.2,28.67,27.82,28.48,20.1,2121637,0.0,0
2015-04-28,28.39,28.65,28.03,28.16,19.87,1952182,0.0,0
2015-04-29,28.22,28.45,27.56,27.56,19.45,2127532,0.0,0
2015-04-30,27.53,27.92,27.47,27.51,19.42,1973325,0.0,0
2015-05-04,27.71,27.95,27.5,27.72,19.57,731881,0.0,0
2015-05-05,27.78,28.09,26.8,26.8,18.92,2032863,0.0,0
2015-05-06,26.8,26.86,26.26,26.53,18.73,2325951,0.0,0
2015-05-07,26.52,26.54,25.95,26.39,18.62,2361854,0.0,0
2015-05-08,26.73,27.05,26.51,27.05,19.09,1672893,0.0,0
2015-05-11,27.11,27.32,26.85,27.28,19.26,1487146,0.0,0
2015-05-12,27.14,27.14,26.63,26.84,18.95,1228371,0.0,0
2015-05-13,26.97,27.13,26.82,26.9,18.99,1213594,0.0,0
2015-05-14,26.91,26.99,26.7,26.91,18.99,899452,0.0,0
2015-05-15,27.07,27.19,26.92,27.07,19.11,846661,0.0,0
2015-05-18,27.18,27.2,26.85,27.13,19.15,834674,0.0,0
2015-05-19,27.17,27.28,26.99,27.01,19.07,3268015,0.0,0
2015-05-20,26.65,26.93,26.56,26.88,18.97,14535459,0.0,0
2015-05-21,26.8,27.27,26.8,27.26,19.24,1481300,0.0,0
2015-05-22,27.31,27.52,27.22,27.35,19.3,1111742,0.0,0
2015-05-25,27.05,27.25,26.12,26.3,18.56,2321733,0.0,0
2015-05-26,26.25,26.37,25.98,26.15,18.46,6753141,0.0,0
2015-05-27,26.11,26.46,26.09,26.39,18.63,4916877,0.0,0
2015-05-28,26.3,26.54,26.24,26.36,18.61,2173024,0.0,0
2015-05-29,26.35,26.41,26.18,26.18,18.48,4362715,0.0,0
2015-06-01,26.29,26.48,26.18,26.3,18.56,1106154,0.0,0
2015-06-02,26.45,26.49,26.12,26.26,18.54,2095821,0.0,0
2015-06-03,26.39,26.58,26.16,26.25,18.53,1263120,0.0,0
2015-06-04,26.17,26.18,25.62,25.67,18.12,2004988,0.0,0
2015-06-05,25.6,25.72,25.43,25.49,17.99,1406279,0.0,0
2015-06-08,25.4,25.53,25.16,25.27,17.84,1416714,0.0,0
2015-06-09,25.29,25.32,25.07,25.12,17.73,1107728,0.0,0
2015-06-10,25.05,25.29,25.02,25.25,17.83,1766794,0.0,0
2015-06-11,25.21,25.52,25.1,25.3,17.85,1921053,0.0,0
2015-06-12,25.28,25.41,24.98,25.19,17.78,1225858,0.0,0
2015-06-15,24.95,25.11,24.68,24.93,17.6,1761283,0.0,0
2015-06-16,24.83,25.05,24.55,24.92,17.59,2681929,0.0,0
2015-06-17,24.95,25.12,24.88,24.98,17.63,2528557,0.0,0
2015-06-18,24.96,25.3,24.7,25.3,17.85,6865835,0.0,0
2015-06-19,25.27,25.6,25.18,25.24,17.81,2185548,0.0,0
2015-06-22,25.7,26.06,25.66,26.0,18.35,8762391,0.0,0
2015-06-23,26.31,26.31,25.86,25.89,18.27,6564511,0.0,0
2015-06-24,25.97,25.97,25.45,25.6,18.07,2231735,0.0,0
2015-06-25,25.52,25.85,25.41,25.5,18.0,13655264,0.0,0
2015-06-26,25.44,25.66,25.35,25.61,18.08,3603277,0.0,0
2015-06-29,24.61,25.2,24.45,24.76,17.48,4080540,0.0,0
2015-06-30,24.72,24.85,24.4,24.4,17.22,2079179,0.0,0
2015-07-01,24.62,24.76,24.26,24.45,17.26,4019650,0.0,0
2015-07-02,23.9,24.36,23.75,24.36,17.76,18728035,0.78,0
2015-07-03,24.4,24.46,24.11,24.37,17.77,1975821,0.0,0
2015-07-06,23.91,24.37,23.83,23.86,17.4,5598975,0.0,0
2015-07-07,23.88,24.11,23.51,23.53,17.16,4935988,0.0,0
2015-07-08,23.51,23.77,23.5,23.64,17.24,2479527,0.0,0
2015-07-09,23.76,24.22,23.64,24.14,17.6,6807939,0.0,0
