Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,8.075,8.091,7.931,7.998,6.4872,9082564,0.0,0
2015-04-27,8.03,8.173,7.884,8.173,6.6292,3037926,0.0,0
2015-04-28,8.217,8.246,7.88,7.998,6.4872,5321734,0.0,0
2015-04-29,8.045,8.1,7.732,7.756,6.2909,18648988,0.0,0
2015-04-30,7.768,7.769,7.353,7.48,6.0671,6885617,0.0,0
2015-05-04,7.564,7.918,7.537,7.801,6.3274,4118508,0.0,0
2015-05-05,7.78,7.79,7.293,7.294,5.9162,7339994,0.0,0
2015-05-06,7.35,7.415,7.165,7.335,5.9495,6913005,0.0,0
2015-05-07,7.327,7.635,7.143,7.6,6.1644,7517295,0.0,0
2015-05-08,7.722,7.91,7.695,7.86,6.3753,11061244,0.0,0
2015-05-11,7.855,7.94,7.814,7.885,6.3956,4616859,0.0,0
2015-05-12,7.82,7.82,7.61,7.673,6.2236,6989107,0.0,0
2015-05-13,7.695,7.93,7.675,7.725,6.2658,7126567,0.0,0
2015-05-14,7.763,7.85,7.63,7.837,6.3566,2721357,0.0,0
2015-05-15,7.865,7.89,7.78,7.843,6.3615,3765620,0.0,0
2015-05-18,7.877,7.918,7.75,7.86,6.3753,7005513,0.0,0
2015-05-19,7.92,8.05,7.852,7.887,6.3972,3878478,0.0,0
2015-05-20,7.95,8.12,7.856,7.966,6.4613,13284440,0.0,0
2015-05-21,7.853,7.902,7.773,7.808,6.3331,4033045,0.0,0
2015-05-22,7.809,7.816,7.571,7.63,6.1888,7414190,0.0,0
2015-05-25,7.6,7.65,7.531,7.56,6.132,2283517,0.0,0
2015-05-26,7.633,7.763,7.632,7.68,6.2293,5913228,0.0,0
2015-05-27,7.681,7.96,7.68,7.921,6.4248,7695961,0.0,0
2015-05-28,7.908,8.055,7.869,7.976,6.4694,11289841,0.0,0
2015-05-29,8.008,8.021,7.692,7.694,6.2407,4473065,0.0,0
2015-06-01,7.747,7.904,7.747,7.804,6.3299,3298181,0.0,0
2015-06-02,7.829,7.863,7.644,7.644,6.2001,5620297,0.0,0
2015-06-03,7.692,7.714,7.412,7.412,6.0119,6393042,0.0,0
2015-06-04,7.4,7.404,7.135,7.154,5.8027,7667247,0.0,0
2015-06-05,7.115,7.304,7.063,7.28,5.9049,5698756,0.0,0
2015-06-08,7.3,7.3,7.096,7.096,5.7556,3072238,0.0,0
2015-06-09,7.09,7.191,7.024,7.068,5.7329,6883976,0.0,0
2015-06-10,7.014,7.213,7.0,7.181,5.8246,3806695,0.0,0
2015-06-11,7.198,7.248,7.113,7.161,5.8083,4350432,0.0,0
2015-06-12,7.15,7.23,7.044,7.161,5.8083,3779106,0.0,0
2015-06-15,7.078,7.108,6.987,7.03,5.7021,3069765,0.0,0
2015-06-16,6.976,6.998,6.783,6.96,5.6453,6791075,0.0,0
2015-06-17,7.0,7.025,6.882,6.893,5.591,4835632,0.0,0
2015-06-18,6.886,7.005,6.714,6.981,5.6623,4172156,0.0,0
2015-06-19,6.981,7.138,6.98,7.081,5.7435,9723521,0.0,0
2015-06-22,7.267,7.31,7.186,7.296,5.9178,3741615,0.0,0
2015-06-23,7.397,7.484,7.33,7.408,6.0087,5079357,0.0,0
2015-06-24,7.43,7.446,7.253,7.268,5.8951,8019862,0.0,0
2015-06-25,7.22,7.305,7.192,7.243,5.8749,4833523,0.0,0
2015-06-26,7.214,7.306,7.169,7.246,5.8773,2285460,0.0,0
2015-06-29,6.818,7.1,6.75,6.957,5.6429,13819776,0.0,0
2015-06-30,6.92,7.043,6.886,6.976,5.6583,4624488,0.0,0
2015-07-01,7.025,7.175,7.025,7.085,5.7467,3400253,0.0,0
2015-07-02,7.08,7.12,6.876,6.88,5.5804,4333252,0.0,0
2015-07-03,6.905,6.966,6.82,6.83,5.5399,3751244,0.0,0
2015-07-06,6.728,6.884,6.71,6.82,5.5318,2977175,0.0,0
2015-07-07,6.84,7.042,6.826,6.873,5.5747,7893437,0.0,0
2015-07-08,6.891,6.98,6.814,6.838,5.5464,5384580,0.0,0
2015-07-09,6.86,7.198,6.86,7.154,5.8027,6140207,0.0,0
2015-07-10,7.39,7.42,7.262,7.369,5.9771,6392004,0.0,0
2015-07-13,7.52,7.749,7.5,7.731,6.2707,5685089,0.0,0
2015-07-14,7.788,7.835,7.665,7.801,6.3274,9039480,0.0,0
2015-07-15,7.817,7.883,7.78,7.866,6.3802,3104285,0.0,0
2015-07-16,7.9,7.995,7.89,7.989,6.4799,5248193,0.0,0
2015-07-17,8.0,8.178,7.966,8.152,6.6121,5720541,0.0,0
2015-07-20,8.2,8.26,8.152,8.198,6.6495,5292733,0.0,0
2015-07-21,8.23,8.249,7.958,7.974,6.4678,6367157,0.0,0
2015-07-22,7.957,8.159,7.878,8.159,6.6178,3750926,0.0,0
2015-07-23,8.204,8.228,8.044,8.115,6.5821,3108528,0.0,0
2015-07-24,8.13,8.19,7.939,7.966,6.4613,8348224,0.0,0
2015-07-27,7.923,7.93,7.664,7.733,6.2723,4106334,0.0,0
2015-07-28,7.827,7.914,7.758,7.858,6.3737,5018021,0.0,0
2015-07-29,7.928,7.928,7.771,7.813,6.3372,4093206,0.0,0
2015-07-30,7.843,7.903,7.676,7.741,6.2788,7274252,0.0,0
2015-07-31,7.855,7.865,7.473,7.572,6.1417,10129112,0.0,0
2015-08-03,7.61,7.885,7.55,7.847,6.3648,2953459,0.0,0
2015-08-04,7.772,7.817,7.65,7.773,6.3047,4276686,0.0,0
2015-08-05,7.846,7.945,7.81,7.92,6.424,5598174,0.0,0
2015-08-06,7.885,7.949,7.798,7.8,6.3266,3640425,0.0,0
2015-08-07,7.778,7.8,7.714,7.763,6.2966,7190294,0.0,0
2015-08-10,7.81,7.909,7.67,7.868,6.3818,2091807,0.0,0
2015-08-11,7.86,7.863,7.74,7.74,6.278,5047978,0.0,0
2015-08-12,7.65,7.666,7.28,7.35,5.9616,5500881,0.0,0
2015-08-13,7.521,7.618,7.47,7.526,6.1044,3954223,0.0,0
2015-08-14,7.556,7.688,7.536,7.63,6.1888,4637932,0.0,0
2015-08-17,7.759,7.79,7.51,7.65,6.205,2703130,0.0,0
2015-08-18,7.639,7.849,7.606,7.816,6.3396,2360764,0.0,0
2015-08-19,7.758,7.791,7.627,7.648,6.2034,5926138,0.0,0
2015-08-20,7.6,7.648,7.381,7.414,6.0136,4333220,0.0,0
2015-08-21,7.25,7.379,7.078,7.092,5.7524,4389017,0.0,0
2015-08-24,6.865,6.994,6.48,6.724,5.4539,9825256,0.0,0
2015-08-25,6.84,7.175,6.788,7.121,5.7759,5033317,0.0,0
2015-08-26,7.032,7.322,6.923,7.237,5.87,6351439,0.0,0
2015-08-27,7.46,7.54,7.368,7.466,6.0557,6770456,0.0,0
2015-08-28,7.486,7.492,7.301,7.375,5.9819,8182389,0.0,0
2015-08-31,7.338,7.492,7.31,7.439,6.0338,2566583,0.0,0
2015-09-01,7.29,7.31,7.079,7.208,5.8465,3986303,0.0,0
2015-09-02,7.25,7.431,7.156,7.4,6.0022,3667759,0.0,0
2015-09-03,7.58,7.823,7.567,7.719,6.2609,8027452,0.0,0
2015-09-04,7.622,7.857,7.586,7.73,6.2699,4145699,0.0,0
2015-09-07,7.806,7.849,7.633,7.701,6.2463,2525070,0.0,0
2015-09-08,7.74,7.965,7.725,7.823,6.3453,4248268,0.0,0
2015-09-09,7.99,8.112,7.941,7.967,6.4621,4576392,0.0,0
2015-09-10,7.862,8.053,7.813,7.994,6.484,3341079,0.0,0
2015-09-11,8.008,8.032,7.896,7.968,6.4629,2110307,0.0,0
2015-09-14,8.019,8.105,7.988,8.04,6.5213,2021158,0.0,0
2015-09-15,8.066,8.169,8.008,8.112,6.5797,4639443,0.0,0
2015-09-16,8.18,8.245,8.144,8.24,6.6835,6331096,0.0,0
2015-09-17,8.25,8.399,8.164,8.291,6.7249,5615962,0.0,0
2015-09-18,8.25,8.287,8.115,8.231,6.6762,6107618,0.0,0
2015-09-21,8.188,8.3,8.049,8.24,6.6835,5407281,0.0,0
2015-09-22,8.23,8.254,7.817,7.819,6.342,6769820,0.0,0
2015-09-23,7.83,8.193,7.808,8.114,6.5813,7794951,0.0,0
2015-09-24,8.09,8.101,7.789,7.852,6.3688,3417350,0.0,0
2015-09-25,8.049,8.2,8.049,8.17,6.6267,2906003,0.0,0
2015-09-28,8.103,8.198,7.95,7.96,6.4564,3990584,0.0,0
2015-09-29,7.884,7.971,7.686,7.686,6.2342,12754315,0.0,0
2015-09-30,7.885,7.99,7.835,7.964,6.4597,5528894,0.0,0
2015-10-01,8.02,8.1,7.823,7.87,6.3834,4207943,0.0,0
2015-10-02,7.961,8.004,7.558,7.721,6.2626,17126803,0.0,0
2015-10-05,7.885,7.935,7.783,7.93,6.4321,7427251,0.0,0
2015-10-06,7.951,8.12,7.894,7.928,6.4305,3827060,0.0,0
2015-10-07,7.939,7.939,7.55,7.55,6.1239,10774061,0.0,0
2015-10-08,7.562,7.648,7.486,7.568,6.1385,11693227,0.0,0
2015-10-09,7.61,7.635,7.48,7.576,6.145,7530230,0.0,0
2015-10-12,7.602,7.748,7.596,7.681,6.2301,2855513,0.0,0
2015-10-13,7.725,7.785,7.632,7.721,6.2626,6244126,0.0,0
2015-10-14,7.72,7.84,7.618,7.783,6.3128,7072778,0.0,0
2015-10-15,7.845,7.96,7.738,7.95,6.4483,12392099,0.0,0
2015-10-16,7.99,8.098,7.959,8.098,6.5683,4999740,0.0,0
2015-10-19,8.072,8.259,8.06,8.245,6.6876,3844906,0.0,0
2015-10-20,8.26,8.278,8.081,8.09,6.5619,4069380,0.0,0
2015-10-21,8.157,8.157,7.908,8.094,6.5651,6626445,0.0,0
2015-10-22,8.101,8.171,7.95,8.126,6.5911,5794907,0.0,0
2015-10-23,8.195,8.366,8.165,8.33,6.7565,5485183,0.0,0
2015-10-26,8.321,8.509,8.285,8.464,6.8652,8470256,0.0,0
2015-10-27,8.45,8.516,8.384,8.477,6.8758,6403386,0.0,0
2015-10-28,8.5,8.54,8.401,8.444,6.849,3454291,0.0,0
2015-10-29,8.54,8.629,8.26,8.326,6.7533,4094262,0.0,0
2015-10-30,8.34,8.34,7.907,8.15,6.6105,8378641,0.0,0
2015-11-02,8.021,8.256,7.957,8.22,6.6673,4446525,0.0,0
2015-11-03,8.251,8.294,8.172,8.212,6.6608,4413392,0.0,0
2015-11-04,8.278,8.319,8.19,8.201,6.6519,4651994,0.0,0
2015-11-05,8.19,8.306,8.093,8.15,6.6105,2948799,0.0,0
2015-11-06,8.296,8.493,8.263,8.439,6.8449,7833983,0.0,0
2015-11-09,8.465,8.53,8.325,8.374,6.7922,3899222,0.0,0
2015-11-10,8.431,8.572,8.365,8.565,6.9471,5506460,0.0,0
2015-11-11,8.557,8.72,8.557,8.694,7.0518,8551753,0.0,0
2015-11-12,8.573,8.573,8.266,8.423,6.832,7263753,0.0,0
2015-11-13,8.431,8.508,8.321,8.393,6.8076,4121106,0.0,0
2015-11-16,8.228,8.237,7.998,8.175,6.6308,6285656,0.0,0
2015-11-17,8.27,8.468,8.248,8.453,6.8563,5591082,0.0,0
2015-11-18,8.358,8.39,8.174,8.19,6.643,7303562,0.0,0
2015-11-19,8.3,8.356,8.22,8.321,6.7492,5806377,0.0,0
2015-11-20,8.359,8.359,8.215,8.23,6.6754,3217234,0.0,0
2015-11-23,8.213,8.236,8.062,8.095,6.5659,5525333,0.0,0
2015-11-24,8.063,8.063,7.694,7.803,6.3291,14946848,0.0,0
2015-11-25,7.8,7.94,7.729,7.87,6.3834,18914683,0.0,0
2015-11-26,7.879,8.139,7.84,8.08,6.5537,7043977,0.0,0
2015-11-27,8.041,8.116,7.95,8.03,6.5132,4017385,0.0,0
2015-11-30,8.028,8.238,8.01,8.067,6.5432,8274353,0.0,0
2015-12-01,8.151,8.247,8.132,8.2,6.6511,20251536,0.0,0
2015-12-02,8.25,8.39,8.21,8.283,6.7184,22468652,0.0,0
2015-12-03,8.297,8.37,7.954,7.985,6.4767,8196227,0.0,0
2015-12-04,7.99,8.15,7.89,8.109,6.5773,14388795,0.0,0
2015-12-07,8.114,8.265,8.101,8.155,6.6972,5066997,0.1,0
2015-12-08,8.198,8.311,7.985,8.066,6.6241,26922951,0.0,0
2015-12-09,8.049,8.069,7.915,7.931,6.5132,20868086,0.0,0
2015-12-10,7.9,8.066,7.822,7.951,6.5296,13244073,0.0,0
2015-12-11,7.926,7.987,7.832,7.832,6.4319,15728508,0.0,0
2015-12-14,7.883,8.028,7.752,7.764,6.3761,6422854,0.0,0
2015-12-15,7.827,8.047,7.77,8.02,6.5863,4884752,0.0,0
2015-12-16,8.152,8.154,8.024,8.035,6.5986,6704213,0.0,0
2015-12-17,8.213,8.378,8.186,8.247,6.7727,7589550,0.0,0
2015-12-18,8.145,8.225,8.03,8.08,6.6356,6278886,0.0,0
2015-12-21,7.96,8.195,7.906,8.06,6.6192,5500885,0.0,0
2015-12-22,8.166,8.202,7.99,8.01,6.5781,2885668,0.0,0
2015-12-23,8.1,8.18,8.034,8.16,6.7013,2620180,0.0,0
2015-12-24,8.194,8.23,8.141,8.22,6.7506,1789491,0.0,0
2015-12-28,8.17,8.272,8.125,8.132,6.6783,2990883,0.0,0
2015-12-29,8.223,8.275,8.204,8.265,6.7875,3888846,0.0,0
2015-12-30,8.276,8.378,8.241,8.339,6.8483,2117270,0.0,0
2015-12-31,8.3,8.334,8.24,8.275,6.7957,1055588,0.0,0
2016-01-04,8.147,8.19,8.054,8.096,6.6487,8533818,0.0,0
2016-01-05,8.189,8.37,8.156,8.34,6.8491,2961971,0.0,0
2016-01-06,8.37,8.378,8.163,8.241,6.7678,2803218,0.0,0
2016-01-07,8.001,8.092,7.815,7.922,6.5058,5302013,0.0,0
2016-01-08,7.996,8.096,7.857,7.868,6.4615,4197284,0.0,0
2016-01-11,7.85,7.95,7.785,7.88,6.4713,3887638,0.0,0
2016-01-12,7.883,8.13,7.876,7.95,6.5288,3715435,0.0,0
2016-01-13,8.078,8.102,7.807,7.85,6.4467,5106974,0.0,0
2016-01-14,7.8,7.8,7.425,7.478,6.1412,8223052,0.0,0
2016-01-15,7.51,7.568,7.173,7.204,5.9162,6617401,0.0,0
2016-01-18,7.209,7.413,7.13,7.15,5.8718,6081124,0.0,0
2016-01-19,7.35,7.392,7.254,7.3,5.995,4785056,0.0,0
2016-01-20,7.17,7.185,7.037,7.08,5.8143,6616050,0.0,0
2016-01-21,7.085,7.244,7.057,7.227,5.9351,4933723,0.0,0
2016-01-22,7.368,7.448,7.284,7.39,6.0689,4108508,0.0,0
2016-01-25,7.435,7.478,7.353,7.387,6.0665,3751864,0.0,0
2016-01-26,7.29,7.49,7.231,7.401,6.078,4084259,0.0,0
2016-01-27,7.371,7.422,7.218,7.25,5.954,8712402,0.0,0
2016-01-28,7.21,7.247,6.78,6.881,5.6509,9332608,0.0,0
2016-01-29,7.029,7.074,6.714,7.074,5.8094,5782317,0.0,0
2016-02-01,7.135,7.34,7.084,7.34,6.0279,5090977,0.0,0
2016-02-02,7.3,7.319,7.084,7.116,5.8439,3757061,0.0,0
2016-02-03,7.126,7.136,6.816,6.902,5.6682,4496779,0.0,0
2016-02-04,6.983,7.005,6.568,6.693,5.4965,10118874,0.0,0
2016-02-05,6.723,6.792,6.576,6.59,5.4119,7237971,0.0,0
2016-02-08,6.72,6.72,6.084,6.109,5.0169,8769661,0.0,0
2016-02-09,6.05,6.232,6.009,6.162,5.0604,10268290,0.0,0
2016-02-10,6.255,6.58,6.2,6.529,5.3618,9014886,0.0,0
2016-02-11,6.494,6.494,6.082,6.082,4.9948,7915225,0.0,0
2016-02-12,6.22,6.255,6.095,6.18,5.0752,7315077,0.0,0
2016-02-15,6.43,6.576,6.403,6.531,5.3635,11289139,0.0,0
2016-02-16,6.62,6.76,6.546,6.656,5.4661,8101791,0.0,0
2016-02-17,6.66,6.825,6.621,6.78,5.568,9735454,0.0,0
2016-02-18,6.827,7.091,6.77,6.993,5.7429,4895080,0.0,0
2016-02-19,6.952,7.047,6.872,7.013,5.7593,6468292,0.0,0
2016-02-22,7.096,7.13,6.875,6.896,5.6632,4944899,0.0,0
2016-02-23,6.86,7.075,6.812,7.034,5.7766,5170789,0.0,0
2016-02-24,7.002,7.032,6.633,6.676,5.4826,7060030,0.0,0
2016-02-25,6.73,7.095,6.73,7.069,5.8053,4543080,0.0,0
2016-02-26,7.15,7.225,6.72,6.84,5.6172,9428071,0.0,0
2016-02-29,6.84,7.065,6.778,7.048,5.7881,5768270,0.0,0
2016-03-01,7.017,7.13,6.953,7.116,5.8439,10043727,0.0,0
2016-03-02,7.152,7.234,7.05,7.086,5.8193,6793406,0.0,0
2016-03-03,7.101,7.122,6.851,6.9,5.6665,6357183,0.0,0
2016-03-04,6.911,7.088,6.883,7.038,5.7799,4946603,0.0,0
2016-03-07,7.045,7.047,6.934,6.983,5.7347,3238688,0.0,0
2016-03-08,6.96,6.961,6.843,6.852,5.6271,4256340,0.0,0
2016-03-09,6.86,7.135,6.85,6.906,5.6714,5245148,0.0,0
