Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,11.06,11.15,10.97,11.02,11.02,1168442,0,0
2015-04-27,11.08,11.52,10.95,11.52,11.52,1617446,0,0
2015-04-28,11.51,11.52,11.23,11.31,11.31,1635337,0,0
2015-04-29,11.31,11.31,10.81,10.82,10.82,3795677,0,0
2015-04-30,10.7,10.74,10.48,10.56,10.56,2552000,0,0
2015-05-04,10.65,10.84,10.65,10.71,10.71,2015525,0,0
2015-05-05,10.69,10.76,10.34,10.34,10.34,1910018,0,0
2015-05-06,10.3,10.44,10.21,10.39,10.39,1768729,0,0
2015-05-07,10.41,10.43,10.23,10.3,10.3,1494268,0,0
2015-05-08,10.32,10.46,10.27,10.45,10.45,1048601,0,0
2015-05-11,10.4,10.66,10.39,10.45,10.45,1662032,0,0
2015-05-12,9.55,9.75,9.3,9.7,9.7,7708558,0,0
2015-05-13,9.77,9.77,9.07,9.24,9.24,6981062,0,0
2015-05-14,9.24,9.57,9.11,9.48,9.48,3245983,0,0
2015-05-15,9.55,9.55,9.32,9.35,9.35,1378121,0,0
2015-05-18,9.35,9.39,9.2,9.35,9.35,1989640,0,0
2015-05-19,9.43,9.43,9.18,9.3,9.3,2793754,0,0
2015-05-20,9.31,9.35,9.22,9.33,9.33,1198754,0,0
2015-05-21,9.3,9.38,9.23,9.25,9.25,1352108,0,0
2015-05-22,9.22,9.26,9.11,9.11,9.11,2138499,0,0
2015-05-25,9.09,9.09,8.85,8.95,8.95,969540,0,0
2015-05-26,8.96,9.19,8.82,9.09,9.09,1712090,0,0
2015-05-27,9.14,9.28,9.03,9.23,9.23,2531228,0,0
2015-05-28,9.25,9.25,9.0,9.02,9.02,2490132,0,0
2015-05-29,9.06,9.11,8.82,8.82,8.82,1780595,0,0
2015-06-01,8.85,8.92,8.82,8.88,8.88,2268653,0,0
2015-06-02,8.93,8.94,8.73,8.84,8.84,2346362,0,0
2015-06-03,8.84,9.03,8.83,8.93,8.93,1644993,0,0
2015-06-04,8.88,9.01,8.83,8.91,8.91,1097188,0,0
2015-06-05,8.83,8.91,8.78,8.81,8.81,1244554,0,0
2015-06-08,8.82,8.85,8.75,8.78,8.78,1530526,0,0
2015-06-09,8.77,8.85,8.72,8.83,8.83,1282543,0,0
2015-06-10,8.78,9.06,8.78,9.05,9.05,1396629,0,0
2015-06-11,9.05,9.19,9.04,9.13,9.13,1519365,0,0
2015-06-12,9.1,9.12,8.86,8.94,8.94,1243857,0,0
2015-06-15,8.84,8.92,8.8,8.82,8.82,1288736,0,0
2015-06-16,8.82,9.18,8.76,9.18,9.18,2037316,0,0
2015-06-17,9.2,9.29,9.05,9.23,9.23,1651334,0,0
2015-06-18,9.2,9.46,9.19,9.41,9.41,3049158,0,0
2015-06-19,9.41,9.55,9.38,9.55,9.55,2455958,0,0
2015-06-22,9.7,9.92,9.64,9.89,9.89,3239320,0,0
2015-06-23,9.97,9.97,9.72,9.73,9.73,3080444,0,0
2015-06-24,9.7,9.7,9.48,9.55,9.55,1310715,0,0
2015-06-25,9.55,9.59,9.48,9.51,9.51,1254599,0,0
2015-06-26,9.46,9.68,9.35,9.62,9.62,1278103,0,0
2015-06-29,9.05,9.38,8.9,9.26,9.26,1402000,0,0
2015-06-30,9.25,9.32,9.16,9.22,9.22,856640,0,0
2015-07-01,9.3,9.37,9.22,9.27,9.27,849780,0,0
2015-07-02,9.26,9.28,9.03,9.04,9.04,933146,0,0
2015-07-03,9.09,9.09,8.94,9.01,9.01,1205346,0,0
2015-07-06,8.91,9.25,8.88,9.15,9.15,1624621,0,0
2015-07-07,9.24,9.33,9.03,9.16,9.16,1339548,0,0
2015-07-08,9.42,10.77,9.42,10.34,10.34,5383032,0,0
2015-07-09,10.35,10.95,10.34,10.85,10.85,2922695,0,0
2015-07-10,10.97,11.09,10.55,10.69,10.69,3705750,0,0
2015-07-13,10.7,10.85,10.55,10.81,10.81,2183050,0,0
2015-07-14,10.85,10.85,10.57,10.74,10.74,1232566,0,0
2015-07-15,10.76,11.18,10.73,11.03,11.03,2330443,0,0
2015-07-16,11.05,11.2,10.97,10.99,10.99,1237776,0,0
2015-07-17,10.98,11.02,10.85,10.92,10.92,893189,0,0
2015-07-20,10.85,11.1,10.85,11.06,11.06,1198545,0,0
2015-07-21,11.08,11.12,11.0,11.07,11.07,1662985,0,0
2015-07-22,10.98,11.15,10.95,11.09,11.09,821357,0,0
2015-07-23,11.15,11.4,11.12,11.4,11.4,1702559,0,0
2015-07-24,11.41,11.41,11.15,11.19,11.19,1464030,0,0
2015-07-27,11.0,11.13,10.76,10.76,10.76,1007598,0,0
2015-07-28,10.76,10.97,10.76,10.81,10.81,874162,0,0
2015-07-29,10.84,10.87,10.65,10.79,10.79,999984,0,0
2015-07-30,10.83,10.86,10.69,10.74,10.74,1012821,0,0
2015-07-31,10.4,10.4,9.65,10.23,10.23,5841142,0,0
2015-08-03,10.22,10.26,10.02,10.08,10.08,2540115,0,0
2015-08-04,10.06,10.13,9.7,9.81,9.81,2350659,0,0
2015-08-05,9.9,10.9,9.76,10.68,10.68,3290309,0,0
2015-08-06,10.68,11.02,10.51,10.93,10.93,1457603,0,0
2015-08-07,10.88,10.94,10.7,10.7,10.7,974777,0,0
2015-08-10,10.72,10.73,10.53,10.67,10.67,1026605,0,0
2015-08-11,10.64,10.66,10.18,10.27,10.27,1150243,0,0
2015-08-12,10.16,10.35,9.94,10.02,10.02,1311792,0,0
2015-08-13,10.15,10.2,10.03,10.13,10.13,928502,0,0
2015-08-14,10.11,10.2,10.04,10.15,10.15,778863,0,0
2015-08-17,10.21,10.32,10.06,10.26,10.26,724618,0,0
2015-08-18,10.23,10.38,10.17,10.24,10.24,545560,0,0
2015-08-19,10.2,10.2,10.07,10.13,10.13,606201,0,0
2015-08-20,10.11,10.28,10.1,10.15,10.15,1235401,0,0
2015-08-21,9.97,10.14,9.9,9.93,9.93,3977809,0,0
2015-08-24,9.63,9.97,9.11,9.41,9.41,1997916,0,0
2015-08-25,9.51,9.77,9.42,9.69,9.69,1134084,0,0
2015-08-26,9.51,9.72,9.49,9.55,9.55,687071,0,0
2015-08-27,9.8,10.5,9.73,10.41,10.41,1438530,0,0
2015-08-28,10.45,10.71,10.13,10.46,10.46,791243,0,0
2015-08-31,10.38,10.6,10.32,10.58,10.58,3507369,0,0
2015-09-01,10.42,10.46,10.21,10.27,10.27,1029138,0,0
2015-09-02,10.27,10.35,9.94,9.99,9.99,817106,0,0
2015-09-03,10.1,10.16,9.95,10.05,10.05,812971,0,0
2015-09-04,9.9,9.9,9.67,9.79,9.79,1235801,0,0
2015-09-07,9.89,9.89,9.56,9.58,9.58,950080,0,0
2015-09-08,9.67,9.93,9.51,9.86,9.86,1074214,0,0
2015-09-09,10.09,10.09,9.86,9.93,9.93,926839,0,0
2015-09-10,9.88,9.95,9.66,9.67,9.67,794311,0,0
2015-09-11,9.74,9.74,9.56,9.6,9.6,528809,0,0
2015-09-14,9.7,9.91,9.63,9.64,9.64,2012510,0,0
2015-09-15,9.66,9.78,9.56,9.72,9.72,943840,0,0
2015-09-16,9.82,10.0,9.79,9.95,9.95,683206,0,0
2015-09-17,10.01,10.07,9.9,9.95,9.95,780971,0,0
2015-09-18,9.91,9.92,9.7,9.8,9.8,812569,0,0
2015-09-21,9.74,9.86,9.73,9.8,9.8,550723,0,0
2015-09-22,9.78,9.83,9.38,9.38,9.38,724390,0,0
2015-09-23,9.4,9.4,9.22,9.32,9.32,1188861,0,0
2015-09-24,9.34,9.65,9.27,9.4,9.4,1488903,0,0
2015-09-25,9.53,9.53,9.13,9.26,9.26,922375,0,0
2015-09-28,9.57,9.64,9.03,9.03,9.03,1102902,0,0
2015-09-29,8.94,9.25,8.86,8.99,8.99,882935,0,0
