Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,29.12,29.42,29.01,29.28,26.79,26966282,0.0,0
2015-04-27,29.3,29.95,28.87,29.92,27.38,53977621,0.0,0
2015-04-28,29.91,29.93,29.3,29.51,27.0,5819470,0.0,0
2015-04-29,29.59,29.81,28.71,28.71,26.27,4663286,0.0,0
2015-04-30,28.62,28.8,28.02,28.67,26.24,16096205,0.0,0
2015-05-04,28.67,28.8,28.35,28.6,26.41,33537874,0.26,0
2015-05-05,28.69,28.96,27.64,27.71,25.58,4595869,0.0,0
2015-05-06,27.56,28.18,27.52,27.85,25.72,7285884,0.0,0
2015-05-07,27.7,28.12,27.23,28.03,25.88,20539548,0.0,0
2015-05-08,28.4,29.12,28.23,29.05,26.82,15626820,0.0,0
2015-05-11,29.03,29.1,28.74,28.92,26.7,43908391,0.0,0
2015-05-12,28.74,28.9,28.34,28.8,26.59,4626531,0.0,0
2015-05-13,28.96,29.03,28.5,28.59,26.4,12714261,0.0,0
2015-05-14,28.56,29.07,28.28,28.94,26.72,7718775,0.0,0
2015-05-15,29.11,29.11,28.5,28.66,26.46,9304783,0.0,0
2015-05-18,28.68,29.0,28.45,29.0,26.78,4096473,0.0,0
2015-05-19,29.18,29.8,29.18,29.7,27.42,8440420,0.0,0
2015-05-20,29.83,30.22,29.83,30.22,27.9,3952271,0.0,0
2015-05-21,30.11,30.59,30.04,30.48,28.14,3215311,0.0,0
2015-05-22,30.42,30.59,30.35,30.48,28.14,19660847,0.0,0
2015-05-25,30.23,30.4,29.82,30.05,27.74,1159823,0.0,0
2015-05-26,29.91,30.47,29.72,30.07,27.76,9229147,0.0,0
2015-05-27,30.18,30.98,30.16,30.9,28.53,5224435,0.0,0
2015-05-28,30.77,31.0,30.48,30.74,28.38,4294052,0.0,0
2015-05-29,30.66,30.92,30.11,30.16,27.85,4177268,0.0,0
2015-06-01,30.44,30.87,30.32,30.81,28.44,3007161,0.0,0
2015-06-02,31.0,31.05,30.45,30.66,28.31,2746409,0.0,0
2015-06-03,30.84,31.0,30.55,30.58,28.23,3288170,0.0,0
2015-06-04,30.41,30.75,29.89,30.35,28.03,4140796,0.0,0
2015-06-05,30.15,30.23,29.83,30.0,27.7,3212060,0.0,0
2015-06-08,30.0,30.08,29.64,29.64,27.37,4299084,0.0,0
2015-06-09,29.65,30.0,29.19,30.0,27.69,9380718,0.0,0
2015-06-10,30.0,30.1,29.31,29.85,27.56,7364151,0.0,0
2015-06-11,29.88,30.44,29.68,30.23,27.91,6347806,0.0,0
2015-06-12,30.21,30.23,29.24,29.41,27.15,4616008,0.0,0
2015-06-15,29.14,29.43,28.85,29.06,26.83,3218685,0.0,0
2015-06-16,28.9,29.21,28.69,29.09,26.86,4476767,0.0,0
2015-06-17,29.18,29.26,28.89,28.93,26.72,4822290,0.0,0
2015-06-18,28.9,29.24,28.45,29.12,26.89,7296352,0.0,0
2015-06-19,29.27,29.78,29.25,29.47,27.2,5367115,0.0,0
2015-06-22,30.28,30.74,29.98,30.62,28.27,7771789,0.0,0
2015-06-23,30.95,31.19,30.83,30.95,28.58,9283798,0.0,0
2015-06-24,31.04,31.09,30.38,30.69,28.34,13642117,0.0,0
2015-06-25,30.5,30.77,30.08,30.39,28.05,9372834,0.0,0
2015-06-26,30.17,30.92,30.0,30.72,28.36,3882703,0.0,0
2015-06-29,28.56,30.15,28.31,29.42,27.17,7117374,0.0,0
2015-06-30,29.22,29.72,28.99,29.16,26.92,7979837,0.0,0
2015-07-01,29.5,29.93,29.18,29.36,27.11,6502475,0.0,0
2015-07-02,29.44,29.65,28.92,28.96,26.74,2905380,0.0,0
2015-07-03,29.01,29.08,28.7,28.83,26.62,4337448,0.0,0
2015-07-06,28.29,28.65,28.06,28.33,26.16,4862380,0.0,0
2015-07-07,28.33,28.55,27.77,27.85,25.71,8260605,0.0,0
2015-07-08,27.77,28.01,27.61,27.98,25.83,7622311,0.0,0
2015-07-09,28.08,28.82,27.93,28.6,26.41,5462170,0.0,0
2015-07-10,29.41,29.74,29.11,29.67,27.4,8182143,0.0,0
2015-07-13,30.07,30.24,29.94,30.09,27.79,5019872,0.0,0
2015-07-14,30.02,30.47,30.02,30.47,28.13,2924280,0.0,0
2015-07-15,30.49,30.55,30.3,30.48,28.14,4879082,0.0,0
2015-07-16,30.67,31.26,30.64,31.09,28.71,4517614,0.0,0
2015-07-17,31.3,31.3,30.98,31.09,28.71,4147269,0.0,0
2015-07-20,31.17,31.44,31.07,31.14,28.75,2913675,0.0,0
2015-07-21,31.14,31.36,30.84,30.96,28.59,3793236,0.0,0
2015-07-22,30.82,31.16,30.64,30.95,28.58,3492779,0.0,0
2015-07-23,31.25,31.3,30.88,30.92,28.55,5057701,0.0,0
2015-07-24,30.96,31.19,30.7,30.7,28.35,5596758,0.0,0
2015-07-27,30.47,30.65,30.18,30.22,27.9,3711410,0.0,0
2015-07-28,30.28,30.58,30.21,30.39,28.05,4356581,0.0,0
2015-07-29,30.62,30.83,30.43,30.76,28.4,3603819,0.0,0
2015-07-30,30.9,31.0,30.49,30.8,28.44,2271161,0.0,0
2015-07-31,30.78,31.19,30.7,31.17,28.78,5489109,0.0,0
2015-08-03,31.17,31.9,31.14,31.88,29.43,3491616,0.0,0
2015-08-04,31.8,31.94,31.55,31.87,29.43,3680647,0.0,0
2015-08-05,32.04,32.31,31.95,32.15,29.68,3400576,0.0,0
2015-08-06,32.15,32.46,32.02,32.28,29.8,6350077,0.0,0
2015-08-07,32.23,32.24,31.88,31.89,29.44,2850107,0.0,0
2015-08-10,32.17,32.54,31.76,32.45,29.96,2405409,0.0,0
2015-08-11,32.26,32.39,31.47,31.59,29.17,5017304,0.0,0
2015-08-12,31.23,31.31,30.12,30.26,27.94,5979992,0.0,0
2015-08-13,30.82,31.08,30.69,30.82,28.46,6819292,0.0,0
2015-08-14,30.88,31.12,30.43,30.74,28.38,2595773,0.0,0
2015-08-17,31.07,31.29,30.55,31.08,28.7,3052599,0.0,0
2015-08-18,31.0,31.33,30.92,31.17,28.77,2186748,0.0,0
2015-08-19,30.88,30.99,30.53,30.83,28.47,4267113,0.0,0
2015-08-20,30.64,30.78,30.01,30.02,27.72,3210913,0.0,0
2015-08-21,29.5,29.99,29.01,29.01,26.78,7685613,0.0,0
2015-08-24,28.0,28.9,26.0,27.81,25.68,10197840,0.0,0
2015-08-25,28.15,29.32,28.0,29.25,27.01,11382494,0.0,0
2015-08-26,28.9,29.2,28.31,28.7,26.5,10989333,0.0,0
2015-08-27,29.4,29.95,29.35,29.75,27.47,4098753,0.0,0
2015-08-28,29.85,29.93,29.33,29.87,27.58,2779032,0.0,0
2015-08-31,29.55,29.81,29.38,29.74,27.46,2444180,0.0,0
2015-09-01,29.28,29.33,28.64,28.99,26.76,3835108,0.0,0
2015-09-02,29.07,29.33,28.8,28.94,26.72,5963473,0.0,0
2015-09-03,29.17,29.77,29.12,29.48,27.21,3852987,0.0,0
2015-09-04,29.16,29.28,28.34,28.58,26.39,4772030,0.0,0
2015-09-07,28.71,28.92,28.16,28.51,26.33,3596125,0.0,0
2015-09-08,28.72,29.12,28.67,28.75,26.55,2854156,0.0,0
2015-09-09,29.43,29.65,29.12,29.12,26.89,5145669,0.0,0
2015-09-10,28.85,29.23,28.77,28.84,26.63,2489959,0.0,0
2015-09-11,29.02,29.09,28.32,28.51,26.32,5497448,0.0,0
2015-09-14,28.59,28.91,28.42,28.42,26.24,3214988,0.0,0
2015-09-15,28.5,28.79,28.27,28.6,26.41,5551143,0.0,0
2015-09-16,29.52,30.4,29.35,30.29,27.97,6616711,0.0,0
2015-09-17,30.47,30.83,30.2,30.74,28.38,3929488,0.0,0
2015-09-18,30.51,30.58,29.76,29.89,27.59,7451902,0.0,0
2015-09-21,29.89,30.51,29.88,30.27,27.95,4260158,0.0,0
2015-09-22,30.33,30.38,29.24,29.38,27.12,4467676,0.0,0
2015-09-23,29.29,29.76,29.05,29.3,27.05,7827884,0.0,0
2015-09-24,29.4,29.6,28.2,28.4,26.22,4745762,0.0,0
2015-09-25,28.84,29.75,28.76,29.5,27.24,5376607,0.0,0
2015-09-28,29.4,29.66,29.07,29.19,26.95,3422775,0.0,0
2015-09-29,28.82,29.47,28.68,28.93,26.72,7431087,0.0,0
2015-09-30,29.6,29.97,29.43,29.93,27.63,4547622,0.0,0
2015-10-01,30.22,30.44,29.99,30.16,27.84,11412163,0.0,0
2015-10-02,30.41,30.49,29.36,30.19,27.88,4061599,0.0,0
2015-10-05,30.77,31.57,30.59,31.4,28.99,6195263,0.0,0
2015-10-06,31.48,32.0,31.32,31.77,29.34,3469735,0.0,0
2015-10-07,32.0,32.04,31.22,31.32,28.91,4388949,0.0,0
2015-10-08,31.27,31.44,30.97,31.17,28.78,4784628,0.0,0
2015-10-09,31.51,31.53,30.99,31.12,28.74,6960942,0.0,0
2015-10-12,31.11,31.33,30.95,31.2,28.81,1798722,0.0,0
2015-10-13,31.29,31.29,30.7,30.9,28.53,5881508,0.0,0
2015-10-14,30.77,30.83,30.36,30.48,28.14,5086689,0.0,0
2015-10-15,30.76,30.94,30.56,30.82,28.46,6102002,0.0,0
2015-10-16,31.03,31.15,30.77,31.02,28.64,3623047,0.0,0
2015-10-19,31.06,31.47,30.93,31.39,28.98,3172902,0.0,0
2015-10-20,31.46,31.58,31.17,31.44,29.03,3349784,0.0,0
2015-10-21,31.49,31.83,31.15,31.75,29.32,22822090,0.0,0
2015-10-22,31.63,32.94,31.52,32.75,30.24,51758377,0.0,0
2015-10-23,32.97,34.01,32.93,33.76,31.17,38003207,0.0,0
2015-10-26,33.73,33.99,33.54,33.61,31.03,48825236,0.0,0
2015-10-27,33.65,33.74,33.47,33.51,30.94,50004585,0.0,0
2015-10-28,33.74,34.1,33.5,33.9,31.3,13752220,0.0,0
2015-10-29,34.17,34.28,33.98,34.28,31.66,4394482,0.0,0
2015-10-30,34.5,34.6,33.82,34.1,31.49,11066449,0.0,0
2015-11-02,33.78,34.45,33.76,34.1,31.48,14337669,0.0,0
2015-11-03,33.83,34.06,33.65,33.81,31.35,53319561,0.142,0
2015-11-04,33.9,34.24,33.6,33.71,31.25,35466546,0.0,0
2015-11-05,33.7,34.54,33.6,34.35,31.85,40746770,0.0,0
2015-11-06,34.24,34.32,32.31,32.94,30.54,33862403,0.0,0
2015-11-09,32.93,33.29,32.81,32.94,30.54,27909172,0.0,0
2015-11-10,33.04,33.17,32.83,33.17,30.75,14892772,0.0,0
2015-11-11,33.2,33.67,33.17,33.42,30.98,3247427,0.0,0
2015-11-12,33.42,33.6,32.78,32.94,30.55,3208692,0.0,0
2015-11-13,32.79,32.99,32.28,32.54,30.17,10519870,0.0,0
2015-11-16,32.17,32.78,32.04,32.71,30.32,9464489,0.0,0
2015-11-17,33.01,33.49,32.97,33.35,30.92,4872377,0.0,0
2015-11-18,33.2,33.28,32.6,32.65,30.28,9130857,0.0,0
2015-11-19,33.01,33.15,32.63,32.72,30.34,5514464,0.0,0
2015-11-20,32.9,33.24,32.63,33.12,30.71,6356910,0.0,0
2015-11-23,33.0,33.26,32.78,33.12,30.7,2155159,0.0,0
2015-11-24,33.06,33.06,31.72,32.3,29.95,11984603,0.0,0
2015-11-25,32.4,33.22,32.4,33.17,30.76,7057517,0.0,0
2015-11-26,33.09,33.42,32.88,33.28,30.86,2920269,0.0,0
2015-11-27,33.12,33.62,32.92,33.47,31.03,6395954,0.0,0
2015-11-30,33.42,34.17,33.38,34.06,31.58,4892490,0.0,0
2015-12-01,34.1,34.28,33.8,33.97,31.49,2812594,0.0,0
2015-12-02,34.19,34.8,34.12,34.58,32.07,4633460,0.0,0
2015-12-03,34.87,35.38,33.06,33.38,30.95,7150104,0.0,0
2015-12-04,33.2,33.4,32.51,33.25,30.83,5196309,0.0,0
2015-12-07,33.55,34.25,33.5,33.88,31.41,4326183,0.0,0
