Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,3.428,3.445,3.351,3.371,2.5681,5349749,0.0,0
2015-04-27,3.37,3.443,3.339,3.43,2.6131,5732861,0.0,0
2015-04-28,3.43,3.455,3.35,3.382,2.5765,5561763,0.0,0
2015-04-29,3.391,3.392,3.312,3.334,2.5399,5745106,0.0,0
2015-04-30,3.32,3.346,3.296,3.322,2.5308,7256430,0.0,0
2015-05-04,3.323,3.387,3.291,3.373,2.5696,7731060,0.0,0
2015-05-05,3.36,3.361,3.117,3.155,2.4036,21438633,0.0,0
2015-05-06,3.181,3.219,3.155,3.211,2.4462,15435156,0.0,0
2015-05-07,3.18,3.219,3.131,3.207,2.4432,10409030,0.0,0
2015-05-08,3.235,3.248,3.19,3.248,2.4744,10383675,0.0,0
2015-05-11,3.25,3.274,3.202,3.222,2.4546,10064726,0.0,0
2015-05-12,3.2,3.21,3.152,3.177,2.4203,8462598,0.0,0
2015-05-13,3.193,3.213,3.166,3.197,2.4356,6873191,0.0,0
2015-05-14,3.2,3.215,3.162,3.204,2.4409,5266853,0.0,0
2015-05-15,3.225,3.256,3.21,3.225,2.4569,4747340,0.0,0
2015-05-18,3.25,3.279,3.225,3.277,2.4965,6070205,0.0,0
2015-05-19,3.29,3.345,3.29,3.31,2.5216,7120042,0.0,0
2015-05-20,3.322,3.344,3.272,3.332,2.5384,6355166,0.0,0
2015-05-21,3.315,3.34,3.303,3.34,2.5445,2928296,0.0,0
2015-05-22,3.345,3.346,3.308,3.326,2.5338,3965450,0.0,0
2015-05-25,3.288,3.29,3.165,3.229,2.4599,4430875,0.0,0
2015-05-26,3.224,3.27,3.175,3.224,2.4561,7433783,0.0,0
2015-05-27,3.229,3.309,3.22,3.298,2.5125,6424796,0.0,0
2015-05-28,3.293,3.315,3.265,3.301,2.5148,8073867,0.0,0
2015-05-29,3.295,3.31,3.246,3.246,2.4729,16280786,0.0,0
2015-06-01,3.258,3.27,3.199,3.214,2.4485,20678929,0.0,0
2015-06-02,3.23,3.242,3.181,3.215,2.4493,6022671,0.0,0
2015-06-03,3.229,3.239,3.197,3.22,2.4531,7229507,0.0,0
2015-06-04,3.182,3.21,3.145,3.175,2.4188,14623260,0.0,0
2015-06-05,3.153,3.184,3.136,3.157,2.4051,10146681,0.0,0
2015-06-08,3.153,3.168,3.117,3.118,2.3754,5744210,0.0,0
2015-06-09,3.11,3.127,3.067,3.121,2.3777,6025139,0.0,0
2015-06-10,3.1,3.167,3.082,3.15,2.3998,8906748,0.0,0
2015-06-11,3.151,3.198,3.15,3.175,2.4188,73174710,0.0,0
2015-06-12,3.175,3.175,3.117,3.154,2.4028,64670289,0.0,0
2015-06-15,3.117,3.131,3.085,3.12,2.3769,9863567,0.0,0
2015-06-16,3.095,3.14,3.072,3.136,2.3891,6141713,0.0,0
2015-06-17,3.141,3.157,3.097,3.113,2.3716,8194946,0.0,0
2015-06-18,3.033,3.034,2.972,3.032,2.3708,85405093,0.08,0
2015-06-19,3.026,3.075,3.025,3.075,2.4044,16439263,0.0,0
2015-06-22,3.134,3.19,3.115,3.175,2.4826,19171011,0.0,0
2015-06-23,3.19,3.223,3.172,3.186,2.4912,13375002,0.0,0
2015-06-24,3.195,3.219,3.17,3.187,2.492,7500816,0.0,0
2015-06-25,3.167,3.219,3.16,3.191,2.4951,8431626,0.0,0
2015-06-26,3.168,3.241,3.15,3.215,2.5139,9975317,0.0,0
2015-06-29,2.94,3.136,2.901,3.105,2.4279,11185544,0.0,0
2015-06-30,3.089,3.128,3.05,3.087,2.4138,7809621,0.0,0
2015-07-01,3.104,3.147,3.08,3.121,2.4404,5774109,0.0,0
2015-07-02,3.123,3.135,3.083,3.084,2.4114,4619794,0.0,0
2015-07-03,3.08,3.098,3.023,3.047,2.3825,7187465,0.0,0
2015-07-06,3.0,3.03,2.98,3.003,2.3481,6354793,0.0,0
2015-07-07,3.018,3.06,2.956,2.971,2.3231,9613798,0.0,0
2015-07-08,2.97,3.016,2.96,3.013,2.3559,5420753,0.0,0
2015-07-09,3.04,3.107,3.03,3.094,2.4193,5800496,0.0,0
2015-07-10,3.15,3.187,3.13,3.181,2.4873,4759752,0.0,0
