Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,11.3,11.49,11.27,11.34,10.7563,604239,0.0,0
2015-04-27,11.395,11.645,11.345,11.52,10.927,892464,0.0,0
2015-04-28,11.55,11.58,11.365,11.445,10.8559,277317,0.0,0
2015-04-29,11.535,11.535,11.12,11.14,10.5666,748204,0.0,0
2015-04-30,11.12,11.255,11.0,11.145,10.5713,781446,0.0,0
2015-05-04,11.345,11.38,11.175,11.345,10.761,318584,0.0,0
2015-05-05,11.38,11.46,11.0,11.0,10.4338,505068,0.0,0
2015-05-06,10.935,11.18,10.915,11.075,10.5049,924156,0.0,0
2015-05-07,11.08,11.08,10.83,10.985,10.4196,563075,0.0,0
2015-05-08,11.085,11.22,11.04,11.075,10.5049,1039873,0.0,0
2015-05-11,11.095,11.3,11.095,11.24,10.6614,2705543,0.0,0
2015-05-12,11.115,11.32,11.03,11.245,10.6662,1207783,0.0,0
2015-05-13,11.36,11.64,11.275,11.385,10.799,1757046,0.0,0
2015-05-14,11.32,11.515,11.195,11.515,10.9223,736485,0.0,0
2015-05-15,11.545,11.87,11.5,11.73,11.1262,575281,0.0,0
2015-05-18,11.75,11.885,11.665,11.865,11.2543,1528475,0.0,0
2015-05-19,11.87,12.01,11.835,12.01,11.3918,2025122,0.0,0
2015-05-20,12.0,12.2,11.85,12.115,11.4914,5411241,0.0,0
2015-05-21,12.08,12.085,11.945,12.07,11.4487,516742,0.0,0
2015-05-22,12.115,12.115,11.865,11.98,11.3633,3446751,0.0,0
2015-05-25,11.945,11.96,11.775,11.935,11.3207,991635,0.0,0
2015-05-26,11.86,12.07,11.78,11.865,11.2543,1709116,0.0,0
2015-05-27,11.85,12.12,11.85,12.015,11.3965,774941,0.0,0
2015-05-28,11.98,12.2,11.93,12.0,11.3823,3398113,0.0,0
2015-05-29,12.045,12.07,11.78,11.845,11.2353,896275,0.0,0
2015-06-01,11.9,12.03,11.77,11.88,11.2685,397192,0.0,0
2015-06-02,11.98,12.08,11.89,11.995,11.3776,550263,0.0,0
2015-06-03,12.0,12.13,11.93,12.07,11.4487,635307,0.0,0
2015-06-04,11.99,12.095,11.81,11.965,11.3491,451194,0.0,0
2015-06-05,11.885,12.01,11.775,11.87,11.259,462013,0.0,0
2015-06-08,11.835,11.855,11.63,11.69,11.0883,1034038,0.0,0
2015-06-09,11.63,11.685,11.485,11.565,10.9697,925655,0.0,0
2015-06-10,11.605,11.7,11.48,11.675,11.074,596906,0.0,0
2015-06-11,11.64,12.03,11.64,11.94,11.3254,729202,0.0,0
2015-06-12,12.0,12.0,11.67,11.82,11.2116,555477,0.0,0
2015-06-15,11.735,11.77,11.465,11.5,10.908,1413629,0.0,0
2015-06-16,11.515,11.66,11.255,11.65,11.0503,705298,0.0,0
2015-06-17,11.585,11.655,11.415,11.52,10.927,464774,0.0,0
2015-06-18,11.56,11.56,11.29,11.505,10.9128,377982,0.0,0
2015-06-19,11.535,11.585,11.47,11.51,10.9175,364436,0.0,0
2015-06-22,11.7,11.86,11.62,11.83,11.2211,422651,0.0,0
2015-06-23,11.93,12.12,11.845,12.08,11.4582,471965,0.0,0
2015-06-24,12.15,12.15,11.95,12.085,11.4629,652168,0.0,0
2015-06-25,12.01,12.17,11.985,12.11,11.4866,611982,0.0,0
2015-06-26,12.1,12.295,12.055,12.18,11.553,847930,0.0,0
2015-06-29,11.39,11.92,11.27,11.73,11.1262,1196495,0.0,0
2015-06-30,11.7,12.03,11.66,11.84,11.2305,601964,0.0,0
2015-07-01,11.895,12.125,11.895,12.065,11.444,492001,0.0,0
2015-07-02,12.115,12.2,12.1,12.145,11.5198,545431,0.0,0
2015-07-03,12.14,12.195,11.895,11.955,11.3396,626348,0.0,0
2015-07-06,11.89,11.9,11.75,11.8,11.1926,1250681,0.0,0
2015-07-07,11.835,11.95,11.6,11.795,11.1879,524973,0.0,0
2015-07-08,11.89,11.895,11.67,11.74,11.1357,836873,0.0,0
2015-07-09,11.73,12.115,11.73,12.065,11.444,512605,0.0,0
2015-07-10,12.335,12.5,12.31,12.475,11.8329,574087,0.0,0
2015-07-13,12.5,12.965,12.475,12.88,12.217,999325,0.0,0
2015-07-14,13.0,13.005,12.72,12.86,12.198,1626794,0.0,0
2015-07-15,12.93,13.16,12.815,13.095,12.4209,945334,0.0,0
2015-07-16,13.2,13.495,13.175,13.31,12.6249,1431789,0.0,0
2015-07-17,13.38,13.55,13.235,13.55,12.8525,3014637,0.0,0
2015-07-20,13.575,13.71,13.5,13.71,13.0043,1023533,0.0,0
2015-07-21,13.665,13.665,13.36,13.395,12.7055,690733,0.0,0
2015-07-22,13.39,13.52,13.29,13.35,12.6628,690203,0.0,0
2015-07-23,13.4,13.4,13.15,13.195,12.5158,719077,0.0,0
2015-07-24,13.26,13.345,13.115,13.215,12.5348,973618,0.0,0
2015-07-27,13.215,13.22,12.995,13.135,12.4589,628336,0.0,0
2015-07-28,13.12,13.31,13.06,13.28,12.5964,1029762,0.0,0
2015-07-29,13.35,13.5,13.26,13.38,12.6913,978198,0.0,0
2015-07-30,13.435,13.465,13.055,13.145,12.4684,958085,0.0,0
2015-07-31,13.22,13.22,12.78,13.11,12.4352,989340,0.0,0
2015-08-03,13.245,13.485,13.15,13.285,12.6012,1090825,0.0,0
2015-08-04,13.25,13.25,12.975,13.065,12.3925,1202504,0.0,0
2015-08-05,12.97,13.24,12.97,13.135,12.4876,871163,0.03,0
2015-08-06,13.155,13.23,13.05,13.12,12.4733,782103,0.0,0
2015-08-07,13.06,13.06,12.905,12.905,12.2689,655244,0.0,0
2015-08-10,13.0,13.22,12.98,13.05,12.4067,381583,0.0,0
2015-08-11,12.985,13.085,12.955,13.0,12.3592,501395,0.0,0
2015-08-12,12.9,12.9,12.615,12.7,12.074,517163,0.0,0
2015-08-13,12.855,12.995,12.79,12.95,12.3117,412288,0.0,0
2015-08-14,12.95,13.02,12.88,12.925,12.2879,443233,0.0,0
2015-08-17,13.04,13.04,12.79,13.0,12.3592,227609,0.0,0
2015-08-18,13.01,13.29,12.99,13.23,12.5779,836457,0.0,0
2015-08-19,13.19,13.31,13.09,13.29,12.6349,1035258,0.0,0
2015-08-20,13.25,13.27,12.92,12.985,12.345,538325,0.0,0
2015-08-21,12.78,13.105,12.635,12.645,12.0217,440431,0.0,0
2015-08-24,12.355,12.5,11.88,12.215,11.6129,710602,0.0,0
2015-08-25,12.3,12.67,12.16,12.6,11.9789,1041307,0.0,0
2015-08-26,12.42,12.695,12.34,12.585,11.9647,575739,0.0,0
2015-08-27,12.78,12.865,12.695,12.795,12.1643,343414,0.0,0
