Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,10.24,10.33,10.13,10.33,8.92,3883444,0.0,0
2015-04-27,10.31,10.92,10.22,10.75,9.28,2368333,0.0,0
2015-04-28,10.71,10.97,10.61,10.88,9.39,5049309,0.0,0
2015-04-29,10.75,11.02,10.63,10.88,9.39,2492654,0.0,0
2015-04-30,10.64,10.85,10.51,10.73,9.26,1326964,0.0,0
2015-05-04,10.9,11.0,10.64,10.79,9.32,342243,0.0,0
2015-05-05,10.74,10.91,10.54,10.61,9.16,500064,0.0,0
2015-05-06,10.76,10.76,10.31,10.31,8.9,559682,0.0,0
2015-05-07,10.37,10.43,10.01,10.17,8.78,1210159,0.0,0
2015-05-08,10.36,10.84,10.18,10.48,9.04,906448,0.0,0
2015-05-11,10.67,10.81,10.48,10.57,9.13,1156186,0.0,0
2015-05-12,10.49,10.58,10.27,10.55,9.11,867768,0.0,0
2015-05-13,10.54,10.79,10.49,10.56,9.11,1178983,0.0,0
2015-05-14,10.84,10.88,10.53,10.57,9.13,2988068,0.0,0
2015-05-15,10.56,10.57,10.44,10.44,9.01,2149422,0.0,0
2015-05-18,10.44,10.56,10.35,10.41,8.99,908583,0.0,0
2015-05-19,10.4,10.6,10.36,10.48,9.04,961138,0.0,0
2015-05-20,10.57,10.57,10.38,10.38,8.96,4692996,0.0,0
2015-05-21,10.45,10.48,10.28,10.35,8.94,852780,0.0,0
2015-05-22,10.42,10.48,10.36,10.44,9.01,1207884,0.0,0
2015-05-25,10.49,10.53,10.3,10.31,8.9,756725,0.0,0
2015-05-26,10.26,10.41,10.17,10.35,8.94,1007149,0.0,0
2015-05-27,10.37,10.53,10.31,10.49,9.05,890822,0.0,0
2015-05-28,10.55,10.65,10.47,10.55,9.11,985044,0.0,0
2015-05-29,10.6,10.6,10.32,10.44,9.01,3035836,0.0,0
2015-06-01,10.57,10.57,10.27,10.33,8.92,806314,0.0,0
2015-06-02,10.42,10.43,10.16,10.16,8.77,617033,0.0,0
2015-06-03,10.31,10.39,10.16,10.2,8.8,4115677,0.0,0
2015-06-04,10.2,10.3,10.05,10.21,8.82,880946,0.0,0
2015-06-05,10.15,10.38,10.12,10.19,8.8,728989,0.0,0
2015-06-08,10.37,10.42,9.8,10.01,8.64,985134,0.0,0
2015-06-09,10.18,10.64,10.09,10.17,8.78,1600141,0.0,0
2015-06-10,10.11,10.53,9.81,10.16,8.77,3584755,0.0,0
2015-06-11,10.25,10.35,10.16,10.22,8.82,1695685,0.0,0
2015-06-12,10.29,10.29,9.91,9.95,8.59,1799475,0.0,0
2015-06-15,9.99,10.01,9.74,9.83,8.48,2799235,0.0,0
2015-06-16,9.83,9.96,9.62,9.65,8.33,1631559,0.0,0
2015-06-17,9.74,9.94,9.65,9.65,8.33,3729915,0.0,0
2015-06-18,9.63,9.67,9.48,9.48,8.19,1228453,0.0,0
2015-06-19,9.49,9.67,9.15,9.65,8.33,3743098,0.0,0
2015-06-22,9.68,9.76,9.53,9.58,8.27,1140906,0.0,0
2015-06-23,9.63,9.91,9.61,9.87,8.52,896557,0.0,0
2015-06-24,9.92,10.03,9.83,10.01,8.65,1018558,0.0,0
2015-06-25,10.01,10.22,9.81,10.02,8.65,4171386,0.0,0
2015-06-26,10.08,10.35,9.98,10.2,8.8,4715008,0.0,0
2015-06-29,9.98,10.02,9.45,9.79,8.45,935691,0.0,0
2015-06-30,9.75,9.93,9.66,9.66,8.34,1890683,0.0,0
2015-07-01,9.68,9.78,9.61,9.68,8.36,1121871,0.0,0
2015-07-02,9.74,9.82,9.66,9.79,8.45,677360,0.0,0
2015-07-03,9.81,9.86,9.68,9.78,8.44,506861,0.0,0
2015-07-06,9.65,9.74,9.58,9.58,8.27,782095,0.0,0
2015-07-07,9.67,9.67,9.46,9.48,8.18,601301,0.0,0
2015-07-08,9.51,9.57,9.4,9.43,8.14,942318,0.0,0
2015-07-09,9.49,9.66,9.43,9.57,8.26,2279198,0.0,0
2015-07-10,9.68,10.0,9.61,9.9,8.54,1375091,0.0,0
2015-07-13,9.95,10.13,9.92,10.0,8.63,737908,0.0,0
2015-07-14,10.09,10.09,9.87,9.95,8.59,1394495,0.0,0
2015-07-15,9.97,10.14,9.97,10.13,8.75,1175424,0.0,0
2015-07-16,10.05,10.11,9.79,10.09,8.71,2049092,0.0,0
2015-07-17,10.18,10.18,9.96,10.03,8.66,1039609,0.0,0
2015-07-20,10.11,10.16,9.75,10.12,8.74,1576478,0.0,0
2015-07-21,10.13,10.14,9.98,10.12,8.74,2184064,0.0,0
2015-07-22,10.1,10.19,10.02,10.04,8.67,4725447,0.0,0
2015-07-23,10.14,10.14,9.83,9.87,8.52,8559905,0.0,0
2015-07-24,9.89,9.9,9.72,9.72,8.39,2908167,0.0,0
2015-07-27,9.61,9.63,9.5,9.5,8.2,5516155,0.0,0
2015-07-28,9.55,9.73,9.55,9.63,8.31,7497549,0.0,0
2015-07-29,9.62,9.77,9.52,9.77,8.43,4782827,0.0,0
2015-07-30,9.83,9.97,9.74,9.97,8.61,13323712,0.0,0
2015-07-31,9.87,10.02,9.84,9.98,8.61,5279324,0.0,0
2015-08-03,9.98,10.28,9.95,10.25,8.85,3147082,0.0,0
2015-08-04,10.34,10.41,10.23,10.34,8.93,2959920,0.0,0
2015-08-05,10.65,10.8,10.38,10.5,9.06,2558720,0.0,0
2015-08-06,10.51,10.66,10.42,10.6,9.15,2900353,0.0,0
2015-08-07,10.6,10.78,10.57,10.72,9.25,3057619,0.0,0
2015-08-10,10.74,10.88,10.58,10.81,9.34,2422508,0.0,0
2015-08-11,10.8,10.84,10.72,10.76,9.29,3541122,0.0,0
2015-08-12,10.71,10.76,10.55,10.6,9.15,4593941,0.0,0
2015-08-13,10.52,10.72,10.4,10.58,9.13,6644327,0.0,0
2015-08-14,10.55,10.74,10.54,10.7,9.24,1282136,0.0,0
2015-08-17,10.69,10.77,10.65,10.71,9.25,2525790,0.0,0
2015-08-18,10.78,11.1,10.74,11.05,9.54,3474219,0.0,0
2015-08-19,11.22,11.22,10.85,10.9,9.41,1795233,0.0,0
2015-08-20,10.89,10.94,10.73,10.82,9.34,1794066,0.0,0
2015-08-21,10.74,10.84,10.59,10.59,9.14,1336596,0.0,0
2015-08-24,10.35,10.35,9.93,10.0,8.63,3032979,0.0,0
2015-08-25,10.15,10.56,10.02,10.4,8.98,2614963,0.0,0
2015-08-26,10.29,10.55,10.12,10.23,8.83,1905960,0.0,0
2015-08-27,10.39,10.53,10.27,10.4,8.98,1466591,0.0,0
2015-08-28,10.44,10.48,10.27,10.38,8.96,1150840,0.0,0
2015-08-31,10.34,10.46,10.19,10.33,8.92,1143695,0.0,0
2015-09-01,10.31,10.31,10.1,10.28,8.88,1264151,0.0,0
2015-09-02,10.35,10.53,10.34,10.39,8.97,1568153,0.0,0
2015-09-03,10.51,10.7,10.39,10.65,9.19,1468471,0.0,0
2015-09-04,10.62,10.7,10.26,10.33,8.92,1794748,0.0,0
2015-09-07,10.12,10.59,10.11,10.52,9.08,2749742,0.0,0
2015-09-08,10.53,10.7,10.38,10.63,9.18,1790854,0.0,0
2015-09-09,10.8,10.84,10.6,10.67,9.21,2233937,0.0,0
2015-09-10,10.6,10.6,10.4,10.51,9.07,1489084,0.0,0
2015-09-11,10.55,10.59,10.3,10.4,8.98,1307381,0.0,0
2015-09-14,10.33,10.45,10.11,10.24,8.84,1211435,0.0,0
2015-09-15,10.29,10.43,10.22,10.38,8.96,2237688,0.0,0
2015-09-16,10.48,10.59,10.38,10.43,9.0,1251599,0.0,0
2015-09-17,10.51,10.6,10.34,10.43,9.0,4465347,0.0,0
2015-09-18,10.45,10.8,10.36,10.57,9.12,5638159,0.0,0
2015-09-21,10.57,10.73,10.47,10.69,9.22,3217559,0.0,0
2015-09-22,10.78,10.8,10.45,10.55,9.11,1875166,0.0,0
2015-09-23,10.48,10.73,10.34,10.61,9.16,2071610,0.0,0
2015-09-24,10.73,10.73,10.41,10.48,9.04,1783916,0.0,0
2015-09-25,10.6,10.75,10.54,10.68,9.22,5010618,0.0,0
2015-09-28,10.66,10.84,10.61,10.72,9.25,1770602,0.0,0
2015-09-29,10.61,10.72,10.55,10.57,9.13,1236397,0.0,0
2015-09-30,10.77,10.8,10.57,10.65,9.19,2009670,0.0,0
2015-10-01,10.75,10.75,10.59,10.65,9.19,5773581,0.0,0
2015-10-02,10.74,10.94,10.66,10.9,9.41,1830246,0.0,0
2015-10-05,11.0,11.43,10.97,11.3,9.75,5922326,0.0,0
2015-10-06,11.35,11.5,11.3,11.44,9.87,2685606,0.0,0
2015-10-07,11.5,11.65,11.41,11.56,9.97,2285872,0.0,0
2015-10-08,11.44,11.6,11.34,11.43,9.86,3459237,0.0,0
2015-10-09,11.48,11.52,11.19,11.24,9.7,1613416,0.0,0
2015-10-12,11.15,11.15,11.03,11.09,9.57,1410965,0.0,0
2015-10-13,11.11,11.12,10.97,11.11,9.59,1540181,0.0,0
2015-10-14,11.02,11.12,11.0,11.02,9.51,980292,0.0,0
2015-10-15,11.06,11.22,11.03,11.18,9.72,1788350,0.0775,0
2015-10-16,11.17,11.33,11.1,11.2,9.74,3225007,0.0,0
2015-10-19,11.22,11.42,11.22,11.35,9.87,814703,0.0,0
2015-10-20,11.34,11.49,11.34,11.46,9.96,968187,0.0,0
2015-10-21,11.49,11.6,11.43,11.45,9.95,1122509,0.0,0
2015-10-22,11.45,11.6,11.29,11.56,10.05,1408292,0.0,0
2015-10-23,11.6,11.96,11.6,11.79,10.25,2116526,0.0,0
2015-10-26,11.81,11.95,11.57,11.91,10.36,9211928,0.0,0
2015-10-27,11.9,11.94,11.66,11.88,10.33,10440900,0.0,0
2015-10-28,11.86,11.98,11.73,11.86,10.31,1115701,0.0,0
2015-10-29,11.91,11.91,11.71,11.82,10.28,1222499,0.0,0
2015-10-30,11.77,11.84,11.59,11.66,10.14,1891361,0.0,0
2015-11-02,11.61,11.97,11.59,11.81,10.26,2927499,0.0,0
2015-11-03,11.76,11.9,11.6,11.72,10.19,1135980,0.0,0
2015-11-04,11.7,11.75,11.12,11.38,9.89,2125389,0.0,0
2015-11-05,11.4,11.48,11.22,11.39,9.9,2011702,0.0,0
2015-11-06,11.41,11.65,11.4,11.5,10.0,2397872,0.0,0
2015-11-09,11.58,11.62,11.23,11.24,9.78,1595371,0.0,0
2015-11-10,11.35,11.41,11.08,11.1,9.65,1762766,0.0,0
2015-11-11,11.21,11.59,11.15,11.36,9.88,4214708,0.0,0
2015-11-12,11.38,11.43,11.11,11.12,9.67,1147321,0.0,0
2015-11-13,11.11,11.28,11.07,11.21,9.75,1181881,0.0,0
2015-11-16,11.11,11.35,11.04,11.32,9.85,920754,0.0,0
2015-11-17,11.44,11.66,11.31,11.63,10.11,1777094,0.0,0
2015-11-18,11.59,11.69,11.42,11.46,9.96,1105171,0.0,0
2015-11-19,11.61,11.74,11.47,11.73,10.2,708768,0.0,0
2015-11-20,11.76,11.78,11.6,11.67,10.15,1275307,0.0,0
2015-11-23,11.65,11.72,11.51,11.56,10.05,4216690,0.0,0
2015-11-24,11.5,11.5,11.21,11.32,9.84,7249295,0.0,0
2015-11-25,11.35,11.49,11.3,11.49,9.99,1502752,0.0,0
2015-11-26,11.41,11.85,11.41,11.81,10.26,1543140,0.0,0
2015-11-27,11.71,11.91,11.65,11.88,10.32,1159101,0.0,0
2015-11-30,11.88,11.94,11.62,11.79,10.25,2080929,0.0,0
2015-12-01,11.85,11.95,11.73,11.82,10.28,1381828,0.0,0
2015-12-02,11.87,11.95,11.77,11.86,10.31,1271919,0.0,0
2015-12-03,11.87,12.14,11.56,11.81,10.27,2642975,0.0,0
2015-12-04,11.75,11.78,11.44,11.68,10.15,1362144,0.0,0
2015-12-07,11.86,12.09,11.7,11.93,10.37,1393129,0.0,0
2015-12-08,11.99,12.05,11.87,11.94,10.38,1823888,0.0,0
