Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,18.77,19.62,18.76,19.47,18.96,2049517,0.0,0.0
2015-04-27,19.47,20.17,19.46,20.06,19.54,1600533,0.0,0.0
2015-04-28,20.04,20.44,19.83,20.44,19.91,1310242,0.0,0.0
2015-04-29,20.17,20.17,19.34,19.44,18.93,1449437,0.0,0.0
2015-04-30,19.35,19.58,19.28,19.4,18.89,847567,0.0,0.0
2015-05-04,19.55,19.85,19.43,19.68,19.17,655292,0.0,0.0
2015-05-05,19.67,19.99,19.56,19.71,19.19,663857,0.0,0.0
2015-05-06,19.7,19.81,19.3,19.44,18.93,577966,0.0,0.0
2015-05-07,18.96,19.14,18.53,19.07,18.57,1080491,0.0,0.0
2015-05-08,18.95,19.16,18.77,19.14,18.84,577301,0.2,0.0
2015-05-11,19.2,19.4,19.14,19.3,18.99,264489,0.0,0.0
2015-05-12,19.16,20.06,18.99,20.06,19.75,800373,0.0,0.0
2015-05-13,20.07,20.23,19.68,19.84,19.52,572064,0.0,0.0
2015-05-14,19.64,21.2,19.44,20.88,20.55,2017243,0.0,0.0
2015-05-15,21.06,21.63,21.06,21.15,20.82,1137415,0.0,0.0
2015-05-18,21.05,21.31,20.49,20.62,20.3,1022143,0.0,0.0
2015-05-19,20.79,20.85,20.44,20.57,20.25,940616,0.0,0.0
2015-05-20,20.56,20.72,20.26,20.65,20.33,563572,0.0,0.0
2015-05-21,20.6,20.92,20.5,20.56,20.24,463630,0.0,0.0
2015-05-22,20.67,20.71,20.35,20.35,20.03,440269,0.0,0.0
2015-05-25,20.51,20.69,20.41,20.47,20.15,393488,0.0,0.0
2015-05-26,20.64,20.94,20.47,20.61,20.29,750009,0.0,0.0
2015-05-27,20.67,20.85,20.44,20.79,20.46,519497,0.0,0.0
2015-05-28,20.67,20.7,20.17,20.35,20.03,721411,0.0,0.0
2015-05-29,20.39,20.46,19.75,19.76,19.45,644372,0.0,0.0
2015-06-01,19.87,20.08,19.56,19.63,19.32,452777,0.0,0.0
2015-06-02,19.69,20.55,19.69,20.4,20.08,632169,0.0,0.0
2015-06-03,20.46,21.09,20.22,20.99,20.66,863589,0.0,0.0
2015-06-04,20.76,20.76,20.37,20.4,20.08,576798,0.0,0.0
2015-06-05,20.15,20.36,19.84,20.11,19.8,443136,0.0,0.0
2015-06-08,20.04,20.13,19.7,19.8,19.49,392148,0.0,0.0
2015-06-09,19.75,20.32,19.51,20.18,19.86,798498,0.0,0.0
2015-06-10,20.01,20.51,19.99,20.39,20.07,678376,0.0,0.0
2015-06-11,20.33,20.46,19.71,19.87,19.55,701283,0.0,0.0
2015-06-12,19.77,19.95,19.42,19.58,19.27,443418,0.0,0.0
2015-06-15,19.4,19.62,19.09,19.44,19.13,495184,0.0,0.0
2015-06-16,19.2,19.34,18.77,19.27,18.96,461112,0.0,0.0
2015-06-17,19.34,19.38,18.96,18.98,18.68,228193,0.0,0.0
2015-06-18,18.95,19.27,18.57,18.62,18.32,642904,0.0,0.0
2015-06-19,18.63,19.01,18.63,18.7,18.41,391840,0.0,0.0
2015-06-22,19.1,19.1,18.8,19.0,18.7,454241,0.0,0.0
2015-06-23,19.21,19.28,18.98,19.17,18.87,470490,0.0,0.0
2015-06-24,19.42,19.55,19.26,19.3,18.99,447091,0.0,0.0
2015-06-25,19.14,19.42,18.93,18.99,18.69,361219,0.0,0.0
2015-06-26,18.97,19.22,18.79,18.94,18.64,411389,0.0,0.0
2015-06-29,18.3,18.61,18.02,18.38,18.09,1048707,0.0,0.0
2015-06-30,18.26,18.38,17.82,17.82,17.54,908208,0.0,0.0
2015-07-01,17.81,18.21,17.8,17.9,17.62,1096953,0.0,0.0
2015-07-02,17.9,17.99,17.64,17.64,17.36,369256,0.0,0.0
2015-07-03,17.7,17.79,17.45,17.7,17.42,584570,0.0,0.0
2015-07-06,17.35,17.4,17.02,17.12,16.85,602629,0.0,0.0
2015-07-07,17.1,17.1,16.05,16.1,15.84,1707735,0.0,0.0
2015-07-08,16.26,16.81,16.15,16.55,16.29,868527,0.0,0.0
2015-07-09,16.71,16.97,16.54,16.61,16.35,905380,0.0,0.0
2015-07-10,17.01,17.21,16.88,16.89,16.62,848736,0.0,0.0
2015-07-13,16.96,17.14,16.8,17.14,16.87,1001064,0.0,0.0
2015-07-14,17.38,17.41,17.05,17.11,16.84,760278,0.0,0.0
2015-07-15,17.12,17.2,16.82,16.92,16.65,467698,0.0,0.0
2015-07-16,16.92,17.04,16.75,16.92,16.65,911151,0.0,0.0
2015-07-17,17.0,17.0,16.73,16.75,16.48,642808,0.0,0.0
2015-07-20,16.83,17.13,16.62,16.75,16.49,785685,0.0,0.0
2015-07-21,16.84,17.15,16.69,17.07,16.8,913491,0.0,0.0
2015-07-22,16.91,16.91,16.36,16.51,16.25,1653814,0.0,0.0
2015-07-23,16.69,16.69,16.39,16.41,16.15,1123846,0.0,0.0
2015-07-24,16.39,16.57,15.92,16.01,15.76,875551,0.0,0.0
2015-07-27,16.08,16.24,15.65,15.91,15.66,799052,0.0,0.0
2015-07-28,16.09,16.39,15.96,16.35,16.1,737047,0.0,0.0
2015-07-29,16.56,16.69,16.07,16.69,16.42,628867,0.0,0.0
2015-07-30,16.74,16.87,16.45,16.52,16.26,547772,0.0,0.0
