Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,21.9,22.18,21.89,22.16,16.32,2172929,0.0,0
2015-04-27,22.2,22.35,21.8,22.26,16.39,1190848,0.0,0
2015-04-28,22.32,22.6,22.2,22.48,16.55,2241076,0.0,0
2015-04-29,22.55,22.59,21.91,22.06,16.24,3754380,0.0,0
2015-04-30,21.97,22.23,21.91,21.95,16.17,2335385,0.0,0
2015-05-04,21.94,22.14,21.71,22.0,16.21,1208974,0.0,0
2015-05-05,21.98,22.16,21.44,21.5,15.83,2124284,0.0,0
2015-05-06,21.41,21.58,21.07,21.25,15.65,3602515,0.0,0
2015-05-07,21.25,21.59,20.86,21.51,15.84,3267277,0.0,0
2015-05-08,21.68,21.84,21.45,21.84,16.09,2391666,0.0,0
2015-05-11,21.77,22.0,21.67,21.95,16.17,1122420,0.0,0
2015-05-12,21.82,21.95,21.61,21.88,16.11,2414239,0.0,0
2015-05-13,22.0,22.06,21.82,21.95,16.17,1527136,0.0,0
2015-05-14,21.95,22.31,21.85,22.25,16.38,1273382,0.0,0
2015-05-15,22.34,22.34,22.06,22.24,16.38,1477460,0.0,0
2015-05-18,22.28,22.35,21.97,22.25,16.39,1147230,0.0,0
2015-05-19,22.4,22.59,22.36,22.52,16.59,2331675,0.0,0
2015-05-20,22.47,22.72,22.22,22.64,16.67,1786548,0.0,0
2015-05-21,22.65,22.88,22.62,22.82,16.81,1499418,0.0,0
2015-05-22,22.83,22.9,22.6,22.73,16.74,1466083,0.0,0
2015-05-25,22.58,22.6,22.15,22.24,16.38,830582,0.0,0
2015-05-26,22.21,22.5,21.99,22.17,16.32,3483311,0.0,0
2015-05-27,22.25,22.6,22.16,22.53,16.6,1809274,0.0,0
2015-05-28,22.52,22.72,22.33,22.54,16.6,2565247,0.0,0
2015-05-29,22.53,22.68,22.32,22.4,16.49,1625709,0.0,0
2015-06-01,22.5,22.64,22.24,22.27,16.4,1358447,0.0,0
2015-06-02,22.33,22.38,22.05,22.14,16.31,2581803,0.0,0
2015-06-03,22.25,22.45,22.07,22.12,16.29,1936828,0.0,0
2015-06-04,22.07,22.07,21.56,21.8,16.05,1776224,0.0,0
2015-06-05,21.58,21.8,21.55,21.6,15.91,1490577,0.0,0
2015-06-08,21.6,21.61,21.32,21.42,15.77,1628344,0.0,0
2015-06-09,21.42,21.58,21.31,21.56,15.88,2699518,0.0,0
2015-06-10,21.45,21.93,21.42,21.89,16.12,2564783,0.0,0
2015-06-11,21.91,21.97,21.76,21.9,16.12,1797803,0.0,0
2015-06-12,21.8,21.9,21.29,21.48,15.82,2082797,0.0,0
2015-06-15,21.27,21.39,21.07,21.19,15.61,1994795,0.0,0
2015-06-16,21.05,21.2,20.81,21.16,15.58,3107746,0.0,0
2015-06-17,21.24,21.28,20.92,21.1,15.54,2698973,0.0,0
