Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,19.48,19.67,19.4,19.65,9.53,3210444,0.0,0.0
2015-04-27,19.67,19.8,19.36,19.74,9.58,4020652,0.0,0.0
2015-04-28,19.66,19.8,19.44,19.61,9.52,4789160,0.0,0.0
2015-04-29,19.7,19.7,18.94,18.97,9.2,3484560,0.0,0.0
2015-04-30,18.87,19.11,18.7,18.75,9.1,4180956,0.0,0.0
2015-05-04,18.88,18.97,18.64,18.81,9.13,2613288,0.0,0.0
2015-05-05,18.82,18.99,18.17,18.17,8.82,3817904,0.0,0.0
2015-05-06,18.16,18.38,18.03,18.23,8.85,4930692,0.0,0.0
2015-05-07,18.25,18.41,17.99,18.38,8.92,10716440,0.0,0.0
2015-05-08,18.58,18.77,18.47,18.77,9.11,3460492,0.0,0.0
2015-05-11,18.8,18.83,18.61,18.77,9.11,5608440,0.0,0.0
2015-05-12,18.75,18.76,18.47,18.73,9.09,5672096,0.0,0.0
2015-05-13,18.84,19.18,18.71,18.98,9.21,2489748,0.0,0.0
2015-05-14,18.95,19.01,18.83,18.97,9.2,2958900,0.0,0.0
2015-05-15,18.95,19.11,18.93,19.08,9.26,2967068,0.0,0.0
2015-05-18,19.12,19.38,19.02,19.38,9.41,4550452,0.0,0.0
2015-05-19,19.49,19.64,19.42,19.55,9.49,4148236,0.0,0.0
2015-05-20,19.52,19.66,19.32,19.64,9.53,1802752,0.0,0.0
2015-05-21,19.53,19.61,19.44,19.61,9.52,2946080,0.0,0.0
2015-05-22,19.57,19.66,19.42,19.51,9.47,1825560,0.0,0.0
2015-05-25,19.12,19.53,18.71,18.92,9.18,2008856,0.0,0.0
2015-05-26,19.01,19.11,18.69,18.95,9.19,5540520,0.0,0.0
2015-05-27,18.95,19.18,18.75,19.11,9.27,2207896,0.0,0.0
2015-05-28,19.08,19.24,18.97,19.24,9.34,2685676,0.0,0.0
2015-05-29,19.25,19.38,19.09,19.15,9.29,3196016,0.0,0.0
2015-06-01,19.25,19.31,19.1,19.18,9.31,6669044,0.0,0.0
2015-06-02,19.26,19.3,18.97,19.18,9.31,1769364,0.0,0.0
2015-06-03,19.25,19.29,19.04,19.08,9.26,2214040,0.0,0.0
2015-06-04,18.8,18.83,18.55,18.59,9.02,2432284,0.0,0.0
2015-06-05,18.5,18.63,18.4,18.46,8.96,1997476,0.0,0.0
2015-06-08,18.48,18.48,18.27,18.31,8.89,1358868,0.0,0.0
2015-06-09,18.28,18.42,18.22,18.34,8.9,6758500,0.0,0.0
2015-06-10,18.24,18.61,18.21,18.61,9.03,2319776,0.0,0.0
2015-06-11,18.55,18.64,18.41,18.51,8.98,2432860,0.0,0.0
2015-06-12,18.52,18.57,18.19,18.35,8.9,1684332,0.0,0.0
2015-06-15,18.17,18.26,17.94,18.06,8.76,3012516,0.0,0.0
2015-06-16,17.96,18.17,17.75,18.15,8.81,4465344,0.0,0.0
2015-06-17,18.15,18.23,17.86,17.98,8.72,3098860,0.0,0.0
2015-06-18,17.95,18.25,17.81,18.25,8.86,12916616,0.0,0.0
2015-06-19,18.15,18.37,18.11,18.21,8.84,1816628,0.0,0.0
2015-06-22,18.56,18.73,18.44,18.73,9.09,9022148,0.0,0.0
2015-06-23,18.83,18.83,18.63,18.67,9.06,11831496,0.0,0.0
2015-06-24,18.74,18.74,18.52,18.67,9.06,33152468,0.0,0.0
2015-06-25,18.52,18.82,18.52,18.68,9.07,7982504,0.0,0.0
2015-06-26,18.58,18.68,18.55,18.68,9.06,2103052,0.0,0.0
2015-06-29,18.02,18.37,17.89,18.15,8.81,6070380,0.0,0.0
2015-06-30,18.02,18.26,17.95,17.97,8.72,16561284,0.0,0.0
2015-07-01,17.59,17.69,17.38,17.48,9.65,27121944,2.1677,0.0
2015-07-02,17.51,17.83,17.48,17.76,9.8,3454672,0.0,0.0
2015-07-03,17.77,17.79,17.53,17.64,9.73,1271776,0.0,0.0
2015-07-06,17.29,17.56,17.03,17.15,9.46,11222016,0.0,0.0
2015-07-07,17.17,17.33,16.99,16.99,9.37,7490908,0.0,0.0
2015-07-08,17.0,17.2,16.97,17.15,9.46,9598092,0.0,0.0
2015-07-09,17.16,17.48,17.14,17.42,9.61,13197060,0.0,0.0
2015-07-10,17.74,17.92,17.54,17.92,9.89,5058776,0.0,0.0
2015-07-13,17.99,18.05,17.89,18.03,9.95,1344476,0.0,0.0
2015-07-14,18.01,18.07,17.93,18.07,9.97,1091476,0.0,0.0
2015-07-15,18.09,18.28,18.05,18.2,10.04,1350648,0.0,0.0
2015-07-16,18.38,18.41,18.27,18.35,10.13,6792144,0.0,0.0
2015-07-17,18.41,18.45,18.34,18.35,10.13,1489356,0.0,0.0
2015-07-20,18.45,18.55,18.39,18.54,10.23,3779060,0.0,0.0
2015-07-21,18.55,18.65,18.48,18.55,10.24,4513552,0.0,0.0
2015-07-22,18.45,18.5,18.36,18.42,10.16,2050388,0.0,0.0
2015-07-23,18.5,18.5,18.23,18.31,10.1,3068128,0.0,0.0
2015-07-24,18.3,18.44,18.22,18.22,10.05,1594052,0.0,0.0
2015-07-27,18.17,18.23,18.04,18.05,9.96,7612528,0.0,0.0
2015-07-28,18.06,18.17,18.01,18.12,10.0,1995156,0.0,0.0
2015-07-29,18.25,18.42,17.99,18.17,10.02,1214436,0.0,0.0
2015-07-30,18.25,18.33,18.08,18.23,10.06,4363332,0.0,0.0
2015-07-31,18.25,18.26,18.05,18.19,10.04,1889516,0.0,0.0
2015-08-03,18.23,18.5,18.18,18.43,10.17,1005052,0.0,0.0
2015-08-04,18.38,18.46,18.32,18.43,10.17,1022600,0.0,0.0
2015-08-05,18.48,18.66,18.42,18.66,10.3,1594500,0.0,0.0
2015-08-06,18.62,18.66,18.44,18.55,10.24,2638004,0.0,0.0
2015-08-07,18.52,18.65,18.46,18.63,10.28,4087696,0.0,0.0
2015-08-10,18.69,18.69,18.5,18.61,10.27,3460168,0.0,0.0
2015-08-11,18.56,18.58,18.26,18.29,10.09,1705288,0.0,0.0
2015-08-12,18.16,18.17,18.0,18.08,9.97,1428768,0.0,0.0
2015-08-13,18.31,18.33,18.18,18.24,10.06,4398764,0.0,0.0
2015-08-14,18.23,18.27,18.14,18.17,10.03,729672,0.0,0.0
2015-08-17,18.3,18.34,18.05,18.24,10.06,977196,0.0,0.0
2015-08-18,18.22,18.34,18.17,18.31,10.1,1248588,0.0,0.0
2015-08-19,18.23,18.5,18.22,18.42,10.16,2161516,0.0,0.0
2015-08-20,18.42,18.47,18.23,18.33,10.11,1439260,0.0,0.0
2015-08-21,18.08,18.25,17.79,17.79,9.82,2122488,0.0,0.0
2015-08-24,17.34,17.36,16.62,17.11,9.44,3849380,0.0,0.0
2015-08-25,17.37,17.84,17.33,17.77,9.81,2850904,0.0,0.0
2015-08-26,17.56,17.77,17.39,17.49,9.65,1985020,0.0,0.0
2015-08-27,17.79,18.03,17.76,17.93,9.89,1484920,0.0,0.0
2015-08-28,17.96,18.1,17.88,18.08,9.98,1022672,0.0,0.0
2015-08-31,18.01,18.02,17.77,17.81,9.83,1613980,0.0,0.0
2015-09-01,17.67,17.72,17.5,17.62,9.72,5035920,0.0,0.0
2015-09-02,17.66,17.84,17.51,17.72,9.78,1523084,0.0,0.0
2015-09-03,17.82,17.88,17.67,17.73,9.78,1909508,0.0,0.0
2015-09-04,17.59,17.68,17.35,17.39,9.59,3754932,0.0,0.0
2015-09-07,17.5,17.58,17.38,17.4,9.6,1235124,0.0,0.0
2015-09-08,17.44,17.69,17.36,17.46,9.64,1656632,0.0,0.0
2015-09-09,17.88,18.16,17.73,18.09,9.98,4919520,0.0,0.0
2015-09-10,17.93,18.08,17.84,17.94,9.9,1967416,0.0,0.0
2015-09-11,17.96,18.0,17.82,17.9,9.87,1423504,0.0,0.0
2015-09-14,17.99,18.16,17.92,18.16,10.02,2891156,0.0,0.0
2015-09-15,18.14,18.16,17.96,18.04,9.96,2663776,0.0,0.0
2015-09-16,18.15,18.56,18.12,18.45,10.18,3409276,0.0,0.0
2015-09-17,18.5,18.77,18.43,18.6,10.26,2001772,0.0,0.0
2015-09-18,18.55,18.6,18.4,18.48,10.2,2436600,0.0,0.0
2015-09-21,18.33,18.61,18.32,18.4,10.15,1685468,0.0,0.0
2015-09-22,18.33,18.33,17.78,17.89,9.87,2107580,0.0,0.0
2015-09-23,17.91,18.04,17.73,17.93,9.89,2284772,0.0,0.0
2015-09-24,18.01,18.07,17.68,17.76,9.8,1363268,0.0,0.0
2015-09-25,17.97,18.17,17.74,18.07,9.97,1794744,0.0,0.0
2015-09-28,18.02,18.25,17.83,17.9,9.88,995416,0.0,0.0
2015-09-29,17.79,18.12,17.77,17.9,9.87,1721116,0.0,0.0
2015-09-30,18.19,18.6,18.16,18.53,10.23,2519048,0.0,0.0
2015-10-01,18.66,18.78,18.51,18.51,10.21,1806052,0.0,0.0
2015-10-02,18.74,18.8,18.48,18.72,10.33,4218972,0.0,0.0
2015-10-05,18.83,19.12,18.77,19.12,10.55,3061364,0.0,0.0
2015-10-06,19.1,19.21,18.97,19.15,10.57,11313680,0.0,0.0
2015-10-07,19.19,19.33,19.12,19.19,10.59,1923780,0.0,0.0
2015-10-08,19.17,19.25,18.99,19.25,10.62,1935408,0.0,0.0
2015-10-09,19.38,19.46,19.24,19.46,10.74,1846588,0.0,0.0
2015-10-12,19.5,19.5,19.17,19.33,10.66,1362768,0.0,0.0
2015-10-13,19.31,19.31,19.07,19.17,10.58,2091184,0.0,0.0
2015-10-14,19.12,19.41,19.08,19.28,10.64,1503780,0.0,0.0
2015-10-15,19.44,19.44,19.11,19.28,10.64,2079776,0.0,0.0
2015-10-16,19.37,19.48,19.17,19.25,10.62,4065868,0.0,0.0
2015-10-19,19.25,19.42,19.24,19.33,10.66,1585708,0.0,0.0
2015-10-20,19.34,19.5,19.32,19.48,10.75,1620068,0.0,0.0
2015-10-21,19.5,19.62,19.4,19.51,10.77,940584,0.0,0.0
2015-10-22,19.52,19.85,19.41,19.75,10.9,3580968,0.0,0.0
2015-10-23,19.86,20.0,19.78,19.78,10.91,2348988,0.0,0.0
2015-10-26,19.75,19.93,19.5,19.9,10.98,1718332,0.0,0.0
2015-10-27,19.89,19.95,19.7,19.76,10.9,4702168,0.0,0.0
2015-10-28,19.9,19.98,19.79,19.98,11.02,952852,0.0,0.0
2015-10-29,20.0,20.01,19.82,19.93,11.0,3558892,0.0,0.0
2015-10-30,20.03,20.07,19.89,20.05,11.06,3342300,0.0,0.0
2015-11-02,19.92,20.2,19.88,19.99,11.03,1583708,0.0,0.0
2015-11-03,19.99,20.11,19.93,19.98,11.02,5596348,0.0,0.0
2015-11-04,20.0,20.18,19.87,19.87,10.96,3191912,0.0,0.0
2015-11-05,19.86,20.19,19.78,20.12,11.1,3088412,0.0,0.0
2015-11-06,20.09,20.22,19.99,20.14,11.11,1633880,0.0,0.0
2015-11-09,20.08,20.15,19.96,19.98,11.03,1841808,0.0,0.0
2015-11-10,20.03,20.08,19.84,20.02,11.05,2603704,0.0,0.0
2015-11-11,20.02,20.2,19.99,20.02,11.05,1789228,0.0,0.0
2015-11-12,20.02,20.14,19.89,19.92,10.99,1501552,0.0,0.0
2015-11-13,19.88,20.0,19.76,20.0,11.03,2495676,0.0,0.0
2015-11-16,19.89,20.25,19.79,20.2,11.14,2833124,0.0,0.0
2015-11-17,20.25,20.47,20.19,20.44,11.28,1915468,0.0,0.0
2015-11-18,20.37,20.37,20.05,20.22,11.16,2602076,0.0,0.0
2015-11-19,20.33,20.43,20.21,20.29,11.2,2269740,0.0,0.0
2015-11-20,20.37,20.38,20.23,20.38,11.24,2257864,0.0,0.0
2015-11-23,20.3,20.45,20.25,20.32,11.21,1757564,0.0,0.0
2015-11-24,20.25,20.29,19.84,19.96,11.01,6534720,0.0,0.0
2015-11-25,19.99,20.25,19.93,20.19,11.14,3609492,0.0,0.0
2015-11-26,20.14,20.33,20.14,20.28,11.19,1199936,0.0,0.0
2015-11-27,20.18,20.35,20.15,20.31,11.21,1478900,0.0,0.0
2015-11-30,20.28,20.4,20.22,20.3,11.2,2396004,0.0,0.0
2015-12-01,20.3,20.5,20.2,20.3,11.2,1743352,0.0,0.0
2015-12-02,20.37,20.49,20.22,20.27,11.18,1556672,0.0,0.0
2015-12-03,20.15,20.35,19.68,19.94,11.0,2816440,0.0,0.0
2015-12-04,19.83,20.04,19.7,19.96,11.01,1167844,0.0,0.0
2015-12-07,20.04,20.19,20.0,20.08,11.08,1242136,0.0,0.0
2015-12-08,20.1,20.18,19.74,19.8,10.93,1947716,0.0,0.0
2015-12-09,19.85,19.93,19.65,19.72,10.88,2895972,0.0,0.0
2015-12-10,19.58,19.91,19.55,19.66,10.85,2474668,0.0,0.0
2015-12-11,19.65,19.72,19.36,19.39,10.7,2750164,0.0,0.0
2015-12-14,19.53,19.68,19.33,19.33,10.67,1430124,0.0,0.0
2015-12-15,19.45,19.83,19.44,19.72,10.88,2973192,0.0,0.0
2015-12-16,19.59,19.87,19.57,19.59,10.81,5793520,0.0,0.0
2015-12-17,19.97,20.02,19.84,19.87,10.96,2763580,0.0,0.0
2015-12-18,19.8,19.92,19.54,19.6,10.81,8781272,0.0,0.0
2015-12-21,19.4,19.4,18.76,18.81,10.38,6964568,0.0,0.0
2015-12-22,18.91,18.97,18.69,18.84,10.4,2087160,0.0,0.0
2015-12-23,18.97,19.27,18.97,19.22,10.61,5390888,0.0,0.0
2015-12-24,19.27,19.49,19.23,19.24,10.62,269408,0.0,0.0
2015-12-28,19.22,19.32,19.07,19.16,10.57,7455404,0.0,0.0
2015-12-29,19.26,19.54,19.25,19.52,10.77,4443992,0.0,0.0
2015-12-30,19.54,19.55,19.38,19.4,10.7,8334092,0.0,0.0
2015-12-31,19.38,19.4,19.1,19.28,10.64,2738204,0.0,0.0
2016-01-04,19.0,19.05,18.64,18.83,10.89,10056760,0.8906,0.0
2016-01-05,19.02,19.09,18.83,18.93,10.95,2232536,0.0,0.0
2016-01-06,18.97,19.0,18.76,18.9,10.93,1088700,0.0,0.0
2016-01-07,18.57,18.91,18.48,18.78,10.87,5172744,0.0,0.0
2016-01-08,18.81,19.02,18.7,18.7,10.82,2114172,0.0,0.0
2016-01-11,18.65,18.85,18.56,18.64,10.78,5343960,0.0,0.0
2016-01-12,18.67,18.85,18.55,18.73,10.84,2705416,0.0,0.0
2016-01-13,18.88,18.89,18.65,18.68,10.81,2117992,0.0,0.0
2016-01-14,18.59,18.6,18.3,18.48,10.69,4454160,0.0,0.0
2016-01-15,18.44,18.53,18.13,18.25,10.56,2843672,0.0,0.0
2016-01-18,18.23,18.41,18.15,18.27,10.57,2221940,0.0,0.0
2016-01-19,18.52,18.58,18.27,18.57,10.74,2082708,0.0,0.0
2016-01-20,18.33,18.4,18.13,18.25,10.56,5807420,0.0,0.0
2016-01-21,18.23,18.43,18.02,18.21,10.53,9487060,0.0,0.0
2016-01-22,18.42,18.54,18.29,18.29,10.58,4895524,0.0,0.0
2016-01-25,18.4,18.42,18.24,18.31,10.59,4787452,0.0,0.0
2016-01-26,18.14,18.4,18.09,18.33,10.6,3609252,0.0,0.0
2016-01-27,18.34,18.55,18.31,18.55,10.73,4110900,0.0,0.0
2016-01-28,18.51,18.67,18.3,18.39,10.64,2088404,0.0,0.0
2016-01-29,18.56,18.68,18.47,18.6,10.76,2219024,0.0,0.0
2016-02-01,18.65,19.07,18.63,19.01,11.0,5490140,0.0,0.0
2016-02-02,18.99,19.07,18.82,18.91,10.94,2086744,0.0,0.0
2016-02-03,18.9,18.93,18.54,18.68,10.81,1714424,0.0,0.0
2016-02-04,18.89,18.92,18.53,18.6,10.76,3070648,0.0,0.0
2016-02-05,18.61,18.62,18.36,18.47,10.69,2244672,0.0,0.0
2016-02-08,18.5,18.59,17.97,17.99,10.41,2466984,0.0,0.0
2016-02-09,18.09,18.09,17.72,17.94,10.38,6134492,0.0,0.0
2016-02-10,18.05,18.21,17.91,17.91,10.36,2755804,0.0,0.0
2016-02-11,17.78,17.78,17.51,17.51,10.13,2296044,0.0,0.0
2016-02-12,17.84,17.84,17.22,17.47,10.1,2830244,0.0,0.0
2016-02-15,17.75,17.86,17.65,17.83,10.31,4154444,0.0,0.0
2016-02-16,17.91,17.92,17.66,17.74,10.26,3437404,0.0,0.0
2016-02-17,17.8,17.89,17.67,17.75,10.27,9138232,0.0,0.0
2016-02-18,17.83,18.14,17.81,17.97,10.4,2484400,0.0,0.0
2016-02-19,17.99,17.99,17.7,17.92,10.37,3845056,0.0,0.0
2016-02-22,18.11,18.21,18.06,18.17,10.51,1435336,0.0,0.0
2016-02-23,18.12,18.24,17.93,17.94,10.38,3551492,0.0,0.0
2016-02-24,18.02,18.02,17.58,17.66,10.22,6019416,0.0,0.0
2016-02-25,17.84,18.13,17.75,18.08,10.46,2864848,0.0,0.0
2016-02-26,18.29,18.48,18.05,18.14,10.49,2822364,0.0,0.0
2016-02-29,18.06,18.29,17.89,18.29,10.58,2449448,0.0,0.0
2016-03-01,18.27,18.42,18.22,18.42,10.65,4943828,0.0,0.0
2016-03-02,18.41,18.5,18.08,18.22,10.54,4544116,0.0,0.0
2016-03-03,18.23,18.38,18.16,18.28,10.58,1986900,0.0,0.0
2016-03-04,18.34,18.44,18.22,18.33,10.6,2090188,0.0,0.0
2016-03-07,18.3,18.47,18.25,18.32,10.6,2788868,0.0,0.0
2016-03-08,18.22,18.33,18.15,18.26,10.56,3147612,0.0,0.0
2016-03-09,18.28,18.54,18.24,18.43,10.66,5149748,0.0,0.0
2016-03-10,18.5,18.75,18.42,18.49,10.7,4095960,0.0,0.0
2016-03-11,18.68,18.82,18.58,18.82,10.88,1746352,0.0,0.0
2016-03-14,18.9,18.93,18.77,18.93,10.95,7996140,0.0,0.0
2016-03-15,18.85,18.99,18.83,18.97,10.98,3476596,0.0,0.0
2016-03-16,19.04,19.06,18.81,18.97,10.97,1943316,0.0,0.0
2016-03-17,19.06,19.13,18.78,19.08,11.04,3621704,0.0,0.0
2016-03-18,19.16,19.2,19.04,19.2,11.11,5007816,0.0,0.0
2016-03-21,19.15,19.3,19.04,19.26,11.15,2323488,0.0,0.0
2016-03-22,19.25,19.3,19.09,19.25,11.14,5345160,0.0,0.0
2016-03-23,19.33,19.33,19.1,19.25,11.14,1317200,0.0,0.0
2016-03-24,19.17,19.28,19.14,19.15,11.08,1046988,0.0,0.0
2016-03-29,19.29,19.38,19.21,19.38,11.21,1291580,0.0,0.0
2016-03-30,19.45,19.52,19.2,19.31,11.17,1980416,0.0,0.0
2016-03-31,19.23,19.23,19.01,19.08,11.04,6513140,0.0,0.0
