Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,18.3,18.5,18.15,18.25,13.47,5887911,0.0,0.0
2015-04-27,18.25,18.64,18.08,18.5,13.65,6674284,0.0,0.0
2015-04-28,18.51,18.75,18.44,18.54,13.68,6150594,0.0,0.0
2015-04-29,18.5,18.63,18.23,18.39,13.57,8623923,0.0,0.0
2015-04-30,18.41,18.6,18.3,18.42,13.59,9962035,0.0,0.0
2015-05-04,18.33,18.63,18.2,18.49,13.64,6410737,0.0,0.0
2015-05-05,18.5,18.56,18.23,18.27,13.48,10132209,0.0,0.0
2015-05-06,18.33,18.43,18.21,18.43,13.6,8106238,0.0,0.0
2015-05-07,18.15,18.15,17.64,17.83,13.15,15209431,0.0,0.0
2015-05-08,17.83,18.18,17.72,18.18,13.42,13362088,0.0,0.0
2015-05-11,18.21,18.37,18.16,18.19,13.42,5718597,0.0,0.0
2015-05-12,18.03,18.16,17.89,18.11,13.36,7923122,0.0,0.0
2015-05-13,18.18,18.28,18.0,18.07,13.33,9626474,0.0,0.0
2015-05-14,18.07,18.24,17.92,18.16,13.39,5289364,0.0,0.0
2015-05-15,18.15,18.17,17.81,17.9,13.21,10968719,0.0,0.0
2015-05-18,17.97,18.09,17.65,17.84,13.17,8002801,0.0,0.0
2015-05-19,17.94,18.12,17.89,17.98,13.27,8954393,0.0,0.0
2015-05-20,18.0,18.17,17.86,18.11,13.36,6110105,0.0,0.0
2015-05-21,18.08,18.25,18.02,18.18,13.41,5843872,0.0,0.0
2015-05-22,18.23,18.25,18.09,18.19,13.42,5978425,0.0,0.0
2015-05-25,18.1,18.14,17.77,17.85,13.17,7207307,0.0,0.0
2015-05-26,17.79,17.9,17.51,17.67,13.03,12586735,0.0,0.0
2015-05-27,17.74,17.82,17.58,17.78,13.12,8039846,0.0,0.0
2015-05-28,17.75,17.76,17.34,17.54,12.94,11063973,0.0,0.0
2015-05-29,17.56,17.63,17.28,17.34,12.79,10812120,0.0,0.0
2015-06-01,17.45,17.48,17.24,17.33,12.78,5329508,0.0,0.0
2015-06-02,17.4,17.59,17.17,17.43,12.86,8946457,0.0,0.0
2015-06-03,17.52,17.6,17.27,17.44,12.87,9196675,0.0,0.0
2015-06-04,17.35,17.4,17.07,17.14,12.64,7776112,0.0,0.0
2015-06-05,17.02,17.17,16.88,17.05,12.58,11466421,0.0,0.0
2015-06-08,17.0,17.05,16.86,16.88,12.45,6584262,0.0,0.0
2015-06-09,16.88,16.93,16.62,16.85,12.43,9835456,0.0,0.0
2015-06-10,16.85,17.11,16.75,17.03,12.57,25859056,0.0,0.0
2015-06-11,17.06,17.3,17.01,17.1,12.62,7965808,0.0,0.0
2015-06-12,17.08,17.13,16.76,16.89,12.46,7081140,0.0,0.0
2015-06-15,16.67,16.75,16.43,16.62,12.26,12467523,0.0,0.0
2015-06-16,16.5,16.68,16.32,16.68,12.31,8343035,0.0,0.0
2015-06-17,16.7,16.83,16.61,16.67,12.3,6261817,0.0,0.0
2015-06-18,16.21,16.26,16.01,16.25,12.34,14800995,0.484,0.0
2015-06-19,16.25,16.35,16.08,16.14,12.26,12936700,0.0,0.0
2015-06-22,16.42,16.64,16.31,16.59,12.61,12837454,0.0,0.0
2015-06-23,16.67,16.74,16.54,16.56,12.58,12485888,0.0,0.0
2015-06-24,16.56,16.73,16.43,16.52,12.55,24800403,0.0,0.0
2015-06-25,16.42,16.73,16.41,16.51,12.55,12477291,0.0,0.0
2015-06-26,16.38,16.59,16.35,16.56,12.58,16154797,0.0,0.0
2015-06-29,15.98,16.18,15.86,15.86,12.05,21896485,0.0,0.0
2015-06-30,15.86,16.05,15.65,15.75,11.97,11928076,0.0,0.0
2015-07-01,16.12,16.35,15.94,16.07,12.21,11505847,0.0,0.0
2015-07-02,16.11,16.3,16.07,16.09,12.23,8114804,0.0,0.0
2015-07-03,16.1,16.15,15.83,15.99,12.15,9248621,0.0,0.0
2015-07-06,15.68,15.77,15.52,15.55,11.82,9610035,0.0,0.0
2015-07-07,15.52,15.6,15.23,15.23,11.58,13678331,0.0,0.0
2015-07-08,15.29,15.49,15.24,15.39,11.69,9506370,0.0,0.0
2015-07-09,15.47,15.93,15.4,15.85,12.05,7680694,0.0,0.0
2015-07-10,16.17,16.41,16.08,16.27,12.36,9527633,0.0,0.0
2015-07-13,16.58,16.59,16.33,16.51,12.55,10090283,0.0,0.0
2015-07-14,16.48,16.58,16.38,16.55,12.58,6507684,0.0,0.0
2015-07-15,16.58,16.7,16.52,16.67,12.66,9689592,0.0,0.0
2015-07-16,16.67,17.0,16.6,16.92,12.86,8658548,0.0,0.0
2015-07-17,16.96,16.97,16.65,16.76,12.74,7759282,0.0,0.0
2015-07-20,16.8,16.93,16.68,16.77,12.74,14878757,0.0,0.0
2015-07-21,16.77,16.81,16.57,16.61,12.62,7980695,0.0,0.0
2015-07-22,16.47,16.5,16.36,16.39,12.45,9788567,0.0,0.0
2015-07-23,16.46,16.5,16.12,16.16,12.28,7286728,0.0,0.0
2015-07-24,16.15,16.25,15.87,15.91,12.09,11068241,0.0,0.0
2015-07-27,15.9,15.9,15.53,15.53,11.8,12599031,0.0,0.0
2015-07-28,15.62,15.81,15.57,15.73,11.96,7349300,0.0,0.0
2015-07-29,15.9,16.08,15.56,16.01,12.17,8127645,0.0,0.0
2015-07-30,15.9,15.9,15.26,15.38,11.68,18620292,0.0,0.0
2015-07-31,15.41,15.45,15.15,15.3,11.63,11228661,0.0,0.0
2015-08-03,15.31,15.37,15.07,15.29,11.62,10530087,0.0,0.0
2015-08-04,15.21,15.24,15.02,15.05,11.44,10649059,0.0,0.0
2015-08-05,15.06,15.27,15.02,15.18,11.53,9567777,0.0,0.0
2015-08-06,15.19,15.23,15.02,15.13,11.5,6093434,0.0,0.0
2015-08-07,15.18,15.34,15.11,15.12,11.49,7157684,0.0,0.0
2015-08-10,15.18,15.31,15.01,15.3,11.62,8010474,0.0,0.0
2015-08-11,15.29,15.39,14.98,15.01,11.4,7972687,0.0,0.0
2015-08-12,14.98,15.02,14.72,14.8,11.25,12213920,0.0,0.0
2015-08-13,15.08,15.17,14.71,14.74,11.2,17217790,0.0,0.0
2015-08-14,14.74,14.81,14.52,14.56,11.06,12348636,0.0,0.0
2015-08-17,14.69,14.72,14.4,14.56,11.07,9441557,0.0,0.0
2015-08-18,14.52,14.58,14.36,14.39,10.93,9778710,0.0,0.0
2015-08-19,14.32,14.39,14.12,14.12,10.73,7689522,0.0,0.0
2015-08-20,14.1,14.17,13.9,13.9,10.57,12592711,0.0,0.0
2015-08-21,13.79,13.86,13.45,13.45,10.22,11773408,0.0,0.0
2015-08-24,12.96,13.18,12.24,12.27,9.32,26343171,0.0,0.0
2015-08-25,12.65,12.81,12.44,12.73,9.67,17010543,0.0,0.0
2015-08-26,12.65,12.77,12.39,12.41,9.43,18723585,0.0,0.0
2015-08-27,12.79,13.18,12.62,13.06,9.93,12940885,0.0,0.0
2015-08-28,13.16,13.49,12.98,13.21,10.04,13898843,0.0,0.0
2015-08-31,13.09,13.12,12.65,12.76,9.69,12604867,0.0,0.0
2015-09-01,12.98,13.01,12.23,12.3,9.34,19374260,0.0,0.0
2015-09-02,12.26,12.45,12.0,12.09,9.19,17998304,0.0,0.0
2015-09-03,12.25,12.38,11.98,12.23,9.29,18761581,0.0,0.0
2015-09-04,12.15,12.16,11.72,11.79,8.96,17023627,0.0,0.0
2015-09-07,11.94,12.01,11.7,11.7,8.89,7135863,0.0,0.0
2015-09-08,11.74,11.94,11.73,11.73,8.91,9803631,0.0,0.0
2015-09-09,12.04,12.15,11.85,11.88,9.02,13411768,0.0,0.0
2015-09-10,11.8,11.81,11.45,11.5,8.74,14003692,0.0,0.0
2015-09-11,11.57,11.58,11.16,11.16,8.48,15317998,0.0,0.0
2015-09-14,11.22,11.31,11.02,11.1,8.43,11468177,0.0,0.0
2015-09-15,11.14,11.29,10.84,11.24,8.54,24164470,0.0,0.0
2015-09-16,11.34,11.48,11.22,11.48,8.73,16218263,0.0,0.0
2015-09-17,11.47,11.54,11.31,11.35,8.62,13663194,0.0,0.0
2015-09-18,11.26,11.27,10.76,10.8,8.21,85195906,0.0,0.0
2015-09-21,10.81,11.04,10.65,10.72,8.14,24323501,0.0,0.0
2015-09-22,10.74,10.75,10.19,10.19,7.74,16007261,0.0,0.0
2015-09-23,10.18,10.47,10.03,10.03,7.62,21150878,0.0,0.0
2015-09-24,10.02,10.25,9.9,10.06,7.64,23463590,0.0,0.0
2015-09-25,10.35,10.5,10.06,10.1,7.67,14547742,0.0,0.0
2015-09-28,10.18,10.37,9.98,10.05,7.63,15854404,0.0,0.0
2015-09-29,10.0,10.31,9.96,10.23,7.77,23681908,0.0,0.0
2015-09-30,10.44,10.44,10.31,10.41,7.91,17865760,0.0,0.0
2015-10-01,10.62,11.05,10.61,10.79,8.2,36044572,0.0,0.0
2015-10-02,10.89,11.15,10.77,11.04,8.39,14108144,0.0,0.0
2015-10-05,11.34,11.83,11.28,11.8,8.97,15721670,0.0,0.0
2015-10-06,11.85,12.14,11.47,12.11,9.2,24345220,0.0,0.0
2015-10-07,12.35,12.67,12.24,12.37,9.4,21790583,0.0,0.0
2015-10-08,12.37,12.44,12.1,12.34,9.37,12692630,0.0,0.0
2015-10-09,12.55,12.84,12.53,12.62,9.59,13286166,0.0,0.0
2015-10-12,12.64,12.8,12.24,12.36,9.4,9848533,0.0,0.0
2015-10-13,12.2,12.22,11.77,12.06,9.16,14626745,0.0,0.0
2015-10-14,11.96,12.32,11.85,12.16,9.24,20081315,0.0,0.0
2015-10-15,12.52,12.62,11.44,11.64,8.84,22282420,0.0,0.0
2015-10-16,11.8,11.99,11.67,11.82,8.98,19885781,0.0,0.0
2015-10-19,11.7,11.76,11.35,11.43,8.68,15250005,0.0,0.0
2015-10-20,11.34,11.38,11.11,11.25,8.55,8554894,0.0,0.0
2015-10-21,11.28,11.4,11.05,11.3,8.59,9695214,0.0,0.0
2015-10-22,11.24,11.66,11.2,11.64,8.84,8525001,0.0,0.0
2015-10-23,11.79,11.93,11.54,11.57,8.8,10292837,0.0,0.0
2015-10-26,11.57,11.75,11.48,11.53,8.76,8434588,0.0,0.0
2015-10-27,11.47,11.52,10.94,11.08,8.42,12575979,0.0,0.0
2015-10-28,11.06,11.63,11.01,11.57,8.8,17248942,0.0,0.0
2015-10-29,11.61,11.63,11.28,11.48,8.72,10414209,0.0,0.0
2015-10-30,11.55,11.57,11.37,11.48,8.72,5575590,0.0,0.0
2015-11-02,11.4,11.63,11.38,11.57,8.79,6192260,0.0,0.0
2015-11-03,11.6,12.42,11.58,12.42,9.44,18887574,0.0,0.0
2015-11-04,12.46,12.86,12.41,12.56,9.54,17796311,0.0,0.0
2015-11-05,12.48,12.49,12.12,12.29,9.34,10999813,0.0,0.0
2015-11-06,12.3,12.44,12.15,12.3,9.34,7808872,0.0,0.0
2015-11-09,12.31,12.62,12.15,12.18,9.25,11190053,0.0,0.0
2015-11-10,12.25,12.3,12.05,12.22,9.28,6464819,0.0,0.0
2015-11-11,12.23,12.4,12.06,12.11,9.2,9614319,0.0,0.0
2015-11-12,11.89,11.89,11.1,11.23,8.53,25209002,0.0,0.0
2015-11-13,11.18,11.48,10.98,11.15,8.47,10636717,0.0,0.0
2015-11-16,11.1,11.54,11.06,11.34,8.62,14414072,0.0,0.0
2015-11-17,11.59,11.91,11.52,11.91,9.05,12513881,0.0,0.0
2015-11-18,11.83,12.19,11.72,12.11,9.21,10419457,0.0,0.0
2015-11-19,12.19,12.33,12.11,12.26,9.31,13067981,0.0,0.0
2015-11-20,12.21,12.24,11.9,11.98,9.1,7372911,0.0,0.0
2015-11-23,11.9,12.11,11.72,12.01,9.13,9183167,0.0,0.0
2015-11-24,11.92,12.36,11.9,12.31,9.35,18747127,0.0,0.0
2015-11-25,12.31,12.35,12.03,12.24,9.3,8297571,0.0,0.0
2015-11-26,12.2,12.56,12.17,12.47,9.47,11839027,0.0,0.0
2015-11-27,12.38,12.5,12.3,12.33,9.37,7661377,0.0,0.0
2015-11-30,12.26,12.49,12.19,12.35,9.38,9402467,0.0,0.0
2015-12-01,12.35,12.48,12.24,12.27,9.33,6549656,0.0,0.0
2015-12-02,12.24,12.3,12.0,12.02,9.14,10839287,0.0,0.0
2015-12-03,12.02,12.27,11.68,11.68,8.87,16721827,0.0,0.0
2015-12-04,11.71,12.09,11.37,11.52,8.75,23148678,0.0,0.0
2015-12-07,11.53,11.55,10.81,10.88,8.27,19236107,0.0,0.0
2015-12-08,10.92,10.92,10.47,10.66,8.1,14754339,0.0,0.0
2015-12-09,10.7,11.1,10.47,10.92,8.3,16604952,0.0,0.0
2015-12-10,10.9,11.14,10.81,10.99,8.35,13201489,0.0,0.0
2015-12-11,10.94,11.05,10.61,10.66,8.1,11772178,0.0,0.0
2015-12-14,10.67,10.75,10.24,10.24,7.78,13517400,0.0,0.0
2015-12-15,10.37,10.74,10.35,10.6,8.06,22370553,0.0,0.0
2015-12-16,10.65,10.94,10.54,10.7,8.13,16214064,0.0,0.0
2015-12-17,10.97,11.07,10.73,10.76,8.17,13448975,0.0,0.0
2015-12-18,10.7,10.95,10.6,10.72,8.14,15896961,0.0,0.0
2015-12-21,10.18,10.33,9.96,9.96,7.91,32417163,0.466,0.0
2015-12-22,10.1,10.1,9.95,10.07,8.0,12383333,0.0,0.0
2015-12-23,10.19,10.86,10.19,10.74,8.53,22423374,0.0,0.0
2015-12-24,10.81,11.02,10.76,10.94,8.69,11071605,0.0,0.0
2015-12-28,10.93,10.98,10.47,10.49,8.33,11220783,0.0,0.0
2015-12-29,10.58,10.61,10.4,10.48,8.33,9746633,0.0,0.0
2015-12-30,10.46,10.5,10.23,10.3,8.18,11629856,0.0,0.0
2015-12-31,10.37,10.38,10.12,10.12,8.04,4903394,0.0,0.0
2016-01-04,10.19,10.23,9.84,10.06,7.99,17132436,0.0,0.0
2016-01-05,10.17,10.21,9.91,9.97,7.92,19835559,0.0,0.0
2016-01-06,9.97,9.97,9.57,9.69,7.69,9706430,0.0,0.0
2016-01-07,9.25,9.38,9.0,9.3,7.39,20773382,0.0,0.0
2016-01-08,9.38,9.46,8.93,8.93,7.09,11828037,0.0,0.0
2016-01-11,8.86,9.19,8.64,8.74,6.94,11697248,0.0,0.0
2016-01-12,8.7,9.11,8.58,8.61,6.84,14885528,0.0,0.0
2016-01-13,8.75,9.01,8.65,8.83,7.01,16617337,0.0,0.0
2016-01-14,8.77,9.24,8.58,9.07,7.2,15689934,0.0,0.0
2016-01-15,9.0,9.0,8.55,8.63,6.86,22215800,0.0,0.0
2016-01-18,8.55,8.76,8.43,8.44,6.7,13106613,0.0,0.0
2016-01-19,8.63,8.78,8.46,8.5,6.75,10870669,0.0,0.0
2016-01-20,8.28,8.28,7.96,8.02,6.37,14443175,0.0,0.0
2016-01-21,8.05,8.45,7.95,8.36,6.64,21263208,0.0,0.0
2016-01-22,8.85,9.16,8.63,8.94,7.1,20291068,0.0,0.0
2016-01-25,9.02,9.05,8.6,8.65,6.87,11772755,0.0,0.0
2016-01-26,8.39,9.05,8.32,9.02,7.17,24948442,0.0,0.0
2016-01-27,8.99,8.99,8.68,8.83,7.01,15610038,0.0,0.0
2016-01-28,8.83,9.7,8.83,9.3,7.38,28240871,0.0,0.0
2016-01-29,9.56,9.65,9.05,9.49,7.54,16800575,0.0,0.0
2016-02-01,9.49,9.51,9.1,9.21,7.31,11323465,0.0,0.0
2016-02-02,9.09,9.13,8.56,8.67,6.89,20486915,0.0,0.0
2016-02-03,8.63,8.88,8.34,8.63,6.85,13760273,0.0,0.0
2016-02-04,8.98,9.31,8.8,9.21,7.31,19663233,0.0,0.0
2016-02-05,9.17,9.66,9.09,9.51,7.56,25096334,0.0,0.0
2016-02-08,9.51,9.6,8.87,8.95,7.11,12840915,0.0,0.0
2016-02-09,8.97,9.08,8.59,8.63,6.86,18970508,0.0,0.0
2016-02-10,8.62,9.0,8.52,8.71,6.92,18445347,0.0,0.0
2016-02-11,8.56,8.56,8.06,8.23,6.54,19134150,0.0,0.0
2016-02-12,8.53,8.79,8.35,8.79,6.98,15593640,0.0,0.0
2016-02-15,9.06,9.06,8.72,8.97,7.12,14312854,0.0,0.0
2016-02-16,9.24,9.29,8.68,8.77,6.97,14868500,0.0,0.0
2016-02-17,8.79,9.25,8.66,9.25,7.35,18690600,0.0,0.0
2016-02-18,9.24,9.68,9.01,9.06,7.2,17908580,0.0,0.0
2016-02-19,9.06,9.22,8.75,8.85,7.03,14857114,0.0,0.0
2016-02-22,9.0,9.27,8.95,9.24,7.34,12616465,0.0,0.0
2016-02-23,9.11,9.32,8.9,8.94,7.1,11283209,0.0,0.0
2016-02-24,8.8,8.83,8.46,8.58,6.82,13938923,0.0,0.0
2016-02-25,8.8,9.26,8.46,8.81,7.0,19920528,0.0,0.0
2016-02-26,8.98,9.5,8.98,9.48,7.53,19584401,0.0,0.0
2016-02-29,9.38,9.57,9.22,9.52,7.57,12900763,0.0,0.0
2016-03-01,9.71,9.99,9.65,9.91,7.87,26901354,0.0,0.0
2016-03-02,10.02,10.27,9.81,10.2,8.11,17281690,0.0,0.0
2016-03-03,10.3,10.65,10.14,10.56,8.38,16369204,0.0,0.0
