Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,2.21,2.3408,2.2003,2.3147,1.8594,78884103,0.0,0.0
2015-04-27,2.3263,2.336,2.2604,2.3214,1.8648,30031725,0.0,0.0
2015-04-28,2.3069,2.3214,2.2885,2.3059,1.8524,23887046,0.0,0.0
2015-04-29,2.3021,2.3059,2.2439,2.2536,1.8103,19862921,0.0,0.0
2015-04-30,2.242,2.3253,2.2294,2.3234,1.8664,45073192,0.0,0.0
2015-05-04,2.3059,2.3602,2.2933,2.3117,1.857,37906388,0.0,0.0
2015-05-05,2.3069,2.3214,2.2177,2.2216,1.7846,49196427,0.0,0.0
2015-05-06,2.21,2.2458,2.2032,2.2264,1.7885,28046827,0.0,0.0
2015-05-07,2.2294,2.2749,2.1925,2.2642,1.8189,26015883,0.0,0.0
2015-05-08,2.2914,2.2943,2.2565,2.2817,1.8329,32602510,0.0,0.0
2015-05-11,2.2827,2.3156,2.2671,2.2943,1.843,26396456,0.0,0.0
2015-05-12,2.2865,2.3088,2.272,2.2798,1.8313,36956820,0.0,0.0
2015-05-13,2.2953,2.3205,2.2875,2.3069,1.8531,32088105,0.0,0.0
2015-05-14,2.3069,2.3495,2.2914,2.3389,1.8788,35337405,0.0,0.0
2015-05-15,2.3457,2.3592,2.3108,2.3185,1.8625,21808416,0.0,0.0
2015-05-18,2.3185,2.3224,2.2817,2.3108,1.8562,19611591,0.0,0.0
2015-05-19,2.3185,2.3476,2.3021,2.3137,1.8586,39397212,0.0,0.0
2015-05-20,2.3175,2.3311,2.2953,2.3311,1.8726,17587214,0.0,0.0
2015-05-21,2.3156,2.3253,2.2759,2.3079,1.8539,24918272,0.0,0.0
2015-05-22,2.3069,2.3166,2.2972,2.3108,1.8562,11503751,0.0,0.0
2015-05-25,2.2875,2.2953,2.2235,2.2458,1.8041,18696541,0.0,0.0
2015-05-26,2.2487,2.2613,2.1906,2.2235,1.7862,30334949,0.0,0.0
2015-05-27,2.2255,2.2652,2.2119,2.2594,1.815,25359919,0.0,0.0
2015-05-28,2.2545,2.2836,2.2294,2.241,1.8002,29140033,0.0,0.0
2015-05-29,2.2371,2.2565,2.2158,2.2352,1.7955,63456118,0.0,0.0
2015-06-01,2.242,2.2691,2.2303,2.2487,1.8064,58465467,0.0,0.0
2015-06-02,2.239,2.2759,2.2197,2.239,1.8304,29212393,0.039,0.0
2015-06-03,2.239,2.2623,2.2264,2.2536,1.8423,29514727,0.0,0.0
2015-06-04,2.2468,2.2565,2.2177,2.2206,1.8153,31436701,0.0,0.0
2015-06-05,2.2119,2.2303,2.1848,2.208,1.805,21666075,0.0,0.0
2015-06-08,2.2097,2.2389,2.2019,2.2136,1.8096,40703941,0.0,1.0042918454935623
2015-06-09,2.199,2.2204,2.1688,2.2194,1.8143,28818454,0.0,0.0
2015-06-10,2.1999,2.2681,2.1999,2.2583,1.8462,41648816,0.0,0.0
2015-06-11,2.2574,2.2934,2.2535,2.2768,1.8613,40466907,0.0,0.0
2015-06-12,2.2681,2.2924,2.2292,2.2574,1.8454,23609287,0.0,0.0
2015-06-15,2.2428,2.2428,2.1805,2.199,1.7976,33352044,0.0,0.0
2015-06-16,2.1805,2.2126,2.1542,2.2097,1.8064,25271730,0.0,0.0
2015-06-17,2.2068,2.2262,2.1707,2.1707,1.7745,22619163,0.0,0.0
2015-06-18,2.1707,2.1941,2.1347,2.1931,1.7928,31482429,0.0,0.0
2015-06-19,2.1873,2.2184,2.1814,2.1902,1.7905,30500014,0.0,0.0
2015-06-22,2.234,2.2681,2.2126,2.2603,1.8478,31245950,0.0,0.0
2015-06-23,2.2729,2.2905,2.2525,2.2564,1.8446,27880495,0.0,0.0
2015-06-24,2.2515,2.2583,2.1922,2.2282,1.8215,28849001,0.0,0.0
2015-06-25,2.2097,2.2496,2.2048,2.2272,1.8207,22707689,0.0,0.0
2015-06-26,2.2116,2.2457,2.2009,2.2262,1.8199,28207513,0.0,0.0
2015-06-29,2.0354,2.1269,2.0053,2.1104,1.7252,56258655,0.0,0.0
2015-06-30,2.1104,2.1493,2.1045,2.1075,1.7228,47494762,0.0,0.0
2015-07-01,2.1347,2.1561,2.1055,2.1357,1.7459,40066430,0.0,0.0
2015-07-02,2.1415,2.1415,2.1133,2.1182,1.7316,30678526,0.0,0.0
