Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,6.5023,6.639,6.4915,6.5515,5.3418,110964887,0.0,0
2015-04-27,6.5593,6.6852,6.463,6.6587,5.4293,82691028,0.0,0
2015-04-28,6.6882,6.7472,6.6783,6.7374,5.4934,84839408,0.0,0
2015-04-29,6.7374,6.7718,6.6203,6.6233,5.4004,55291369,0.0,0
2015-04-30,6.5869,6.7354,6.5377,6.6449,5.418,82641387,0.0,0
2015-05-04,6.6006,6.698,6.52,6.638,5.4124,42258630,0.0,0
2015-05-05,6.6016,6.6872,6.4128,6.4128,5.2288,59774757,0.0,0
2015-05-06,6.399,6.5239,6.3784,6.4816,5.2849,60763279,0.0,0
2015-05-07,6.4325,6.5279,6.3066,6.4954,5.2961,68777393,0.0,0
2015-05-08,6.5288,6.6882,6.4915,6.6882,5.4533,79371044,0.0,0
2015-05-11,6.6882,6.7049,6.6213,6.6793,5.4461,65115477,0.0,0
2015-05-12,6.6056,6.6233,6.5416,6.581,5.3659,71047190,0.0,0
2015-05-13,6.6065,6.6675,6.5269,6.5574,5.3467,56001841,0.0,0
2015-05-14,6.5544,6.6538,6.4806,6.6193,5.3972,32101456,0.0,0
2015-05-15,6.639,6.6429,6.5102,6.5338,5.3274,69000958,0.0,0
2015-05-18,6.5406,6.5751,6.4187,6.5052,5.3042,67138400,0.0,0
2015-05-19,6.5505,6.6459,6.5426,6.6105,5.39,57379528,0.0,0
2015-05-20,6.6193,6.6675,6.5721,6.6528,5.4244,48888554,0.0,0
2015-05-21,6.6134,6.6715,6.6026,6.6715,5.4397,58780130,0.0,0
2015-05-22,6.6665,6.6833,6.6262,6.6479,5.4204,52788387,0.0,0
2015-05-25,6.5013,6.5701,6.4334,6.5062,5.305,37654465,0.0,0
2015-05-26,6.4915,6.5229,6.398,6.4423,5.2528,131868548,0.0,0
2015-05-27,6.4679,6.6075,6.4157,6.5574,5.3467,47038137,0.0,0
2015-05-28,6.522,6.5534,6.4177,6.4826,5.2857,55999347,0.0,0
2015-05-29,6.4679,6.5052,6.3587,6.3774,5.1999,64697668,0.0,0
2015-06-01,6.3882,6.4511,6.3253,6.3488,5.1766,45463351,0.0,0
2015-06-02,6.4138,6.5259,6.3154,6.4384,5.2496,54187469,0.0,0
