Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,59.61,60.0,59.14,59.58,50.88,297018,0.0,0
2015-04-27,59.6,60.25,58.67,59.85,51.11,213169,0.0,0
2015-04-28,59.96,59.99,58.12,58.72,50.14,187952,0.0,0
2015-04-29,58.62,59.0,56.78,57.09,48.75,144979,0.0,0
2015-04-30,57.02,57.18,56.04,56.75,48.46,186219,0.0,0
2015-05-04,57.17,57.9,56.84,57.9,49.44,95568,0.0,0
2015-05-05,58.04,58.2,56.53,56.66,48.38,137556,0.0,0
2015-05-06,56.88,56.88,55.74,56.0,47.82,97080,0.0,0
2015-05-07,55.99,56.67,54.51,56.05,47.86,151045,0.0,0
2015-05-08,56.64,56.87,56.36,56.71,48.43,248343,0.0,0
2015-05-11,56.6,56.79,56.17,56.61,48.34,176214,0.0,0
2015-05-12,56.34,56.34,55.23,55.61,47.49,128140,0.0,0
2015-05-13,56.0,56.46,55.73,55.99,47.81,1514806,0.0,0
2015-05-14,55.51,56.6,55.51,56.36,48.13,207124,0.0,0
2015-05-15,56.51,56.94,56.49,56.65,48.38,100101,0.0,0
2015-05-18,56.59,56.88,56.05,56.71,48.43,77034,0.0,0
2015-05-19,57.12,58.0,57.05,58.0,49.53,187941,0.0,0
2015-05-20,58.18,58.35,57.27,57.44,49.05,140852,0.0,0
2015-05-21,57.25,57.33,56.76,57.06,48.73,133449,0.0,0
2015-05-22,56.98,57.32,56.75,57.02,48.69,106141,0.0,0
2015-05-25,56.9,57.0,56.59,56.87,48.56,31839,0.0,0
2015-05-26,56.87,57.01,56.2,56.34,48.11,659545,0.0,0
2015-05-27,56.5,56.98,55.73,56.45,48.2,182756,0.0,0
2015-05-28,56.5,56.96,56.13,56.42,48.18,1677811,0.0,0
2015-05-29,56.5,56.5,55.75,55.9,47.74,622481,0.0,0
2015-06-01,56.32,56.85,56.28,56.6,48.33,143395,0.0,0
2015-06-02,56.47,56.8,55.73,55.95,47.78,151138,0.0,0
2015-06-03,55.97,57.61,55.6,56.94,48.62,239535,0.0,0
2015-06-04,55.9,56.41,55.3,55.8,48.26,1512897,0.724,0
2015-06-05,55.4,55.55,54.51,54.95,47.53,1059652,0.0,0
2015-06-08,55.11,55.24,54.75,54.93,47.51,122742,0.0,0
2015-06-09,55.65,55.77,54.85,55.53,48.03,136560,0.0,0
2015-06-10,55.38,56.7,54.92,56.43,48.81,156495,0.0,0
2015-06-11,56.99,58.59,56.99,57.95,50.12,675481,0.0,0
2015-06-12,57.93,57.93,56.6,56.89,49.21,212459,0.0,0
2015-06-15,56.24,56.63,56.0,56.32,48.71,101017,0.0,0
2015-06-16,56.0,56.82,55.7,56.82,49.15,103873,0.0,0
2015-06-17,56.86,56.92,55.68,55.68,48.16,147687,0.0,0
2015-06-18,55.53,55.66,54.84,55.29,47.82,120307,0.0,0
2015-06-19,55.03,55.75,54.51,54.8,47.4,448143,0.0,0
2015-06-22,55.5,56.15,55.41,55.77,48.24,620698,0.0,0
2015-06-23,56.33,56.8,56.1,56.1,48.52,643731,0.0,0
2015-06-24,56.3,56.63,55.72,56.0,48.44,216259,0.0,0
2015-06-25,55.5,56.29,55.23,55.62,48.11,603919,0.0,0
2015-06-26,55.09,56.13,55.09,55.64,48.12,519502,0.0,0
2015-06-29,53.52,55.3,52.49,54.55,47.18,984585,0.0,0
2015-06-30,54.19,54.77,53.76,54.25,46.92,567295,0.0,0
2015-07-01,54.69,56.08,54.5,55.42,47.93,315548,0.0,0
2015-07-02,55.54,55.64,54.68,54.92,47.5,123187,0.0,0
2015-07-03,54.8,54.9,54.06,54.3,46.97,114634,0.0,0
2015-07-06,53.37,54.14,53.24,53.8,46.53,108182,0.0,0
2015-07-07,53.75,54.34,53.65,53.91,46.63,195662,0.0,0
2015-07-08,54.15,54.29,53.8,53.85,46.58,85672,0.0,0
2015-07-09,54.12,54.59,53.91,54.48,47.12,145795,0.0,0
2015-07-10,55.34,55.64,54.84,55.46,47.97,135626,0.0,0
2015-07-13,56.05,56.73,56.0,56.6,48.96,111134,0.0,0
2015-07-14,57.0,57.11,56.5,56.92,49.23,139681,0.0,0
2015-07-15,56.81,57.31,56.72,57.14,49.42,98045,0.0,0
2015-07-16,57.52,58.46,57.42,58.29,50.42,188950,0.0,0
2015-07-17,58.53,58.69,57.8,58.1,50.25,121558,0.0,0
2015-07-20,58.72,58.72,57.91,58.15,50.3,94967,0.0,0
2015-07-21,58.17,58.2,57.54,57.66,49.87,87267,0.0,0
2015-07-22,57.65,58.07,57.53,57.61,49.83,61336,0.0,0
2015-07-23,57.85,58.32,57.76,58.13,50.28,198814,0.0,0
2015-07-24,57.83,58.05,56.86,56.95,49.26,145766,0.0,0
