Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.74,42.77,41.97,41.98,40.0,2297800,0.0,0
2015-04-28,41.87,42.31,41.57,42.18,40.19,1803500,0.0,0
2015-04-29,42.04,42.2,41.44,41.96,39.98,2161000,0.0,0
2015-04-30,41.83,41.94,41.11,41.37,39.42,1726300,0.0,0
2015-05-01,41.41,41.93,41.24,41.83,39.86,1880200,0.0,0
2015-05-04,41.88,42.08,41.7,41.94,39.96,1073800,0.0,0
2015-05-05,41.72,41.85,41.46,41.59,39.63,1254800,0.0,0
2015-05-06,41.86,41.86,41.36,41.59,39.63,934600,0.0,0
2015-05-07,41.59,41.85,41.31,41.8,39.83,999700,0.0,0
2015-05-08,42.23,42.53,42.21,42.5,40.5,1033800,0.0,0
2015-05-11,42.39,42.83,42.39,42.62,40.61,975500,0.0,0
2015-05-12,42.36,42.5,41.5,41.91,39.94,2617800,0.0,0
2015-05-13,42.05,42.39,41.71,41.81,39.84,1992800,0.0,0
2015-05-14,42.18,42.23,41.87,42.05,40.07,2883700,0.0,0
2015-05-15,42.14,42.26,41.99,42.04,40.06,2147400,0.0,0
2015-05-18,42.05,42.7,41.98,42.63,40.62,1966100,0.0,0
2015-05-19,41.57,42.83,41.5,42.37,40.37,5277300,0.0,0
2015-05-20,42.5,42.84,42.43,42.61,40.6,2652300,0.0,0
2015-05-21,42.57,42.73,42.2,42.32,40.33,2126300,0.0,0
2015-05-22,42.27,42.67,42.07,42.5,40.5,1484800,0.0,0
2015-05-26,42.48,42.63,41.99,42.06,40.08,1919600,0.0,0
2015-05-27,42.27,42.93,42.1,42.61,40.6,2506300,0.0,0
2015-05-28,42.45,42.71,41.35,41.75,39.78,3347400,0.0,0
2015-05-29,41.79,41.83,40.82,41.19,39.25,5022600,0.0,0
2015-06-01,41.43,41.43,40.85,40.92,38.99,2440000,0.0,0
2015-06-02,40.94,41.14,40.67,41.11,39.17,2947500,0.0,0
2015-06-03,41.31,41.36,40.94,41.1,39.16,2722100,0.0,0
2015-06-04,40.89,41.08,40.01,40.54,38.63,4091900,0.0,0
2015-06-05,40.54,40.67,40.2,40.31,38.41,1760300,0.0,0
2015-06-08,40.26,40.35,39.91,39.95,38.07,1353000,0.0,0
2015-06-09,39.93,40.33,39.83,40.12,38.23,1439000,0.0,0
2015-06-10,40.4,40.59,40.27,40.52,38.61,1789300,0.0,0
2015-06-11,40.57,40.6,40.29,40.53,38.62,1577000,0.0,0
2015-06-12,40.33,40.49,39.74,39.84,37.96,2769600,0.0,0
2015-06-15,39.63,39.63,39.25,39.52,37.66,2361900,0.0,0
2015-06-16,39.59,39.81,39.38,39.79,37.92,1422600,0.0,0
2015-06-17,39.76,39.8,39.32,39.6,37.73,1519400,0.0,0
2015-06-18,39.8,40.06,39.72,39.9,38.02,1865000,0.0,0
2015-06-19,39.8,39.94,39.49,39.49,37.63,2658800,0.0,0
2015-06-22,39.81,40.01,39.73,39.81,37.93,3909300,0.0,0
2015-06-23,39.89,39.95,39.42,39.6,37.73,2053600,0.0,0
2015-06-24,39.47,40.45,39.03,40.19,38.3,6127700,0.0,0
2015-06-25,39.8,40.52,39.38,40.05,38.16,5265800,0.0,0
2015-06-26,40.0,40.17,39.78,40.02,38.23,3350500,0.1,0
2015-06-29,39.6,39.8,38.74,38.74,37.01,2516400,0.0,0
2015-06-30,39.08,39.19,38.48,38.58,36.85,3037400,0.0,0
2015-07-01,38.89,39.3,38.75,39.26,37.5,4486400,0.0,0
2015-07-02,39.36,39.64,39.15,39.58,37.81,2160800,0.0,0
2015-07-06,39.11,39.66,39.08,39.36,37.6,2509400,0.0,0
2015-07-07,39.53,39.79,39.14,39.79,38.01,2927800,0.0,0
2015-07-08,39.48,39.48,38.71,38.75,37.02,3391000,0.0,0
2015-07-09,39.27,39.33,38.91,38.92,37.18,2237900,0.0,0
2015-07-10,39.29,39.44,39.16,39.4,37.64,2107100,0.0,0
2015-07-13,39.72,40.0,39.54,39.96,38.17,1579700,0.0,0
2015-07-14,40.05,40.66,39.89,40.49,38.68,2800900,0.0,0
2015-07-15,40.42,40.52,40.02,40.13,38.33,2247700,0.0,0
2015-07-16,40.36,40.44,40.12,40.34,38.54,1826300,0.0,0
2015-07-17,40.2,40.33,39.84,39.95,38.16,2412400,0.0,0
2015-07-20,40.06,40.13,39.95,40.06,38.27,1155200,0.0,0
2015-07-21,39.97,40.01,39.54,39.57,37.8,1160900,0.0,0
