Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,52.68,52.68,51.7,51.87,49.25,9843400,0.0,0
2015-04-28,51.7,51.82,50.01,51.19,48.6,9235700,0.0,0
2015-04-29,50.58,50.8,47.66,48.88,46.41,18050300,0.0,0
2015-04-30,48.5,49.46,48.01,48.29,45.94,9400400,0.1,0
2015-05-01,48.65,49.83,48.51,49.39,46.99,8084600,0.0,0
2015-05-04,49.41,50.08,48.8,48.95,46.57,5589800,0.0,0
2015-05-05,48.21,48.71,46.9,47.01,44.72,11385000,0.0,0
2015-05-06,46.78,47.64,46.15,47.05,44.76,10116400,0.0,0
2015-05-07,47.4,49.62,47.4,49.06,46.67,11428000,0.0,0
2015-05-08,49.23,49.83,48.93,49.04,46.66,6478200,0.0,0
2015-05-11,49.0,50.3,48.8,49.65,47.24,8036700,0.0,0
2015-05-12,49.11,49.4,48.63,48.85,46.47,6820500,0.0,0
2015-05-13,49.27,49.85,48.4,48.49,46.13,8553100,0.0,0
2015-05-14,48.94,49.09,48.5,48.82,46.45,7980100,0.0,0
2015-05-15,49.41,49.45,48.56,48.67,46.3,6650400,0.0,0
2015-05-18,48.56,49.17,48.38,49.0,46.62,6152300,0.0,0
2015-05-19,49.45,49.68,47.7,47.85,45.52,14984900,0.0,0
2015-05-20,47.56,47.56,42.97,43.06,40.97,51460300,0.0,0
2015-05-21,43.19,43.39,42.4,42.47,40.4,23895800,0.0,0
2015-05-22,42.7,42.93,42.02,42.61,40.54,16113100,0.0,0
2015-05-26,43.05,43.09,41.36,41.56,39.54,17481100,0.0,0
2015-05-27,41.65,42.45,41.6,42.24,40.19,13017800,0.0,0
2015-05-28,42.25,42.5,41.77,41.97,39.93,9238800,0.0,0
2015-05-29,41.68,42.6,41.32,42.37,40.31,13236100,0.0,0
2015-06-01,42.61,44.38,42.09,44.18,42.03,21917100,0.0,0
2015-06-02,43.3,44.11,43.04,43.78,41.65,14832900,0.0,0
2015-06-03,43.35,43.91,43.01,43.13,41.03,13272600,0.0,0
2015-06-04,43.05,43.98,41.88,42.17,40.12,14128000,0.0,0
2015-06-05,42.13,42.58,41.71,41.72,39.69,9951100,0.0,0
2015-06-08,41.07,41.24,39.27,39.86,37.92,25757800,0.0,0
2015-06-09,38.8,40.72,38.45,40.33,38.37,27024800,0.0,0
2015-06-10,40.21,41.21,39.7,40.43,38.46,15731900,0.0,0
2015-06-11,40.79,41.26,39.94,40.02,38.07,10116700,0.0,0
2015-06-12,39.84,41.0,39.76,40.71,38.73,10333800,0.0,0
2015-06-15,40.35,41.0,40.01,40.07,38.12,8830300,0.0,0
2015-06-16,40.13,40.32,39.32,39.48,37.56,9212100,0.0,0
2015-06-17,39.27,40.09,38.91,39.88,37.94,9567400,0.0,0
2015-06-18,39.8,40.22,39.61,39.98,38.04,10647000,0.0,0
2015-06-19,40.3,41.89,40.3,41.56,39.54,20198300,0.0,0
2015-06-22,42.92,43.25,42.24,43.03,40.94,15120200,0.0,0
2015-06-23,42.98,43.42,42.35,42.73,40.65,10702000,0.0,0
2015-06-24,42.7,42.92,42.07,42.24,40.19,6895900,0.0,0
2015-06-25,42.65,43.42,42.2,42.24,40.19,8174200,0.0,0
2015-06-26,42.44,42.58,41.33,41.44,39.42,9819900,0.0,0
2015-06-29,40.77,41.32,39.59,39.75,37.82,17651700,0.0,0
2015-06-30,40.2,40.6,39.93,39.94,38.0,11184500,0.0,0
2015-07-01,40.65,40.9,37.8,38.8,36.91,24907100,0.0,0
2015-07-02,39.02,39.81,38.4,39.03,37.13,11080000,0.0,0
2015-07-06,39.09,40.0,39.08,39.73,37.8,9157700,0.0,0
2015-07-07,39.93,40.74,39.26,40.67,38.69,10375900,0.0,0
2015-07-08,40.3,40.31,39.14,39.31,37.4,11193000,0.0,0
2015-07-09,39.84,40.28,39.66,39.67,37.74,8490900,0.0,0
2015-07-10,40.51,41.64,40.5,41.21,39.21,16451700,0.0,0
2015-07-13,41.96,42.72,41.96,42.42,40.36,12077000,0.0,0
2015-07-14,42.04,42.46,41.29,42.06,40.01,12701500,0.0,0
2015-07-15,41.39,42.22,40.39,41.54,39.52,17922800,0.0,0
2015-07-16,41.81,42.22,41.3,41.39,39.38,12111300,0.0,0
2015-07-17,41.45,41.84,41.24,41.4,39.39,9736000,0.0,0
2015-07-20,41.55,41.71,40.44,40.55,38.58,7645900,0.0,0
2015-07-21,40.5,41.3,40.49,40.9,38.91,7300000,0.0,0
2015-07-22,40.96,41.61,40.96,41.43,39.42,8302900,0.0,0
2015-07-23,42.78,43.81,42.0,42.61,40.54,16579900,0.0,0
2015-07-24,43.0,43.11,39.62,39.63,37.7,20152600,0.0,0
2015-07-27,39.63,40.81,38.9,40.14,38.19,12071400,0.0,0
2015-07-28,40.18,41.38,40.18,41.17,39.17,8186000,0.0,0
2015-07-29,41.09,41.33,40.44,40.73,38.75,6801400,0.0,0
2015-07-30,40.58,40.93,39.92,40.27,38.31,5855800,0.0,0
2015-07-31,40.53,40.54,39.88,40.1,38.15,6955900,0.0,0
2015-08-03,40.24,41.85,40.21,41.71,39.68,9261900,0.0,0
2015-08-04,42.15,42.77,41.88,42.74,40.66,13354300,0.0,0
2015-08-05,42.85,43.3,42.59,42.96,40.87,7581000,0.0,0
2015-08-06,43.25,43.45,41.76,42.18,40.22,7395500,0.1,0
2015-08-07,42.21,42.48,41.4,41.49,39.56,5588600,0.0,0
2015-08-10,41.75,42.43,41.45,41.68,39.75,6860600,0.0,0
2015-08-11,41.74,43.42,41.65,42.7,40.72,10378600,0.0,0
2015-08-12,42.37,42.68,40.68,42.52,40.55,10391900,0.0,0
2015-08-13,42.76,43.28,42.27,42.67,40.69,6605800,0.0,0
2015-08-14,42.35,43.17,42.35,42.88,40.89,4857400,0.0,0
2015-08-17,42.96,44.02,42.82,43.95,41.91,8385400,0.0,0
2015-08-18,44.06,44.45,43.24,43.63,41.61,6317200,0.0,0
2015-08-19,43.53,44.27,43.21,43.53,41.51,8374000,0.0,0
2015-08-20,42.84,43.52,41.78,41.98,40.03,8905700,0.0,0
2015-08-21,41.4,41.6,39.75,39.75,37.91,16241600,0.0,0
2015-08-24,36.0,39.9,34.1,37.62,35.87,19612700,0.0,0
2015-08-25,39.39,39.49,37.49,37.5,35.76,12820300,0.0,0
2015-08-26,38.77,39.01,36.97,38.85,37.05,15679800,0.0,0
2015-08-27,39.17,39.45,37.97,39.03,37.22,13793600,0.0,0
2015-08-28,38.93,39.58,38.35,38.62,36.83,11825000,0.0,0
2015-08-31,38.63,39.76,38.62,38.98,37.17,12409600,0.0,0
2015-09-01,38.63,39.81,38.5,39.2,37.38,16042600,0.0,0
2015-09-02,39.97,41.51,39.8,41.51,39.58,19316800,0.0,0
2015-09-03,41.84,41.91,40.78,40.89,38.99,9905600,0.0,0
2015-09-04,40.4,41.32,40.15,40.6,38.72,9738400,0.0,0
2015-09-08,41.28,41.58,40.69,40.8,38.91,10814800,0.0,0
2015-09-09,41.15,42.18,40.63,41.0,39.1,12481200,0.0,0
2015-09-10,41.39,41.88,40.71,41.21,39.3,9181600,0.0,0
2015-09-11,41.22,42.15,41.05,42.15,40.19,8635200,0.0,0
2015-09-14,42.17,42.5,41.84,42.29,40.33,7362500,0.0,0
2015-09-15,42.36,42.85,41.89,42.64,40.66,7008300,0.0,0
2015-09-16,42.4,43.25,42.24,43.06,41.06,7703100,0.0,0
