Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,48.28,48.4,47.38,47.49,42.91,5254500,0.0,0
2015-04-28,47.62,47.73,47.01,47.59,43.0,3788400,0.0,0
2015-04-29,47.28,47.64,46.88,47.17,42.62,3566600,0.0,0
2015-04-30,46.93,47.2,46.26,46.42,41.94,5963600,0.0,0
2015-05-01,46.71,46.93,46.4,46.69,42.19,3410100,0.0,0
2015-05-04,46.78,47.34,46.78,47.0,42.47,3126900,0.0,0
2015-05-05,47.02,47.21,46.78,46.85,42.33,4377700,0.0,0
2015-05-06,46.85,46.98,46.23,46.54,42.05,3832700,0.0,0
2015-05-07,46.44,46.72,46.37,46.5,42.01,4488900,0.0,0
2015-05-08,47.1,47.7,47.03,47.57,42.98,4296400,0.0,0
2015-05-11,47.28,47.74,47.23,47.33,42.76,3551400,0.0,0
2015-05-12,47.03,47.29,46.89,47.13,42.58,3520500,0.0,0
2015-05-13,47.2,47.37,46.88,47.03,42.49,2651400,0.0,0
2015-05-14,47.38,48.79,47.29,48.67,43.97,8225900,0.0,0
2015-05-15,48.56,48.84,48.47,48.71,44.01,5179000,0.0,0
2015-05-18,48.78,49.09,48.77,48.84,44.13,4221400,0.0,0
2015-05-19,48.78,49.15,48.67,49.01,44.28,4137800,0.0,0
2015-05-20,49.08,49.36,48.93,49.14,44.4,3682300,0.0,0
2015-05-21,49.06,49.43,48.9,49.34,44.58,4193700,0.0,0
2015-05-22,49.1,49.43,48.91,49.03,44.3,3454700,0.0,0
2015-05-26,49.1,49.23,48.39,48.6,43.91,3879600,0.0,0
2015-05-27,48.87,49.06,48.59,49.01,44.28,4348600,0.0,0
2015-05-28,48.88,49.38,48.84,49.26,44.51,5980600,0.0,0
2015-05-29,49.18,49.26,48.53,48.6,43.91,8667200,0.0,0
2015-06-01,48.77,49.2,48.57,48.94,44.22,5055100,0.0,0
2015-06-02,48.65,49.19,48.32,48.94,44.22,5138100,0.0,0
2015-06-03,48.96,49.13,48.74,48.86,44.15,3309600,0.0,0
2015-06-04,48.98,49.17,48.53,48.68,43.98,4687000,0.0,0
2015-06-05,48.59,48.63,48.01,48.45,43.78,3542400,0.0,0
2015-06-08,48.37,48.57,48.2,48.44,43.77,4353000,0.0,0
2015-06-09,48.52,48.53,48.01,48.18,43.53,3402000,0.0,0
2015-06-10,48.36,48.69,48.3,48.5,43.82,5614900,0.0,0
2015-06-11,48.7,49.25,48.51,49.06,44.33,7101200,0.0,0
2015-06-12,48.91,48.96,48.64,48.67,43.97,3692100,0.0,0
2015-06-15,48.3,48.36,47.72,48.07,43.43,4807100,0.0,0
2015-06-16,48.07,48.54,47.9,48.48,43.8,3919700,0.0,0
2015-06-17,48.5,48.74,48.33,48.57,43.88,3724400,0.0,0
2015-06-18,48.69,50.16,48.65,49.94,45.12,7971800,0.0,0
2015-06-19,49.9,50.11,49.74,49.89,45.08,9367200,0.0,0
2015-06-22,49.96,50.37,49.84,50.03,45.2,4627000,0.0,0
2015-06-23,50.22,50.47,49.69,49.88,45.07,3258300,0.0,0
2015-06-24,49.59,49.85,49.48,49.5,44.72,4572400,0.0,0
2015-06-25,49.65,49.87,49.28,49.33,44.57,3607900,0.0,0
2015-06-26,49.47,49.98,49.27,49.97,45.15,6780500,0.0,0
2015-06-29,49.54,49.85,48.96,49.01,44.28,5364300,0.0,0
2015-06-30,49.51,49.55,48.91,49.08,44.34,4514700,0.0,0
2015-07-01,49.4,49.63,49.08,49.52,44.74,3378200,0.0,0
2015-07-02,49.8,49.82,49.16,49.41,44.64,2740300,0.0,0
2015-07-06,49.02,50.12,48.92,49.74,44.94,5783800,0.0,0
2015-07-07,49.96,50.24,49.1,50.21,45.37,6069400,0.0,0
2015-07-08,49.74,50.09,49.17,49.25,44.5,5839600,0.0,0
2015-07-09,49.8,49.93,49.18,49.19,44.44,5604800,0.0,0
2015-07-10,49.63,50.12,49.39,49.93,45.11,5028200,0.0,0
2015-07-13,50.0,50.11,49.58,49.72,45.14,5519900,0.24,0
2015-07-14,49.81,50.38,49.7,50.2,45.58,4253700,0.0,0
2015-07-15,49.84,49.99,49.14,49.31,44.77,6612000,0.0,0
2015-07-16,49.82,49.84,49.54,49.77,45.19,3830400,0.0,0
2015-07-17,49.52,49.97,49.45,49.9,45.3,5408700,0.0,0
2015-07-20,50.01,50.33,49.98,50.06,45.45,5416600,0.0,0
2015-07-21,49.91,50.27,49.76,49.76,45.18,6399800,0.0,0
2015-07-22,49.87,51.09,49.26,50.98,46.28,10392300,0.0,0
2015-07-23,51.33,51.74,50.94,51.2,46.48,6098500,0.0,0
2015-07-24,50.85,51.47,50.84,51.05,46.35,5982700,0.0,0
2015-07-27,50.64,50.85,50.21,50.69,46.02,5484200,0.0,0
2015-07-28,51.09,51.24,50.65,50.94,46.25,5734900,0.0,0
2015-07-29,50.98,51.17,50.76,51.06,46.36,3530700,0.0,0
2015-07-30,50.95,51.05,50.54,50.77,46.09,3665000,0.0,0
2015-07-31,51.07,51.13,50.6,50.69,46.02,5573500,0.0,0
2015-08-03,50.89,50.91,50.14,50.5,45.85,3506600,0.0,0
2015-08-04,50.75,50.81,50.29,50.51,45.86,3487700,0.0,0
2015-08-05,50.98,51.0,50.39,50.48,45.83,5032800,0.0,0
2015-08-06,50.52,51.01,50.07,50.32,45.68,6213200,0.0,0
2015-08-07,50.4,50.44,49.37,50.11,45.49,4351800,0.0,0
2015-08-10,50.42,51.17,50.39,50.66,45.99,3729300,0.0,0
2015-08-11,50.18,50.52,49.99,50.39,45.75,4033300,0.0,0
2015-08-12,50.43,50.49,49.22,50.09,45.48,5395100,0.0,0
2015-08-13,50.02,50.11,49.61,49.84,45.25,4130000,0.0,0
2015-08-14,49.82,50.31,49.72,50.23,45.6,3776400,0.0,0
2015-08-17,50.01,50.41,49.75,50.38,45.74,3216600,0.0,0
2015-08-18,50.31,50.6,50.25,50.44,45.79,3288200,0.0,0
2015-08-19,50.14,50.17,49.41,49.84,45.25,6000600,0.0,0
2015-08-20,49.4,49.51,48.51,48.53,44.06,5977400,0.0,0
2015-08-21,48.03,48.43,47.13,47.13,42.79,9305900,0.0,0
2015-08-24,44.51,45.81,42.73,43.7,39.67,18430700,0.0,0
2015-08-25,44.87,45.1,42.88,42.9,38.95,14575400,0.0,0
2015-08-26,43.86,44.12,42.3,43.98,39.93,12675400,0.0,0
2015-08-27,45.6,46.05,44.67,45.64,41.44,14260400,0.0,0
2015-08-28,45.61,46.11,45.21,46.02,41.78,9191600,0.0,0
2015-08-31,45.91,46.63,45.12,45.29,41.12,7470200,0.0,0
2015-09-01,44.22,44.5,43.37,43.57,39.56,9000500,0.0,0
2015-09-02,44.31,44.44,43.62,44.24,40.16,7517600,0.0,0
2015-09-03,44.52,44.78,43.95,44.14,40.07,6426200,0.0,0
2015-09-04,43.5,43.71,42.72,43.07,39.1,7057100,0.0,0
2015-09-08,43.66,44.06,43.5,44.04,39.98,5452400,0.0,0
2015-09-09,44.36,44.51,43.12,43.23,39.25,5251200,0.0,0
2015-09-10,43.02,43.48,42.68,43.12,39.15,6952400,0.0,0
2015-09-11,43.13,43.44,42.74,43.41,39.41,5699500,0.0,0
2015-09-14,43.6,43.61,42.9,43.17,39.19,4461300,0.0,0
2015-09-15,43.28,43.92,43.11,43.81,39.77,5105600,0.0,0
2015-09-16,43.78,44.09,43.56,43.86,39.82,4982300,0.0,0
2015-09-17,43.85,45.15,43.79,44.24,40.16,7323700,0.0,0
2015-09-18,43.64,44.11,43.24,43.33,39.34,9063900,0.0,0
2015-09-21,43.65,43.82,43.0,43.3,39.31,5052100,0.0,0
2015-09-22,42.83,42.85,41.95,42.48,38.57,7283400,0.0,0
2015-09-23,42.5,42.68,42.1,42.2,38.31,6280300,0.0,0
2015-09-24,42.0,42.15,41.44,41.94,38.08,7322100,0.0,0
2015-09-25,42.23,42.49,40.42,40.86,37.1,10025100,0.0,0
2015-09-28,40.74,40.74,39.0,39.06,35.46,17219300,0.0,0
2015-09-29,39.26,40.15,39.03,39.5,35.86,12287500,0.0,0
2015-09-30,39.84,40.43,39.55,40.22,36.52,10750300,0.0,0
2015-10-01,40.35,40.8,40.18,40.76,37.01,7897000,0.0,0
2015-10-02,40.25,41.41,40.17,41.38,37.57,8457500,0.0,0
2015-10-05,41.62,41.78,41.02,41.39,37.58,8789300,0.0,0
2015-10-06,41.25,41.34,39.28,39.89,36.22,11689300,0.0,0
2015-10-07,40.53,40.91,40.01,40.63,36.89,9158500,0.0,0
2015-10-08,40.35,41.22,40.05,41.16,37.37,9859100,0.0,0
2015-10-09,41.07,41.98,40.94,41.89,38.03,10400200,0.0,0
2015-10-12,41.63,41.75,41.3,41.57,37.74,6067700,0.0,0
2015-10-13,40.97,41.39,40.81,40.92,37.37,5527100,0.24,0
2015-10-14,40.97,41.34,40.66,40.72,37.18,6417200,0.0,0
2015-10-15,41.07,42.03,40.91,41.87,38.23,7822000,0.0,0
2015-10-16,42.2,42.27,41.66,42.22,38.55,6163500,0.0,0
2015-10-19,42.11,42.37,41.84,42.15,38.49,5531200,0.0,0
2015-10-20,42.08,42.22,41.57,41.74,38.12,5882700,0.0,0
2015-10-21,42.54,42.85,41.62,42.2,38.54,8858800,0.0,0
2015-10-22,42.41,43.57,41.76,43.5,39.72,12440000,0.0,0
