Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,76.84,77.29,76.36,76.55,76.55,1653200,0,0
2015-04-28,76.34,77.09,75.87,76.02,76.02,1698200,0,0
2015-04-29,75.61,77.26,75.47,76.65,76.65,2423900,0,0
2015-04-30,76.4,77.24,75.31,76.06,76.06,2109200,0,0
2015-05-01,76.29,76.67,75.66,76.43,76.43,1745400,0,0
2015-05-04,76.43,76.99,75.82,75.85,75.85,1655600,0,0
2015-05-05,75.35,75.63,74.75,75.0,75.0,2052200,0,0
2015-05-06,75.08,75.47,73.96,74.48,74.48,1997300,0,0
2015-05-07,74.4,74.84,74.17,74.73,74.73,2009500,0,0
2015-05-08,75.28,76.52,75.05,76.31,76.31,1585600,0,0
2015-05-11,76.32,77.34,76.07,76.79,76.79,2139400,0,0
2015-05-12,76.26,76.9,75.3,76.57,76.57,2082600,0,0
2015-05-13,76.6,77.48,76.53,77.08,77.08,1830500,0,0
2015-05-14,77.64,79.81,77.1,79.43,79.43,3068100,0,0
2015-05-15,80.0,80.0,78.63,78.92,78.92,2676200,0,0
2015-05-18,78.69,79.53,78.4,79.41,79.41,1436000,0,0
2015-05-19,79.75,79.93,79.37,79.62,79.62,2065600,0,0
2015-05-20,79.57,79.9,78.91,79.61,79.61,2639000,0,0
2015-05-21,79.54,80.74,79.19,80.56,80.56,2761200,0,0
2015-05-22,80.34,80.7,79.97,80.04,80.04,1824800,0,0
2015-05-26,79.91,80.12,78.84,79.36,79.36,2080800,0,0
2015-05-27,79.55,80.32,79.27,80.16,80.16,1671800,0,0
2015-05-28,80.17,80.42,79.75,80.02,80.02,1248400,0,0
2015-05-29,79.89,79.99,78.94,79.09,79.09,3288000,0,0
2015-06-01,79.5,80.0,78.59,79.87,79.87,2288400,0,0
2015-06-02,79.7,80.22,79.35,79.82,79.82,1533100,0,0
2015-06-03,79.93,80.34,79.44,80.13,80.13,1972000,0,0
2015-06-04,79.86,80.38,78.64,78.75,78.75,1659300,0,0
2015-06-05,78.64,79.39,78.38,78.86,78.86,1325500,0,0
2015-06-08,78.9,79.18,77.9,78.16,78.16,1621300,0,0
2015-06-09,77.88,78.05,76.95,77.9,77.9,2100900,0,0
2015-06-10,78.18,79.7,77.99,79.56,79.56,1776000,0,0
2015-06-11,79.81,80.29,79.42,79.65,79.65,1918300,0,0
2015-06-12,79.33,80.26,79.06,79.86,79.86,1794900,0,0
2015-06-15,79.17,79.25,78.35,78.9,78.9,2459700,0,0
2015-06-16,78.93,80.43,78.83,79.94,79.94,3579400,0,0
2015-06-17,79.5,80.0,77.74,77.91,77.91,6464200,0,0
2015-06-18,77.82,79.94,77.82,79.39,79.39,3858600,0,0
2015-06-19,79.41,79.94,79.06,79.7,79.7,3155600,0,0
2015-06-22,80.0,82.66,79.85,82.28,82.28,5830000,0,0
2015-06-23,82.17,83.77,82.1,83.55,83.55,4944400,0,0
2015-06-24,83.22,84.36,82.97,83.4,83.4,4311200,0,0
2015-06-25,83.82,84.27,83.49,83.94,83.94,3052900,0,0
2015-06-26,84.22,84.22,82.27,82.74,82.74,5914700,0,0
2015-06-29,81.22,82.06,81.15,81.28,81.28,4060300,0,0
2015-06-30,82.19,82.34,80.95,81.01,81.01,4086400,0,0
2015-07-01,81.57,81.92,80.71,80.94,80.94,2944300,0,0
2015-07-02,81.19,81.29,80.38,80.75,80.75,2200900,0,0
2015-07-06,80.02,81.19,80.0,80.5,80.5,2590900,0,0
2015-07-07,80.77,81.0,78.94,80.59,80.59,2781900,0,0
2015-07-08,79.95,80.52,79.4,79.99,79.99,4157600,0,0
2015-07-09,80.74,81.67,80.41,80.47,80.47,3067900,0,0
2015-07-10,81.5,81.5,80.47,80.59,80.59,3025100,0,0
2015-07-13,81.09,81.66,80.82,81.44,81.44,4597200,0,0
2015-07-14,81.67,82.35,81.24,81.89,81.89,4428100,0,0
2015-07-15,82.2,82.32,81.71,82.12,82.12,3214900,0,0
2015-07-16,82.65,82.67,82.2,82.52,82.52,2058100,0,0
2015-07-17,82.17,82.73,81.48,82.1,82.1,2402700,0,0
2015-07-20,82.0,82.19,81.45,82.09,82.09,1995800,0,0
2015-07-21,81.8,82.1,81.01,81.19,81.19,3916400,0,0
2015-07-22,81.38,81.75,80.65,80.73,80.73,2601200,0,0
2015-07-23,80.8,81.4,80.48,80.64,80.64,2579500,0,0
2015-07-24,81.0,81.36,80.54,80.98,80.98,3575300,0,0
2015-07-27,80.53,80.7,79.73,79.93,79.93,2762700,0,0
2015-07-28,80.07,80.65,79.13,80.59,80.59,2681000,0,0
