Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,48.35,48.75,48.3,48.61,41.75,2488800,0.0,0
2015-04-28,48.45,48.81,48.32,48.78,41.89,2278200,0.0,0
2015-04-29,48.69,49.15,48.44,48.95,42.04,3186300,0.0,0
2015-04-30,48.88,49.43,48.66,48.88,41.98,4257600,0.0,0
2015-05-01,48.91,49.93,48.91,49.78,42.75,5681200,0.0,0
2015-05-04,49.78,50.49,49.78,50.32,43.22,3786800,0.0,0
2015-05-05,50.42,50.76,49.77,50.35,43.24,4622900,0.0,0
2015-05-06,50.45,50.46,49.34,49.94,42.89,4389000,0.0,0
2015-05-07,50.14,50.82,49.79,50.32,43.22,4169900,0.0,0
2015-05-08,50.79,51.38,50.78,51.25,44.02,2793300,0.0,0
2015-05-11,51.09,51.71,51.0,51.6,44.32,4158900,0.0,0
2015-05-12,51.25,52.37,51.13,51.92,44.59,4873900,0.0,0
2015-05-13,52.16,52.74,51.77,52.16,44.8,4037100,0.0,0
2015-05-14,52.51,52.97,52.31,52.88,45.42,2964700,0.0,0
2015-05-15,52.79,53.16,52.53,53.04,45.55,2304400,0.0,0
2015-05-18,52.8,53.25,52.67,53.13,45.63,3097300,0.0,0
2015-05-19,52.88,52.91,52.21,52.52,45.35,2739900,0.28,0
2015-05-20,52.53,52.89,52.41,52.43,45.27,2703400,0.0,0
2015-05-21,52.33,53.07,52.29,52.92,45.69,2991100,0.0,0
2015-05-22,52.77,52.93,52.39,52.67,45.47,1838500,0.0,0
2015-05-26,52.59,52.59,52.07,52.15,45.03,3018000,0.0,0
2015-05-27,52.16,53.23,52.05,53.17,45.91,4035400,0.0,0
2015-05-28,53.0,53.01,52.37,52.66,45.47,2119900,0.0,0
2015-05-29,52.81,53.26,52.6,52.85,45.63,5441700,0.0,0
2015-06-01,52.89,53.31,52.43,53.03,45.79,3343100,0.0,0
2015-06-02,52.94,53.02,52.55,52.76,45.55,2389000,0.0,0
2015-06-03,52.93,52.93,52.21,52.46,45.29,2567200,0.0,0
2015-06-04,52.05,52.23,51.31,51.39,44.37,4997300,0.0,0
2015-06-05,51.27,51.39,50.82,51.01,44.04,3496900,0.0,0
2015-06-08,51.15,51.55,50.81,51.01,44.04,2706400,0.0,0
2015-06-09,51.09,51.47,50.99,51.01,44.04,2761300,0.0,0
2015-06-10,51.07,52.25,51.07,52.21,45.08,3022800,0.0,0
2015-06-11,52.17,52.69,52.0,52.06,44.95,2827500,0.0,0
2015-06-12,51.79,51.97,51.58,51.91,44.82,2290000,0.0,0
2015-06-15,51.42,51.56,51.12,51.27,44.27,2869900,0.0,0
2015-06-16,51.34,51.6,51.28,51.45,44.42,2369300,0.0,0
2015-06-17,51.04,51.79,50.26,50.94,43.98,4589000,0.0,0
2015-06-18,51.17,51.65,51.17,51.37,44.35,3275000,0.0,0
2015-06-19,51.25,51.67,51.25,51.5,44.46,4952900,0.0,0
2015-06-22,51.73,52.03,51.62,51.99,44.89,2576500,0.0,0
2015-06-23,52.19,52.42,51.85,52.0,44.9,2500400,0.0,0
2015-06-24,51.91,52.01,51.42,51.45,44.42,2314800,0.0,0
2015-06-25,51.62,51.62,50.66,50.7,43.77,2570700,0.0,0
2015-06-26,50.64,50.99,49.53,49.57,42.8,5016800,0.0,0
2015-06-29,49.34,49.67,48.43,48.45,41.83,4376200,0.0,0
2015-06-30,48.87,49.19,48.19,48.22,41.63,5618100,0.0,0
2015-07-01,48.71,48.89,48.38,48.64,42.0,3319900,0.0,0
2015-07-02,48.82,49.01,48.34,48.65,42.0,3063000,0.0,0
2015-07-06,48.16,48.6,47.83,48.09,41.52,4228600,0.0,0
2015-07-07,48.11,48.32,46.73,48.14,41.56,6457700,0.0,0
2015-07-08,47.97,48.13,47.46,47.51,41.02,4080800,0.0,0
2015-07-09,47.75,48.04,46.93,47.09,40.66,6045000,0.0,0
2015-07-10,47.72,47.77,47.13,47.21,40.76,3146000,0.0,0
2015-07-13,47.55,47.74,47.34,47.5,41.01,2209700,0.0,0
2015-07-14,47.5,47.86,47.43,47.79,41.26,2569300,0.0,0
2015-07-15,47.77,47.84,47.22,47.46,40.98,2447700,0.0,0
2015-07-16,47.86,48.01,47.62,47.85,41.31,2663300,0.0,0
2015-07-17,47.7,48.05,47.31,48.02,41.46,4244100,0.0,0
2015-07-20,48.04,48.26,47.76,48.04,41.48,4088000,0.0,0
2015-07-21,47.98,48.11,47.33,47.49,41.0,2744500,0.0,0
2015-07-22,47.44,47.91,47.43,47.68,41.17,2697300,0.0,0
2015-07-23,47.7,48.38,47.7,48.02,41.46,2618500,0.0,0
2015-07-24,47.9,47.99,47.05,47.19,40.74,2528800,0.0,0
2015-07-27,46.93,47.29,46.81,47.26,40.8,2743000,0.0,0
2015-07-28,47.41,48.39,47.2,48.35,41.74,3955800,0.0,0
