Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,85.42,85.46,84.52,84.7,75.73,1467000,0.0,0
2015-04-28,84.8,85.65,84.37,85.61,76.55,1639400,0.0,0
2015-04-29,85.08,85.94,84.76,85.39,76.35,1914600,0.0,0
2015-04-30,85.22,86.0,84.32,84.54,75.59,2194400,0.0,0
2015-05-01,84.53,86.28,84.52,86.03,76.92,2086000,0.0,0
2015-05-04,86.46,86.99,86.12,86.5,77.34,1992500,0.0,0
2015-05-05,86.56,86.56,85.15,85.61,76.55,1534400,0.0,0
2015-05-06,85.72,86.17,84.79,85.41,76.37,1610400,0.0,0
2015-05-07,85.62,86.59,84.98,86.3,77.16,1656300,0.0,0
2015-05-08,86.82,87.81,86.77,87.35,78.1,1465100,0.0,0
2015-05-11,87.28,87.72,87.06,87.21,77.98,1701300,0.0,0
2015-05-12,86.84,87.2,85.85,86.76,77.57,1549800,0.0,0
2015-05-13,86.65,87.26,86.2,86.31,77.17,1950000,0.0,0
2015-05-14,86.97,88.03,86.52,87.99,78.67,1892400,0.0,0
2015-05-15,88.25,88.4,87.51,87.77,78.48,1606300,0.0,0
2015-05-18,87.37,87.81,87.01,87.48,78.22,1593300,0.0,0
2015-05-19,87.8,88.12,87.42,87.9,78.59,1875700,0.0,0
2015-05-20,88.06,88.06,87.42,87.43,78.17,1767700,0.0,0
2015-05-21,87.36,87.62,87.08,87.27,78.03,1517400,0.0,0
2015-05-22,87.19,87.44,86.81,86.82,77.63,1498400,0.0,0
2015-05-26,86.55,86.82,85.22,85.42,76.38,1867600,0.0,0
2015-05-27,85.46,86.03,85.28,85.91,76.81,2017400,0.0,0
2015-05-28,85.87,86.29,85.62,85.97,76.87,1297500,0.0,0
2015-05-29,85.96,86.0,85.08,85.51,76.46,2188900,0.0,0
2015-06-01,85.7,85.98,84.51,85.3,76.27,1617500,0.0,0
2015-06-02,84.77,85.68,84.34,85.45,76.4,2033000,0.0,0
2015-06-03,85.77,85.88,85.12,85.47,76.42,1738400,0.0,0
2015-06-04,84.93,85.32,83.93,84.08,75.18,1689600,0.0,0
2015-06-05,84.1,84.57,83.23,84.26,75.34,1353900,0.0,0
2015-06-08,83.94,84.49,83.41,83.5,74.66,1531900,0.0,0
2015-06-09,83.37,83.6,82.86,83.16,74.36,1569500,0.0,0
2015-06-10,82.96,84.64,82.84,84.18,75.71,1625400,0.49,0
2015-06-11,84.5,84.89,84.2,84.62,76.11,1438400,0.0,0
2015-06-12,84.15,84.45,83.65,83.85,75.42,1144600,0.0,0
2015-06-15,83.25,83.45,82.43,82.92,74.58,1679700,0.0,0
2015-06-16,82.84,83.41,82.52,83.28,74.9,1499900,0.0,0
2015-06-17,83.61,83.75,82.77,83.28,74.9,1134600,0.0,0
2015-06-18,83.62,84.8,83.37,84.58,76.07,1556500,0.0,0
2015-06-19,84.45,84.68,83.93,84.41,75.92,2906400,0.0,0
2015-06-22,84.61,85.46,84.61,85.0,76.45,1400900,0.0,0
2015-06-23,85.29,85.29,84.53,84.77,76.24,957800,0.0,0
2015-06-24,84.64,84.76,83.6,83.63,75.22,1548300,0.0,0
2015-06-25,83.71,83.89,83.22,83.35,74.97,1200100,0.0,0
2015-06-26,83.78,83.84,83.03,83.31,74.93,2889800,0.0,0
2015-06-29,82.8,82.8,80.85,80.91,72.77,1774200,0.0,0
2015-06-30,81.39,81.66,79.8,80.23,72.16,2688800,0.0,0
2015-07-01,79.51,81.19,79.51,80.89,72.76,1821000,0.0,0
2015-07-02,81.23,81.26,80.35,80.83,72.7,1792000,0.0,0
2015-07-06,80.0,80.94,80.0,80.83,72.7,1503600,0.0,0
2015-07-07,80.97,81.24,79.85,81.07,72.92,1747600,0.0,0
2015-07-08,80.72,80.8,79.98,80.03,71.98,1615800,0.0,0
2015-07-09,81.15,81.41,80.65,80.69,72.58,1587000,0.0,0
2015-07-10,81.86,81.87,81.08,81.52,73.32,1371100,0.0,0
2015-07-13,81.85,82.3,81.64,81.73,73.51,1337700,0.0,0
2015-07-14,81.72,82.01,81.48,81.89,73.65,1387100,0.0,0
2015-07-15,81.95,82.57,81.5,82.5,74.2,2390600,0.0,0
2015-07-16,82.89,83.04,82.32,82.9,74.56,1545800,0.0,0
2015-07-17,83.01,83.01,82.25,82.39,74.1,1846400,0.0,0
2015-07-20,82.26,82.39,81.92,82.17,73.91,1522500,0.0,0
2015-07-21,82.18,82.28,81.13,81.41,73.22,1964300,0.0,0
2015-07-22,81.63,82.11,81.46,81.69,73.47,1529100,0.0,0
2015-07-23,81.42,81.53,80.72,80.94,72.8,1368600,0.0,0
2015-07-24,81.03,81.05,79.67,79.78,71.76,1935600,0.0,0
2015-07-27,79.61,79.96,79.22,79.72,71.7,1649800,0.0,0
2015-07-28,79.76,80.69,79.41,80.58,72.48,1540100,0.0,0
2015-07-29,80.45,82.51,80.38,82.34,74.06,2744700,0.0,0
2015-07-30,80.0,81.98,78.36,80.13,72.07,4688100,0.0,0
2015-07-31,80.2,80.55,79.31,79.77,71.75,2984000,0.0,0
2015-08-03,78.59,80.13,78.51,80.11,72.05,2291300,0.0,0
2015-08-04,80.54,81.39,80.14,80.68,72.57,2749300,0.0,0
2015-08-05,81.78,82.07,81.0,81.84,73.61,1963200,0.0,0
2015-08-06,81.78,81.88,80.08,80.3,72.22,1505400,0.0,0
2015-08-07,80.18,80.46,79.71,80.29,72.22,1161900,0.0,0
2015-08-10,81.01,81.96,81.0,81.6,73.39,2032100,0.0,0
2015-08-11,81.26,81.9,80.75,81.33,73.15,1938400,0.0,0
2015-08-12,80.74,81.7,80.15,81.55,73.35,1871300,0.0,0
2015-08-13,81.52,82.99,81.32,82.45,74.16,2000800,0.0,0
2015-08-14,82.16,83.17,81.94,82.99,74.64,2018400,0.0,0
2015-08-17,82.82,84.77,82.58,84.7,76.18,3366600,0.0,0
2015-08-18,84.32,85.15,84.08,84.69,76.17,2615300,0.0,0
2015-08-19,84.39,85.21,84.05,84.47,75.98,1874300,0.0,0
2015-08-20,83.71,84.01,82.71,82.71,74.39,2275400,0.0,0
2015-08-21,81.84,82.33,79.23,79.23,71.26,3103900,0.0,0
2015-08-24,75.21,77.78,64.29,76.28,68.61,6545600,0.0,0
2015-08-25,78.5,78.61,73.45,73.52,66.13,3565100,0.0,0
2015-08-26,75.62,77.89,74.96,77.8,69.98,4492900,0.0,0
2015-08-27,78.32,78.87,76.47,78.03,70.18,3004600,0.0,0
2015-08-28,77.76,78.8,77.75,78.41,70.52,2596700,0.0,0
2015-08-31,77.86,78.4,77.11,77.32,69.54,2364500,0.0,0
2015-09-01,75.46,76.11,74.66,75.1,67.55,2658300,0.0,0
2015-09-02,76.45,77.11,75.45,77.09,69.34,2689100,0.0,0
2015-09-03,77.1,78.09,77.02,77.55,69.75,1952100,0.0,0
2015-09-04,76.24,76.9,75.73,76.15,68.49,1858800,0.0,0
2015-09-08,77.34,78.25,77.02,78.2,70.34,1764400,0.0,0
2015-09-09,78.49,78.97,77.33,77.51,70.15,3022700,0.49,0
2015-09-10,77.1,78.78,77.08,77.92,70.53,2214600,0.0,0
2015-09-11,77.28,78.37,77.21,78.31,70.88,1508900,0.0,0
2015-09-14,78.48,78.74,77.57,77.76,70.38,1411300,0.0,0
