Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,308.21,308.78,304.02,304.69,290.82,338900,0.0,0
2015-04-28,303.0,306.21,300.99,302.38,288.61,378300,0.0,0
2015-04-29,301.27,303.12,295.51,300.63,286.94,362600,0.0,0
2015-04-30,299.54,304.07,295.15,297.31,283.77,409000,0.0,0
2015-05-01,300.06,301.26,297.54,298.59,285.0,312200,0.0,0
2015-05-04,299.77,302.39,297.37,300.56,286.88,443600,0.0,0
2015-05-05,300.0,301.28,297.98,300.69,287.0,333100,0.0,0
2015-05-06,302.0,302.0,294.89,296.66,283.15,400900,0.0,0
2015-05-07,297.72,300.67,294.61,298.11,284.54,327700,0.0,0
2015-05-08,301.62,305.68,301.0,303.3,289.49,503000,0.0,0
2015-05-11,302.34,305.21,301.16,301.38,287.66,378700,0.0,0
2015-05-12,299.51,299.51,293.87,296.67,283.16,397700,0.0,0
2015-05-13,298.54,301.32,296.95,297.74,284.18,356600,0.0,0
2015-05-14,299.23,301.0,297.79,298.8,285.2,314400,0.0,0
2015-05-15,299.69,301.36,296.48,297.48,283.94,295900,0.0,0
2015-05-18,297.0,301.07,296.53,300.48,286.8,326200,0.0,0
2015-05-19,301.0,303.03,298.84,300.91,287.21,226300,0.0,0
2015-05-20,301.39,301.39,298.39,300.0,286.34,302400,0.0,0
2015-05-21,299.19,300.97,296.18,297.2,283.67,461700,0.0,0
2015-05-22,296.98,301.69,296.54,300.31,286.64,339600,0.0,0
2015-05-26,300.21,300.4,296.1,297.75,284.19,405900,0.0,0
2015-05-27,297.98,302.46,297.03,302.28,288.52,565100,0.0,0
2015-05-28,301.01,304.02,299.43,300.07,286.41,405300,0.0,0
2015-05-29,299.45,301.27,297.29,298.03,284.46,412000,0.0,0
2015-06-01,298.83,299.55,296.05,297.14,283.61,350600,0.0,0
2015-06-02,297.0,299.77,294.37,298.22,284.64,421000,0.0,0
2015-06-03,299.61,301.26,296.85,299.0,285.39,526000,0.0,0
2015-06-04,297.4,299.1,294.67,295.19,281.75,325500,0.0,0
2015-06-05,294.71,297.67,294.07,295.42,281.97,204200,0.0,0
2015-06-08,295.81,297.23,292.44,295.51,282.06,498800,0.0,0
2015-06-09,295.47,297.58,290.87,293.53,280.17,480900,0.0,0
2015-06-10,294.23,301.6,293.48,299.71,286.06,400400,0.0,0
2015-06-11,300.98,302.82,299.4,300.63,286.94,285800,0.0,0
2015-06-12,300.0,303.0,299.47,301.55,287.82,324300,0.0,0
2015-06-15,298.59,300.81,295.64,299.46,285.83,271800,0.0,0
2015-06-16,299.66,301.02,297.16,297.42,283.88,315300,0.0,0
2015-06-17,297.54,299.75,296.61,297.7,284.15,281000,0.0,0
2015-06-18,298.85,301.95,297.28,301.27,287.55,405600,0.0,0
2015-06-19,300.62,303.27,298.81,302.71,288.93,422000,0.0,0
2015-06-22,303.96,307.1,301.68,305.5,291.59,416600,0.0,0
2015-06-23,306.26,306.87,302.68,304.18,290.33,324300,0.0,0
2015-06-24,304.2,305.5,301.24,303.39,289.58,336800,0.0,0
2015-06-25,303.95,306.1,302.4,303.97,290.13,459200,0.0,0
2015-06-26,304.25,304.25,301.49,302.95,289.16,761700,0.0,0
2015-06-29,301.75,301.75,291.33,291.45,278.18,483400,0.0,0
2015-06-30,294.05,294.7,289.38,291.94,278.65,469500,0.0,0
2015-07-01,294.07,295.5,291.28,292.86,279.53,328600,0.0,0
2015-07-02,294.81,296.27,291.87,295.72,282.26,276800,0.0,0
