Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.73,42.84,41.89,41.92,35.75,1882400,0.0,0
2015-04-28,41.73,42.4,41.62,42.3,36.08,1184800,0.0,0
2015-04-29,41.89,42.21,41.65,41.84,35.69,1307800,0.0,0
2015-04-30,41.71,41.82,40.68,40.94,34.92,2005400,0.0,0
2015-05-01,41.05,41.31,40.67,41.2,35.14,1066200,0.0,0
2015-05-04,41.24,41.93,41.24,41.59,35.47,859400,0.0,0
2015-05-05,41.43,41.53,40.56,40.59,34.62,1413000,0.0,0
2015-05-06,40.55,40.79,39.85,40.37,34.43,1633900,0.0,0
2015-05-07,40.18,41.05,39.7,40.4,34.46,3481700,0.0,0
2015-05-08,40.87,41.2,40.15,40.39,34.45,1967300,0.0,0
2015-05-11,40.29,40.8,40.17,40.3,34.37,1811400,0.0,0
2015-05-12,40.03,40.32,39.84,40.26,34.34,1562900,0.0,0
2015-05-13,40.41,40.57,39.66,39.83,33.97,1127000,0.0,0
2015-05-14,40.07,40.32,39.93,40.26,34.34,1392700,0.0,0
2015-05-15,40.38,40.74,40.27,40.54,34.58,955200,0.0,0
2015-05-18,40.34,40.92,40.34,40.78,34.78,1083100,0.0,0
2015-05-19,40.56,40.89,40.44,40.74,34.75,1094600,0.0,0
2015-05-20,40.75,41.21,40.66,40.92,34.9,1163200,0.0,0
2015-05-21,40.89,40.98,40.53,40.67,34.69,1156600,0.0,0
2015-05-22,40.59,40.78,40.27,40.65,34.67,744200,0.0,0
2015-05-26,40.67,40.67,40.01,40.32,34.39,1103900,0.0,0
2015-05-27,40.36,40.44,40.1,40.39,34.45,1091500,0.0,0
2015-05-28,40.4,40.58,40.13,40.44,34.49,996100,0.0,0
2015-05-29,40.45,40.58,40.04,40.23,34.31,1189400,0.0,0
2015-06-01,40.25,40.49,40.08,40.22,34.3,1027300,0.0,0
2015-06-02,40.0,40.01,39.26,39.62,33.79,1480700,0.0,0
2015-06-03,39.51,39.7,38.86,39.31,33.53,1605900,0.0,0
2015-06-04,39.13,39.51,39.02,39.09,33.34,1146400,0.0,0
2015-06-05,38.74,38.74,38.28,38.37,32.73,1390900,0.0,0
2015-06-08,38.02,38.18,37.9,37.93,32.7,1106300,0.41,0
2015-06-09,37.89,38.18,37.83,37.87,32.65,1342400,0.0,0
2015-06-10,37.98,38.32,37.8,37.81,32.6,2190200,0.0,0
2015-06-11,38.05,38.36,37.99,38.3,33.02,1215600,0.0,0
2015-06-12,38.05,38.24,37.75,37.77,32.56,1020600,0.0,0
2015-06-15,37.75,37.97,37.59,37.73,32.53,1210200,0.0,0
2015-06-16,37.61,37.82,37.4,37.81,32.6,1262700,0.0,0
2015-06-17,37.81,38.21,37.7,38.09,32.84,1068900,0.0,0
2015-06-18,38.18,38.73,38.13,38.54,33.23,1154500,0.0,0
2015-06-19,38.54,38.76,38.25,38.26,32.99,1249100,0.0,0
2015-06-22,38.12,38.5,38.1,38.31,33.03,1123600,0.0,0
2015-06-23,38.2,38.34,37.75,37.76,32.55,1107100,0.0,0
2015-06-24,37.78,37.97,37.74,37.78,32.57,1865400,0.0,0
2015-06-25,37.97,37.99,37.5,37.51,32.34,1398400,0.0,0
2015-06-26,37.46,37.79,37.26,37.73,32.53,991300,0.0,0
2015-06-29,37.72,38.21,37.52,37.54,32.36,1599100,0.0,0
2015-06-30,37.84,37.97,37.59,37.68,32.49,2036600,0.0,0
2015-07-01,37.75,38.01,37.55,37.98,32.74,1356900,0.0,0
2015-07-02,38.31,38.67,38.19,38.5,33.19,1341500,0.0,0
2015-07-06,38.41,38.65,38.17,38.56,33.24,1173100,0.0,0
2015-07-07,38.77,39.67,38.71,39.6,34.14,1903500,0.0,0
2015-07-08,39.4,39.68,39.15,39.28,33.86,1129000,0.0,0
2015-07-09,39.34,39.53,38.5,38.68,33.35,1186800,0.0,0
2015-07-10,38.67,39.33,38.51,39.02,33.64,1208200,0.0,0
2015-07-13,39.15,39.26,38.67,38.91,33.55,1111700,0.0,0
2015-07-14,38.94,39.12,38.74,38.86,33.5,961100,0.0,0
2015-07-15,38.86,39.01,38.62,38.99,33.61,693000,0.0,0
2015-07-16,38.99,39.78,38.99,39.66,34.19,1079800,0.0,0
2015-07-17,39.49,39.69,39.28,39.39,33.96,1619400,0.0,0
2015-07-20,39.33,39.33,38.81,39.12,33.73,980700,0.0,0
2015-07-21,39.05,39.12,38.5,38.7,33.36,821100,0.0,0
2015-07-22,38.73,39.04,38.61,38.66,33.33,1354700,0.0,0
2015-07-23,38.55,38.59,37.92,38.27,32.99,1403700,0.0,0
2015-07-24,38.31,38.61,38.13,38.53,33.22,1115000,0.0,0
2015-07-27,38.59,39.17,38.46,39.02,33.64,851900,0.0,0
2015-07-28,39.33,39.43,38.98,39.34,33.92,1824400,0.0,0
2015-07-29,39.27,39.68,39.01,39.65,34.18,1241500,0.0,0
2015-07-30,39.54,39.99,39.35,39.77,34.29,1336100,0.0,0
2015-07-31,40.12,41.34,39.78,41.08,35.42,2768600,0.0,0
2015-08-03,41.26,41.93,41.23,41.59,35.86,2296200,0.0,0
2015-08-04,41.44,41.49,40.93,41.01,35.36,1840800,0.0,0
2015-08-05,41.17,41.56,41.02,41.36,35.66,1315800,0.0,0
2015-08-06,41.38,41.74,40.99,41.69,35.94,1087500,0.0,0
2015-08-07,41.6,42.33,41.35,42.12,36.31,978300,0.0,0
2015-08-10,42.13,42.4,41.72,41.82,36.05,1322200,0.0,0
2015-08-11,41.81,42.3,41.63,42.1,36.3,2162700,0.0,0
2015-08-12,42.21,42.72,41.85,42.65,36.77,3641100,0.0,0
2015-08-13,40.99,42.74,40.99,42.62,36.74,1688200,0.0,0
2015-08-14,42.52,42.82,42.31,42.74,36.85,2406000,0.0,0
2015-08-17,42.78,43.61,42.62,43.4,37.42,1778400,0.0,0
2015-08-18,43.24,43.46,43.0,43.2,37.24,1931100,0.0,0
2015-08-19,43.02,43.65,42.78,43.55,37.55,1757300,0.0,0
2015-08-20,43.22,43.85,43.19,43.31,37.34,1384100,0.0,0
2015-08-21,43.19,43.36,42.51,42.51,36.65,2201100,0.0,0
2015-08-24,41.07,41.98,40.48,40.68,35.07,3089700,0.0,0
2015-08-25,41.45,41.45,39.75,39.77,34.29,2749600,0.0,0
2015-08-26,40.29,40.65,39.66,40.55,34.96,2825400,0.0,0
2015-08-27,40.75,41.04,40.26,41.02,35.36,2447600,0.0,0
2015-08-28,41.01,41.21,40.51,41.07,35.41,1577100,0.0,0
2015-08-31,40.94,41.01,39.89,40.29,34.74,2572400,0.0,0
2015-09-01,39.39,39.96,38.89,39.12,33.73,2420200,0.0,0
2015-09-02,39.56,39.6,38.64,39.08,33.69,1759300,0.0,0
2015-09-03,39.23,39.41,39.03,39.25,33.84,1135000,0.0,0
2015-09-04,38.86,38.91,38.35,38.56,33.24,1571700,0.0,0
2015-09-08,38.69,39.01,38.48,38.98,33.97,1684700,0.41,0
2015-09-09,38.98,39.12,38.39,38.46,33.51,1679100,0.0,0
2015-09-10,38.29,38.91,38.15,38.43,33.49,1238300,0.0,0
2015-09-11,38.34,38.82,38.26,38.82,33.83,1472200,0.0,0
2015-09-14,38.84,39.22,38.79,38.98,33.97,1449100,0.0,0
2015-09-15,38.98,39.34,38.7,39.2,34.16,1380000,0.0,0
2015-09-16,39.22,39.74,39.11,39.69,34.59,1345900,0.0,0
2015-09-17,39.7,41.07,39.62,40.54,35.33,2627200,0.0,0
2015-09-18,40.23,40.73,40.16,40.37,35.18,2931900,0.0,0
2015-09-21,40.52,41.06,40.39,40.82,35.57,1704100,0.0,0
