Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,13.54,13.61,13.23,13.25,10.86,4778000,0.0,0
2015-04-28,13.24,13.39,13.13,13.39,10.98,3413900,0.0,0
2015-04-29,13.27,13.47,13.12,13.45,11.03,7989500,0.0,0
2015-04-30,13.42,13.43,13.15,13.25,10.86,6241600,0.0,0
2015-05-01,13.24,13.3,13.05,13.27,10.96,3362800,0.1,0
2015-05-04,13.42,13.72,13.31,13.64,11.27,5057000,0.0,0
2015-05-05,13.6,13.6,13.44,13.48,11.13,7864900,0.0,0
2015-05-06,13.49,13.52,13.3,13.45,11.11,6778000,0.0,0
2015-05-07,13.49,13.65,13.38,13.54,11.18,4461000,0.0,0
2015-05-08,13.72,13.83,13.57,13.66,11.28,6244500,0.0,0
2015-05-11,13.29,13.84,13.2,13.68,11.3,6797700,0.0,0
2015-05-12,13.57,13.72,13.36,13.71,11.32,8164600,0.0,0
2015-05-13,13.48,13.5,13.3,13.36,11.03,46067600,0.0,0
2015-05-14,13.5,13.59,13.34,13.54,11.18,9334000,0.0,0
2015-05-15,13.56,13.75,13.49,13.7,11.32,4707600,0.0,0
2015-05-18,13.66,13.76,13.58,13.74,11.35,3979600,0.0,0
2015-05-19,13.68,13.68,13.31,13.62,11.25,7772500,0.0,0
2015-05-20,13.66,13.79,13.6,13.63,11.26,7149900,0.0,0
2015-05-21,13.62,13.79,13.57,13.78,11.38,4188200,0.0,0
2015-05-22,13.73,13.79,13.6,13.7,11.32,4367900,0.0,0
2015-05-26,13.68,13.7,13.37,13.42,11.08,5193500,0.0,0
2015-05-27,13.63,13.65,13.39,13.44,11.1,4055900,0.0,0
2015-05-28,13.39,13.47,13.3,13.33,11.01,3498600,0.0,0
2015-05-29,13.33,13.6,13.29,13.6,11.23,7877800,0.0,0
2015-06-01,13.59,13.73,13.51,13.64,11.27,5456900,0.0,0
2015-06-02,13.56,13.57,13.29,13.45,11.11,5670500,0.0,0
2015-06-03,13.44,13.45,12.9,13.15,10.86,7423400,0.0,0
2015-06-04,13.08,13.16,13.0,13.02,10.75,5949000,0.0,0
2015-06-05,13.09,13.24,12.98,13.15,10.86,8965600,0.0,0
2015-06-08,13.12,13.16,13.02,13.08,10.8,4516900,0.0,0
2015-06-09,13.07,13.51,13.06,13.51,11.16,9146200,0.0,0
2015-06-10,13.64,13.65,13.3,13.32,11.0,5886500,0.0,0
2015-06-11,13.4,13.58,13.32,13.52,11.17,4962400,0.0,0
2015-06-12,13.48,13.52,13.31,13.35,11.03,3640200,0.0,0
2015-06-15,13.33,13.48,13.28,13.44,11.1,5385800,0.0,0
2015-06-16,13.47,13.6,13.33,13.58,11.22,3959700,0.0,0
2015-06-17,13.61,13.73,13.52,13.67,11.29,5207500,0.0,0
2015-06-18,13.67,13.88,13.61,13.85,11.44,5044800,0.0,0
