Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,296.95,296.98,284.88,285.19,269.36,3989600,0.0,0
2015-04-28,281.9,290.16,280.06,288.1,272.11,3282000,0.0,0
2015-04-29,286.35,289.82,285.0,288.23,272.23,2192800,0.0,0
2015-04-30,287.27,289.6,280.14,282.86,267.16,2818800,0.0,0
2015-05-01,285.17,290.01,284.68,289.74,273.66,2628500,0.0,0
2015-05-04,290.19,292.49,289.09,289.81,273.72,1732800,0.0,0
2015-05-05,290.45,290.99,285.0,285.75,269.89,1901000,0.0,0
2015-05-06,287.05,287.05,279.74,283.31,267.58,2439600,0.0,0
2015-05-07,284.0,290.83,283.51,287.3,271.35,2389300,0.0,0
2015-05-08,291.88,295.9,290.12,292.82,276.56,2816600,0.0,0
2015-05-11,305.77,305.77,300.39,301.74,284.99,4247500,0.0,0
2015-05-12,300.0,301.41,296.16,296.79,280.31,2423100,0.0,0
2015-05-13,298.18,299.44,294.79,295.69,279.28,1618000,0.0,0
2015-05-14,298.15,298.31,294.81,297.46,280.95,1515500,0.0,0
2015-05-15,297.46,298.98,295.79,296.6,280.13,1556400,0.0,0
2015-05-18,297.18,297.49,295.0,295.76,279.34,1850800,0.0,0
2015-05-19,295.41,299.88,294.81,298.43,281.86,2446800,0.0,0
2015-05-20,299.45,299.58,297.03,297.5,280.98,1831800,0.0,0
2015-05-21,298.16,301.77,296.16,301.22,284.5,2214800,0.0,0
2015-05-22,300.52,303.71,299.99,301.35,284.62,2245700,0.0,0
2015-05-26,301.0,302.56,299.17,300.07,283.41,2023000,0.0,0
2015-05-27,300.22,307.03,299.87,306.79,289.76,2983600,0.0,0
2015-05-28,308.46,315.0,308.41,313.08,295.7,3942700,0.0,0
2015-05-29,313.7,314.18,306.35,306.81,289.78,2460900,0.0,0
2015-06-01,310.0,311.2,305.53,309.16,292.0,1989100,0.0,0
2015-06-02,307.88,309.9,305.66,305.71,288.74,1569400,0.0,0
2015-06-03,306.92,307.4,303.78,306.42,289.41,1988100,0.0,0
2015-06-04,306.21,308.24,301.39,303.38,286.54,1701200,0.0,0
2015-06-05,303.41,305.9,301.05,302.3,285.52,1744100,0.0,0
2015-06-08,302.94,303.26,298.03,298.66,282.08,1962300,0.0,0
2015-06-09,297.89,298.68,294.72,296.87,280.39,1811700,0.0,0
2015-06-10,298.73,301.87,296.02,301.29,284.56,1439300,0.0,0
2015-06-11,302.24,303.12,300.32,301.92,285.16,1606100,0.0,0
2015-06-12,301.27,301.56,297.86,298.98,282.38,1370800,0.0,0
2015-06-15,297.83,301.98,295.94,301.35,284.62,1079500,0.0,0
2015-06-16,298.06,300.9,297.43,298.02,281.48,1348100,0.0,0
