Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,56.91,57.35,56.8,57.0,50.63,7775100,0.0,0
2015-04-28,56.62,57.18,56.6,56.8,50.46,8814600,0.0,0
2015-04-29,56.62,56.9,56.36,56.65,50.32,10205000,0.0,0
2015-04-30,56.28,56.72,55.93,56.29,50.0,7291400,0.0,0
2015-05-01,56.9,58.03,56.8,57.74,51.29,13401900,0.0,0
2015-05-04,58.0,58.46,57.98,58.2,51.7,5298100,0.0,0
2015-05-05,58.02,58.55,57.89,58.0,51.52,7487700,0.0,0
2015-05-06,58.38,58.67,57.72,58.15,51.66,6771700,0.0,0
2015-05-07,58.16,59.5,57.82,58.97,52.38,8479400,0.0,0
2015-05-08,59.44,59.79,59.09,59.67,53.01,6824200,0.0,0
2015-05-11,59.67,59.88,59.15,59.2,52.59,8455200,0.0,0
2015-05-12,58.71,58.98,58.39,58.76,52.2,7271700,0.0,0
2015-05-13,58.56,58.92,58.44,58.74,52.18,5188200,0.0,0
2015-05-14,59.0,59.21,58.72,58.97,52.38,3956000,0.0,0
2015-05-15,59.03,59.06,58.15,58.36,51.84,7437300,0.0,0
2015-05-18,58.46,59.03,58.37,58.89,52.31,4894200,0.0,0
2015-05-19,59.02,59.56,58.77,59.41,52.78,5446100,0.0,0
2015-05-20,59.43,60.09,58.93,59.96,53.26,6557200,0.0,0
2015-05-21,59.93,60.7,59.85,60.22,53.49,6743100,0.0,0
2015-05-22,60.13,60.47,59.82,59.88,53.19,4576200,0.0,0
2015-05-26,59.76,59.8,59.07,59.23,52.62,5054100,0.0,0
2015-05-27,59.28,59.58,59.18,59.39,52.76,6447000,0.0,0
2015-05-28,59.3,59.51,58.74,59.45,52.81,4119600,0.0,0
2015-05-29,59.36,59.4,58.55,58.61,52.06,6817700,0.0,0
2015-06-01,58.91,59.0,58.33,58.68,52.13,6587900,0.0,0
2015-06-02,58.9,60.05,58.64,59.68,53.01,9026700,0.0,0
2015-06-03,59.84,61.28,59.64,61.11,54.29,12437800,0.0,0
2015-06-04,60.67,61.03,60.47,60.61,53.84,8335700,0.0,0
2015-06-05,61.15,61.32,60.42,60.5,53.74,6376600,0.0,0
2015-06-08,60.5,60.58,59.63,59.66,53.0,8482100,0.0,0
2015-06-09,59.51,60.34,59.32,59.99,53.4,7227400,0.125,0
2015-06-10,60.26,61.78,60.12,61.68,54.91,10914300,0.0,0
2015-06-11,61.69,62.22,61.57,61.99,55.18,8332400,0.0,0
2015-06-12,61.82,62.0,61.48,61.89,55.09,7039300,0.0,0
2015-06-15,61.3,63.7,61.15,62.57,55.7,19861100,0.0,0
2015-06-16,62.21,62.55,61.8,61.98,55.17,10864100,0.0,0
2015-06-17,62.24,62.36,61.57,61.86,55.07,7206900,0.0,0
