Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,59.18,59.89,58.37,58.59,58.59,1176900,0,0
2015-04-28,58.44,59.56,57.72,59.45,59.45,1110200,0,0
2015-04-29,59.32,60.74,59.06,60.18,60.18,1431900,0,0
2015-04-30,59.6,60.13,58.76,58.84,58.84,1239200,0,0
2015-05-01,58.74,59.76,58.55,59.18,59.18,1084500,0,0
2015-05-04,59.34,60.61,59.11,60.35,60.35,651500,0,0
2015-05-05,60.37,60.45,58.77,59.51,59.51,859900,0,0
2015-05-06,59.48,59.58,58.64,58.91,58.91,721000,0,0
2015-05-07,58.66,59.35,58.66,58.87,58.87,483200,0,0
2015-05-08,59.42,60.4,59.23,59.71,59.71,468400,0,0
2015-05-11,59.49,59.91,59.23,59.35,59.35,351400,0,0
2015-05-12,59.13,59.13,57.89,58.64,58.64,489300,0,0
2015-05-13,58.86,59.12,58.3,58.75,58.75,525300,0,0
2015-05-14,59.02,59.69,58.55,59.31,59.31,439600,0,0
2015-05-15,59.31,59.58,59.11,59.28,59.28,279600,0,0
2015-05-18,59.25,60.0,59.06,59.86,59.86,490300,0,0
2015-05-19,59.86,60.01,59.06,59.24,59.24,566200,0,0
2015-05-20,59.35,59.79,59.06,59.22,59.22,336300,0,0
2015-05-21,59.07,59.69,58.82,59.38,59.38,418900,0,0
2015-05-22,59.2,59.96,58.78,59.29,59.29,320100,0,0
2015-05-26,59.08,59.64,58.8,59.27,59.27,459500,0,0
2015-05-27,59.21,59.78,58.9,59.7,59.7,327700,0,0
2015-05-28,59.5,61.33,59.31,61.18,61.18,1059900,0,0
2015-05-29,61.34,61.42,60.42,60.67,60.67,644300,0,0
2015-06-01,61.08,62.72,61.08,61.74,61.74,844200,0,0
2015-06-02,61.39,62.41,61.1,62.37,62.37,792700,0,0
2015-06-03,62.75,63.93,62.4,63.4,63.4,1235000,0,0
2015-06-04,63.11,63.36,62.39,62.79,62.79,1308800,0,0
2015-06-05,62.73,62.98,61.81,62.91,62.91,478300,0,0
2015-06-08,63.05,63.23,61.73,61.99,61.99,344900,0,0
2015-06-09,62.11,62.36,61.32,61.58,61.58,251300,0,0
2015-06-10,61.92,62.65,61.04,62.52,62.52,286500,0,0
2015-06-11,62.59,63.05,62.2,62.96,62.96,406400,0,0
2015-06-12,62.83,63.37,62.39,63.02,63.02,678700,0,0
2015-06-15,62.66,63.4,61.76,63.22,63.22,643600,0,0
2015-06-16,63.04,64.31,62.75,64.29,64.29,668500,0,0
2015-06-17,64.54,64.99,59.56,62.29,62.29,3297200,0,0
2015-06-18,62.29,63.48,62.0,62.15,62.15,783900,0,0
2015-06-19,62.4,63.48,62.21,63.24,63.24,991100,0,0
2015-06-22,63.71,63.71,62.8,63.31,63.31,497100,0,0
2015-06-23,63.31,63.6,62.52,62.98,62.98,664500,0,0
2015-06-24,63.0,63.17,60.93,61.12,61.12,959100,0,0
2015-06-25,61.25,62.17,61.17,61.57,61.57,790700,0,0
2015-06-26,61.88,62.66,61.69,62.63,62.63,735000,0,0
2015-06-29,62.26,62.74,61.54,61.65,61.65,862800,0,0
2015-06-30,62.34,63.11,61.65,62.71,62.71,843600,0,0
2015-07-01,63.18,63.75,62.62,63.22,63.22,786000,0,0
2015-07-02,63.37,64.0,62.8,63.29,63.29,1005900,0,0
2015-07-06,62.72,64.18,62.29,62.5,62.5,2088900,0,0
2015-07-07,62.79,63.66,61.78,63.5,63.5,640800,0,0
2015-07-08,63.24,63.71,62.1,62.74,62.74,746900,0,0
2015-07-09,63.36,63.37,62.01,62.2,62.2,567200,0,0
2015-07-10,62.84,63.15,62.26,62.94,62.94,573300,0,0
2015-07-13,63.26,63.82,62.68,63.61,63.61,471400,0,0
2015-07-14,63.53,64.51,63.53,64.31,64.31,423700,0,0
2015-07-15,64.5,65.04,63.97,64.63,64.63,812100,0,0
2015-07-16,65.05,65.58,64.71,65.37,65.37,561800,0,0
2015-07-17,65.46,65.63,64.72,64.93,64.93,607800,0,0
2015-07-20,65.08,66.46,64.95,66.04,66.04,645900,0,0
2015-07-21,66.45,66.45,64.74,65.16,65.16,848600,0,0
2015-07-22,64.83,65.53,64.73,65.23,65.23,727900,0,0
2015-07-23,65.74,66.53,65.17,65.59,65.59,1484200,0,0
2015-07-24,63.5,64.6,60.05,60.4,60.4,3805400,0,0
2015-07-27,59.59,60.98,58.86,60.98,60.98,1459300,0,0
2015-07-28,61.2,61.61,60.18,61.2,61.2,1102100,0,0
2015-07-29,61.48,62.7,60.73,62.6,62.6,1435400,0,0
2015-07-30,62.8,62.93,62.14,62.36,62.36,663600,0,0
2015-07-31,62.59,63.53,62.08,62.7,62.7,628800,0,0
2015-08-03,62.48,63.06,61.5,62.61,62.61,820200,0,0
2015-08-04,62.33,62.83,61.39,61.44,61.44,694700,0,0
2015-08-05,61.87,62.6,61.5,62.07,62.07,511600,0,0
2015-08-06,61.95,62.04,60.55,60.94,60.94,390800,0,0
2015-08-07,60.94,61.21,60.16,60.73,60.73,530000,0,0
2015-08-10,61.05,61.97,61.05,61.7,61.7,486300,0,0
2015-08-11,61.13,61.78,60.77,61.15,61.15,491300,0,0
2015-08-12,60.33,60.95,59.67,60.83,60.83,431300,0,0
2015-08-13,60.63,61.27,60.14,60.2,60.2,509500,0,0
2015-08-14,60.0,60.67,59.68,60.57,60.57,341500,0,0
2015-08-17,60.48,60.99,60.05,60.88,60.88,701000,0,0
2015-08-18,60.81,61.32,60.32,60.52,60.52,385200,0,0
2015-08-19,60.07,60.43,59.44,59.73,59.73,726200,0,0
2015-08-20,59.5,59.5,57.96,58.02,58.02,539500,0,0
2015-08-21,57.64,57.99,56.39,56.45,56.45,669400,0,0
2015-08-24,53.39,56.41,52.01,54.55,54.55,874200,0,0
2015-08-25,56.38,56.47,54.15,54.23,54.23,774500,0,0
2015-08-26,55.53,56.22,54.71,55.95,55.95,914200,0,0
2015-08-27,56.83,57.49,55.82,56.82,56.82,426800,0,0
2015-08-28,57.02,57.36,56.36,57.27,57.27,375000,0,0
2015-08-31,57.07,57.84,56.55,56.6,56.6,595700,0,0
2015-09-01,55.62,56.44,53.85,53.94,53.94,928800,0,0
2015-09-02,54.49,55.13,53.57,55.1,55.1,806800,0,0
2015-09-03,55.17,55.86,54.88,55.13,55.13,633000,0,0
2015-09-04,54.44,54.87,53.75,54.28,54.28,510000,0,0
2015-09-08,55.21,55.52,54.7,55.4,55.4,474800,0,0
2015-09-09,56.03,56.21,54.85,54.97,54.97,332500,0,0
2015-09-10,54.69,55.84,54.34,55.19,55.19,369700,0,0
2015-09-11,55.53,56.9,55.09,55.55,55.55,631300,0,0
2015-09-14,55.66,55.88,55.38,55.61,55.61,563000,0,0
2015-09-15,55.84,56.66,55.03,56.52,56.52,484800,0,0
2015-09-16,56.33,56.79,56.12,56.6,56.6,447100,0,0
2015-09-17,56.73,59.47,56.45,58.45,58.45,755700,0,0
2015-09-18,57.74,58.54,57.24,57.42,57.42,686200,0,0
2015-09-21,57.5,58.07,56.68,57.01,57.01,421300,0,0
2015-09-22,56.45,56.98,56.12,56.87,56.87,562000,0,0
2015-09-23,56.85,57.54,56.71,57.21,57.21,323800,0,0
2015-09-24,56.81,57.1,56.09,56.96,56.96,361600,0,0
2015-09-25,57.37,57.79,55.91,56.65,56.65,702200,0,0
2015-09-28,56.17,56.47,54.64,55.33,55.33,881200,0,0
2015-09-29,55.51,56.8,55.15,55.91,55.91,742600,0,0
2015-09-30,56.24,56.94,55.51,56.76,56.76,847200,0,0
2015-10-01,56.58,56.79,55.0,55.44,55.44,882300,0,0
2015-10-02,54.91,56.97,54.69,56.91,56.91,693300,0,0
2015-10-05,57.3,58.59,57.3,58.47,58.47,744700,0,0
2015-10-06,58.55,58.96,55.53,55.75,55.75,721000,0,0
2015-10-07,56.05,56.83,55.37,56.55,56.55,671300,0,0
2015-10-08,56.59,56.96,55.43,56.23,56.23,450100,0,0
2015-10-09,56.33,56.63,55.68,56.39,56.39,689300,0,0
2015-10-12,56.45,57.66,56.38,57.26,57.26,355600,0,0
2015-10-13,56.83,57.53,56.16,56.21,56.21,747400,0,0
2015-10-14,56.52,57.05,55.32,56.5,56.5,742500,0,0
2015-10-15,57.13,60.93,56.98,60.65,60.65,1555900,0,0
2015-10-16,60.83,61.42,59.84,60.65,60.65,653000,0,0
2015-10-19,60.47,61.73,60.33,61.1,61.1,769600,0,0
2015-10-20,61.28,62.0,60.72,61.98,61.98,821200,0,0
2015-10-21,62.44,62.44,60.74,61.59,61.59,700000,0,0
2015-10-22,61.76,61.9,60.35,60.78,60.78,2557600,0,0
2015-10-23,64.5,68.48,64.4,67.97,67.97,2609100,0,0
2015-10-26,67.0,68.43,66.18,68.27,68.27,1298000,0,0
2015-10-27,68.0,68.16,66.22,67.09,67.09,1255500,0,0
2015-10-28,67.12,67.12,65.39,66.3,66.3,1379500,0,0
2015-10-29,66.47,66.47,65.28,65.7,65.7,1193900,0,0
2015-10-30,65.39,65.97,64.56,65.46,65.46,923900,0,0
2015-11-02,65.76,67.08,65.15,66.37,66.37,891900,0,0
2015-11-03,66.2,66.96,65.61,66.93,66.93,464600,0,0
2015-11-04,67.18,67.31,65.98,66.53,66.53,340100,0,0
2015-11-05,66.6,66.8,65.78,66.39,66.39,322100,0,0
2015-11-06,66.16,67.19,65.94,67.17,67.17,334200,0,0
2015-11-09,66.93,67.98,66.57,67.08,67.08,496500,0,0
2015-11-10,66.66,67.11,64.69,66.1,66.1,1177000,0,0
2015-11-11,66.0,66.19,65.43,65.59,65.59,741000,0,0
2015-11-12,65.04,65.6,63.88,64.0,64.0,483800,0,0
