Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,68.22,68.68,67.15,67.4,61.63,1179800,0.0,0
2015-04-28,67.0,67.19,65.58,66.47,60.78,816500,0.0,0
2015-04-29,66.15,66.52,63.97,65.34,59.74,1193000,0.0,0
2015-04-30,64.91,65.65,63.84,64.06,58.57,1147700,0.0,0
2015-05-01,64.48,65.86,64.19,65.3,59.71,795800,0.0,0
2015-05-04,65.55,66.12,64.42,64.53,59.0,1118000,0.0,0
2015-05-05,63.4,63.82,62.9,62.97,57.58,999700,0.0,0
2015-05-06,62.5,63.74,62.15,63.24,57.82,1155200,0.0,0
2015-05-07,63.27,65.55,63.27,64.96,59.4,1049700,0.0,0
2015-05-08,65.86,66.79,65.73,66.27,60.59,1088100,0.0,0
2015-05-11,65.96,66.83,65.68,66.33,60.65,969600,0.0,0
2015-05-12,65.89,66.01,65.14,65.18,59.6,767400,0.0,0
2015-05-13,65.72,66.21,64.57,64.71,59.17,684400,0.0,0
2015-05-14,65.24,66.17,64.78,66.13,60.47,974800,0.0,0
2015-05-15,66.36,66.96,66.09,66.5,60.8,937900,0.0,0
2015-05-18,66.39,68.0,66.11,67.58,61.79,1247100,0.0,0
2015-05-19,67.87,68.27,66.65,66.99,61.43,1386800,0.2,0
2015-05-20,66.74,66.97,63.41,63.96,58.66,2179700,0.0,0
2015-05-21,64.09,64.83,63.5,64.69,59.33,1277800,0.0,0
2015-05-22,64.89,65.24,64.0,64.4,59.06,850700,0.0,0
2015-05-26,64.44,64.83,62.19,62.37,57.2,1295500,0.0,0
2015-05-27,62.72,63.48,62.57,63.4,58.14,1224500,0.0,0
2015-05-28,63.49,64.05,63.12,63.74,58.45,1044000,0.0,0
2015-05-29,63.7,64.85,63.38,64.64,59.28,1489500,0.0,0
2015-06-01,65.01,66.3,64.5,66.09,60.61,1808500,0.0,0
2015-06-02,65.1,66.31,64.79,65.72,60.27,941200,0.0,0
2015-06-03,65.95,66.34,65.36,65.86,60.4,794700,0.0,0
2015-06-04,65.81,66.66,65.03,65.51,60.08,966300,0.0,0
2015-06-05,65.48,65.97,64.86,65.66,60.21,946100,0.0,0
2015-06-08,65.02,65.69,62.31,62.53,57.34,1519800,0.0,0
2015-06-09,61.88,61.88,58.15,60.65,55.62,3734600,0.0,0
2015-06-10,60.15,61.69,59.86,60.76,55.72,1568900,0.0,0
2015-06-11,60.89,62.12,60.76,61.82,56.69,1426700,0.0,0
2015-06-12,61.71,63.77,61.61,63.5,58.23,1568300,0.0,0
2015-06-15,62.86,63.24,62.08,62.66,57.46,1128900,0.0,0
2015-06-16,62.68,63.34,61.89,62.28,57.12,780400,0.0,0
2015-06-17,62.15,62.67,61.65,62.03,56.89,1232900,0.0,0
2015-06-18,62.61,64.37,62.61,63.99,58.68,1461200,0.0,0
2015-06-19,64.31,65.42,63.91,64.65,59.29,4167400,0.0,0
2015-06-22,65.62,66.26,65.12,66.22,60.73,1732000,0.0,0
2015-06-23,67.07,67.48,66.43,66.52,61.0,1560400,0.0,0
2015-06-24,66.58,67.24,66.02,66.2,60.71,1153500,0.0,0
2015-06-25,66.67,67.15,65.42,65.43,60.0,1273500,0.0,0
2015-06-26,65.8,65.9,64.5,64.75,59.38,1872000,0.0,0
2015-06-29,64.29,65.6,63.8,63.86,58.56,1066600,0.0,0
2015-06-30,64.55,65.48,64.2,64.43,59.09,1332400,0.0,0
2015-07-01,65.55,65.64,62.59,64.3,58.97,1956600,0.0,0
2015-07-02,64.66,65.31,63.82,65.01,59.62,1109000,0.0,0
2015-07-06,64.61,66.39,64.54,66.16,60.67,1331400,0.0,0
2015-07-07,66.25,67.63,65.7,67.44,61.85,1464900,0.0,0
2015-07-08,67.04,67.09,65.5,66.12,60.64,1324600,0.0,0
2015-07-09,67.07,67.22,66.44,66.54,61.02,922700,0.0,0
2015-07-10,68.01,70.69,67.8,70.55,64.7,2292100,0.0,0
2015-07-13,71.51,72.65,71.51,72.25,66.26,1438200,0.0,0
2015-07-14,71.96,73.7,71.46,73.62,67.51,1782500,0.0,0
2015-07-15,73.49,74.54,72.13,73.72,67.61,1741500,0.0,0
2015-07-16,73.99,75.47,73.88,74.69,68.5,1555800,0.0,0
2015-07-17,74.99,75.35,74.32,74.77,68.57,1111500,0.0,0
2015-07-20,75.04,75.25,73.7,74.14,67.99,1355700,0.0,0
2015-07-21,74.22,75.03,73.97,74.95,68.73,1155700,0.0,0
2015-07-22,74.46,75.88,74.46,75.83,69.54,1630700,0.0,0
2015-07-23,76.88,77.8,72.61,73.79,67.67,2246900,0.0,0
2015-07-24,74.49,75.24,73.45,74.1,67.95,1551600,0.0,0
2015-07-27,73.39,73.55,72.55,73.02,66.96,1226900,0.0,0
2015-07-28,73.39,74.47,72.78,74.32,68.16,1540200,0.0,0
2015-07-29,74.36,75.0,73.36,74.78,68.58,1310300,0.0,0
2015-07-30,74.4,75.28,73.89,75.16,68.93,870000,0.0,0
2015-07-31,75.36,75.87,74.41,75.75,69.47,1186000,0.0,0
2015-08-03,76.14,78.32,76.01,78.02,71.55,1290500,0.0,0
2015-08-04,78.12,78.42,77.0,77.77,71.32,930000,0.0,0
2015-08-05,78.16,79.61,77.79,79.03,72.48,1438800,0.0,0
2015-08-06,80.09,80.53,76.88,77.75,71.3,1061900,0.0,0
2015-08-07,77.6,78.37,77.02,77.99,71.52,667900,0.0,0
2015-08-10,78.63,79.62,78.22,78.63,72.11,928300,0.0,0
2015-08-11,78.24,80.28,78.17,79.96,73.33,1257200,0.0,0
2015-08-12,79.27,79.41,76.44,78.54,72.03,1165300,0.0,0
2015-08-13,78.48,80.24,78.03,79.29,72.71,1076700,0.0,0
