Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,71.28,71.3,70.22,70.31,63.93,2185500,0.0,0
2015-04-28,70.24,70.98,70.09,70.69,64.28,1745000,0.0,0
2015-04-29,70.25,70.74,69.75,70.25,63.88,2132400,0.0,0
2015-04-30,70.14,70.38,69.33,69.66,63.34,3440800,0.0,0
2015-05-01,70.13,70.35,69.8,69.95,63.6,2423200,0.0,0
2015-05-04,70.0,70.18,69.66,69.82,63.49,4123000,0.0,0
2015-05-05,69.62,70.33,69.62,70.0,63.65,2513100,0.0,0
2015-05-06,68.88,69.25,66.9,67.31,61.2,9737600,0.0,0
2015-05-07,67.23,67.86,66.98,67.72,61.58,4320100,0.0,0
2015-05-08,68.4,68.5,67.09,67.27,61.17,3631500,0.0,0
2015-05-11,67.27,67.4,66.69,66.87,60.8,3425300,0.0,0
2015-05-12,66.73,67.1,66.62,66.91,60.84,2510500,0.0,0
2015-05-13,66.69,67.05,66.56,66.99,60.91,2458300,0.0,0
2015-05-14,67.21,67.67,67.19,67.64,61.5,2061800,0.0,0
2015-05-15,67.63,68.02,67.47,67.6,61.47,1683600,0.0,0
2015-05-18,67.65,68.2,67.61,68.09,61.91,1444000,0.0,0
2015-05-19,68.28,68.85,68.04,68.75,62.51,2560700,0.0,0
2015-05-20,68.65,68.85,68.13,68.73,62.5,2607400,0.0,0
2015-05-21,68.42,68.61,67.88,68.1,61.92,2538900,0.0,0
2015-05-22,68.03,68.09,67.58,67.6,61.47,1807400,0.0,0
2015-05-26,67.41,67.52,67.14,67.38,61.27,2563700,0.0,0
2015-05-27,67.43,67.82,67.1,67.61,61.75,2057000,0.3,0
2015-05-28,67.4,67.94,67.4,67.8,61.93,2044200,0.0,0
2015-05-29,67.69,67.82,67.31,67.32,61.49,1990200,0.0,0
2015-06-01,67.65,67.98,66.9,66.92,61.12,2633200,0.0,0
2015-06-02,66.92,67.42,66.8,67.13,61.31,2332700,0.0,0
2015-06-03,67.34,67.81,67.13,67.72,61.85,1773200,0.0,0
2015-06-04,67.38,67.68,66.96,67.05,61.24,2392400,0.0,0
2015-06-05,67.41,67.65,66.46,66.48,60.72,1851300,0.0,0
2015-06-08,66.55,66.79,65.8,65.82,60.12,1990900,0.0,0
2015-06-09,65.82,66.25,65.6,65.71,60.02,2205900,0.0,0
2015-06-10,65.92,67.02,65.9,66.91,61.11,2420000,0.0,0
2015-06-11,67.05,67.49,66.92,67.49,61.64,2069600,0.0,0
2015-06-12,67.18,67.49,67.07,67.37,61.53,1819800,0.0,0
2015-06-15,66.86,67.22,66.65,66.67,60.89,1940400,0.0,0
2015-06-16,66.57,67.44,66.44,67.33,61.5,1690100,0.0,0
2015-06-17,67.46,67.57,66.95,67.18,61.36,1511200,0.0,0
2015-06-18,67.38,68.47,67.33,68.35,62.43,2905900,0.0,0
2015-06-19,68.15,68.29,66.45,66.45,60.69,5049100,0.0,0
2015-06-22,66.01,66.9,66.01,66.28,60.54,4124700,0.0,0
2015-06-23,66.41,66.52,66.18,66.36,60.61,2484200,0.0,0
2015-06-24,66.36,66.41,65.93,65.95,60.24,2683700,0.0,0
2015-06-25,66.19,66.28,65.03,65.03,59.4,3805800,0.0,0
2015-06-26,65.42,66.07,65.24,65.83,60.13,3079300,0.0,0
2015-06-29,65.25,65.54,64.62,64.68,59.08,2718300,0.0,0
2015-06-30,65.35,65.61,64.83,64.87,59.25,3121200,0.0,0
2015-07-01,65.8,66.53,65.22,65.49,59.82,4657600,0.0,0
2015-07-02,65.48,65.7,64.89,64.99,59.36,2818100,0.0,0
2015-07-06,64.3,64.91,64.24,64.81,59.19,2782900,0.0,0
2015-07-07,64.79,65.77,64.44,65.74,60.04,2943300,0.0,0
2015-07-08,65.25,65.64,64.85,64.92,59.29,2631900,0.0,0
2015-07-09,65.76,65.77,65.25,65.41,59.74,2358900,0.0,0
2015-07-10,66.05,66.35,65.76,66.19,60.45,2231400,0.0,0
2015-07-13,67.18,67.35,66.77,67.25,61.42,2421400,0.0,0
2015-07-14,66.95,67.72,66.95,67.59,61.73,2256700,0.0,0
2015-07-15,67.6,68.07,67.44,68.06,62.16,2423900,0.0,0
2015-07-16,68.34,68.49,67.64,67.98,62.09,1977800,0.0,0
