Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,20.53,20.55,19.64,19.97,18.4,219415200.0,0.0,0
2015-04-28,20.13,20.49,19.99,20.04,18.46,55701400.0,0.0,0
2015-04-29,19.95,20.01,19.63,20.01,18.43,31274200.0,0.0,0
2015-04-30,19.92,19.92,19.65,19.79,18.23,33200100.0,0.0,0
2015-05-01,19.93,20.11,19.82,19.98,18.4,27346000.0,0.0,0
2015-05-04,19.98,20.08,19.86,19.88,18.31,14802900.0,0.0,0
2015-05-05,19.77,19.84,19.32,19.36,17.83,27823300.0,0.0,0
2015-05-06,19.45,19.56,19.17,19.45,17.92,24425100.0,0.0,0
2015-05-07,19.21,19.67,19.2,19.56,18.02,14345900.0,0.0,0
2015-05-08,19.78,19.85,19.65,19.69,18.14,15655300.0,0.0,0
2015-05-11,19.8,19.96,19.73,19.92,18.35,18837100.0,0.0,0
2015-05-12,19.91,19.99,19.78,19.89,18.32,15269900.0,0.0,0
2015-05-13,19.95,20.04,19.78,19.93,18.36,23811200.0,0.0,0
2015-05-14,20.03,20.1,19.79,19.86,18.29,30896500.0,0.0,0
2015-05-15,20.57,20.59,20.12,20.2,18.61,55400700.0,0.0,0
2015-05-18,20.26,20.34,20.02,20.19,18.6,24351900.0,0.0,0
2015-05-19,20.2,20.33,19.93,19.99,18.51,22054900.0,0.1,0
2015-05-20,19.95,20.07,19.87,19.91,18.43,17596200.0,0.0,0
2015-05-21,19.83,20.26,19.82,20.15,18.65,11819800.0,0.0,0
2015-05-22,20.18,20.28,20.07,20.14,18.64,13257200.0,0.0,0
2015-05-26,20.11,20.24,19.88,19.99,18.51,15117000.0,0.0,0
2015-05-27,19.96,20.5,19.96,20.34,18.83,16439200.0,0.0,0
2015-05-28,20.34,20.6,20.29,20.36,18.85,18479800.0,0.0,0
2015-05-29,20.43,20.43,20.06,20.13,18.64,17857100.0,0.0,0
2015-06-01,20.03,20.34,20.03,20.31,18.8,11839700.0,0.0,0
2015-06-02,20.27,20.59,20.09,20.38,18.87,15954100.0,0.0,0
2015-06-03,20.54,20.59,20.33,20.36,18.85,9133500.0,0.0,0
2015-06-04,20.24,20.31,19.86,20.06,18.57,17684700.0,0.0,0
2015-06-05,20.04,20.23,19.93,20.15,18.65,12782500.0,0.0,0
2015-06-08,20.14,20.24,19.81,19.87,18.39,15101500.0,0.0,0
2015-06-09,19.82,20.01,19.71,19.91,18.43,12721000.0,0.0,0
2015-06-10,20.0,20.14,19.96,20.04,18.55,14241500.0,0.0,0
2015-06-11,20.04,20.11,19.74,19.78,18.31,16586500.0,0.0,0
2015-06-12,19.74,19.79,19.59,19.62,18.16,12228200.0,0.0,0
2015-06-15,19.45,19.79,19.34,19.71,18.25,15661300.0,0.0,0
2015-06-16,19.64,19.85,19.57,19.82,18.35,11534800.0,0.0,0
2015-06-17,19.79,19.9,19.52,19.54,18.09,18479200.0,0.0,0
2015-06-18,19.62,19.86,19.58,19.84,18.37,16078000.0,0.0,0
2015-06-19,19.83,19.93,19.68,19.72,18.26,16973900.0,0.0,0
2015-06-22,19.79,19.95,19.7,19.86,18.39,13235400.0,0.0,0
2015-06-23,19.84,20.13,19.83,19.96,18.48,11025300.0,0.0,0
2015-06-24,20.24,20.46,20.08,20.1,18.61,19194700.0,0.0,0
2015-06-25,20.22,20.28,20.01,20.06,18.57,10723500.0,0.0,0
2015-06-26,19.96,20.16,19.63,19.78,18.31,17069800.0,0.0,0
2015-06-29,19.59,19.59,19.19,19.21,17.78,20049100.0,0.0,0
2015-06-30,19.28,19.41,19.06,19.22,17.79,15942300.0,0.0,0
2015-07-01,19.34,19.66,19.34,19.51,18.06,13062000.0,0.0,0
2015-07-02,19.55,19.64,19.45,19.61,18.15,9067000.0,0.0,0
2015-07-06,19.38,19.72,19.26,19.27,17.84,11559000.0,0.0,0
2015-07-07,19.23,19.3,18.73,19.17,17.75,20994000.0,0.0,0
2015-07-08,19.0,19.04,18.52,18.55,17.17,18978900.0,0.0,0
2015-07-09,18.74,18.91,18.51,18.52,17.14,14214400.0,0.0,0
2015-07-10,18.83,18.99,18.72,18.77,17.38,18375200.0,0.0,0
2015-07-13,18.9,19.63,18.87,19.31,17.88,21962000.0,0.0,0
2015-07-14,19.31,19.42,18.86,18.89,17.49,27788000.0,0.0,0
2015-07-15,18.9,18.99,18.52,18.57,17.19,22511400.0,0.0,0
2015-07-16,18.43,18.48,17.64,17.87,16.54,32327000.0,0.0,0
2015-07-17,17.9,17.9,17.69,17.77,16.45,13387000.0,0.0,0
2015-07-20,17.75,17.96,17.69,17.77,16.45,12652800.0,0.0,0
2015-07-21,17.77,18.04,17.74,17.83,16.51,9426700.0,0.0,0
2015-07-22,17.66,17.7,17.4,17.49,16.19,12036100.0,0.0,0
2015-07-23,17.47,17.86,17.46,17.72,16.4,13400500.0,0.0,0
2015-07-24,17.74,17.74,17.21,17.37,16.08,14637100.0,0.0,0
2015-07-27,17.25,17.49,17.13,17.38,16.09,18439200.0,0.0,0
2015-07-28,17.39,17.77,17.21,17.62,16.31,14067200.0,0.0,0
2015-07-29,17.56,17.6,17.35,17.55,16.25,11913300.0,0.0,0
2015-07-30,17.6,17.74,17.53,17.57,16.27,12332800.0,0.0,0
2015-07-31,17.52,17.6,17.32,17.36,16.07,16080600.0,0.0,0
2015-08-03,17.46,17.46,17.11,17.16,15.89,12754200.0,0.0,0
2015-08-04,17.1,17.22,16.83,16.83,15.58,17050000.0,0.0,0
2015-08-05,16.99,17.23,16.92,17.03,15.77,13308100.0,0.0,0
2015-08-06,17.11,17.19,16.8,16.85,15.6,12857200.0,0.0,0
2015-08-07,16.78,16.99,16.77,16.98,15.72,13570800.0,0.0,0
2015-08-10,17.16,17.69,17.13,17.6,16.29,14581500.0,0.0,0
2015-08-11,17.36,17.45,17.14,17.34,16.05,20174000.0,0.0,0
2015-08-12,17.1,17.39,16.98,17.3,16.02,14675100.0,0.0,0
2015-08-13,17.38,17.45,17.0,17.05,15.78,17273900.0,0.0,0
2015-08-14,16.7,16.78,16.24,16.64,15.4,42704600.0,0.0,0
2015-08-17,16.54,17.06,16.47,17.03,15.77,14596500.0,0.0,0
2015-08-18,16.96,16.96,16.46,16.53,15.39,15286200.0,0.1,0
2015-08-19,16.44,16.66,16.24,16.44,15.31,13984600.0,0.0,0
2015-08-20,16.31,16.37,15.97,15.98,14.88,12890000.0,0.0,0
2015-08-21,15.82,16.04,15.46,15.48,14.42,19420700.0,0.0,0
2015-08-24,14.67,15.67,14.25,15.1,14.06,34065200.0,0.0,0
2015-08-25,15.43,15.6,14.84,14.84,13.82,26214300.0,0.0,0
2015-08-26,15.2,15.35,14.71,15.24,14.19,38654400.0,0.0,0
2015-08-27,15.38,16.0,15.36,15.94,14.84,21758900.0,0.0,0
2015-08-28,15.86,16.18,15.84,15.99,14.89,11053700.0,0.0,0
2015-08-31,15.96,16.21,15.85,16.09,14.98,16130200.0,0.0,0
2015-09-01,15.68,16.01,15.39,15.49,14.42,17930300.0,0.0,0
2015-09-02,15.73,15.79,15.38,15.68,14.6,13136800.0,0.0,0
2015-09-03,15.78,16.13,15.74,15.76,14.68,13300400.0,0.0,0
2015-09-04,15.57,15.67,15.28,15.39,14.33,15285300.0,0.0,0
2015-09-08,15.68,15.8,15.62,15.73,14.65,14935300.0,0.0,0
2015-09-09,15.74,15.91,15.44,15.46,14.4,15443800.0,0.0,0
2015-09-10,15.41,15.8,15.26,15.56,14.49,15424000.0,0.0,0
2015-09-11,15.54,15.63,15.35,15.5,14.43,10501800.0,0.0,0
2015-09-14,15.5,15.71,15.49,15.6,14.53,10151500.0,0.0,0
2015-09-15,15.77,15.95,15.68,15.92,14.83,13098700.0,0.0,0
2015-09-16,15.98,16.2,15.83,16.17,15.06,12053400.0,0.0,0
2015-09-17,16.04,16.31,15.92,16.02,14.92,15661700.0,0.0,0
2015-09-18,15.83,16.1,15.73,15.93,14.83,24123400.0,0.0,0
2015-09-21,16.0,16.05,15.56,15.64,14.56,14699300.0,0.0,0
2015-09-22,15.46,15.56,14.97,15.1,14.06,19368400.0,0.0,0
2015-09-23,15.05,15.1,14.58,14.61,13.61,16846500.0,0.0,0
2015-09-24,14.55,14.88,14.29,14.69,13.68,19878600.0,0.0,0
2015-09-25,14.96,15.0,14.4,14.6,13.6,17564300.0,0.0,0
2015-09-28,14.59,14.65,14.36,14.37,13.38,29601100.0,0.0,0
2015-09-29,14.42,14.73,14.33,14.55,13.55,17131100.0,0.0,0
2015-09-30,14.69,14.87,14.59,14.69,13.68,22366300.0,0.0,0
2015-10-01,14.72,14.78,14.45,14.67,13.66,17555400.0,0.0,0
2015-10-02,14.49,14.94,14.44,14.94,13.91,14386200.0,0.0,0
