Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,168.49,168.72,161.55,162.38,141.98,4386200,0.0,0
2015-04-28,162.15,165.3,160.63,162.49,142.08,4262800,0.0,0
2015-04-29,161.28,163.46,159.53,160.98,140.76,3281800,0.0,0
2015-04-30,159.84,161.71,156.47,157.91,138.07,4444300,0.0,0
2015-05-01,159.5,161.69,158.65,160.36,140.22,3259800,0.0,0
2015-05-04,161.5,163.96,161.45,162.11,141.75,3496200,0.0,0
2015-05-05,161.31,162.19,159.24,159.44,139.41,3086000,0.0,0
2015-05-06,160.0,160.39,156.65,158.95,138.98,3762700,0.0,0
2015-05-07,159.24,159.82,157.2,157.9,138.07,4374000,0.0,0
2015-05-08,159.78,162.86,159.13,162.34,141.95,4664200,0.0,0
2015-05-11,162.31,162.99,161.0,161.05,140.82,2723800,0.0,0
2015-05-12,159.0,159.26,155.71,158.24,139.05,4359700,0.79,0
2015-05-13,159.74,161.24,157.65,158.39,139.18,2727000,0.0,0
2015-05-14,159.9,162.16,158.19,161.98,142.33,2717500,0.0,0
2015-05-15,163.27,163.63,161.68,162.36,142.67,2384600,0.0,0
2015-05-18,161.7,163.9,161.27,163.44,143.61,2153900,0.0,0
2015-05-19,163.86,164.12,162.46,163.56,143.72,1746600,0.0,0
2015-05-20,163.97,165.59,162.4,163.98,144.09,2027300,0.0,0
2015-05-21,163.52,164.73,162.82,163.84,143.97,2156600,0.0,0
2015-05-22,163.58,164.57,163.03,163.58,143.74,1636000,0.0,0
2015-05-26,160.65,162.46,158.0,159.01,139.72,4078300,0.0,0
2015-05-27,159.96,161.0,159.28,160.44,140.98,3336300,0.0,0
2015-05-28,159.6,159.6,155.83,157.35,138.26,4205300,0.0,0
2015-05-29,156.79,157.97,155.58,156.26,137.31,4414300,0.0,0
2015-06-01,157.59,158.0,155.5,157.03,137.98,2849800,0.0,0
2015-06-02,156.88,157.97,154.8,156.44,137.46,2497200,0.0,0
2015-06-03,157.45,157.86,156.4,157.13,138.07,2160500,0.0,0
2015-06-04,156.6,158.47,156.3,158.09,138.91,3917700,0.0,0
2015-06-05,158.5,159.4,156.03,157.25,138.18,3431100,0.0,0
2015-06-08,157.3,158.47,155.63,156.47,137.49,2081700,0.0,0
2015-06-09,156.55,157.11,153.91,154.8,136.02,2766000,0.0,0
2015-06-10,153.4,155.88,150.85,155.55,136.68,5972800,0.0,0
2015-06-11,157.91,158.97,156.44,157.96,138.8,3633400,0.0,0
2015-06-12,157.23,157.74,155.01,156.12,137.18,2398100,0.0,0
2015-06-15,154.75,156.37,153.57,156.1,137.16,2585200,0.0,0
2015-06-16,155.81,156.81,155.09,156.23,137.28,1723300,0.0,0
2015-06-17,156.86,156.98,154.88,155.65,136.77,3008600,0.0,0
2015-06-18,156.33,160.77,156.31,160.12,140.7,3454500,0.0,0
2015-06-19,160.13,162.23,159.77,160.72,141.22,5182000,0.0,0
2015-06-22,161.62,163.26,161.45,162.22,142.54,1926600,0.0,0
2015-06-23,163.45,163.5,161.04,161.69,142.08,2451800,0.0,0
2015-06-24,161.53,161.84,159.28,159.89,140.5,2522600,0.0,0
2015-06-25,160.82,160.84,158.02,158.76,139.5,2411400,0.0,0
2015-06-26,159.41,159.79,157.23,158.02,138.85,3537900,0.0,0
2015-06-29,156.63,157.96,151.43,151.6,133.21,4784800,0.0,0
2015-06-30,153.24,154.22,151.51,153.52,134.9,3893300,0.0,0
2015-07-01,154.94,155.75,153.43,154.99,136.19,2299100,0.0,0
2015-07-02,155.15,155.57,153.01,153.26,134.67,2119800,0.0,0
2015-07-06,152.14,156.07,151.89,154.5,135.76,2773500,0.0,0
2015-07-07,155.25,155.7,152.18,155.39,136.54,2253200,0.0,0
2015-07-08,154.11,154.85,151.93,152.31,133.83,2393500,0.0,0
2015-07-09,152.44,153.9,151.04,151.31,132.96,4146300,0.0,0
2015-07-10,153.99,154.53,152.49,154.1,135.41,3976600,0.0,0
2015-07-13,155.28,156.56,154.92,155.76,136.87,1803400,0.0,0
2015-07-14,156.34,160.31,155.76,159.32,139.99,3624800,0.0,0
2015-07-15,160.46,162.55,159.58,160.45,140.99,2618600,0.0,0
2015-07-16,161.73,163.75,161.07,163.04,143.26,2487500,0.0,0
2015-07-17,163.05,163.5,160.6,163.27,143.47,3248500,0.0,0
2015-07-20,163.56,165.4,162.89,164.34,144.41,2692400,0.0,0
2015-07-21,164.72,165.32,162.37,163.7,143.84,2690000,0.0,0
2015-07-22,161.47,164.68,161.47,164.25,144.33,2106900,0.0,0
2015-07-23,165.0,165.12,162.79,164.1,144.19,1716300,0.0,0
2015-07-24,162.11,163.73,157.21,158.59,139.35,4410700,0.0,0
2015-07-27,159.37,165.94,159.16,165.54,145.46,5757200,0.0,0
2015-07-28,166.12,174.8,166.12,172.74,151.79,8553600,0.0,0
2015-07-29,172.92,173.68,169.12,171.47,150.67,5112300,0.0,0
2015-07-30,170.09,172.48,168.21,171.69,150.86,4044100,0.0,0
2015-07-31,177.5,181.81,176.0,176.59,155.17,7289400,0.0,0
2015-08-03,176.8,177.05,174.02,175.59,154.29,2922600,0.0,0
2015-08-04,175.79,176.22,173.62,174.8,153.6,2474200,0.0,0
2015-08-05,175.53,177.52,175.38,176.44,155.04,2146700,0.0,0
2015-08-06,176.94,176.96,168.25,169.66,149.08,3775400,0.0,0
2015-08-07,169.67,172.47,166.4,172.31,151.41,4156000,0.0,0
2015-08-10,172.9,174.69,170.45,170.6,149.91,2729600,0.0,0
2015-08-11,169.67,169.73,166.89,168.56,148.11,2924900,0.0,0
2015-08-12,167.69,171.19,164.62,170.62,149.92,4486400,0.0,0
2015-08-13,170.5,170.99,168.03,168.58,148.82,1897000,0.79,0
2015-08-14,168.09,169.63,166.66,167.72,148.06,2704500,0.0,0
2015-08-17,167.05,169.89,166.0,169.79,149.89,1988800,0.0,0
2015-08-18,170.01,170.24,167.1,167.72,148.06,2273400,0.0,0
2015-08-19,166.82,167.72,164.45,166.57,147.05,3139800,0.0,0
2015-08-20,164.33,165.5,161.03,161.15,142.26,3491800,0.0,0
2015-08-21,158.97,163.92,155.19,155.19,137.0,6208400,0.0,0
2015-08-24,145.33,154.42,140.0,147.64,130.33,8697500,0.0,0
2015-08-25,152.5,153.88,144.88,145.19,128.17,6701100,0.0,0
2015-08-26,151.23,154.11,147.13,153.98,135.93,5251300,0.0,0
2015-08-27,154.88,157.1,151.36,155.72,137.47,4910500,0.0,0
2015-08-28,156.38,158.0,153.71,155.89,137.62,4649300,0.0,0
2015-08-31,155.33,156.35,151.3,151.78,133.99,4354500,0.0,0
2015-09-01,149.23,150.99,146.95,147.46,130.18,5523000,0.0,0
2015-09-02,149.07,152.35,147.25,152.29,134.44,4339100,0.0,0
2015-09-03,152.68,154.12,148.93,149.23,131.74,2868400,0.0,0
2015-09-04,147.49,148.96,145.75,147.02,129.79,3362800,0.0,0
2015-09-08,151.6,154.66,151.0,154.56,136.44,4508400,0.0,0
2015-09-09,156.19,156.76,150.62,151.08,133.37,2987600,0.0,0
2015-09-10,150.84,154.32,150.56,153.14,135.19,3477900,0.0,0
2015-09-11,152.05,153.45,150.93,153.21,135.25,2422700,0.0,0
2015-09-14,153.89,153.89,150.05,151.0,133.3,2896200,0.0,0
2015-09-15,152.02,152.79,150.24,152.14,134.31,2560200,0.0,0
2015-09-16,151.97,152.88,148.47,151.18,133.46,4004200,0.0,0
2015-09-17,151.7,156.34,151.0,153.91,135.87,3519500,0.0,0
2015-09-18,151.12,153.37,149.03,150.59,132.94,6487300,0.0,0
2015-09-21,151.97,152.8,146.32,147.09,129.85,4702600,0.0,0
2015-09-22,145.0,146.78,142.82,145.93,128.83,4518000,0.0,0
2015-09-23,146.08,147.04,144.03,145.72,128.64,2785400,0.0,0
2015-09-24,144.72,145.63,141.36,143.51,126.69,3519200,0.0,0
2015-09-25,146.06,146.75,136.76,138.53,122.29,5243700,0.0,0
2015-09-28,137.99,138.19,130.09,132.24,116.74,7514700,0.0,0
2015-09-29,132.0,138.0,131.43,133.82,118.13,6251500,0.0,0
2015-09-30,136.66,139.25,135.86,138.32,122.11,6209500,0.0,0
2015-10-01,138.55,140.64,136.6,140.23,123.79,4675900,0.0,0
2015-10-02,138.26,142.54,135.64,142.47,125.77,4803500,0.0,0
2015-10-05,144.0,144.91,142.22,143.8,126.94,4367100,0.0,0
2015-10-06,142.12,143.37,138.06,141.22,124.67,4759700,0.0,0
2015-10-07,142.65,148.31,140.24,148.05,130.7,8002400,0.0,0
2015-10-08,147.68,150.99,145.03,149.9,132.33,6638500,0.0,0
2015-10-09,149.25,150.75,148.01,149.59,132.06,3080900,0.0,0
2015-10-12,152.78,155.12,151.63,153.03,135.09,5473000,0.0,0
2015-10-13,151.54,152.98,147.44,147.58,130.28,4143900,0.0,0
2015-10-14,148.38,150.93,147.13,147.81,130.48,3197400,0.0,0
2015-10-15,147.45,152.78,146.97,152.54,134.66,3269600,0.0,0
2015-10-16,153.19,154.12,150.58,152.61,134.72,4793100,0.0,0
2015-10-19,152.61,156.14,152.46,154.47,136.36,3271700,0.0,0
2015-10-20,154.19,155.0,149.47,150.45,132.82,3385300,0.0,0
2015-10-21,152.37,152.75,147.3,150.09,132.5,3832600,0.0,0
2015-10-22,152.1,152.94,148.57,152.31,134.46,4079800,0.0,0
2015-10-23,153.61,156.2,151.86,155.75,137.49,3657300,0.0,0
2015-10-26,156.0,159.91,154.65,158.58,139.99,4346600,0.0,0
2015-10-27,158.58,162.12,157.83,161.98,142.99,3877200,0.0,0
2015-10-28,162.72,162.87,158.73,162.67,143.6,4878900,0.0,0
2015-10-29,164.99,165.0,158.94,160.58,141.76,4870200,0.0,0
2015-10-30,161.06,162.0,158.13,158.18,139.64,4589700,0.0,0
2015-11-02,159.01,162.75,158.37,162.31,143.29,3222500,0.0,0
2015-11-03,160.97,163.15,160.5,162.46,143.42,2411500,0.0,0
2015-11-04,162.85,163.99,160.77,161.88,142.91,3059500,0.0,0
2015-11-05,162.2,162.48,158.82,161.22,142.32,2202400,0.0,0
2015-11-06,160.87,160.87,156.84,160.46,141.65,3344000,0.0,0
2015-11-09,159.75,160.61,158.32,159.63,140.92,2722200,0.0,0
2015-11-10,160.25,161.17,158.05,158.37,139.81,2871300,0.0,0
2015-11-11,159.26,159.57,156.76,156.86,138.47,1920400,0.0,0
2015-11-12,155.94,157.7,150.82,150.98,133.96,4767200,0.79,0
2015-11-13,150.68,153.52,148.0,151.55,134.46,3855000,0.0,0
2015-11-16,152.02,154.78,151.1,154.5,137.08,2443200,0.0,0
2015-11-17,154.91,159.13,153.7,157.6,139.83,3644300,0.0,0
2015-11-18,158.11,161.12,156.35,160.92,142.78,2975800,0.0,0
2015-11-19,159.89,161.52,158.83,159.49,141.51,2041000,0.0,0
2015-11-20,160.74,161.34,159.55,159.91,141.88,2728000,0.0,0
2015-11-23,159.63,163.13,159.63,162.47,144.15,4168400,0.0,0
2015-11-24,161.01,163.34,161.0,162.78,144.43,3687000,0.0,0
2015-11-25,163.05,164.59,162.71,163.95,145.47,2134200,0.0,0
2015-11-27,164.76,165.0,163.14,163.52,145.08,1052400,0.0,0
2015-11-30,163.49,164.0,160.36,161.1,142.94,2982600,0.0,0
2015-12-01,162.71,163.43,160.52,161.98,143.72,2429000,0.0,0
2015-12-02,161.62,162.39,160.1,160.52,142.42,2871600,0.0,0
2015-12-03,160.27,160.52,153.71,154.65,137.21,4468600,0.0,0
2015-12-04,154.96,161.95,154.95,161.43,143.23,3920900,0.0,0
2015-12-07,162.91,162.97,157.54,158.3,140.45,3566700,0.0,0
2015-12-08,156.61,160.67,156.04,159.35,141.38,2249200,0.0,0
2015-12-09,158.35,159.81,156.12,157.89,140.09,2995600,0.0,0
2015-12-10,158.97,160.85,157.0,159.67,141.67,2814000,0.0,0
2015-12-11,157.82,158.78,154.79,155.15,137.66,3005700,0.0,0
2015-12-14,155.98,158.34,153.43,158.11,140.28,2780600,0.0,0
2015-12-15,161.65,164.45,161.56,162.62,144.29,5365600,0.0,0
2015-12-16,164.31,165.23,162.1,164.58,146.02,3923600,0.0,0
2015-12-17,164.58,164.99,159.81,161.43,143.23,3699400,0.0,0
2015-12-18,160.5,161.82,158.62,158.8,140.9,6227000,0.0,0
2015-12-21,159.88,160.38,157.38,159.28,141.32,3818900,0.0,0
2015-12-22,160.5,163.37,160.04,162.3,144.0,3125500,0.0,0
2015-12-23,163.03,163.5,161.65,162.72,144.37,2202100,0.0,0
2015-12-24,163.7,164.36,162.22,163.55,145.11,943000,0.0,0
2015-12-28,162.91,163.13,160.6,161.73,143.5,1513000,0.0,0
2015-12-29,162.92,164.96,162.05,164.44,145.9,2171100,0.0,0
2015-12-30,164.63,164.75,162.91,163.29,144.88,1493000,0.0,0
2015-12-31,162.15,164.11,162.05,162.33,144.03,1775900,0.0,0
2016-01-04,159.0,159.22,156.09,158.34,140.49,5083200,0.0,0
2016-01-05,159.0,160.21,157.25,158.17,140.34,2678900,0.0,0
2016-01-06,155.01,157.93,154.9,156.72,139.05,3826900,0.0,0
2016-01-07,153.06,156.45,152.89,152.98,135.73,4162500,0.0,0
2016-01-08,153.12,154.86,150.46,150.71,133.72,4179600,0.0,0
2016-01-11,151.33,151.59,144.17,147.69,131.04,4747400,0.0,0
2016-01-12,148.43,151.24,146.92,150.79,133.79,4410600,0.0,0
2016-01-13,151.14,152.83,145.28,145.46,129.06,3982100,0.0,0
2016-01-14,146.02,155.3,144.57,153.16,135.89,5649000,0.0,0
2016-01-15,147.69,152.3,147.69,151.3,134.24,6213000,0.0,0
2016-01-19,153.45,154.62,148.23,151.3,134.24,4382200,0.0,0
