Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,33.51,33.54,32.93,33.03,30.33,1354000,0.0,0.0
2015-04-28,33.12,33.12,32.42,32.5,30.01,1670200,0.19,0.0
2015-04-29,32.37,32.43,32.01,32.13,29.67,1235600,0.0,0.0
2015-04-30,32.01,32.37,31.81,31.95,29.5,2033600,0.0,0.0
2015-05-01,32.12,32.88,32.1,32.78,30.27,1097400,0.0,0.0
2015-05-04,32.76,33.12,32.69,33.01,30.49,847000,0.0,0.0
2015-05-05,33.02,33.4,32.76,32.86,30.34,939200,0.0,0.0
2015-05-06,32.94,33.1,32.6,33.01,30.48,935600,0.0,0.0
2015-05-07,33.03,33.74,32.87,33.54,30.97,1836200,0.0,0.0
2015-05-08,33.9,34.22,33.76,34.08,31.47,1519200,0.0,0.0
2015-05-11,34.04,34.23,33.9,34.09,31.48,830800,0.0,0.0
2015-05-12,33.81,34.25,33.6,34.11,31.5,532400,0.0,0.0
2015-05-13,34.1,34.67,34.1,34.49,31.85,1125200,0.0,0.0
2015-05-14,34.74,34.99,34.49,34.74,32.09,856200,0.0,0.0
2015-05-15,34.65,34.91,34.56,34.88,32.21,1029600,0.0,0.0
2015-05-18,34.71,35.06,34.67,34.92,32.25,703000,0.0,0.0
2015-05-19,34.99,35.12,34.85,35.06,32.38,819400,0.0,0.0
2015-05-20,35.13,35.13,34.88,34.99,32.32,640800,0.0,0.0
2015-05-21,34.9,35.04,34.71,34.85,32.19,1012200,0.0,0.0
2015-05-22,34.97,35.36,34.78,35.15,32.46,1533800,0.0,0.0
2015-05-26,35.13,35.31,34.8,35.15,32.45,930400,0.0,0.0
2015-05-27,35.24,35.75,35.14,35.69,32.95,1002800,0.0,0.0
2015-05-28,35.74,35.88,35.43,35.81,33.06,824600,0.0,0.0
2015-05-29,35.73,35.88,35.46,35.69,32.96,673800,0.0,0.0
2015-06-01,35.85,36.13,35.49,35.91,33.16,682400,0.0,0.0
2015-06-02,35.88,35.99,35.48,35.59,32.87,703200,0.0,0.0
2015-06-03,35.71,36.33,35.46,36.15,33.38,721000,0.0,0.0
2015-06-04,35.99,36.06,35.6,35.73,32.99,374600,0.0,0.0
2015-06-05,35.74,35.83,35.43,35.74,33.0,624400,0.0,0.0
2015-06-08,35.71,35.89,35.15,35.26,32.57,1327800,0.0,0.0
2015-06-09,35.29,35.38,35.03,35.22,32.53,837600,0.0,0.0
2015-06-10,35.3,35.67,35.12,35.52,32.8,1101800,0.0,0.0
2015-06-11,35.58,36.48,35.51,36.47,33.68,1295800,0.0,0.0
2015-06-12,36.45,36.75,36.28,36.6,33.79,1006800,0.0,0.0
2015-06-15,36.28,36.42,36.01,36.39,33.6,916000,0.0,0.0
2015-06-16,36.32,36.71,36.16,36.62,33.81,695600,0.0,0.0
2015-06-17,36.6,36.85,36.49,36.68,33.87,653200,0.0,0.0
2015-06-18,36.83,37.12,36.72,36.83,34.02,1239200,0.0,0.0
2015-06-19,36.79,36.97,36.63,36.83,34.01,1437600,0.0,0.0
2015-06-22,37.1,37.13,36.85,36.97,34.14,958400,0.0,0.0
2015-06-23,37.16,37.2,36.81,36.98,34.15,807400,0.0,0.0
2015-06-24,36.92,37.1,36.47,36.54,33.75,482000,0.0,0.0
2015-06-25,36.71,36.87,36.42,36.62,33.81,607000,0.0,0.0
2015-06-26,36.71,36.84,36.38,36.71,33.9,1793800,0.0,0.0
2015-06-29,36.29,36.52,35.77,35.79,33.05,831600,0.0,0.0
2015-06-30,36.19,36.36,35.94,35.99,33.23,1122600,0.0,0.0
2015-07-01,36.34,36.85,36.21,36.69,33.88,1030800,0.0,0.0
2015-07-02,36.88,36.95,36.19,36.38,33.59,642000,0.0,0.0
2015-07-06,36.09,36.54,36.01,36.25,33.47,661600,0.0,0.0
2015-07-07,36.35,36.35,34.84,35.17,32.47,2500800,0.0,0.0
