Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,66.95,67.32,66.45,66.72,59.11,2544700,0.0,0
2015-04-28,66.69,67.3,66.21,66.79,59.17,2272900,0.0,0
2015-04-29,66.73,68.8,66.63,68.56,60.74,5288000,0.0,0
2015-04-30,68.91,69.24,67.25,68.4,60.6,2921300,0.0,0
2015-05-01,68.44,68.88,67.12,68.48,60.67,2764800,0.0,0
2015-05-04,68.5,69.17,67.87,68.55,60.73,3206400,0.0,0
2015-05-05,69.26,70.14,67.48,67.94,60.19,6024900,0.0,0
2015-05-06,68.4,69.13,66.86,67.34,59.66,4411600,0.0,0
2015-05-07,66.2,66.22,64.15,65.08,57.66,4798600,0.0,0
2015-05-08,65.74,65.86,64.07,65.54,58.06,3391100,0.0,0
2015-05-11,65.45,65.45,63.12,63.13,55.93,4614800,0.0,0
2015-05-12,63.49,64.11,63.26,63.64,56.38,3657500,0.0,0
2015-05-13,64.18,64.29,62.26,62.7,55.55,3599400,0.0,0
2015-05-14,62.93,63.55,62.42,62.63,55.49,2777700,0.0,0
2015-05-15,62.34,63.91,62.1,63.42,56.19,3334400,0.0,0
2015-05-18,63.28,63.9,62.9,63.78,56.51,2398600,0.0,0
2015-05-19,63.08,63.32,62.03,62.17,55.08,2475100,0.0,0
2015-05-20,62.45,62.5,61.2,61.61,54.58,2678100,0.0,0
2015-05-21,62.08,62.62,61.61,62.17,55.08,2890500,0.0,0
2015-05-22,61.61,62.98,61.5,62.53,55.4,2537300,0.0,0
2015-05-26,61.63,61.93,60.82,61.41,54.41,2742300,0.0,0
2015-05-27,61.29,61.85,59.78,60.77,53.84,3257600,0.0,0
2015-05-28,60.53,60.71,58.83,59.79,52.97,4110800,0.0,0
2015-05-29,60.2,60.55,59.7,59.84,53.01,4057800,0.0,0
2015-06-01,59.89,60.03,58.68,58.87,52.16,4232600,0.0,0
2015-06-02,59.5,59.91,58.67,59.6,52.8,3734400,0.0,0
2015-06-03,59.35,60.01,58.82,58.95,52.23,2292600,0.0,0
2015-06-04,58.56,58.75,58.01,58.25,51.61,3108700,0.0,0
2015-06-05,57.92,59.67,57.83,59.35,52.58,3539700,0.0,0
2015-06-08,59.01,59.4,57.73,58.21,51.57,2857700,0.0,0
2015-06-09,58.95,59.4,58.56,58.57,51.89,3578200,0.0,0
2015-06-10,59.51,59.61,58.59,58.96,52.24,3907100,0.0,0
2015-06-11,58.91,59.13,57.72,58.15,51.52,2996900,0.0,0
2015-06-12,57.8,58.27,57.49,58.18,51.54,3502000,0.0,0
2015-06-15,57.56,59.03,57.41,57.97,51.36,2773800,0.0,0
