Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,69.84,70.39,69.23,69.34,64.57,1855300,0.0,0.0
2015-04-28,69.19,69.59,68.64,69.3,64.54,1879500,0.0,0.0
2015-04-29,69.21,69.45,68.41,68.68,63.96,1775800,0.0,0.0
2015-04-30,67.96,69.94,67.96,69.57,64.79,3901500,0.0,0.0
2015-05-01,70.32,70.78,69.95,70.7,65.84,2857900,0.0,0.0
2015-05-04,70.76,72.37,70.76,72.12,67.17,2587100,0.0,0.0
2015-05-05,72.34,72.52,70.5,70.52,65.67,2776700,0.0,0.0
2015-05-06,70.69,70.85,70.06,70.83,65.96,2375800,0.0,0.0
2015-05-07,70.75,70.99,70.08,70.28,65.46,1458800,0.0,0.0
2015-05-08,71.03,72.0,70.87,71.53,66.61,1269500,0.0,0.0
2015-05-11,71.42,71.99,71.11,71.11,66.46,1907300,0.25,0.0
2015-05-12,70.84,72.01,70.37,71.77,67.07,1742000,0.0,0.0
2015-05-13,71.83,72.51,71.46,71.55,66.87,1303800,0.0,0.0
2015-05-14,72.02,72.57,71.62,72.55,67.8,1574600,0.0,0.0
2015-05-15,72.53,73.14,72.31,73.13,68.35,1897800,0.0,0.0
2015-05-18,73.13,73.34,72.72,73.09,68.31,1310700,0.0,0.0
2015-05-19,73.18,73.81,72.98,73.08,68.3,1808100,0.0,0.0
2015-05-20,72.97,73.34,72.53,72.8,68.04,1896900,0.0,0.0
2015-05-21,73.0,73.8,72.68,73.17,68.38,1925900,0.0,0.0
2015-05-22,73.03,73.83,72.64,72.94,68.17,1785400,0.0,0.0
2015-05-26,72.35,72.91,71.99,72.24,67.51,1748300,0.0,0.0
2015-05-27,72.66,73.27,72.31,73.07,68.29,1741500,0.0,0.0
2015-05-28,72.92,73.56,72.71,73.43,68.62,1849300,0.0,0.0
2015-05-29,73.79,73.79,72.87,72.91,68.14,1963400,0.0,0.0
2015-06-01,73.17,73.17,72.21,72.78,68.02,1993900,0.0,0.0
2015-06-02,72.41,73.71,72.31,73.34,68.54,1762700,0.0,0.0
2015-06-03,73.72,74.38,73.29,74.06,69.21,1573500,0.0,0.0
2015-06-04,73.74,73.82,72.77,72.96,68.18,1893800,0.0,0.0
2015-06-05,73.17,73.46,72.86,73.19,68.4,2507500,0.0,0.0
2015-06-08,72.99,73.54,72.75,72.79,68.03,1724800,0.0,0.0
2015-06-09,73.06,73.41,72.3,72.56,67.82,1676700,0.0,0.0
2015-06-10,72.81,74.14,72.64,74.02,69.17,1554800,0.0,0.0
2015-06-11,74.32,74.33,73.45,73.56,68.75,1691700,0.0,0.0
2015-06-12,73.51,73.76,73.11,73.4,68.6,1546900,0.0,0.0
2015-06-15,73.23,73.72,72.77,73.19,68.4,2036500,0.0,0.0
2015-06-16,73.4,73.77,72.77,73.49,68.68,1829100,0.0,0.0
2015-06-17,73.65,74.69,73.62,74.47,69.59,2293100,0.0,0.0
2015-06-18,74.59,75.21,73.81,74.64,69.76,2016200,0.0,0.0
2015-06-19,74.41,75.34,74.16,74.74,69.85,7220300,0.0,0.0
2015-06-22,75.92,75.92,74.36,74.46,69.59,2375900,0.0,0.0
2015-06-23,74.87,74.87,73.9,74.22,69.36,3816700,0.0,0.0
2015-06-24,74.15,74.42,73.11,73.7,68.87,3239800,0.0,0.0
2015-06-25,74.38,75.13,73.93,74.38,69.52,2296100,0.0,0.0
2015-06-26,74.38,74.48,73.68,74.27,69.41,14590300,0.0,0.0
2015-06-29,73.1,73.62,70.53,70.85,66.22,4486300,0.0,0.0
2015-06-30,71.27,71.68,70.64,71.32,66.66,3695700,0.0,0.0
2015-07-01,71.65,72.14,71.47,72.09,67.37,2190200,0.0,0.0
2015-07-02,72.15,72.35,71.4,72.08,67.36,2398500,0.0,0.0
2015-07-06,71.37,72.18,70.63,71.09,66.44,2979000,0.0,0.0
2015-07-07,71.17,71.17,69.0,70.44,65.83,3917200,0.0,0.0
2015-07-08,68.99,69.09,65.45,65.57,61.28,7352400,0.0,0.0
2015-07-09,68.47,68.47,65.21,65.33,61.06,4989800,0.0,0.0
2015-07-10,66.43,66.69,66.05,66.39,62.04,4891700,0.0,0.0
2015-07-13,67.08,67.59,66.52,67.05,62.66,3296100,0.0,0.0
2015-07-14,66.92,67.44,66.86,67.24,62.84,2204300,0.0,0.0
2015-07-15,67.26,67.66,66.99,67.66,63.23,2438400,0.0,0.0
2015-07-16,67.23,67.28,64.34,64.38,60.16,5741400,0.0,0.0
2015-07-17,64.42,65.39,63.64,65.33,61.06,3843400,0.0,0.0
2015-07-20,65.1,65.58,64.52,65.44,61.16,4421800,0.0,0.0
2015-07-21,65.39,65.78,65.16,65.7,61.4,2760400,0.0,0.0
2015-07-22,65.51,65.69,64.74,64.96,60.71,2085800,0.0,0.0
