Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,94.48,94.89,93.5,93.61,80.43,306400,0.0,0
2015-04-28,93.4,94.63,92.95,93.96,80.74,342300,0.0,0
2015-04-29,92.91,93.33,91.84,92.05,79.09,377000,0.0,0
2015-04-30,92.5,92.56,91.08,92.38,79.38,646400,0.0,0
2015-05-01,92.45,93.65,92.42,93.38,80.24,507500,0.0,0
2015-05-04,93.69,94.2,93.04,93.29,80.16,407300,0.0,0
2015-05-05,93.02,93.85,90.51,90.93,78.13,416500,0.0,0
2015-05-06,90.94,91.84,89.61,90.51,77.77,471400,0.0,0
2015-05-07,90.51,92.1,90.1,91.96,79.02,431100,0.0,0
2015-05-08,93.18,94.8,93.06,93.66,80.48,330800,0.0,0
2015-05-11,93.34,93.65,91.28,91.5,78.62,248200,0.0,0
2015-05-12,91.12,92.73,90.32,92.64,79.6,322600,0.0,0
2015-05-13,92.65,93.26,91.22,91.4,78.54,467200,0.0,0
2015-05-14,91.69,93.34,91.42,93.31,80.18,323000,0.0,0
2015-05-15,93.64,94.46,93.06,94.31,81.04,201000,0.0,0
2015-05-18,93.62,94.71,93.39,94.53,81.23,271500,0.0,0
2015-05-19,94.29,94.96,93.78,94.53,81.23,196300,0.0,0
2015-05-20,94.58,95.27,94.08,94.63,81.31,204900,0.0,0
2015-05-21,94.55,95.12,93.4,93.74,80.55,180000,0.0,0
2015-05-22,93.38,94.33,92.97,93.48,80.32,274800,0.0,0
2015-05-26,93.19,93.37,92.45,93.33,80.19,214700,0.0,0
2015-05-27,93.36,94.7,93.36,94.48,81.18,225500,0.0,0
2015-05-28,94.48,94.78,93.8,94.43,81.14,369600,0.0,0
2015-05-29,94.43,94.6,92.5,92.73,79.68,630500,0.0,0
2015-06-01,92.94,94.32,92.61,93.6,80.43,403600,0.0,0
2015-06-02,93.28,93.41,92.22,92.92,79.84,290800,0.0,0
2015-06-03,92.68,92.68,91.43,91.48,78.6,259900,0.0,0
2015-06-04,91.37,92.08,90.96,91.63,78.73,319400,0.0,0
2015-06-05,90.4,90.83,89.79,89.98,77.32,522500,0.0,0
2015-06-08,90.07,90.92,89.06,90.62,77.87,394700,0.0,0
2015-06-09,90.49,90.81,89.79,89.9,77.25,214100,0.0,0
2015-06-10,89.93,91.31,89.56,90.29,77.58,300500,0.0,0
2015-06-11,90.86,92.52,90.5,91.9,78.97,383500,0.0,0
2015-06-12,91.57,92.35,90.02,91.21,78.37,216900,0.0,0
2015-06-15,91.16,91.44,90.61,91.22,78.38,308800,0.0,0
2015-06-16,91.2,92.22,90.91,91.83,78.91,386700,0.0,0
2015-06-17,92.11,92.8,91.32,92.7,79.65,313600,0.0,0
2015-06-18,92.71,94.06,92.37,93.3,80.17,397100,0.0,0
2015-06-19,93.02,93.55,92.39,93.23,80.11,387200,0.0,0
2015-06-22,93.32,93.83,92.37,92.5,79.48,179200,0.0,0
2015-06-23,92.33,93.46,91.37,91.62,78.72,303000,0.0,0
2015-06-24,91.57,91.77,90.17,90.19,77.5,260000,0.0,0
2015-06-25,90.0,90.56,88.83,88.92,76.4,414500,0.0,0
2015-06-26,89.09,89.13,88.2,88.67,76.86,404600,0.77,0
2015-06-29,88.25,89.53,87.34,87.34,75.7,410500,0.0,0
2015-06-30,87.84,88.4,86.84,87.46,75.81,384200,0.0,0
2015-07-01,87.93,88.94,86.78,88.9,77.05,459400,0.0,0
2015-07-02,89.94,90.46,88.61,88.86,77.02,271200,0.0,0
2015-07-06,88.81,90.28,88.73,89.74,77.78,353700,0.0,0
2015-07-07,90.06,91.67,89.91,91.01,78.88,444100,0.0,0
2015-07-08,90.4,91.24,90.35,90.98,78.86,357600,0.0,0
2015-07-09,91.16,91.3,90.08,90.08,78.08,259800,0.0,0
2015-07-10,90.2,91.27,90.19,90.65,78.57,237400,0.0,0
2015-07-13,90.79,92.46,90.41,90.86,78.75,251800,0.0,0
2015-07-14,91.03,91.6,90.25,91.28,79.12,180500,0.0,0
2015-07-15,90.99,91.81,90.61,91.48,79.29,213800,0.0,0
2015-07-16,91.64,92.6,91.64,92.41,80.1,255900,0.0,0
2015-07-17,92.58,92.82,91.74,91.82,79.59,344500,0.0,0
2015-07-20,91.75,92.48,91.47,92.03,79.77,139900,0.0,0
2015-07-21,92.08,92.64,91.68,92.16,79.88,405600,0.0,0
2015-07-22,92.08,93.32,92.08,93.12,80.71,334200,0.0,0
2015-07-23,93.39,93.39,91.37,91.87,79.63,257100,0.0,0
2015-07-24,91.75,93.01,91.6,92.51,80.18,315200,0.0,0
2015-07-27,92.81,93.38,92.33,92.64,80.3,276400,0.0,0
2015-07-28,91.51,93.5,91.0,92.64,80.3,328700,0.0,0
2015-07-29,92.64,93.77,91.91,93.59,81.12,367700,0.0,0
2015-07-30,93.43,93.8,92.23,92.6,80.26,326000,0.0,0
2015-07-31,93.34,93.97,92.62,92.71,80.36,357400,0.0,0
2015-08-03,92.87,94.21,92.87,94.19,81.64,264200,0.0,0
2015-08-04,93.59,94.43,93.13,93.36,80.92,208400,0.0,0
2015-08-05,93.54,94.13,91.98,92.55,80.22,291300,0.0,0
2015-08-06,92.55,92.81,90.83,92.22,79.93,265100,0.0,0
2015-08-07,92.22,92.7,91.45,92.61,80.27,221200,0.0,0
2015-08-10,92.88,92.99,91.73,92.16,79.88,187300,0.0,0
2015-08-11,92.03,93.54,91.32,92.44,80.12,249700,0.0,0
2015-08-12,92.19,92.33,91.04,92.2,79.92,228000,0.0,0
2015-08-13,91.66,92.81,90.79,92.27,79.98,231400,0.0,0
2015-08-14,91.95,93.86,91.53,93.76,81.27,311400,0.0,0
2015-08-17,93.76,94.8,93.29,94.79,82.16,380000,0.0,0
2015-08-18,94.45,95.13,94.06,94.87,82.23,121600,0.0,0
2015-08-19,94.1,95.05,93.76,94.56,81.96,155600,0.0,0
2015-08-20,94.34,95.21,93.34,94.46,81.87,349500,0.0,0
2015-08-21,93.87,94.11,92.22,92.23,79.94,379600,0.0,0
2015-08-24,89.91,90.34,88.12,88.18,76.43,650900,0.0,0
2015-08-25,89.97,90.4,85.57,85.87,74.43,606900,0.0,0
2015-08-26,87.44,87.88,85.83,87.55,75.88,373500,0.0,0
2015-08-27,88.5,89.08,87.09,88.28,76.52,454500,0.0,0
2015-08-28,88.38,88.93,87.52,88.44,76.66,273000,0.0,0
2015-08-31,88.4,88.61,85.86,85.99,74.53,763600,0.0,0
2015-09-01,84.82,85.5,83.71,84.24,73.02,396500,0.0,0
2015-09-02,84.85,85.45,84.33,85.34,73.97,254900,0.0,0
2015-09-03,85.59,86.4,85.07,85.4,74.02,156600,0.0,0
2015-09-04,84.62,84.62,82.91,83.4,72.29,179400,0.0,0
2015-09-08,84.52,85.06,83.41,84.45,73.2,402800,0.0,0
2015-09-09,85.31,85.31,83.93,84.22,73.0,366100,0.0,0
2015-09-10,84.05,85.29,83.83,84.38,73.14,356500,0.0,0
2015-09-11,84.33,86.26,84.0,86.23,74.74,351300,0.0,0
2015-09-14,86.53,86.67,85.72,86.58,75.04,225200,0.0,0
2015-09-15,86.67,87.74,86.02,87.66,75.98,247800,0.0,0
2015-09-16,87.53,89.17,87.53,88.79,76.96,263600,0.0,0
2015-09-17,88.88,90.83,87.91,89.55,77.62,265100,0.0,0
2015-09-18,88.68,90.23,88.48,88.92,77.07,504500,0.0,0
2015-09-21,88.86,90.24,88.86,89.35,77.44,357000,0.0,0
2015-09-22,88.71,89.3,87.26,87.31,75.68,401000,0.0,0
2015-09-23,87.76,90.21,87.71,89.55,77.62,853700,0.0,0
2015-09-24,89.44,89.9,88.14,88.74,76.92,379600,0.0,0
2015-09-25,88.48,89.78,87.81,87.91,76.2,414000,0.0,0
2015-09-28,87.06,87.97,84.69,85.45,74.72,421200,0.77,0
2015-09-29,85.46,86.04,84.77,85.62,74.87,653400,0.0,0
2015-09-30,86.06,86.28,84.23,84.67,74.04,716500,0.0,0
2015-10-01,84.99,85.2,83.95,84.49,73.88,652700,0.0,0
2015-10-02,84.2,85.66,83.92,85.66,74.9,455100,0.0,0
2015-10-05,86.29,87.75,84.12,87.66,76.65,292000,0.0,0
2015-10-06,87.48,88.11,87.07,87.63,76.63,298600,0.0,0
2015-10-07,87.59,88.75,87.59,88.38,77.28,471300,0.0,0
2015-10-08,89.59,91.26,89.25,90.73,79.34,931100,0.0,0
2015-10-09,90.89,91.78,89.4,89.94,78.65,359100,0.0,0
2015-10-12,90.17,90.83,90.12,90.4,79.05,440000,0.0,0
2015-10-13,91.25,92.32,90.33,92.25,80.66,789500,0.0,0
2015-10-14,92.48,92.88,91.8,91.95,80.4,987100,0.0,0
2015-10-15,91.94,94.19,91.87,92.43,80.82,450800,0.0,0
2015-10-16,92.43,93.36,92.06,93.04,81.36,496600,0.0,0
2015-10-19,93.06,94.48,92.5,94.41,82.55,376400,0.0,0
2015-10-20,94.38,96.86,93.99,94.36,82.51,263100,0.0,0
2015-10-21,94.97,95.37,93.51,93.99,82.19,511400,0.0,0
2015-10-22,94.43,95.03,90.64,90.65,79.27,1167500,0.0,0
2015-10-23,90.32,91.08,89.88,90.4,79.05,961500,0.0,0
2015-10-26,90.66,90.87,88.96,89.19,77.99,689000,0.0,0
2015-10-27,89.19,89.78,88.86,89.53,78.29,626000,0.0,0
2015-10-28,89.82,90.46,88.24,90.42,79.06,521100,0.0,0
2015-10-29,90.42,92.05,89.68,90.31,78.97,402700,0.0,0
2015-10-30,90.37,90.91,89.48,89.74,78.47,467300,0.0,0
2015-11-02,89.59,91.49,89.23,91.41,79.93,377800,0.0,0
2015-11-03,90.44,91.39,88.7,91.24,79.78,590100,0.0,0
2015-11-04,91.12,91.61,90.53,91.16,79.71,461700,0.0,0
2015-11-05,91.51,93.01,90.93,92.69,81.05,577500,0.0,0
2015-11-06,91.59,91.78,88.7,89.39,78.16,607500,0.0,0
2015-11-09,88.44,88.44,87.08,87.6,76.6,398100,0.0,0
2015-11-10,87.5,88.88,87.25,88.81,77.66,268700,0.0,0
2015-11-11,89.17,89.64,88.62,89.11,77.92,239700,0.0,0
2015-11-12,88.92,89.84,88.36,88.75,77.6,377600,0.0,0
2015-11-13,88.93,89.01,87.31,87.49,76.5,348800,0.0,0
