Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,171.9,173.12,171.37,171.55,146.57,873200,0.0,0
2015-04-28,171.48,172.76,169.25,171.19,146.26,873000,0.0,0
2015-04-29,169.72,171.13,166.32,167.75,143.32,953100,0.0,0
2015-04-30,166.92,168.4,163.44,164.34,140.41,1274400,0.0,0
2015-05-01,165.42,168.46,165.09,167.63,143.22,760100,0.0,0
2015-05-04,168.66,170.61,168.27,168.96,144.35,840300,0.0,0
2015-05-05,168.41,168.48,163.35,163.7,139.86,760000,0.0,0
2015-05-06,163.81,165.19,162.78,163.43,139.63,836200,0.0,0
2015-05-07,163.73,167.35,163.73,165.98,141.81,687500,0.0,0
2015-05-08,169.04,170.4,167.97,168.51,143.97,598900,0.0,0
2015-05-11,167.65,168.58,164.31,164.57,140.6,508500,0.0,0
2015-05-12,163.53,166.68,162.42,165.25,141.18,699500,0.0,0
2015-05-13,165.71,167.6,163.46,164.09,140.19,739500,0.0,0
2015-05-14,164.75,167.28,164.1,167.19,142.84,512500,0.0,0
2015-05-15,167.79,169.25,167.23,168.45,143.92,567500,0.0,0
2015-05-18,167.85,169.03,167.27,167.84,143.4,731400,0.0,0
2015-05-19,167.28,168.6,166.44,167.62,143.21,317000,0.0,0
2015-05-20,168.02,168.62,166.97,167.46,143.07,559600,0.0,0
2015-05-21,167.46,167.95,165.24,165.6,141.48,575600,0.0,0
2015-05-22,165.73,167.26,164.71,166.24,142.03,392800,0.0,0
2015-05-26,165.94,166.08,164.14,164.83,140.82,615000,0.0,0
2015-05-27,165.55,167.89,165.12,167.44,143.05,449000,0.0,0
2015-05-28,167.43,168.19,167.03,167.78,143.34,436100,0.0,0
2015-05-29,168.09,168.73,165.52,166.5,142.25,1556100,0.0,0
2015-06-01,166.8,168.63,165.95,168.29,143.78,673700,0.0,0
2015-06-02,167.61,167.88,165.03,165.35,141.27,482500,0.0,0
2015-06-03,165.25,165.32,160.91,161.4,137.89,728000,0.0,0
