Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,52.05,52.31,51.87,51.96,46.87,754800,0.0,0
2015-04-28,51.93,52.11,51.44,51.84,46.76,667500,0.0,0
2015-04-29,55.0,55.98,54.51,54.61,49.26,2607500,0.0,0
2015-04-30,54.51,56.84,54.51,55.59,50.14,1710300,0.0,0
2015-05-01,55.52,56.21,55.46,56.16,50.66,1104000,0.0,0
2015-05-04,56.3,56.91,56.06,56.64,51.09,637800,0.0,0
2015-05-05,57.44,57.54,56.42,56.87,51.3,1260400,0.0,0
2015-05-06,57.08,57.79,56.92,57.72,52.07,1258600,0.0,0
2015-05-07,57.65,58.0,57.42,57.7,52.05,759200,0.0,0
2015-05-08,58.11,58.49,57.94,58.2,52.5,682200,0.0,0
2015-05-11,58.2,58.98,58.17,58.31,52.6,1153900,0.0,0
2015-05-12,58.23,58.45,57.99,58.26,52.55,924400,0.0,0
2015-05-13,58.85,59.9,58.5,59.83,53.97,2301200,0.0,0
2015-05-14,59.96,60.62,59.78,60.51,54.58,1290800,0.0,0
2015-05-15,60.39,60.58,59.86,60.52,54.59,1128400,0.0,0
2015-05-18,60.4,60.49,60.05,60.21,54.31,1070200,0.0,0
2015-05-19,60.3,61.02,60.03,61.0,55.02,768900,0.0,0
2015-05-20,61.0,61.21,60.68,61.03,55.05,728800,0.0,0
2015-05-21,60.99,62.13,60.8,61.96,55.89,1456600,0.0,0
2015-05-22,61.87,62.78,61.53,62.58,56.45,1229700,0.0,0
2015-05-26,62.4,62.42,61.75,62.08,56.0,854000,0.0,0
2015-05-27,62.04,63.42,62.04,63.18,56.99,1084300,0.0,0
2015-05-28,63.2,63.35,62.7,62.81,56.66,882800,0.0,0
2015-05-29,62.63,62.84,61.76,61.91,55.84,927000,0.0,0
2015-06-01,61.97,62.12,61.11,61.88,56.15,1077900,0.37,0
2015-06-02,61.61,61.66,60.64,60.77,55.15,1008700,0.0,0
2015-06-03,60.75,61.14,60.64,61.14,55.48,955200,0.0,0
2015-06-04,60.6,60.79,59.68,60.56,54.96,493700,0.0,0
2015-06-05,60.56,61.11,60.17,60.8,55.17,728700,0.0,0
2015-06-08,60.82,60.97,60.61,60.69,55.07,659800,0.0,0
2015-06-09,60.81,61.37,60.6,61.23,55.56,692700,0.0,0
2015-06-10,61.36,62.29,61.34,62.05,56.31,1042700,0.0,0
2015-06-11,61.95,62.77,61.9,62.17,56.42,1141900,0.0,0
2015-06-12,61.99,62.73,61.96,62.09,56.34,738600,0.0,0
2015-06-15,61.73,61.75,60.98,61.07,55.42,949700,0.0,0
2015-06-16,61.19,61.81,60.98,61.8,56.08,542500,0.0,0
2015-06-17,61.79,62.64,61.69,62.45,56.67,567800,0.0,0
2015-06-18,62.59,63.15,62.2,62.62,56.82,1107600,0.0,0
2015-06-19,62.57,62.71,62.2,62.23,56.47,1258200,0.0,0
2015-06-22,62.45,62.5,61.87,62.36,56.59,1131900,0.0,0
2015-06-23,62.51,62.84,61.93,62.15,56.4,1098300,0.0,0
2015-06-24,62.18,62.26,61.56,61.65,55.94,454800,0.0,0
2015-06-25,61.88,61.88,61.34,61.4,55.72,470300,0.0,0
2015-06-26,61.6,62.23,61.38,62.2,56.44,1853000,0.0,0
2015-06-29,61.7,61.89,60.97,61.02,55.37,557500,0.0,0
2015-06-30,61.54,61.6,60.9,60.94,55.3,712000,0.0,0
2015-07-01,61.38,62.46,61.15,62.21,56.45,941000,0.0,0
2015-07-02,62.39,62.6,61.83,62.17,56.42,481000,0.0,0
2015-07-06,61.5,62.25,61.32,61.58,55.88,821400,0.0,0
2015-07-07,61.57,61.96,61.0,61.95,56.22,851200,0.0,0
2015-07-08,61.45,61.71,60.67,60.69,55.07,570400,0.0,0
2015-07-09,61.4,61.41,60.61,60.63,55.02,559900,0.0,0
2015-07-10,61.3,61.72,61.21,61.6,55.9,389300,0.0,0
2015-07-13,62.12,62.54,62.04,62.38,56.61,528100,0.0,0
2015-07-14,62.32,63.28,62.32,63.07,57.23,734500,0.0,0
2015-07-15,63.19,63.96,63.04,63.52,57.64,970300,0.0,0
2015-07-16,63.74,64.04,62.85,62.96,57.13,872700,0.0,0
2015-07-17,62.96,62.96,61.36,61.82,56.1,1053100,0.0,0
2015-07-20,61.84,62.35,61.8,62.03,56.29,621000,0.0,0
2015-07-21,62.1,62.21,61.36,61.56,55.86,495100,0.0,0
2015-07-22,61.49,62.02,61.35,61.9,56.17,656000,0.0,0
2015-07-23,61.98,62.16,61.1,61.22,55.55,559200,0.0,0
2015-07-24,61.08,61.43,59.93,60.11,54.55,506200,0.0,0
2015-07-27,59.74,60.01,59.38,59.79,54.26,447400,0.0,0
2015-07-28,60.0,61.26,59.81,61.13,55.47,1089800,0.0,0
2015-07-29,61.51,63.94,59.88,60.86,55.23,1496200,0.0,0
2015-07-30,60.5,61.83,60.34,61.6,55.9,649300,0.0,0
2015-07-31,61.96,62.22,60.54,60.85,55.22,724900,0.0,0
2015-08-03,61.0,61.0,59.86,60.54,54.94,1008500,0.0,0
2015-08-04,60.59,60.98,60.22,60.31,54.73,818000,0.0,0
2015-08-05,60.98,61.95,60.73,61.37,55.69,816200,0.0,0
2015-08-06,61.47,62.31,61.26,61.87,56.14,777000,0.0,0
2015-08-07,61.95,63.07,61.49,63.04,57.21,830700,0.0,0
2015-08-10,63.29,64.81,63.29,64.65,58.67,1386800,0.0,0
2015-08-11,64.16,64.37,63.82,64.29,58.34,668400,0.0,0
2015-08-12,63.56,64.01,62.8,63.68,57.79,571400,0.0,0
2015-08-13,63.57,64.02,63.07,63.69,57.8,537600,0.0,0
2015-08-14,63.65,64.29,63.48,63.97,58.05,573500,0.0,0
2015-08-17,63.61,64.76,63.41,64.49,58.52,383600,0.0,0
2015-08-18,64.23,64.43,63.68,63.78,57.88,495800,0.0,0
2015-08-19,63.22,63.84,62.95,63.53,57.65,644100,0.0,0
2015-08-20,63.09,63.19,62.0,62.0,56.26,722800,0.0,0
2015-08-21,61.62,61.98,60.25,60.25,54.67,681400,0.0,0
2015-08-24,55.11,59.52,53.56,57.23,51.93,1374500,0.0,0
2015-08-25,58.75,58.89,55.84,55.91,50.74,977000,0.0,0
2015-08-26,57.14,58.14,55.99,58.02,52.65,1039400,0.0,0
2015-08-27,58.73,59.53,58.04,59.11,53.64,682100,0.0,0
2015-08-28,58.95,59.67,58.58,59.57,54.06,929800,0.0,0
2015-08-31,59.13,59.63,57.91,58.08,53.03,681100,0.37,0
2015-09-01,57.0,57.36,55.91,56.3,51.41,975000,0.0,0
2015-09-02,56.86,57.48,56.33,57.48,52.49,657500,0.0,0
2015-09-03,57.67,58.62,57.53,58.0,52.96,845000,0.0,0
2015-09-04,57.12,58.1,57.06,57.44,52.45,758600,0.0,0
2015-09-08,58.5,59.21,58.31,59.11,53.97,623500,0.0,0
2015-09-09,59.55,59.63,58.45,58.53,53.45,838600,0.0,0
2015-09-10,58.36,59.54,58.36,58.89,53.77,710200,0.0,0
2015-09-11,58.55,58.83,58.0,58.71,53.61,380300,0.0,0
2015-09-14,58.71,59.01,58.13,58.68,53.58,530300,0.0,0
2015-09-15,58.51,59.46,58.23,59.23,54.08,684900,0.0,0
2015-09-16,58.85,60.35,58.85,60.21,54.98,783000,0.0,0
2015-09-17,60.24,61.06,59.99,60.29,55.05,701600,0.0,0
2015-09-18,59.53,60.03,59.01,59.16,54.02,844700,0.0,0
2015-09-21,59.47,59.83,58.48,58.73,53.63,581300,0.0,0
2015-09-22,57.86,58.3,57.12,57.29,52.31,926800,0.0,0
2015-09-23,57.51,57.78,56.76,57.26,52.29,775600,0.0,0
2015-09-24,56.73,56.99,55.94,56.82,51.88,869200,0.0,0
2015-09-25,57.66,57.68,55.9,56.73,51.8,680900,0.0,0
2015-09-28,56.44,56.68,55.51,55.67,50.83,797100,0.0,0
2015-09-29,55.78,56.0,55.29,55.59,50.76,540500,0.0,0
2015-09-30,56.29,56.62,55.57,56.57,51.66,997400,0.0,0
2015-10-01,56.49,58.21,56.44,58.15,53.1,1317900,0.0,0
2015-10-02,57.43,59.51,56.94,59.48,54.31,1034600,0.0,0
2015-10-05,59.83,60.37,59.04,59.34,54.18,1133500,0.0,0
2015-10-06,59.31,59.36,58.3,58.61,53.52,665300,0.0,0
2015-10-07,58.95,59.59,58.45,58.79,53.68,704800,0.0,0
2015-10-08,58.67,59.3,58.28,59.15,54.01,669700,0.0,0
2015-10-09,59.36,60.22,59.12,59.61,54.43,522400,0.0,0
2015-10-12,59.67,60.04,59.16,59.49,54.32,544300,0.0,0
2015-10-13,59.25,59.69,59.04,59.25,54.1,745300,0.0,0
2015-10-14,59.3,59.61,58.5,58.63,53.54,667900,0.0,0
2015-10-15,58.79,59.41,58.03,59.34,54.18,991100,0.0,0
2015-10-16,59.57,59.99,59.37,59.87,54.67,586400,0.0,0
2015-10-19,59.73,60.23,59.48,60.18,54.95,371300,0.0,0
2015-10-20,60.05,60.8,59.76,60.77,55.49,479800,0.0,0
2015-10-21,60.98,60.98,60.33,60.41,55.16,501900,0.0,0
2015-10-22,60.95,62.99,60.9,62.85,57.39,503100,0.0,0
2015-10-23,63.46,64.18,63.25,63.91,58.36,567300,0.0,0
2015-10-26,63.84,64.05,63.28,63.58,58.06,653900,0.0,0
2015-10-27,63.21,63.47,62.33,63.15,57.66,730800,0.0,0
2015-10-28,63.27,64.31,63.02,64.26,58.68,527200,0.0,0
