Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,55.55,55.59,54.36,54.61,49.32,891900,0.0,0
2015-04-28,54.47,55.31,54.27,55.04,49.71,737700,0.0,0
2015-04-29,54.71,55.19,54.38,55.05,49.72,780600,0.0,0
2015-04-30,54.91,55.05,54.07,54.52,49.24,1038500,0.0,0
2015-05-01,54.61,54.76,53.91,54.3,49.04,956300,0.0,0
2015-05-04,54.34,54.99,54.3,54.62,49.33,609900,0.0,0
2015-05-05,54.37,54.56,53.32,53.46,48.28,650600,0.0,0
2015-05-06,53.59,53.9,52.69,53.06,47.92,1016200,0.0,0
2015-05-07,52.94,53.46,52.55,52.99,48.16,932300,0.34,0
2015-05-08,53.36,53.59,52.84,52.98,48.16,1003400,0.0,0
2015-05-11,53.04,53.26,52.46,52.72,47.92,968500,0.0,0
2015-05-12,52.62,52.78,52.2,52.46,47.68,976800,0.0,0
2015-05-13,52.69,53.0,52.15,52.23,47.47,639000,0.0,0
2015-05-14,52.49,53.0,52.33,52.99,48.16,761400,0.0,0
2015-05-15,53.13,53.67,53.02,53.65,48.76,1017000,0.0,0
2015-05-18,53.42,54.23,53.14,53.86,48.96,2025800,0.0,0
2015-05-19,53.85,53.94,53.49,53.66,48.77,601200,0.0,0
2015-05-20,53.63,53.92,53.35,53.44,48.57,709400,0.0,0
2015-05-21,53.5,53.56,53.17,53.39,48.53,821400,0.0,0
2015-05-22,53.38,53.38,52.82,52.91,48.09,867500,0.0,0
2015-05-26,52.71,52.99,52.4,52.82,48.01,697600,0.0,0
2015-05-27,52.99,53.37,52.78,53.21,48.36,623800,0.0,0
2015-05-28,53.02,53.43,52.53,52.71,47.91,1336000,0.0,0
2015-05-29,52.67,53.14,52.62,52.87,48.06,1205800,0.0,0
2015-06-01,52.9,53.22,52.64,52.85,48.04,635000,0.0,0
2015-06-02,52.62,52.79,52.0,52.28,47.52,819000,0.0,0
2015-06-03,52.29,52.43,51.47,51.68,46.97,821900,0.0,0
2015-06-04,51.53,51.91,51.5,51.72,47.01,824200,0.0,0
2015-06-05,51.15,51.22,50.56,50.79,46.16,836200,0.0,0
2015-06-08,51.18,51.43,50.89,51.08,46.43,1019000,0.0,0
2015-06-09,51.14,51.59,50.87,51.0,46.36,995000,0.0,0
2015-06-10,51.06,51.41,50.73,50.76,46.14,1060700,0.0,0
2015-06-11,50.86,51.1,50.62,50.93,46.29,990800,0.0,0
2015-06-12,50.75,50.88,50.42,50.5,45.9,647300,0.0,0
2015-06-15,50.42,50.57,49.4,49.72,45.19,1319800,0.0,0
2015-06-16,49.57,49.94,49.15,49.35,44.86,1710900,0.0,0
2015-06-17,49.44,49.91,49.31,49.57,45.06,1254700,0.0,0
2015-06-18,49.64,50.62,49.56,50.45,45.86,1191300,0.0,0
2015-06-19,50.86,50.89,50.3,50.31,45.73,1358000,0.0,0
2015-06-22,50.53,50.79,50.03,50.28,45.7,1012300,0.0,0
2015-06-23,50.42,50.5,49.75,50.02,45.47,1008400,0.0,0
2015-06-24,49.82,50.08,49.57,49.7,45.17,798800,0.0,0
2015-06-25,49.89,49.92,49.29,49.37,44.87,672200,0.0,0
2015-06-26,49.4,49.73,49.15,49.7,45.17,675000,0.0,0
2015-06-29,49.27,49.73,48.9,48.93,44.47,781900,0.0,0
2015-06-30,49.24,49.42,48.36,48.63,44.2,1375700,0.0,0
2015-07-01,48.77,49.28,48.52,49.17,44.69,812600,0.0,0
2015-07-02,49.54,49.87,49.51,49.85,45.31,698700,0.0,0
2015-07-06,49.78,50.21,49.68,50.21,45.64,1562700,0.0,0
2015-07-07,50.25,51.24,50.23,51.08,46.43,1176000,0.0,0
2015-07-08,50.9,51.28,50.57,51.18,46.52,922700,0.0,0
2015-07-09,51.43,51.44,50.01,50.18,45.61,1437500,0.0,0
2015-07-10,50.29,51.06,50.01,50.79,46.16,834300,0.0,0
2015-07-13,51.07,51.32,50.71,50.99,46.35,595500,0.0,0
2015-07-14,51.23,51.44,50.97,51.19,46.53,710700,0.0,0
2015-07-15,51.22,51.28,50.92,51.25,46.58,597900,0.0,0
2015-07-16,51.44,51.94,51.2,51.78,47.06,560500,0.0,0
2015-07-17,51.84,51.91,51.31,51.31,46.64,695300,0.0,0
2015-07-20,51.31,51.6,51.0,51.36,46.68,617700,0.0,0
2015-07-21,51.29,51.41,50.63,50.76,46.14,592600,0.0,0
2015-07-22,50.63,51.34,50.63,51.14,46.48,550500,0.0,0
2015-07-23,51.11,51.34,50.24,50.44,45.85,643400,0.0,0
2015-07-24,50.46,51.04,50.43,50.94,46.3,603400,0.0,0
2015-07-27,50.89,51.72,50.78,51.61,46.91,794700,0.0,0
2015-07-28,51.51,51.74,51.08,51.48,46.79,747000,0.0,0
2015-07-29,51.37,51.74,51.14,51.71,47.0,518200,0.0,0
2015-07-30,51.57,51.97,51.44,51.59,46.89,537400,0.0,0
2015-07-31,51.96,52.44,51.63,51.91,47.18,523900,0.0,0
2015-08-03,51.92,52.43,51.84,52.08,47.34,684700,0.0,0
2015-08-04,52.07,52.15,51.17,51.23,46.56,603900,0.0,0
2015-08-05,51.52,52.1,51.35,51.6,46.9,666800,0.0,0
2015-08-06,50.91,51.85,50.58,51.77,47.37,1016500,0.34,0
2015-08-07,51.65,52.55,51.37,52.31,47.86,689700,0.0,0
2015-08-10,52.31,52.7,52.1,52.26,47.82,529000,0.0,0
2015-08-11,52.38,53.13,52.14,53.12,48.6,839700,0.0,0
2015-08-12,52.74,53.84,52.6,53.74,49.17,934800,0.0,0
2015-08-13,53.64,54.45,53.56,54.18,49.57,956300,0.0,0
2015-08-14,53.97,54.31,53.84,54.29,49.67,635900,0.0,0
2015-08-17,54.4,54.81,54.26,54.68,50.03,697900,0.0,0
2015-08-18,54.5,54.79,54.08,54.63,49.98,590300,0.0,0
2015-08-19,54.35,54.87,54.15,54.8,50.14,557600,0.0,0
2015-08-20,54.42,54.85,53.9,54.19,49.58,1029300,0.0,0
2015-08-21,53.59,54.44,53.59,54.02,49.43,1036200,0.0,0
2015-08-24,52.22,52.98,50.16,51.93,47.51,1924800,0.0,0
2015-08-25,52.74,53.04,51.35,51.35,46.98,1783400,0.0,0
2015-08-26,51.88,52.29,50.54,52.14,47.71,1448100,0.0,0
2015-08-27,52.67,53.18,52.21,53.14,48.62,1016000,0.0,0
2015-08-28,53.02,53.27,52.55,53.01,48.5,1142700,0.0,0
2015-08-31,52.74,52.74,51.61,51.94,47.52,827800,0.0,0
2015-09-01,51.76,51.93,50.82,51.06,46.72,895600,0.0,0
2015-09-02,51.58,51.75,50.88,51.41,47.04,1063400,0.0,0
2015-09-03,51.46,52.42,51.44,52.21,47.77,1256300,0.0,0
2015-09-04,51.67,51.86,50.91,51.11,46.76,1210200,0.0,0
2015-09-08,51.58,52.04,51.41,51.69,47.29,889200,0.0,0
2015-09-09,51.98,52.01,51.14,51.21,46.86,983400,0.0,0
2015-09-10,51.32,51.67,50.95,51.11,46.76,994100,0.0,0
2015-09-11,50.89,51.98,50.74,51.96,47.54,662500,0.0,0
2015-09-14,52.0,52.43,51.88,52.24,47.8,967400,0.0,0
2015-09-15,52.36,52.61,52.09,52.48,48.02,467400,0.0,0
2015-09-16,52.49,52.95,52.47,52.84,48.35,568800,0.0,0
2015-09-17,52.77,53.77,52.75,53.32,48.79,911500,0.0,0
2015-09-18,52.95,53.95,52.8,53.5,48.95,1000600,0.0,0
2015-09-21,53.6,54.07,53.54,53.68,49.12,699400,0.0,0
2015-09-22,53.3,53.71,53.2,53.58,49.02,786400,0.0,0
2015-09-23,53.52,54.14,53.44,53.9,49.32,908800,0.0,0
2015-09-24,53.64,54.68,53.58,54.37,49.75,793500,0.0,0
2015-09-25,54.5,55.63,54.38,54.89,50.22,1542900,0.0,0
2015-09-28,54.86,54.99,53.99,54.09,49.49,962400,0.0,0
2015-09-29,53.87,54.27,53.67,54.19,49.58,874900,0.0,0
2015-09-30,54.55,55.1,54.38,55.08,50.4,1109500,0.0,0
2015-10-01,55.02,55.31,54.62,55.27,50.57,925200,0.0,0
2015-10-02,55.33,55.67,54.68,55.63,50.9,1192000,0.0,0
2015-10-05,55.69,56.22,55.55,56.07,51.3,1180100,0.0,0
2015-10-06,56.08,56.14,55.56,55.62,50.89,625000,0.0,0
2015-10-07,55.74,55.86,55.19,55.35,50.64,778500,0.0,0
2015-10-08,55.37,56.84,55.14,56.84,52.01,1143500,0.0,0
2015-10-09,56.82,57.12,56.51,56.87,52.03,964100,0.0,0
2015-10-12,56.94,57.77,56.83,57.45,52.56,639900,0.0,0
2015-10-13,57.33,57.77,57.18,57.69,52.78,1022500,0.0,0
2015-10-14,57.67,58.15,56.97,57.14,52.28,1206800,0.0,0
2015-10-15,56.28,58.21,56.03,58.21,53.26,1159700,0.0,0
2015-10-16,58.25,58.63,57.93,58.38,53.42,951600,0.0,0
2015-10-19,58.36,58.97,58.3,58.95,53.94,1093300,0.0,0
2015-10-20,58.78,59.2,58.58,58.6,53.62,820000,0.0,0
2015-10-21,58.84,59.07,57.88,57.94,53.01,1188400,0.0,0
2015-10-22,58.08,58.71,58.08,58.46,53.49,1042200,0.0,0
2015-10-23,58.46,58.51,57.45,57.63,52.73,829500,0.0,0
2015-10-26,57.75,58.27,57.52,58.2,53.25,492300,0.0,0
2015-10-27,58.09,58.29,57.78,57.93,53.0,692500,0.0,0
2015-10-28,57.96,58.4,57.04,57.73,52.82,719100,0.0,0
2015-10-29,57.37,57.73,56.34,57.08,52.23,1025400,0.0,0
2015-10-30,57.19,57.89,57.01,57.36,52.48,737200,0.0,0
2015-11-02,57.58,57.91,56.96,57.31,52.44,697500,0.0,0
2015-11-03,57.23,57.98,56.92,57.73,52.82,1000100,0.0,0
2015-11-04,57.71,57.98,57.35,57.98,53.05,1076500,0.0,0
2015-11-05,58.04,58.38,57.28,58.19,53.56,965900,0.34,0
2015-11-06,57.93,58.22,55.13,55.44,51.02,1153400,0.0,0
2015-11-09,55.33,55.89,55.16,55.79,51.35,907800,0.0,0
2015-11-10,55.72,56.66,55.59,56.63,52.12,636000,0.0,0
2015-11-11,56.66,57.17,56.53,56.89,52.36,555900,0.0,0
2015-11-12,56.75,57.54,56.34,56.47,51.97,479000,0.0,0
2015-11-13,56.37,56.83,55.94,56.01,51.55,450000,0.0,0
2015-11-16,56.0,56.85,55.77,56.83,52.3,470500,0.0,0
2015-11-17,56.76,56.92,55.99,56.05,51.59,643800,0.0,0
2015-11-18,56.14,57.12,56.0,57.06,52.52,579400,0.0,0
2015-11-19,57.08,57.49,57.02,57.27,52.71,519400,0.0,0
2015-11-20,57.31,57.9,57.21,57.4,52.83,457500,0.0,0
2015-11-23,57.5,57.87,57.34,57.47,52.89,623000,0.0,0
2015-11-24,57.16,57.36,56.5,56.88,52.35,1067700,0.0,0
2015-11-25,56.98,57.18,56.74,57.02,52.48,617600,0.0,0
2015-11-27,57.16,58.05,57.13,58.05,53.43,556600,0.0,0
2015-11-30,57.97,58.4,57.5,57.76,53.16,1444800,0.0,0
2015-12-01,57.73,58.44,57.38,57.87,53.26,942400,0.0,0
2015-12-02,57.64,57.87,56.96,57.15,52.6,659900,0.0,0
2015-12-03,57.23,57.46,56.96,57.41,52.84,688300,0.0,0
2015-12-04,57.44,58.04,57.42,58.01,53.39,702900,0.0,0
2015-12-07,57.75,58.41,57.59,58.4,53.75,783000,0.0,0
2015-12-08,58.03,58.7,57.88,58.45,53.8,962900,0.0,0
2015-12-09,57.96,58.76,57.86,57.91,53.3,917900,0.0,0
2015-12-10,58.02,58.06,56.63,56.77,52.25,1043300,0.0,0
2015-12-11,56.74,57.17,56.4,56.72,52.2,751800,0.0,0
2015-12-14,56.7,57.13,56.49,56.72,52.2,1170700,0.0,0
2015-12-15,56.74,57.48,56.74,57.19,52.64,1127200,0.0,0
2015-12-16,57.53,58.92,57.53,58.79,54.11,1195600,0.0,0
2015-12-17,58.82,59.78,58.62,59.29,54.57,1886000,0.0,0
2015-12-18,59.17,59.95,58.24,59.55,54.81,2238900,0.0,0
2015-12-21,59.61,59.62,58.06,58.27,53.63,1134600,0.0,0
