Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,77.83,77.96,77.04,77.49,71.48,6901700,0.0,0
2015-04-28,77.69,77.73,76.94,77.49,71.48,6493400,0.0,0
2015-04-29,77.13,77.47,77.0,77.16,71.18,4322600,0.0,0
2015-04-30,77.04,77.68,76.98,77.45,71.44,6754100,0.0,0
2015-05-01,77.85,77.89,77.31,77.68,71.65,3859200,0.0,0
2015-05-04,77.96,78.54,77.74,78.28,72.21,3896700,0.0,0
2015-05-05,77.98,78.52,77.78,77.84,71.8,5325800,0.0,0
2015-05-06,78.7,78.85,77.39,77.85,71.81,5896600,0.0,0
2015-05-07,77.84,78.74,77.6,78.43,72.35,7924600,0.0,0
2015-05-08,78.89,79.64,78.77,78.98,72.85,7198100,0.0,0
2015-05-11,79.05,80.25,79.01,79.7,73.52,5827400,0.0,0
2015-05-12,79.15,79.43,78.44,79.08,72.95,4575700,0.0,0
2015-05-13,79.5,80.01,79.27,79.86,73.67,5494500,0.0,0
2015-05-14,80.34,80.9,80.27,80.75,74.49,4450800,0.0,0
2015-05-15,80.9,81.16,79.99,80.22,74.0,4479300,0.0,0
2015-05-18,80.28,80.55,79.78,80.17,73.95,4579900,0.0,0
2015-05-19,80.37,81.6,80.37,81.36,75.05,6063500,0.0,0
2015-05-20,81.41,81.45,80.78,80.96,74.68,3986700,0.0,0
2015-05-21,80.54,81.17,80.41,80.76,74.5,4249700,0.0,0
2015-05-22,80.84,81.58,80.72,81.25,74.95,3395800,0.0,0
2015-05-26,81.12,81.46,79.94,80.19,73.97,5282700,0.0,0
2015-05-27,80.45,80.63,79.84,80.11,73.9,5105100,0.0,0
2015-05-28,79.97,80.25,79.88,80.09,73.88,4443000,0.0,0
2015-05-29,80.04,80.1,79.58,79.72,73.54,7385100,0.0,0
2015-06-01,79.94,80.17,78.95,79.47,73.31,4716900,0.0,0
2015-06-02,79.26,80.27,79.18,79.99,73.79,4197300,0.0,0
2015-06-03,80.32,81.27,80.12,80.6,74.35,4321400,0.0,0
2015-06-04,80.05,80.34,79.2,79.36,73.2,5438100,0.0,0
2015-06-05,79.74,79.88,79.23,79.39,73.23,4817000,0.0,0
2015-06-08,79.43,79.84,78.8,78.81,72.7,5883600,0.0,0
2015-06-09,78.88,79.39,78.86,79.17,73.03,4506300,0.0,0
2015-06-10,79.2,80.49,79.2,80.19,73.97,5865400,0.0,0
2015-06-11,80.34,80.77,80.0,80.3,74.07,4013400,0.0,0
2015-06-12,80.43,80.45,79.11,79.53,73.36,6253500,0.0,0
2015-06-15,79.0,79.37,78.82,79.25,73.1,4929300,0.0,0
2015-06-16,79.04,79.8,79.0,79.36,73.2,6992700,0.0,0
2015-06-17,79.64,80.86,79.46,80.32,74.09,6945600,0.0,0
2015-06-18,80.24,80.9,79.81,80.77,74.51,4632300,0.0,0
2015-06-19,80.52,80.62,79.79,80.19,73.97,13054800,0.0,0
2015-06-22,80.68,81.71,80.66,81.25,74.95,5548600,0.0,0
2015-06-23,81.44,81.92,81.29,81.36,75.05,5356300,0.0,0
2015-06-24,80.94,81.36,80.74,80.74,74.48,5637600,0.0,0
2015-06-25,80.99,81.0,79.88,79.88,73.68,6591100,0.0,0
2015-06-26,80.17,80.45,79.83,79.88,73.68,15746700,0.0,0
2015-06-29,79.22,79.35,77.74,77.8,71.77,8553300,0.0,0
2015-06-30,78.17,78.41,77.65,77.72,71.96,7793000,0.29,0
2015-07-01,78.64,78.91,78.16,78.4,72.59,5319900,0.0,0
2015-07-02,78.69,79.13,78.18,78.21,72.41,4577700,0.0,0
2015-07-06,77.55,77.85,77.34,77.59,71.84,5724800,0.0,0
2015-07-07,77.56,77.8,76.41,77.55,71.8,7183000,0.0,0
2015-07-08,76.89,77.2,75.75,75.93,70.3,5544800,0.0,0
2015-07-09,76.63,77.45,76.29,76.34,70.68,3934000,0.0,0
2015-07-10,77.31,77.49,76.91,77.31,71.58,3036000,0.0,0
2015-07-13,77.97,78.61,77.77,78.53,72.71,3677500,0.0,0
2015-07-14,78.6,79.14,78.21,78.97,73.12,3904900,0.0,0
2015-07-15,79.01,79.36,78.32,78.54,72.72,3947000,0.0,0
2015-07-16,79.0,79.16,78.67,78.92,73.07,4095800,0.0,0
2015-07-17,78.74,79.25,78.65,79.22,73.35,3084400,0.0,0
2015-07-20,79.2,79.63,79.18,79.3,73.42,3553000,0.0,0
2015-07-21,79.2,79.41,78.45,78.95,73.1,3974600,0.0,0
2015-07-22,78.8,79.19,78.6,78.99,73.14,4392700,0.0,0
2015-07-23,77.7,77.95,76.13,77.01,71.3,12256800,0.0,0
2015-07-24,76.65,77.15,75.68,75.9,70.27,8639900,0.0,0
2015-07-27,75.44,75.6,74.3,74.92,69.37,9861400,0.0,0
2015-07-28,75.12,75.57,74.37,75.11,69.54,5516600,0.0,0
2015-07-29,75.11,76.01,74.92,75.7,70.09,4594200,0.0,0
2015-07-30,75.79,76.21,75.64,76.12,70.48,4767100,0.0,0
2015-07-31,76.39,76.67,75.99,76.06,70.42,6344800,0.0,0
2015-08-03,75.86,76.16,75.43,75.98,70.35,5159500,0.0,0
2015-08-04,75.77,76.16,75.63,75.72,70.11,4137600,0.0,0
2015-08-05,76.35,76.48,75.59,75.59,69.99,5562000,0.0,0
2015-08-06,75.65,75.79,74.71,75.0,69.44,4522100,0.0,0
2015-08-07,75.0,80.22,74.34,79.72,73.81,23689600,0.0,0
2015-08-10,79.69,81.39,79.5,81.26,75.24,12609000,0.0,0
2015-08-11,80.43,81.65,80.25,81.34,75.31,8509800,0.0,0
2015-08-12,80.72,81.09,79.8,81.0,75.0,6945600,0.0,0
2015-08-13,81.0,81.0,80.38,80.76,74.77,4866900,0.0,0
2015-08-14,80.51,81.33,80.42,80.91,74.91,5387100,0.0,0
2015-08-17,80.39,81.17,80.25,81.0,75.0,4574700,0.0,0
2015-08-18,81.05,81.42,80.7,81.24,75.22,4458300,0.0,0
2015-08-19,80.92,81.66,80.41,80.95,74.95,5314600,0.0,0
2015-08-20,80.11,80.46,78.73,78.76,72.92,7240600,0.0,0
2015-08-21,78.12,78.61,77.03,77.03,71.32,8483300,0.0,0
2015-08-24,73.36,76.08,71.71,74.65,69.12,12873200,0.0,0
2015-08-25,76.27,76.55,73.28,73.52,68.07,7779000,0.0,0
2015-08-26,75.39,75.9,73.96,75.63,70.02,6505800,0.0,0
2015-08-27,75.88,77.18,75.52,76.88,71.18,7025000,0.0,0
2015-08-28,76.32,76.81,75.93,76.65,70.97,4919000,0.0,0
2015-08-31,76.26,77.26,75.97,76.72,71.03,4559700,0.0,0
2015-09-01,74.85,75.36,73.6,74.0,68.52,6101100,0.0,0
2015-09-02,74.9,75.21,73.97,74.94,69.39,5914400,0.0,0
2015-09-03,75.38,76.25,75.05,75.26,69.68,4783000,0.0,0
2015-09-04,74.28,74.52,73.57,74.08,68.59,5095200,0.0,0
