Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,148.59,149.0,147.71,147.8,129.07,4603500,0.0,0
2015-04-28,147.9,148.37,146.01,147.51,128.82,4352900,0.0,0
2015-04-29,147.07,147.46,145.9,146.15,127.63,4761700,0.0,0
2015-04-30,145.25,145.94,142.75,143.34,125.18,4925300,0.0,0
2015-05-01,144.41,145.07,143.84,144.67,126.34,3556800,0.0,0
2015-05-04,143.85,144.79,143.18,144.02,125.77,8977500,0.0,0
2015-05-05,143.76,144.7,142.27,142.91,124.8,3670400,0.0,0
2015-05-06,143.01,143.15,140.43,141.04,123.96,5313500,0.91,0
2015-05-07,140.56,142.18,140.48,141.49,124.35,4868700,0.0,0
2015-05-08,143.0,145.94,142.98,145.46,127.84,7068000,0.0,0
2015-05-11,145.55,146.79,145.13,145.89,128.22,3969000,0.0,0
2015-05-12,144.94,146.08,144.01,145.43,127.82,3543900,0.0,0
2015-05-13,145.41,146.53,145.1,145.62,127.98,2679400,0.0,0
2015-05-14,146.88,148.25,146.65,147.96,130.04,3495800,0.0,0
2015-05-15,148.05,148.3,146.34,146.88,129.09,3368900,0.0,0
2015-05-18,146.88,147.24,146.3,146.71,128.94,2153200,0.0,0
2015-05-19,147.18,147.77,146.73,147.05,129.24,2366400,0.0,0
2015-05-20,147.14,147.34,146.1,146.42,128.69,2104000,0.0,0
2015-05-21,146.56,147.71,146.1,147.35,129.5,2676400,0.0,0
2015-05-22,147.26,147.27,144.8,144.81,127.27,3878000,0.0,0
2015-05-26,144.34,144.43,142.16,142.8,125.5,3476800,0.0,0
2015-05-27,143.42,143.75,142.58,143.0,125.68,2837100,0.0,0
2015-05-28,142.51,145.29,141.58,142.33,125.09,3103200,0.0,0
2015-05-29,142.26,142.26,140.32,140.52,123.5,6199200,0.0,0
2015-06-01,141.45,142.05,140.27,141.25,124.14,3897000,0.0,0
2015-06-02,141.44,144.46,140.63,143.25,125.9,4986500,0.0,0
2015-06-03,143.78,145.06,142.89,143.81,126.39,3755800,0.0,0
2015-06-04,143.22,143.23,140.95,141.19,124.09,3239500,0.0,0
2015-06-05,141.04,141.37,140.05,140.73,123.69,3215600,0.0,0
2015-06-08,140.24,141.35,140.2,140.64,123.61,2756600,0.0,0
2015-06-09,140.5,140.99,139.9,140.1,123.13,2647600,0.0,0
2015-06-10,140.68,142.6,140.29,141.62,124.47,2784400,0.0,0
2015-06-11,142.01,143.98,141.75,142.96,125.65,2924500,0.0,0
